"var","categoria","Patricia Bullrich por Juntos por el Cambio","Cristina Fernández de Kirchner por el Frente de Todos","No sabe"
"P41","Wado de Pedro por el Frente de Todos",0.033,0.774,0.081
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.721,0.041,0.242
"P41","No sabe",0.246,0.185,0.677
"P42","Sergio Massa por el Frente de Todos",0.044,0.757,0.133
"P42","Patricia Bullrich por Juntos por el Cambio",0.877,0.038,0.101
"P42","No sabe",0.079,0.205,0.766
"P43","Sergio Massa por el Frente de Todos",0.035,0.797,0.144
"P43","Mauricio Macri por Juntos por el Cambio",0.843,0.028,0.141
"P43","No sabe",0.122,0.175,0.715
"P44","Sergio Massa por el Frente de Todos",0.041,0.781,0.112
"P44","Javier Milei por los liberales libertarios",0.647,0.046,0.355
"P44","No sabe",0.312,0.173,0.533
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.269,0.395,0.163
"P45","Javier Milei por los liberales libertarios",0.51,0.058,0.354
"P45","No sabe",0.221,0.547,0.483
"P46","Patricia Bullrich por Juntos por el Cambio",0.857,0.058,0.055
"P46","Wado de Pedro por el Frente de Todos",0.067,0.716,0.128
"P46","No sabe",0.076,0.226,0.817
"P48","Muy buena",0.134,0.118,0.02
"P48","Buena",0.011,0.419,0.028
"P48","Ni buena ni mala",0.032,0.3,0.262
"P48","Mala",0.065,0.11,0.202
"P48","Muy mala",0.756,0.042,0.465
"P48","No sabe",0.002,0.011,0.023
"P49","Muy buena",0.022,0.136,0.022
"P49","Buena",0.01,0.346,0.04
"P49","Ni buena ni mala",0.023,0.346,0.236
"P49","Mala",0.122,0.114,0.15
"P49","Muy mala",0.817,0.057,0.513
"P49","No sabe",0.006,0.001,0.039
"P50","Muy buena",0.024,0.654,0.053
"P50","Buena",0.006,0.189,0.043
"P50","Ni buena ni mala",0.014,0.097,0.153
"P50","Mala",0.051,0.028,0.123
"P50","Muy mala",0.904,0.029,0.606
"P50","No sabe",0.001,0.003,0.022
"P51","Muy buena",0.271,0.103,0.065
"P51","Buena",0.296,0.039,0.069
"P51","Ni buena ni mala",0.189,0.031,0.216
"P51","Mala",0.084,0.174,0.216
"P51","Muy mala",0.159,0.64,0.408
"P51","No sabe",0.001,0.013,0.026
"P52","Muy buena",0.232,0.024,0.092
"P52","Buena",0.323,0.027,0.161
"P52","Ni buena ni mala",0.25,0.12,0.242
"P52","Mala",0.095,0.198,0.143
"P52","Muy mala",0.091,0.596,0.301
"P52","No sabe",0.009,0.035,0.061
"P53","Muy buena",0.037,0.174,0.057
"P53","Buena",0.063,0.318,0.091
"P53","Ni buena ni mala",0.088,0.267,0.243
"P53","Mala",0.165,0.113,0.162
"P53","Muy mala",0.639,0.106,0.414
"P53","No sabe",0.008,0.022,0.033
"P54","Muy buena",0.457,0.041,0.047
"P54","Buena",0.279,0.053,0.087
"P54","Ni buena ni mala",0.121,0.069,0.297
"P54","Mala",0.042,0.135,0.175
"P54","Muy mala",0.094,0.684,0.34
"P54","No sabe",0.007,0.018,0.054
"P55","Muy buena",0.248,0.024,0.275
"P55","Buena",0.26,0.038,0.091
"P55","Ni buena ni mala",0.306,0.085,0.242
"P55","Mala",0.098,0.128,0.117
"P55","Muy mala",0.068,0.695,0.225
"P55","No sabe",0.02,0.03,0.05
"P56","Muy buena",0.302,0.008,0.125
"P56","Buena",0.322,0.02,0.13
"P56","Ni buena ni mala",0.21,0.066,0.228
"P56","Mala",0.084,0.185,0.163
"P56","Muy mala",0.071,0.699,0.303
"P56","No sabe",0.011,0.022,0.051
"P57","Muy buena",0.053,0.338,0.043
"P57","Buena",0.056,0.266,0.085
"P57","Ni buena ni mala",0.162,0.178,0.271
"P57","Mala",0.181,0.061,0.153
"P57","Muy mala",0.498,0.105,0.292
"P57","No sabe",0.05,0.052,0.156
"P58","Muy buena",0.083,0.091,0.096
"P58","Buena",0.16,0.119,0.134
"P58","Ni buena ni mala",0.336,0.343,0.32
"P58","Mala",0.189,0.176,0.094
"P58","Muy mala",0.197,0.19,0.204
"P58","No sabe",0.035,0.081,0.152
"P59","Muy buena",0.089,0.019,0.042
"P59","Buena",0.2,0.024,0.091
"P59","Ni buena ni mala",0.334,0.201,0.346
"P59","Mala",0.142,0.177,0.102
"P59","Muy mala",0.155,0.49,0.23
"P59","No sabe",0.08,0.089,0.189
"P60","Siempre",0.28,0.302,0.215
"P60","Casi siempre",0.386,0.394,0.362
"P60","Casi nunca",0.233,0.214,0.278
"P60","Nunca, pero esta es una excepción",0.101,0.09,0.145
"P61","Si",0.563,0.617,0.483
"P61","No",0.437,0.383,0.517
