"var","categoria","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P37","Mauricio Macri por Juntos por el Cambio",0.034,0.438,0.406
"P37","Javier Milei por los liberales libertarios",0.019,0.459,0.079
"P37","Nicolás del Caño por la izquierda",0.032,0.006,0.035
"P37","Otro candidato",0.11,0.055,0.185
"P37","Aún no lo tengo decidido",0.082,0.025,0.203
"P38","Wado de Pedro por el Frente de Todos",0.72,0.016,0.102
"P38","Patricia Bullrich por Juntos por el Cambio",0.042,0.522,0.442
"P38","Javier Milei por los liberales libertarios",0.014,0.398,0.067
"P38","Nicolás del Caño por la izquierda",0.032,0.003,0.034
"P38","Otro candidato",0.113,0.039,0.158
"P38","Aún no lo tengo decidido",0.079,0.022,0.197
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.816,0.01,0.166
"P39","Patricia Bullrich por Juntos por el Cambio",0.041,0.523,0.461
"P39","Javier Milei por los liberales libertarios",0.009,0.402,0.07
"P39","Nicolás del Caño por la izquierda",0.02,0.011,0.031
"P39","Otro candidato",0.074,0.024,0.13
"P39","Aún no lo tengo decidido",0.04,0.03,0.142
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.82,0.092,0.201
"P40","Mauricio Macri por Juntos por el Cambio",0.109,0.688,0.451
"P40","No sabe",0.071,0.22,0.348
"P41","Wado de Pedro por el Frente de Todos",0.787,0.025,0.127
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.077,0.637,0.482
"P41","No sabe",0.136,0.338,0.391
"P42","Sergio Massa por el Frente de Todos",0.886,0.033,0.058
"P42","Patricia Bullrich por Juntos por el Cambio",0.042,0.792,0.497
"P42","No sabe",0.072,0.175,0.445
"P43","Sergio Massa por el Frente de Todos",0.93,0.031,0.05
"P43","Mauricio Macri por Juntos por el Cambio",0.028,0.793,0.459
"P43","No sabe",0.042,0.176,0.491
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.523,0.203,0.197
"P45","Javier Milei por los liberales libertarios",0.038,0.745,0.088
"P45","No sabe",0.439,0.052,0.715
"P46","Patricia Bullrich por Juntos por el Cambio",0.109,0.733,0.486
"P46","Wado de Pedro por el Frente de Todos",0.678,0.111,0.134
"P46","No sabe",0.213,0.156,0.38
"P47","Patricia Bullrich por Juntos por el Cambio",0.076,0.829,0.545
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.862,0.035,0.178
"P47","No sabe",0.062,0.136,0.277
"P48","Muy buena",0.132,0.123,0.077
"P48","Buena",0.405,0.018,0.064
"P48","Ni buena ni mala",0.303,0.044,0.158
"P48","Mala",0.11,0.057,0.151
"P48","Muy mala",0.044,0.755,0.533
"P48","No sabe",0.006,0.003,0.017
"P49","Muy buena",0.141,0.019,0.033
"P49","Buena",0.34,0.01,0.066
"P49","Ni buena ni mala",0.347,0.031,0.152
"P49","Mala",0.112,0.097,0.172
"P49","Muy mala",0.058,0.834,0.561
"P49","No sabe",0.002,0.009,0.016
"P50","Muy buena",0.614,0.017,0.148
"P50","Buena",0.181,0.01,0.046
"P50","Ni buena ni mala",0.109,0.016,0.081
"P50","Mala",0.047,0.038,0.085
"P50","Muy mala",0.046,0.918,0.629
"P50","No sabe",0.003,0.001,0.011
"P51","Muy buena",0.097,0.207,0.239
"P51","Buena",0.042,0.273,0.183
"P51","Ni buena ni mala",0.04,0.201,0.164
"P51","Mala",0.185,0.11,0.114
"P51","Muy mala",0.629,0.207,0.282
"P51","No sabe",0.007,0.002,0.018
"P52","Muy buena",0.036,0.165,0.217
"P52","Buena",0.043,0.305,0.22
"P52","Ni buena ni mala",0.114,0.246,0.245
"P52","Mala",0.211,0.121,0.083
"P52","Muy mala",0.573,0.155,0.184
"P52","No sabe",0.023,0.008,0.051
"P53","Muy buena",0.2,0.026,0.051
"P53","Buena",0.375,0.049,0.069
"P53","Ni buena ni mala",0.271,0.092,0.176
"P53","Mala",0.078,0.156,0.203
"P53","Muy mala",0.065,0.672,0.464
"P53","No sabe",0.011,0.005,0.037
"P54","Muy buena",0.053,0.38,0.302
"P54","Buena",0.061,0.267,0.168
"P54","Ni buena ni mala",0.085,0.141,0.164
"P54","Mala",0.133,0.054,0.105
"P54","Muy mala",0.659,0.144,0.232
"P54","No sabe",0.009,0.014,0.029
"P55","Muy buena",0.017,0.37,0.081
"P55","Buena",0.025,0.32,0.081
"P55","Ni buena ni mala",0.079,0.222,0.371
"P55","Mala",0.154,0.053,0.149
"P55","Muy mala",0.698,0.026,0.264
"P55","No sabe",0.027,0.009,0.054
"P56","Muy buena",0.019,0.262,0.228
"P56","Buena",0.023,0.292,0.234
"P56","Ni buena ni mala",0.091,0.201,0.194
"P56","Mala",0.172,0.119,0.098
"P56","Muy mala",0.68,0.117,0.206
"P56","No sabe",0.015,0.009,0.04
"P57","Muy buena",0.337,0.044,0.088
"P57","Buena",0.283,0.051,0.082
"P57","Ni buena ni mala",0.174,0.166,0.217
"P57","Mala",0.069,0.177,0.154
"P57","Muy mala",0.088,0.497,0.373
"P57","No sabe",0.049,0.065,0.086
"P58","Muy buena",0.109,0.069,0.093
"P58","Buena",0.132,0.14,0.159
"P58","Ni buena ni mala",0.33,0.326,0.355
"P58","Mala",0.187,0.173,0.151
"P58","Muy mala",0.173,0.229,0.171
"P58","No sabe",0.069,0.063,0.071
"P59","Muy buena",0.026,0.065,0.085
"P59","Buena",0.04,0.155,0.175
"P59","Ni buena ni mala",0.208,0.311,0.353
"P59","Mala",0.178,0.155,0.106
"P59","Muy mala",0.47,0.204,0.175
"P59","No sabe",0.078,0.11,0.106
"P60","Siempre",0.299,0.264,0.274
"P60","Casi siempre",0.384,0.386,0.385
"P60","Casi nunca",0.224,0.23,0.249
"P60","Nunca, pero esta es una excepción",0.093,0.12,0.092
"P61","Si",0.612,0.568,0.526
"P61","No",0.388,0.432,0.474
