"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P20","Nunca la votaría",0.828,0.165,0.459
"P20","No sabe",0.038,0.03,0.117
"P21","Lo votaría",0.068,0.28,0.341
"P21","Puede que lo vote",0.086,0.282,0.186
"P21","Nunca lo votaría",0.807,0.391,0.355
"P21","No sabe",0.039,0.047,0.118
"P22","La votaría",0.046,0.232,0.098
"P22","Puede que la vote",0.081,0.328,0.214
"P22","Nunca la votaría",0.808,0.356,0.496
"P22","No sabe",0.065,0.084,0.192
"P23","Lo votaría",0.315,0.041,0.042
"P23","Puede que lo vote",0.261,0.083,0.092
"P23","Nunca lo votaría",0.332,0.807,0.658
"P23","No sabe",0.092,0.069,0.208
"P24","Lo votaría",0.046,0.074,0.052
"P24","Puede que lo vote",0.102,0.258,0.145
"P24","Nunca lo votaría",0.735,0.567,0.549
"P24","No sabe",0.117,0.101,0.254
"P25","Mauricio Macri por Juntos por el Cambio",0.052,0.282,0.015
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.113,0.141
"P25","Patricia Bullrich por Juntos por el Cambio",0.059,0.3,0.113
"P25","Facundo Manes por Juntos por el Cambio",0.019,0.027,0.086
"P25","Alberto Fernández por el Frente de Todos",0.126,0.009,0.017
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.644,0.066,0.012
"P25","Javier Milei por los liberales libertarios",0.009,0.156,0.352
"P25","Nicolás del Caño por la izquierda",0.016,0.003,0.016
"P25","Otros candidatos",0.025,0.016,0.098
"P25","Aún no lo tengo decidido",0.034,0.028,0.15
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.185,0.119
"P26","Patricia Bullrich por Juntos por el Cambio",0.053,0.454,0.139
"P26","Facundo Manes por Juntos por el Cambio",0.053,0.079,0.1
"P26","Wado de Pedro por el Frente de Todos",0.345,0.025,0.033
"P26","Sergio Massa por el Frente de Todos",0.321,0.047,0.044
"P26","Javier Milei por los liberales libertarios",0.038,0.155,0.303
"P26","Nicolás del Caño por la izquierda",0.026,0.016,0.054
"P26","Otros candidatos",0.044,0.01,0.06
"P26","Aún no lo tengo decidido",0.083,0.029,0.148
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.768,0.078,0.021
"P27","Mauricio Macri por Juntos por el Cambio",0.086,0.585,0.037
"P27","Javier Milei por los liberales libertarios",0.032,0.228,0.426
"P27","Nicolás del Caño por la izquierda",0.025,0.001,0.046
"P27","Otro candidato",0.041,0.066,0.22
"P27","Aún no lo tengo decidido",0.048,0.042,0.25
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.107,0.453,0.143
"P29","Wado de Pedro por el Frente de Todos",0.583,0.086,0.026
"P29","Javier Milei por los liberales libertarios",0.046,0.293,0.425
"P29","Nicolás del Caño por la izquierda",0.035,0.004,0.023
"P29","Otro candidato",0.11,0.097,0.153
"P29","Aún no lo tengo decidido",0.119,0.067,0.23
"P31","Sergio Massa por el Frente de Todos",0.578,0.073,0.074
"P31","Patricia Bullrich por Juntos por el Cambio",0.13,0.609,0.153
"P31","Javier Milei por los liberales libertarios",0.024,0.207,0.397
"P31","Nicolás del Caño por la izquierda",0.044,0.003,0.039
"P31","Otro candidato",0.118,0.066,0.134
"P31","Aún no lo tengo decidido",0.106,0.042,0.203
"P33","Sergio Massa por el Frente de Todos",0.569,0.065,0.064
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.115,0.479,0.152
"P33","Javier Milei por los liberales libertarios",0.033,0.29,0.415
"P33","Nicolás del Caño por la izquierda",0.048,0.007,0.027
"P33","Otro candidato",0.135,0.1,0.147
"P33","Aún no lo tengo decidido",0.1,0.059,0.195
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.748,0.099,0.034
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.089,0.48,0.174
"P35","Javier Milei por los liberales libertarios",0.04,0.303,0.411
"P35","Nicolás del Caño por la izquierda",0.031,0.003,0.021
"P35","Otro candidato",0.051,0.079,0.167
"P35","Aún no lo tengo decidido",0.041,0.036,0.193
"P36","Sergio Massa por el Frente de Todos",0.595,0.073,0.07
"P36","Mauricio Macri por Juntos por el Cambio",0.087,0.596,0.037
"P36","Javier Milei por los liberales libertarios",0.033,0.242,0.421
"P36","Nicolás del Caño por la izquierda",0.047,0.004,0.036
"P36","Otro candidato",0.137,0.062,0.218
"P36","Aún no lo tengo decidido",0.101,0.023,0.218
"P37","Wado de Pedro por el Frente de Todos",0.614,0.063,0.029
"P37","Mauricio Macri por Juntos por el Cambio",0.104,0.611,0.024
"P37","Javier Milei por los liberales libertarios",0.039,0.233,0.435
"P37","Nicolás del Caño por la izquierda",0.036,0.004,0.039
"P37","Otro candidato",0.091,0.063,0.24
"P37","Aún no lo tengo decidido",0.116,0.026,0.233
"P38","Wado de Pedro por el Frente de Todos",0.619,0.066,0.032
"P38","Patricia Bullrich por Juntos por el Cambio",0.11,0.637,0.16
"P38","Javier Milei por los liberales libertarios",0.022,0.197,0.409
"P38","Nicolás del Caño por la izquierda",0.039,0.004,0.03
"P38","Otro candidato",0.102,0.057,0.178
"P38","Aún no lo tengo decidido",0.108,0.039,0.191
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.755,0.081,0.019
"P39","Patricia Bullrich por Juntos por el Cambio",0.128,0.635,0.168
"P39","Javier Milei por los liberales libertarios",0.015,0.2,0.413
"P39","Nicolás del Caño por la izquierda",0.024,0.009,0.032
"P39","Otro candidato",0.043,0.042,0.179
"P39","Aún no lo tengo decidido",0.035,0.033,0.189
"P41","Wado de Pedro por el Frente de Todos",0.709,0.063,0.038
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.095,0.746,0.26
"P41","No sabe",0.196,0.191,0.702
"P42","Sergio Massa por el Frente de Todos",0.683,0.061,0.109
"P42","Patricia Bullrich por Juntos por el Cambio",0.113,0.845,0.301
"P42","No sabe",0.204,0.094,0.59
"P43","Sergio Massa por el Frente de Todos",0.701,0.069,0.115
"P43","Mauricio Macri por Juntos por el Cambio",0.123,0.877,0.167
"P43","No sabe",0.176,0.054,0.718
"P44","Sergio Massa por el Frente de Todos",0.701,0.069,0.093
"P44","Javier Milei por los liberales libertarios",0.112,0.623,0.414
"P44","No sabe",0.187,0.308,0.493
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.448,0.244,0.153
"P45","Javier Milei por los liberales libertarios",0.082,0.482,0.453
"P45","No sabe",0.47,0.274,0.394
"P46","Patricia Bullrich por Juntos por el Cambio",0.169,0.791,0.307
"P46","Wado de Pedro por el Frente de Todos",0.652,0.071,0.144
"P46","No sabe",0.179,0.138,0.549
"P47","Patricia Bullrich por Juntos por el Cambio",0.157,0.866,0.388
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.812,0.078,0.045
"P47","No sabe",0.031,0.056,0.567
"P48","Muy buena",0.171,0.084,0.078
"P48","Buena",0.33,0.06,0.023
"P48","Ni buena ni mala",0.282,0.032,0.205
"P48","Mala",0.11,0.068,0.155
"P48","Muy mala",0.096,0.751,0.529
"P48","No sabe",0.011,0.005,0.01
"P49","Muy buena",0.139,0.016,0.022
"P49","Buena",0.286,0.04,0.036
"P49","Ni buena ni mala",0.319,0.034,0.169
"P49","Mala",0.11,0.122,0.15
"P49","Muy mala",0.145,0.776,0.607
"P49","No sabe",0.001,0.012,0.016
"P50","Muy buena",0.615,0.041,0.018
"P50","Buena",0.144,0.028,0.041
"P50","Ni buena ni mala",0.081,0.021,0.12
"P50","Mala",0.031,0.05,0.102
"P50","Muy mala",0.125,0.858,0.705
"P50","No sabe",0.004,0.002,0.014
"P51","Muy buena",0.133,0.299,0.027
"P51","Buena",0.06,0.306,0.097
"P51","Ni buena ni mala",0.04,0.17,0.249
"P51","Mala",0.16,0.073,0.218
"P51","Muy mala",0.595,0.151,0.39
"P51","No sabe",0.012,0.001,0.019
"P52","Muy buena",0.056,0.236,0.088
"P52","Buena",0.075,0.308,0.187
"P52","Ni buena ni mala",0.127,0.237,0.272
"P52","Mala",0.192,0.09,0.141
"P52","Muy mala",0.514,0.123,0.262
"P52","No sabe",0.036,0.006,0.05
"P53","Muy buena",0.163,0.046,0.038
"P53","Buena",0.314,0.056,0.083
"P53","Ni buena ni mala",0.25,0.101,0.185
"P53","Mala",0.11,0.153,0.196
"P53","Muy mala",0.142,0.637,0.468
"P53","No sabe",0.021,0.007,0.03
"P54","Muy buena",0.088,0.459,0.116
"P54","Buena",0.047,0.279,0.167
"P54","Ni buena ni mala",0.081,0.112,0.255
"P54","Mala",0.122,0.042,0.153
"P54","Muy mala",0.649,0.097,0.272
"P54","No sabe",0.013,0.011,0.037
"P55","Muy buena",0.058,0.233,0.269
"P55","Buena",0.053,0.242,0.17
"P55","Ni buena ni mala",0.125,0.286,0.258
"P55","Mala",0.122,0.106,0.101
"P55","Muy mala",0.611,0.114,0.16
"P55","No sabe",0.031,0.019,0.042
"P56","Muy buena",0.046,0.298,0.148
"P56","Buena",0.045,0.313,0.188
"P56","Ni buena ni mala",0.102,0.182,0.24
"P56","Mala",0.179,0.089,0.131
"P56","Muy mala",0.605,0.109,0.252
"P56","No sabe",0.023,0.009,0.041
"P57","Muy buena",0.31,0.066,0.035
"P57","Buena",0.25,0.061,0.073
"P57","Ni buena ni mala",0.185,0.152,0.251
"P57","Mala",0.077,0.179,0.152
"P57","Muy mala",0.126,0.492,0.361
"P57","No sabe",0.052,0.05,0.128
"P58","Muy buena",0.075,0.096,0.088
"P58","Buena",0.109,0.17,0.14
"P58","Ni buena ni mala",0.348,0.318,0.355
"P58","Mala",0.2,0.18,0.101
"P58","Muy mala",0.193,0.198,0.196
"P58","No sabe",0.075,0.038,0.12
"P59","Muy buena",0.033,0.087,0.043
"P59","Buena",0.039,0.201,0.109
"P59","Ni buena ni mala",0.212,0.317,0.377
"P59","Mala",0.189,0.138,0.098
"P59","Muy mala",0.437,0.187,0.191
"P59","No sabe",0.09,0.07,0.182
"P60","Siempre",0.312,0.275,0.225
"P60","Casi siempre",0.395,0.377,0.388
"P60","Casi nunca",0.212,0.238,0.259
"P60","Nunca, pero esta es una excepción",0.081,0.11,0.128
"P61","Si",0.63,0.559,0.487
"P61","No",0.37,0.441,0.513
