"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P27","Nicolás del Caño por la izquierda",0.024,0.008,0.031
"P27","Otro candidato",0.046,0.111,0.106
"P27","Aún no lo tengo decidido",0.03,0.065,0.176
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.098,0.541,0.05
"P29","Wado de Pedro por el Frente de Todos",0.733,0.069,0.03
"P29","Javier Milei por los liberales libertarios",0.025,0.237,0.439
"P29","Nicolás del Caño por la izquierda",0.027,0.004,0.03
"P29","Otro candidato",0.062,0.086,0.195
"P29","Aún no lo tengo decidido",0.055,0.063,0.256
"P31","Sergio Massa por el Frente de Todos",0.682,0.06,0.098
"P31","Patricia Bullrich por Juntos por el Cambio",0.061,0.63,0.215
"P31","Javier Milei por los liberales libertarios",0.014,0.179,0.36
"P31","Nicolás del Caño por la izquierda",0.045,0.015,0.021
"P31","Otro candidato",0.11,0.065,0.132
"P31","Aún no lo tengo decidido",0.088,0.051,0.174
"P33","Sergio Massa por el Frente de Todos",0.618,0.064,0.119
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.101,0.572,0.055
"P33","Javier Milei por los liberales libertarios",0.024,0.237,0.414
"P33","Nicolás del Caño por la izquierda",0.05,0.006,0.03
"P33","Otro candidato",0.131,0.071,0.183
"P33","Aún no lo tengo decidido",0.076,0.05,0.199
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.83,0.057,0.16
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.051,0.598,0.052
"P35","Javier Milei por los liberales libertarios",0.018,0.245,0.433
"P35","Nicolás del Caño por la izquierda",0.03,0.002,0.024
"P35","Otro candidato",0.043,0.06,0.17
"P35","Aún no lo tengo decidido",0.028,0.038,0.161
"P36","Sergio Massa por el Frente de Todos",0.704,0.046,0.111
"P36","Mauricio Macri por Juntos por el Cambio",0.02,0.594,0.153
"P36","Javier Milei por los liberales libertarios",0.014,0.224,0.377
"P36","Nicolás del Caño por la izquierda",0.047,0.009,0.028
"P36","Otro candidato",0.147,0.083,0.15
"P36","Aún no lo tengo decidido",0.068,0.044,0.181
"P37","Wado de Pedro por el Frente de Todos",0.813,0.02,0.029
"P37","Mauricio Macri por Juntos por el Cambio",0.036,0.607,0.152
"P37","Javier Milei por los liberales libertarios",0.015,0.214,0.39
"P37","Nicolás del Caño por la izquierda",0.033,0.013,0.029
"P37","Otro candidato",0.06,0.099,0.171
"P37","Aún no lo tengo decidido",0.043,0.047,0.229
"P38","Wado de Pedro por el Frente de Todos",0.823,0.021,0.032
"P38","Patricia Bullrich por Juntos por el Cambio",0.034,0.668,0.212
"P38","Javier Milei por los liberales libertarios",0.01,0.175,0.358
"P38","Nicolás del Caño por la izquierda",0.033,0.007,0.03
"P38","Otro candidato",0.058,0.081,0.158
"P38","Aún no lo tengo decidido",0.042,0.048,0.21
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.859,0.021,0.155
"P39","Patricia Bullrich por Juntos por el Cambio",0.034,0.676,0.222
"P39","Javier Milei por los liberales libertarios",0.015,0.176,0.354
"P39","Nicolás del Caño por la izquierda",0.022,0.01,0.028
"P39","Otro candidato",0.041,0.075,0.101
"P39","Aún no lo tengo decidido",0.029,0.042,0.14
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.867,0.075,0.215
"P40","Mauricio Macri por Juntos por el Cambio",0.102,0.79,0.28
"P40","No sabe",0.031,0.135,0.505
"P42","Sergio Massa por el Frente de Todos",0.824,0.04,0.124
"P42","Patricia Bullrich por Juntos por el Cambio",0.036,0.882,0.326
"P42","No sabe",0.14,0.078,0.55
"P43","Sergio Massa por el Frente de Todos",0.827,0.046,0.152
"P43","Mauricio Macri por Juntos por el Cambio",0.038,0.856,0.321
"P43","No sabe",0.135,0.098,0.527
"P44","Sergio Massa por el Frente de Todos",0.819,0.051,0.131
"P44","Javier Milei por los liberales libertarios",0.038,0.605,0.464
"P44","No sabe",0.143,0.344,0.405
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.437,0.337,0.092
"P45","Javier Milei por los liberales libertarios",0.045,0.429,0.493
"P45","No sabe",0.518,0.234,0.415
"P46","Patricia Bullrich por Juntos por el Cambio",0.1,0.801,0.365
"P46","Wado de Pedro por el Frente de Todos",0.786,0.071,0.115
"P46","No sabe",0.114,0.128,0.52
"P47","Patricia Bullrich por Juntos por el Cambio",0.064,0.882,0.442
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.889,0.03,0.197
"P47","No sabe",0.047,0.088,0.361
"P48","Muy buena",0.125,0.108,0.105
"P48","Buena",0.412,0.02,0.07
"P48","Ni buena ni mala",0.297,0.045,0.175
"P48","Mala",0.118,0.088,0.104
"P48","Muy mala",0.045,0.737,0.525
"P48","No sabe",0.003,0.002,0.021
"P49","Muy buena",0.138,0.009,0.056
"P49","Buena",0.339,0.018,0.067
"P49","Ni buena ni mala",0.352,0.036,0.156
"P49","Mala",0.113,0.144,0.105
"P49","Muy mala",0.057,0.786,0.595
"P49","No sabe",0.001,0.007,0.021
"P50","Muy buena",0.676,0.017,0.117
"P50","Buena",0.16,0.013,0.069
"P50","Ni buena ni mala",0.096,0.017,0.096
"P50","Mala",0.025,0.065,0.069
"P50","Muy mala",0.042,0.886,0.637
"P50","No sabe",0.001,0.002,0.012
"P51","Muy buena",0.108,0.282,0.116
"P51","Buena",0.041,0.283,0.158
"P51","Ni buena ni mala",0.028,0.19,0.184
"P51","Mala",0.144,0.088,0.188
"P51","Muy mala",0.671,0.157,0.333
"P51","No sabe",0.008,0,0.021
"P52","Muy buena",0.022,0.285,0.049
"P52","Buena",0.027,0.379,0.113
"P52","Ni buena ni mala",0.094,0.239,0.269
"P52","Mala",0.195,0.055,0.197
"P52","Muy mala",0.645,0.04,0.304
"P52","No sabe",0.017,0.002,0.068
"P53","Muy buena",0.172,0.042,0.061
"P53","Buena",0.337,0.073,0.08
"P53","Ni buena ni mala",0.263,0.107,0.172
"P53","Mala",0.104,0.173,0.152
"P53","Muy mala",0.116,0.6,0.494
"P53","No sabe",0.008,0.005,0.041
"P54","Muy buena",0.063,0.442,0.184
"P54","Buena",0.044,0.266,0.173
"P54","Ni buena ni mala",0.071,0.125,0.199
"P54","Mala",0.096,0.055,0.143
"P54","Muy mala",0.717,0.098,0.271
"P54","No sabe",0.009,0.014,0.03
"P55","Muy buena",0.034,0.198,0.297
"P55","Buena",0.024,0.244,0.176
"P55","Ni buena ni mala",0.058,0.329,0.231
"P55","Mala",0.119,0.11,0.102
"P55","Muy mala",0.752,0.097,0.143
"P55","No sabe",0.013,0.022,0.051
"P56","Muy buena",0.015,0.337,0.109
"P56","Buena",0.018,0.343,0.147
"P56","Ni buena ni mala",0.048,0.203,0.227
"P56","Mala",0.154,0.06,0.205
"P56","Muy mala",0.751,0.046,0.272
"P56","No sabe",0.014,0.011,0.04
"P57","Muy buena",0.404,0.047,0.033
"P57","Buena",0.293,0.06,0.069
"P57","Ni buena ni mala",0.137,0.172,0.244
"P57","Mala",0.038,0.196,0.15
"P57","Muy mala",0.102,0.464,0.39
"P57","No sabe",0.026,0.061,0.114
"P58","Muy buena",0.099,0.095,0.065
"P58","Buena",0.124,0.18,0.106
"P58","Ni buena ni mala",0.326,0.344,0.332
"P58","Mala",0.19,0.173,0.148
"P58","Muy mala",0.201,0.154,0.254
"P58","No sabe",0.06,0.054,0.095
"P59","Muy buena",0.025,0.094,0.041
"P59","Buena",0.033,0.213,0.091
"P59","Ni buena ni mala",0.175,0.362,0.304
"P59","Mala",0.177,0.126,0.15
"P59","Muy mala",0.531,0.117,0.259
"P59","No sabe",0.059,0.088,0.155
"P60","Siempre",0.325,0.267,0.248
"P60","Casi siempre",0.396,0.376,0.387
"P60","Casi nunca",0.205,0.236,0.257
"P60","Nunca, pero esta es una excepción",0.074,0.121,0.108
"P61","Si",0.613,0.55,0.551
"P61","No",0.387,0.45,0.449
