"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P37","Wado de Pedro por el Frente de Todos",0.714,0.019,0.128
"P37","Mauricio Macri por Juntos por el Cambio",0.038,0.588,0.086
"P37","Javier Milei por los liberales libertarios",0.037,0.265,0.315
"P37","Nicolás del Caño por la izquierda",0.036,0.004,0.044
"P37","Otro candidato",0.1,0.075,0.195
"P37","Aún no lo tengo decidido",0.075,0.049,0.232
"P38","Wado de Pedro por el Frente de Todos",0.718,0.021,0.141
"P38","Patricia Bullrich por Juntos por el Cambio",0.035,0.692,0.059
"P38","Javier Milei por los liberales libertarios",0.041,0.21,0.304
"P38","Nicolás del Caño por la izquierda",0.038,0.002,0.039
"P38","Otro candidato",0.103,0.04,0.203
"P38","Aún no lo tengo decidido",0.065,0.035,0.254
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.8,0.016,0.25
"P39","Patricia Bullrich por Juntos por el Cambio",0.035,0.698,0.077
"P39","Javier Milei por los liberales libertarios",0.031,0.217,0.302
"P39","Nicolás del Caño por la izquierda",0.024,0.006,0.04
"P39","Otro candidato",0.081,0.034,0.137
"P39","Aún no lo tengo decidido",0.029,0.029,0.194
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.818,0.079,0.288
"P40","Mauricio Macri por Juntos por el Cambio",0.099,0.787,0.177
"P40","No sabe",0.083,0.134,0.535
"P41","Wado de Pedro por el Frente de Todos",0.805,0.02,0.161
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.061,0.777,0.14
"P41","No sabe",0.134,0.203,0.699
"P43","Sergio Massa por el Frente de Todos",0.927,0.02,0.09
"P43","Mauricio Macri por Juntos por el Cambio",0.022,0.886,0.154
"P43","No sabe",0.051,0.094,0.756
"P44","Sergio Massa por el Frente de Todos",0.89,0.025,0.089
"P44","Javier Milei por los liberales libertarios",0.047,0.662,0.313
"P44","No sabe",0.063,0.313,0.598
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.494,0.258,0.118
"P45","Javier Milei por los liberales libertarios",0.06,0.511,0.329
"P45","No sabe",0.446,0.231,0.553
"P46","Patricia Bullrich por Juntos por el Cambio",0.104,0.867,0.115
"P46","Wado de Pedro por el Frente de Todos",0.675,0.065,0.249
"P46","No sabe",0.221,0.068,0.636
"P47","Patricia Bullrich por Juntos por el Cambio",0.083,0.944,0.185
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.843,0.024,0.283
"P47","No sabe",0.074,0.032,0.532
"P48","Muy buena",0.134,0.113,0.081
"P48","Buena",0.398,0.016,0.095
"P48","Ni buena ni mala",0.309,0.027,0.229
"P48","Mala",0.114,0.068,0.155
"P48","Muy mala",0.043,0.774,0.411
"P48","No sabe",0.002,0.002,0.029
"P49","Muy buena",0.154,0.013,0.037
"P49","Buena",0.342,0.006,0.092
"P49","Ni buena ni mala",0.343,0.02,0.226
"P49","Mala",0.109,0.121,0.151
"P49","Muy mala",0.051,0.834,0.467
"P49","No sabe",0.001,0.006,0.027
"P50","Muy buena",0.61,0.015,0.209
"P50","Buena",0.178,0.005,0.076
"P50","Ni buena ni mala",0.101,0.016,0.112
"P50","Mala",0.046,0.053,0.071
"P50","Muy mala",0.061,0.91,0.517
"P50","No sabe",0.004,0.001,0.015
"P51","Muy buena",0.102,0.284,0.074
"P51","Buena",0.048,0.294,0.095
"P51","Ni buena ni mala",0.035,0.193,0.172
"P51","Mala",0.186,0.079,0.185
"P51","Muy mala",0.621,0.149,0.447
"P51","No sabe",0.008,0.001,0.027
"P52","Muy buena",0.041,0.241,0.063
"P52","Buena",0.046,0.33,0.13
"P52","Ni buena ni mala",0.124,0.249,0.224
"P52","Mala",0.209,0.088,0.146
"P52","Muy mala",0.561,0.084,0.367
"P52","No sabe",0.019,0.008,0.07
"P53","Muy buena",0.21,0.036,0.028
"P53","Buena",0.377,0.052,0.068
"P53","Ni buena ni mala",0.263,0.087,0.23
"P53","Mala",0.074,0.169,0.195
"P53","Muy mala",0.073,0.649,0.427
"P53","No sabe",0.003,0.007,0.052
"P54","Muy buena",0.065,0.472,0.048
"P54","Buena",0.042,0.296,0.089
"P54","Ni buena ni mala",0.09,0.106,0.244
"P54","Mala",0.142,0.03,0.166
"P54","Muy mala",0.655,0.087,0.402
"P54","No sabe",0.006,0.009,0.051
"P55","Muy buena",0.033,0.242,0.239
"P55","Buena",0.04,0.259,0.109
"P55","Ni buena ni mala",0.092,0.314,0.204
"P55","Mala",0.134,0.092,0.121
"P55","Muy mala",0.681,0.072,0.276
"P55","No sabe",0.02,0.021,0.051
"P56","Muy buena",0.027,0.306,0.104
"P56","Buena",0.021,0.332,0.12
"P56","Ni buena ni mala",0.085,0.205,0.189
"P56","Mala",0.174,0.08,0.177
"P56","Muy mala",0.678,0.067,0.36
"P56","No sabe",0.015,0.01,0.05
"P57","Muy buena",0.349,0.047,0.087
"P57","Buena",0.257,0.058,0.113
"P57","Ni buena ni mala",0.177,0.159,0.247
"P57","Mala",0.059,0.18,0.149
"P57","Muy mala",0.104,0.501,0.293
"P57","No sabe",0.054,0.055,0.111
"P58","Muy buena",0.102,0.075,0.096
"P58","Buena",0.128,0.168,0.108
"P58","Ni buena ni mala",0.341,0.34,0.319
"P58","Mala",0.183,0.184,0.122
"P58","Muy mala",0.169,0.194,0.235
"P58","No sabe",0.077,0.039,0.12
"P59","Muy buena",0.025,0.085,0.048
"P59","Buena",0.044,0.2,0.073
"P59","Ni buena ni mala",0.216,0.338,0.294
"P59","Mala",0.181,0.146,0.106
"P59","Muy mala",0.454,0.149,0.314
"P59","No sabe",0.08,0.082,0.165
"P60","Siempre",0.308,0.277,0.237
"P60","Casi siempre",0.39,0.387,0.373
"P60","Casi nunca",0.22,0.227,0.267
"P60","Nunca, pero esta es una excepción",0.082,0.109,0.123
"P61","Si",0.627,0.555,0.52
"P61","No",0.373,0.445,0.48
