"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P31","Sergio Massa por el Frente de Todos",0.392,0.038,0.31
"P31","Patricia Bullrich por Juntos por el Cambio",0.391,0.406,0.279
"P31","Javier Milei por los liberales libertarios",0.025,0.49,0.04
"P31","Nicolás del Caño por la izquierda",0.032,0.009,0.033
"P31","Otro candidato",0.096,0.031,0.168
"P31","Aún no lo tengo decidido",0.064,0.026,0.17
"P33","Sergio Massa por el Frente de Todos",0.35,0.054,0.306
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.451,0.197,0.25
"P33","Javier Milei por los liberales libertarios",0.02,0.621,0.039
"P33","Nicolás del Caño por la izquierda",0.028,0.009,0.04
"P33","Otro candidato",0.082,0.066,0.199
"P33","Aún no lo tengo decidido",0.069,0.053,0.166
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.413,0.055,0.436
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.442,0.193,0.24
"P35","Javier Milei por los liberales libertarios",0.021,0.645,0.038
"P35","Nicolás del Caño por la izquierda",0.011,0.001,0.037
"P35","Otro candidato",0.069,0.077,0.123
"P35","Aún no lo tengo decidido",0.044,0.029,0.126
"P36","Sergio Massa por el Frente de Todos",0.403,0.033,0.319
"P36","Mauricio Macri por Juntos por el Cambio",0.373,0.315,0.244
"P36","Javier Milei por los liberales libertarios",0.028,0.568,0.038
"P36","Nicolás del Caño por la izquierda",0.031,0.003,0.037
"P36","Otro candidato",0.112,0.046,0.198
"P36","Aún no lo tengo decidido",0.053,0.035,0.164
"P37","Wado de Pedro por el Frente de Todos",0.361,0.023,0.349
"P37","Mauricio Macri por Juntos por el Cambio",0.385,0.327,0.249
"P37","Javier Milei por los liberales libertarios",0.029,0.564,0.038
"P37","Nicolás del Caño por la izquierda",0.023,0.007,0.037
"P37","Otro candidato",0.124,0.05,0.16
"P37","Aún no lo tengo decidido",0.078,0.029,0.167
"P38","Wado de Pedro por el Frente de Todos",0.357,0.026,0.355
"P38","Patricia Bullrich por Juntos por el Cambio",0.412,0.429,0.263
"P38","Javier Milei por los liberales libertarios",0.032,0.479,0.029
"P38","Nicolás del Caño por la izquierda",0.022,0.003,0.037
"P38","Otro candidato",0.106,0.035,0.149
"P38","Aún no lo tengo decidido",0.071,0.028,0.167
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.406,0.025,0.437
"P39","Patricia Bullrich por Juntos por el Cambio",0.404,0.433,0.282
"P39","Javier Milei por los liberales libertarios",0.041,0.477,0.032
"P39","Nicolás del Caño por la izquierda",0.015,0.013,0.031
"P39","Otro candidato",0.085,0.025,0.102
"P39","Aún no lo tengo decidido",0.049,0.027,0.116
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.51,0.08,0.428
"P40","Mauricio Macri por Juntos por el Cambio",0.377,0.636,0.34
"P40","No sabe",0.113,0.284,0.232
"P41","Wado de Pedro por el Frente de Todos",0.411,0.036,0.39
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.496,0.541,0.276
"P41","No sabe",0.093,0.423,0.334
"P42","Sergio Massa por el Frente de Todos",0.476,0.05,0.345
"P42","Patricia Bullrich por Juntos por el Cambio",0.432,0.731,0.31
"P42","No sabe",0.092,0.219,0.345
"P43","Sergio Massa por el Frente de Todos",0.482,0.054,0.366
"P43","Mauricio Macri por Juntos por el Cambio",0.424,0.716,0.288
"P43","No sabe",0.094,0.23,0.346
"P44","Sergio Massa por el Frente de Todos",0.51,0.031,0.343
"P44","Javier Milei por los liberales libertarios",0.284,0.891,0.059
"P44","No sabe",0.206,0.078,0.598
"P46","Patricia Bullrich por Juntos por el Cambio",0.52,0.68,0.261
"P46","Wado de Pedro por el Frente de Todos",0.344,0.156,0.343
"P46","No sabe",0.136,0.164,0.396
"P47","Patricia Bullrich por Juntos por el Cambio",0.487,0.785,0.32
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.425,0.053,0.471
"P47","No sabe",0.088,0.162,0.209
"P48","Muy buena",0.133,0.113,0.093
"P48","Buena",0.175,0.022,0.228
"P48","Ni buena ni mala",0.175,0.055,0.224
"P48","Mala",0.122,0.056,0.126
"P48","Muy mala",0.392,0.751,0.313
"P48","No sabe",0.003,0.003,0.016
"P49","Muy buena",0.085,0.02,0.071
"P49","Buena",0.16,0.022,0.182
"P49","Ni buena ni mala",0.184,0.034,0.253
"P49","Mala",0.139,0.098,0.136
"P49","Muy mala",0.428,0.814,0.346
"P49","No sabe",0.004,0.012,0.012
"P50","Muy buena",0.303,0.032,0.348
"P50","Buena",0.098,0.022,0.091
"P50","Ni buena ni mala",0.05,0.023,0.108
"P50","Mala",0.065,0.035,0.065
"P50","Muy mala",0.479,0.885,0.381
"P50","No sabe",0.005,0.003,0.007
"P51","Muy buena",0.198,0.186,0.176
"P51","Buena",0.172,0.241,0.128
"P51","Ni buena ni mala",0.108,0.202,0.118
"P51","Mala",0.127,0.135,0.135
"P51","Muy mala",0.389,0.233,0.427
"P51","No sabe",0.006,0.003,0.016
"P52","Muy buena",0.192,0.121,0.129
"P52","Buena",0.235,0.259,0.131
"P52","Ni buena ni mala",0.16,0.254,0.203
"P52","Mala",0.13,0.147,0.127
"P52","Muy mala",0.275,0.209,0.357
"P52","No sabe",0.008,0.01,0.053
"P53","Muy buena",0.131,0.019,0.105
"P53","Buena",0.206,0.062,0.179
"P53","Ni buena ni mala",0.179,0.103,0.221
"P53","Mala",0.139,0.148,0.156
"P53","Muy mala",0.34,0.662,0.304
"P53","No sabe",0.005,0.006,0.035
"P54","Muy buena",0.243,0.34,0.208
"P54","Buena",0.165,0.265,0.107
"P54","Ni buena ni mala",0.12,0.147,0.127
"P54","Mala",0.088,0.067,0.119
"P54","Muy mala",0.378,0.166,0.41
"P54","No sabe",0.006,0.015,0.029
"P55","Muy buena",0.05,0.428,0.056
"P55","Buena",0.139,0.311,0.044
"P55","Ni buena ni mala",0.231,0.211,0.24
"P55","Mala",0.142,0.025,0.166
"P55","Muy mala",0.414,0.02,0.441
"P55","No sabe",0.024,0.005,0.053
"P56","Muy buena",0.195,0.24,0.119
"P56","Buena",0.191,0.273,0.133
"P56","Ni buena ni mala",0.141,0.21,0.149
"P56","Mala",0.119,0.115,0.146
"P56","Muy mala",0.344,0.154,0.412
"P56","No sabe",0.01,0.008,0.041
"P57","Muy buena",0.191,0.039,0.196
"P57","Buena",0.141,0.061,0.175
"P57","Ni buena ni mala",0.179,0.183,0.188
"P57","Mala",0.152,0.142,0.127
"P57","Muy mala",0.281,0.514,0.233
"P57","No sabe",0.056,0.061,0.081
"P58","Muy buena",0.096,0.077,0.09
"P58","Buena",0.18,0.118,0.139
"P58","Ni buena ni mala",0.34,0.32,0.346
"P58","Mala",0.181,0.171,0.161
"P58","Muy mala",0.145,0.253,0.182
"P58","No sabe",0.058,0.061,0.082
"P59","Muy buena",0.082,0.053,0.048
"P59","Buena",0.142,0.14,0.107
"P59","Ni buena ni mala",0.295,0.295,0.293
"P59","Mala",0.125,0.166,0.147
"P59","Muy mala",0.276,0.232,0.303
"P59","No sabe",0.08,0.114,0.102
"P60","Siempre",0.291,0.24,0.301
"P60","Casi siempre",0.395,0.379,0.383
"P60","Casi nunca",0.219,0.251,0.229
"P60","Nunca, pero esta es una excepción",0.095,0.13,0.087
"P61","Si",0.573,0.539,0.592
"P61","No",0.427,0.461,0.408
