"var","categoria","El anterior gobierno de Arabela Carreras","El actual gobierno de Alberto Weretilneck","No sabe"
"P22","De acuerdo",0.196,0,0.162
"P22","Ni de acuerdo ni en desacuerdo",0.264,0,0.463
"P22","En desacuerdo",0.052,0,0.058
"P22","Muy en desacuerdo",0.085,0,0.014
"P22","No sabe",0.044,0,0
"P23","El estado nacional",0.162,0,0.123
"P23","El estado provincial",0.335,0,0.532
"P23","Ambos de forma coordinada",0.435,0,0.322
"P23","No sabe",0.068,0,0.023
"P24","Inseguridad y narcotráfico",0.221,0,0.426
"P24","Altos impuestos y tarifas",0.097,0,0.322
"P24","Educación y estado de las escuelas",0.268,0,0.101
"P24","Inflación",0.117,0,0.142
"P24","Estado de la salud",0.046,0,0
"P24","Corrupción",0.138,0,0
"P24","Pobreza",0.029,0,0
"P24","Medio ambiente, incendios y contaminación",0,0,0
"P24","Falta de trabajo",0.067,0,0
"P24","No sabe",0.017,0,0.009
"P28","Muy buena",0.005,0,0
"P28","Buena",0.003,0,0.064
"P28","Ni buena ni mala",0.304,0,0.623
"P28","Mala",0.411,0,0.115
"P28","Muy mala",0.19,0,0.198
"P28","No sabe",0.087,0,0
"P29","Peor",0.474,0,0.46
"P29","Igual",0.339,0,0.388
"P29","Mejor",0.139,0,0.028
"P29","No sabe",0.048,0,0.124
"P30","Peor",0.528,0,0.322
"P30","Igual",0.187,0,0.502
"P30","Mejor",0.204,0,0.029
"P30","No sabe",0.081,0,0.147
"P31","Javier Milei",0.488,0,0.497
"P31","Los gobernadores",0.484,0,0.464
"P31","No sabe",0.028,0,0.039
"P32","Muy buena",0.081,0,0
"P32","Buena",0.111,0,0.567
"P32","Ni buena ni mala",0.368,0,0.286
"P32","Mala",0.256,0,0.127
"P32","Muy mala",0.184,0,0.009
"P32","No sabe",0,0,0.011
"P33","Muy buena",0.031,0,0.054
"P33","Buena",0.119,0,0.356
"P33","Ni buena ni mala",0.113,0,0.482
"P33","Mala",0.357,0,0.091
"P33","Muy mala",0.38,0,0.017
"P33","No sabe",0,0,0
"P34","Muy buena",0.085,0,0.218
"P34","Buena",0.167,0,0.195
"P34","Ni buena ni mala",0.149,0,0.323
"P34","Mala",0.225,0,0.184
"P34","Muy mala",0.321,0,0.08
"P34","No sabe",0.053,0,0
"P35","Muy buena",0.033,0,0.009
"P35","Buena",0.073,0,0.222
"P35","Ni buena ni mala",0.472,0,0.673
"P35","Mala",0.187,0,0
"P35","Muy mala",0.187,0,0.017
"P35","No sabe",0.048,0,0.079
"P36","Muy buena",0.242,0,0.24
"P36","Buena",0.049,0,0.186
"P36","Ni buena ni mala",0.061,0,0
"P36","Mala",0.095,0,0.338
"P36","Muy mala",0.531,0,0.236
"P36","No sabe",0.022,0,0
"P37","Muy buena",0.112,0,0
"P37","Buena",0.182,0,0.047
"P37","Ni buena ni mala",0.12,0,0.393
"P37","Mala",0.265,0,0.47
"P37","Muy mala",0.321,0,0.09
"P37","No sabe",0,0,0
"P38","Muy buena",0.021,0,0
"P38","Buena",0.188,0,0.188
"P38","Ni buena ni mala",0.124,0,0.052
"P38","Mala",0.088,0,0.524
"P38","Muy mala",0.576,0,0.236
"P38","No sabe",0.003,0,0
"P39","Muy buena",0.265,0,0.219
"P39","Buena",0.019,0,0.021
"P39","Ni buena ni mala",0.097,0,0.211
"P39","Mala",0.06,0,0.313
"P39","Muy mala",0.555,0,0.236
"P39","No sabe",0.004,0,0
"P40","Muy buena",0.408,0,0.182
"P40","Buena",0.085,0,0.304
"P40","Ni buena ni mala",0.115,0,0.022
"P40","Mala",0.098,0,0.425
"P40","Muy mala",0.294,0,0.067
"P40","No sabe",0,0,0
"P41","Muy buena",0.288,0,0.166
"P41","Buena",0.184,0,0.31
"P41","Ni buena ni mala",0.055,0,0.074
"P41","Mala",0.183,0,0.382
"P41","Muy mala",0.29,0,0.068
"P41","No sabe",0,0,0
"P42","Muy buena",0.361,0,0.284
"P42","Buena",0.122,0,0.216
"P42","Ni buena ni mala",0.136,0,0.371
"P42","Mala",0.088,0,0.062
"P42","Muy mala",0.293,0,0.067
"P42","No sabe",0,0,0
"P43","Muy buena",0.061,0,0.139
"P43","Buena",0.221,0,0.208
"P43","Ni buena ni mala",0.359,0,0.633
"P43","Mala",0.202,0,0.02
"P43","Muy mala",0.129,0,0
"P43","No sabe",0.028,0,0
