"var","categoria","Unión por la Patria","Juntos por el Cambio ","Juntos Somos Río Negro","Liberales","Izquierda","Otro","No sabe"
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.041,0.626,0.278,0.366,0.154,0.193,0.318
"P27","En blanco",0,0.16,0.065,0.467,0.049,0,0.113
"P27","No sabe",0.022,0.018,0.042,0.157,0.574,0.227,0.02
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.287,0.512,0.307,0.042,0.284,0.194,0.205
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.037,0.348,0.427,0.878,0.182,0.603,0.283
"P28","En blanco",0.418,0.132,0.151,0.077,0.167,0.203,0.265
"P28","No sabe",0.258,0.008,0.115,0.003,0.367,0,0.247
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.9,0.279,0.472,0.003,0.212,0.257,0.381
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.045,0.544,0.33,0.961,0.536,0.654,0.477
"P29","En blanco",0.025,0.142,0.153,0.036,0.119,0.089,0.042
"P29","No sabe",0.03,0.035,0.045,0,0.133,0,0.1
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.187,0.6,0.221,0.66,0.536,0.822,0.264
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.122,0.138,0.176,0.16,0.119,0.028,0.144
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.534,0.094,0.471,0.061,0.134,0,0.211
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.111,0.164,0.098,0.02,0.01,0.061,0.159
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.018,0,0.01,0.065,0.201,0,0.019
"P30","No sabe",0.028,0.004,0.024,0.034,0,0.089,0.203
"P31","No estaba enterado del tema",0.154,0.168,0.109,0.067,0.402,0.211,0.152
"P31","Un tema de la vida privada de él",0.192,0.161,0.062,0.048,0.03,0,0.13
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.555,0.119,0.294,0.083,0.111,0,0.346
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.034,0.293,0.185,0.227,0.088,0.304,0.019
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.025,0.259,0.35,0.575,0.354,0.485,0.273
"P31","No sabe",0.04,0,0,0,0.015,0,0.08
"P32","Si",0.827,0.618,0.768,0.847,0.587,1,0.603
"P32","No",0.173,0.382,0.232,0.153,0.413,0,0.397
"P33","Sergio Massa",0.884,0.24,0.381,0.029,0.148,0.433,0.29
"P33","Patria Bullrich",0.042,0.349,0.143,0.039,0.082,0.036,0.361
"P33","Javier Milei",0.007,0.221,0.293,0.838,0.272,0.423,0.243
"P33","Myriam Bregman",0.06,0.167,0.128,0.055,0.024,0,0.007
"P33","Juan Schiaretti",0.007,0.023,0.055,0.039,0.474,0.108,0.099
"P34","Ha aumentado significativamente",0.248,0.151,0.077,0.025,0.036,0,0.077
"P34","Ha aumentado ligeramente",0.293,0.183,0.165,0.11,0.024,0.744,0.018
"P34","Se mantiene igual",0.289,0.253,0.356,0.279,0.653,0.112,0.365
"P34","Ha disminuido ligeramente",0.129,0.161,0.239,0.184,0.024,0,0.378
"P34","Ha disminuido significativamente",0.041,0.252,0.163,0.402,0.263,0.144,0.162
"P35","No, ninguna dificultad",0.588,0.263,0.317,0.204,0.213,0.493,0.253
"P35","Alguna dificultad ocasional",0.28,0.374,0.179,0.375,0.62,0.288,0.555
"P35","Sí, dificultades frecuentes",0.132,0.363,0.504,0.421,0.167,0.219,0.192
"P36","Sí, absolutamente",0.721,0.62,0.372,0.275,0.098,0.856,0.74
"P36","Sí, en cierta medida",0.241,0.307,0.535,0.267,0.628,0,0.244
"P36","No, en absoluto",0.038,0.073,0.093,0.458,0.274,0.144,0.016
"P37","Reducir la inflación",0.502,0.338,0.363,0.24,0.373,0.423,0.326
"P37","Implementar reformas fiscales",0.081,0.15,0.144,0.085,0.174,0,0.105
"P37","Establecer políticas de control de precios",0.309,0.011,0.171,0.138,0.131,0.246,0.084
"P37","Reducir el gasto público",0.046,0.451,0.26,0.425,0.183,0.258,0.485
"P37","Estimular la inversión extranjera",0.025,0.05,0.062,0.112,0.1,0.073,0
"P37","Aumentar los subsidios a los servicios públicos",0.037,0,0,0,0.039,0,0
"P38","Muy positiva",0.283,0.451,0.208,0.059,0.419,0,0.194
"P38","Positiva",0.315,0.111,0.329,0.116,0.148,0,0.165
"P38","Neutral",0.218,0.245,0.21,0.389,0.261,0.458,0.402
"P38","Algo negativa",0,0.091,0.029,0.063,0.073,0.136,0.072
"P38","Negativa",0.033,0.041,0,0.105,0,0.09,0.013
"P38","No sabe",0.151,0.061,0.224,0.268,0.099,0.316,0.154
"P39","Muy positiva",0.65,0.254,0.453,0.03,0.018,0.731,0.282
"P39","Positiva",0.211,0.095,0.33,0.167,0.656,0,0.199
"P39","Neutral",0.116,0.274,0.166,0.307,0.024,0.144,0.165
"P39","Algo negativa",0,0.172,0.007,0.169,0.097,0,0.109
"P39","Negativa",0,0.198,0.044,0.259,0.194,0.033,0.111
"P39","No sabe",0.023,0.007,0,0.068,0.011,0.092,0.134
"P40","Muy positiva",0.446,0.348,0.227,0.069,0.086,0.229,0.106
"P40","Positiva",0.305,0.121,0.165,0.133,0.145,0,0.162
"P40","Neutral",0.1,0.161,0.304,0.262,0.136,0,0.17
"P40","Algo negativa",0.017,0.062,0.067,0.167,0.494,0.432,0.255
"P40","Negativa",0.056,0.156,0.066,0.277,0.127,0.275,0.27
"P40","No sabe",0.076,0.152,0.171,0.092,0.012,0.064,0.037
"P41","Muy positiva",0.621,0.175,0.304,0.483,0.386,0.66,0.394
"P41","Positiva",0.216,0.207,0.228,0.237,0.474,0.064,0.131
"P41","Neutral",0.076,0.137,0.219,0.118,0.053,0.097,0.334
"P41","Algo negativa",0.028,0.253,0.06,0.053,0.075,0,0.008
"P41","Negativa",0.034,0.228,0.014,0.097,0,0.179,0.123
"P41","No sabe",0.025,0,0.175,0.012,0.012,0,0.01
"P42","Muy positiva",0.624,0.388,0.435,0.225,0.169,0.79,0.203
"P42","Positiva",0.228,0.304,0.169,0.168,0.147,0.026,0.288
"P42","Neutral",0.03,0.055,0.21,0.403,0.582,0.117,0.379
"P42","Algo negativa",0.038,0.181,0.017,0.033,0,0,0
"P42","Negativa",0.036,0.018,0.004,0.171,0,0.067,0.13
"P42","No sabe",0.044,0.054,0.165,0,0.102,0,0
"P43","Lo votaría",0.872,0.259,0.389,0.055,0.079,0.263,0.411
"P43","Puede que lo vote",0.062,0.16,0.089,0,0.061,0.525,0.108
"P43","Nunca lo votaría",0.033,0.574,0.362,0.877,0.838,0.212,0.473
"P43","No sabe",0.033,0.007,0.16,0.068,0.022,0,0.008
"P44","Lo votaría",0.044,0.476,0.319,0.008,0.112,0.068,0.163
"P44","Puede que lo vote",0.057,0.275,0.057,0.204,0.244,0,0.36
"P44","Nunca lo votaría",0.819,0.208,0.457,0.674,0.601,0.906,0.43
"P44","No sabe",0.08,0.041,0.167,0.114,0.043,0.026,0.047
"P45","Lo votaría",0.026,0.238,0.315,0,0.081,0.071,0.008
"P45","Puede que lo vote",0.199,0.136,0.097,0.127,0,0,0.36
"P45","Nunca lo votaría",0.568,0.493,0.465,0.683,0.709,0.849,0.444
"P45","No sabe",0.207,0.133,0.123,0.19,0.21,0.08,0.188
"P46","Lo votaría",0.031,0.37,0.096,0.843,0.708,0.643,0.189
"P46","Puede que lo vote",0.012,0.308,0.24,0.111,0.098,0,0.024
"P46","Nunca lo votaría",0.881,0.303,0.664,0.046,0.194,0.33,0.56
"P46","No sabe",0.076,0.019,0,0,0,0.027,0.227
"P47","Lo votaría",0.046,0.153,0.009,0.057,0.123,0.119,0.039
"P47","Puede que lo vote",0.201,0.192,0.234,0.011,0.184,0.522,0.096
"P47","Nunca lo votaría",0.551,0.507,0.569,0.839,0.693,0.306,0.325
"P47","No sabe",0.202,0.148,0.188,0.093,0,0.053,0.54
"P48","Si",0.414,0.24,0.28,0.584,0.784,0.048,0.27
"P48","No",0.586,0.76,0.72,0.416,0.216,0.952,0.73
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.884,0.104,0.335,0.014,0.159,0.145,0.235
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.037,0.74,0.277,0.013,0.015,0.016,0.077
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.041,0.115,0.223,0.951,0.373,0.5,0.188
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.022,0.001,0.035,0,0.328,0.101,0.012
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.003,0.004,0.057,0.011,0.035,0.073,0.039
"PRESIDENTE","En blanco",0.004,0.001,0.024,0.005,0.03,0.044,0.038
"PRESIDENTE","No sabe",0.009,0.035,0.049,0.006,0.06,0.121,0.411
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.811,0.255,0.112,0.008,0.209,0.234,0.431
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.043,0.309,0.198,0.125,0.125,0.096,0.053
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.106,0.251,0.536,0.098,0.303,0.063,0.104
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.008,0.104,0.1,0.367,0.327,0.607,0.147
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.011,0,0,0.002,0.025,0,0
"DIPUTADOS","En blanco",0.017,0,0.005,0.182,0,0,0.138
"DIPUTADOS","No sabe",0.004,0.081,0.049,0.218,0.011,0,0.127
"P14_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.853,0.132,0.19,0.014,0.211,0.195,0.379
"P14_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.037,0.699,0.273,0.013,0.006,0.016,0.193
"P14_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.061,0.052,0.272,0.043,0.046,0,0.029
"P14_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.036,0.116,0.213,0.921,0.374,0.571,0.311
"P14_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.01,0.001,0.035,0,0.328,0.101,0.018
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.003,0,0.017,0.009,0.035,0.073,0.032
"P14_imputada","En blanco",0,0,0,0,0,0.044,0.038
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.894,0.135,0.347,0.016,0.22,0.197,0.38
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.037,0.742,0.28,0.013,0.015,0.016,0.194
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.041,0.117,0.225,0.955,0.373,0.569,0.309
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.021,0.001,0.035,0,0.328,0.101,0.018
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.003,0.004,0.089,0.011,0.035,0.073,0.05
"PRESIDENTE_imputada","En blanco",0.004,0.001,0.024,0.005,0.029,0.044,0.049
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.814,0.255,0.158,0.013,0.219,0.232,0.449
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.043,0.326,0.195,0.15,0.125,0.096,0.156
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.106,0.252,0.544,0.135,0.303,0.063,0.104
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.008,0.167,0.098,0.484,0.328,0.609,0.145
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.011,0,0,0.003,0.025,0,0
"DIPUTADOS_imputada","En blanco",0.018,0,0.005,0.215,0,0,0.146
