"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.038,0.261,0.181,0.905,0.073,0.852,0.806
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.001,0.003,0,0,0.647,0,0
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0.03,0.004,0.017,0,0.032,0
"P14","En blanco",0,0.003,0,0,0,0.008,0
"P14","No sabe",0,0.038,0,0.047,0,0,0.05
"P18","Totalmente seguro",0.756,0.775,0.555,0.68,0.688,0.856,0.543
"P18","Bastante seguro",0.153,0.068,0.192,0.129,0.118,0.111,0.206
"P18","Algo seguro",0.045,0.061,0.172,0.095,0,0.015,0.171
"P18","Para nada seguro",0.046,0.096,0.081,0.096,0.194,0.018,0.08
"P22","Sí",0.109,0.773,0.711,0.797,0.343,0.963,0.961
"P22","No",0.891,0.227,0.289,0.203,0.657,0.037,0.039
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",1,0,0.006,0,0,0,0
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0,1,0,0,0,0,0
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0,0,0.968,0,0,0,0
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0,0,0.016,1,0,0,0
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0,0,0,1,0,0
"P23","En blanco",0,0,0,0,0,1,0
"P23","No sabe",0,0,0.01,0,0,0,1
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.946,0.198,0.491,0.122,0.754,0.118,0.164
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.044,0.741,0.164,0.319,0.081,0.263,0.292
"P27","En blanco",0.009,0.025,0.186,0.264,0.094,0.597,0.409
"P27","No sabe",0.001,0.036,0.159,0.295,0.071,0.022,0.135
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.271,0.579,0.155,0.167,0,0.014,0.059
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.044,0.316,0.426,0.765,0.258,0.786,0.688
"P28","En blanco",0.436,0.058,0.273,0.008,0.109,0.192,0.123
"P28","No sabe",0.249,0.047,0.146,0.06,0.633,0.008,0.13
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.93,0.181,0.355,0.043,0.853,0.098,0.154
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.038,0.5,0.459,0.95,0.147,0.758,0.796
"P29","En blanco",0.023,0.249,0.047,0.007,0,0.129,0
"P29","No sabe",0.009,0.07,0.139,0,0,0.015,0.05
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.194,0.497,0.33,0.683,0,0.618,0.374
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.103,0.104,0.139,0.165,0.067,0.285,0.246
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.531,0.322,0.234,0.026,0.237,0.097,0.171
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.126,0.061,0.233,0.01,0,0,0.02
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.016,0.006,0.011,0.024,0.696,0,0.18
"P30","No sabe",0.03,0.01,0.053,0.092,0,0,0.009
"P31","No estaba enterado del tema",0.193,0.093,0.218,0.079,0,0.018,0.02
"P31","Un tema de la vida privada de él",0.193,0.101,0.048,0.024,0.257,0.02,0.22
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.528,0.169,0.26,0.084,0.603,0.453,0.005
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.031,0.297,0.133,0.189,0,0.085,0.315
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.008,0.325,0.341,0.624,0.14,0.424,0.44
"P31","No sabe",0.047,0.015,0,0,0,0,0
"P32","Si",0.786,0.64,0.796,0.846,1,0.992,0.689
"P32","No",0.214,0.36,0.204,0.154,0,0.008,0.311
"P33","Sergio Massa",0.87,0.255,0.344,0.049,0.414,0.008,0.187
"P33","Patria Bullrich",0.046,0.315,0.081,0.161,0,0.013,0.113
"P33","Javier Milei",0.016,0.25,0.338,0.689,0.068,0.833,0.621
"P33","Myriam Bregman",0.057,0.124,0.209,0.017,0.376,0,0.024
"P33","Juan Schiaretti",0.011,0.056,0.028,0.084,0.142,0.146,0.055
"P34","Ha aumentado significativamente",0.242,0.052,0.138,0.056,0.268,0.027,0.014
"P34","Ha aumentado ligeramente",0.286,0.178,0.195,0.073,0.401,0.067,0.118
"P34","Se mantiene igual",0.294,0.284,0.171,0.377,0.214,0.317,0.466
"P34","Ha disminuido ligeramente",0.119,0.155,0.444,0.249,0,0.045,0.07
"P34","Ha disminuido significativamente",0.059,0.331,0.052,0.245,0.117,0.544,0.332
"P35","No, ninguna dificultad",0.573,0.402,0.31,0.152,0.165,0.181,0.194
"P35","Alguna dificultad ocasional",0.315,0.252,0.258,0.504,0.401,0.314,0.259
"P35","Sí, dificultades frecuentes",0.112,0.346,0.432,0.344,0.434,0.505,0.547
"P36","Sí, absolutamente",0.733,0.389,0.478,0.445,0.17,0.411,0.206
"P36","Sí, en cierta medida",0.233,0.474,0.37,0.293,0.671,0.045,0.452
"P36","No, en absoluto",0.034,0.137,0.152,0.262,0.159,0.544,0.342
"P37","Reducir la inflación",0.504,0.217,0.488,0.257,0.157,0.288,0.277
"P37","Implementar reformas fiscales",0.069,0.193,0.123,0.119,0.169,0.133,0.015
"P37","Establecer políticas de control de precios",0.308,0.096,0.139,0.111,0.399,0.197,0.021
"P37","Reducir el gasto público",0.089,0.317,0.234,0.493,0,0.291,0.425
"P37","Estimular la inversión extranjera",0.022,0.091,0.016,0.02,0,0.091,0.262
"P37","Aumentar los subsidios a los servicios públicos",0.008,0.086,0,0,0.275,0,0
"P38","Muy positiva",0.322,0.15,0.264,0.175,0.546,0.012,0.043
"P38","Positiva",0.286,0.196,0.391,0.086,0.093,0.172,0.091
"P38","Neutral",0.221,0.291,0.153,0.437,0.106,0.475,0.259
"P38","Algo negativa",0.019,0.117,0.024,0.021,0,0.049,0.024
"P38","Negativa",0.007,0.125,0.011,0.058,0,0.016,0.234
"P38","No sabe",0.145,0.121,0.157,0.223,0.255,0.276,0.349
"P39","Muy positiva",0.639,0.132,0.247,0.204,0.849,0.118,0.235
"P39","Positiva",0.175,0.149,0.457,0.361,0,0.044,0.069
"P39","Neutral",0.107,0.435,0.14,0.176,0,0.23,0.257
"P39","Algo negativa",0.009,0.116,0.097,0.038,0,0.205,0.287
"P39","Negativa",0.029,0.165,0.048,0.174,0.151,0.286,0.132
"P39","No sabe",0.041,0.003,0.011,0.047,0,0.117,0.02
"P40","Muy positiva",0.45,0.202,0.138,0.201,0.588,0,0
"P40","Positiva",0.301,0.129,0.18,0.159,0.165,0.147,0
"P40","Neutral",0.103,0.325,0.22,0.148,0,0.243,0.267
"P40","Algo negativa",0.021,0.153,0.103,0.259,0,0.166,0.061
"P40","Negativa",0.075,0.141,0.11,0.185,0,0.275,0.384
"P40","No sabe",0.05,0.05,0.249,0.048,0.247,0.169,0.288
"P41","Muy positiva",0.6,0.419,0.203,0.529,0.877,0.427,0.157
"P41","Positiva",0.215,0.102,0.387,0.258,0.123,0.106,0.296
"P41","Neutral",0.059,0.223,0.207,0.174,0,0.208,0.067
"P41","Algo negativa",0.036,0.149,0.166,0.008,0,0,0.058
"P41","Negativa",0.059,0.096,0.009,0.031,0,0.259,0.15
"P41","No sabe",0.031,0.011,0.028,0,0,0,0.272
"P42","Muy positiva",0.572,0.419,0.52,0.271,0.866,0.247,0.02
"P42","Positiva",0.291,0.047,0.146,0.113,0.134,0.123,0.406
"P42","Neutral",0.024,0.314,0.161,0.514,0,0.372,0.143
"P42","Algo negativa",0.066,0.027,0.01,0.019,0,0.071,0.009
"P42","Negativa",0.005,0.141,0.134,0.083,0,0.187,0.168
"P42","No sabe",0.042,0.052,0.029,0,0,0,0.254
"P43","Lo votaría",0.878,0.116,0.42,0.03,0.808,0.174,0
"P43","Puede que lo vote",0.077,0.065,0.051,0.064,0.192,0.12,0
"P43","Nunca lo votaría",0.015,0.819,0.529,0.803,0,0.698,0.718
"P43","No sabe",0.03,0,0,0.103,0,0.008,0.282
"P44","Lo votaría",0.079,0.477,0.066,0.041,0,0.006,0.154
"P44","Puede que lo vote",0.087,0.198,0.116,0.292,0,0.184,0.043
"P44","Nunca lo votaría",0.792,0.271,0.654,0.516,1,0.802,0.472
"P44","No sabe",0.042,0.054,0.164,0.151,0,0.008,0.331
"P45","Lo votaría",0.046,0.1,0.302,0.031,0,0.01,0
"P45","Puede que lo vote",0.206,0.102,0.073,0.2,0,0.016,0.22
"P45","Nunca lo votaría",0.566,0.634,0.368,0.62,0.743,0.786,0.583
"P45","No sabe",0.182,0.164,0.257,0.149,0.257,0.188,0.197
"P46","Lo votaría",0.05,0.156,0.387,0.818,0,0.844,0.571
"P46","Puede que lo vote",0.049,0.226,0.231,0.038,0,0.01,0.14
"P46","Nunca lo votaría",0.859,0.615,0.228,0.048,1,0.146,0.273
"P46","No sabe",0.042,0.003,0.154,0.096,0,0,0.016
"P47","Lo votaría",0.067,0.07,0.079,0.056,0,0.016,0
"P47","Puede que lo vote",0.216,0.089,0.144,0.103,0.941,0.006,0.038
"P47","Nunca lo votaría",0.527,0.807,0.518,0.647,0,0.978,0.497
"P47","No sabe",0.19,0.034,0.259,0.194,0.059,0,0.465
"P48","Si",0.377,0.313,0.242,0.635,0.514,0.721,0.348
"P48","No",0.623,0.687,0.758,0.365,0.486,0.279,0.652
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.932,0.113,0.37,0.003,0.281,0.079,0.107
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.029,0.554,0.115,0.029,0,0.029,0.037
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.038,0.26,0.258,0.905,0.073,0.851,0.806
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.001,0.002,0.027,0,0.646,0,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0.03,0.086,0.016,0,0.033,0
"PRESIDENTE","En blanco",0,0.003,0.074,0,0,0.008,0
"PRESIDENTE","No sabe",0,0.038,0.07,0.047,0,0,0.05
