"var","categoria","Sergio Massa","Patria Bullrich","Javier Milei","Myriam Bregman","Juan Schiaretti"
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.306,0.519,0.131,0.278,0.174
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.171,0.124,0.161,0.278,0.054
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.066,0.268,0.347,0.037,0.347
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.019,0,0.003,0,0.041
"P23","En blanco",0,0,0.163,0,0.191
"P23","No sabe",0.13,0.089,0.165,0.027,0.123
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.928,0.239,0.101,0.448,0.251
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.057,0.74,0.298,0.399,0.306
"P27","En blanco",0.005,0,0.46,0,0.207
"P27","No sabe",0.01,0.021,0.141,0.153,0.236
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.276,0.651,0.043,0.286,0.291
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.053,0.272,0.829,0.314,0.305
"P28","En blanco",0.427,0.044,0.107,0.085,0.142
"P28","No sabe",0.244,0.033,0.021,0.315,0.262
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.904,0.218,0,0.621,0.231
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.056,0.53,0.915,0.167,0.551
"P29","En blanco",0.028,0.214,0.058,0.059,0.125
"P29","No sabe",0.012,0.038,0.027,0.153,0.093
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.196,0.369,0.654,0.146,0.405
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.1,0.197,0.199,0.052,0.128
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.576,0.245,0.008,0.415,0.253
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.089,0.053,0.059,0.331,0.081
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.01,0.011,0.052,0.056,0.107
"P30","No sabe",0.029,0.125,0.028,0,0.026
"P31","No estaba enterado del tema",0.198,0,0.059,0.019,0.279
"P31","Un tema de la vida privada de él",0.17,0.19,0.06,0.165,0.051
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.508,0.101,0.103,0.443,0.302
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.052,0.268,0.212,0.16,0.08
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.028,0.415,0.566,0.213,0.288
"P31","No sabe",0.044,0.026,0,0,0
"P32","Si",0.818,0.682,0.841,0.667,0.586
"P32","No",0.182,0.318,0.159,0.333,0.414
"P34","Ha aumentado significativamente",0.272,0.003,0.026,0.031,0.025
"P34","Ha aumentado ligeramente",0.243,0.18,0.149,0.242,0.119
"P34","Se mantiene igual",0.325,0.245,0.325,0.063,0.491
"P34","Ha disminuido ligeramente",0.111,0.222,0.166,0.509,0.163
"P34","Ha disminuido significativamente",0.049,0.35,0.334,0.155,0.202
"P35","No, ninguna dificultad",0.562,0.27,0.165,0.36,0.488
"P35","Alguna dificultad ocasional",0.281,0.363,0.367,0.432,0.311
"P35","Sí, dificultades frecuentes",0.157,0.367,0.468,0.208,0.201
"P36","Sí, absolutamente",0.682,0.367,0.416,0.56,0.371
"P36","Sí, en cierta medida",0.257,0.57,0.209,0.44,0.441
"P36","No, en absoluto",0.061,0.063,0.375,0,0.188
"P37","Reducir la inflación",0.49,0.238,0.266,0.385,0.505
"P37","Implementar reformas fiscales",0.065,0.261,0.104,0.019,0.215
"P37","Establecer políticas de control de precios",0.305,0.027,0.103,0.214,0.083
"P37","Reducir el gasto público",0.087,0.426,0.391,0.382,0.17
"P37","Estimular la inversión extranjera",0.024,0.028,0.136,0,0
"P37","Aumentar los subsidios a los servicios públicos",0.029,0.02,0,0,0.027
"P38","Muy positiva",0.308,0.06,0.157,0.243,0.284
"P38","Positiva",0.278,0.297,0.08,0.366,0.245
"P38","Neutral",0.197,0.409,0.423,0.151,0.201
"P38","Algo negativa",0.019,0.069,0.056,0,0.065
"P38","Negativa",0.031,0.062,0.076,0.006,0.037
"P38","No sabe",0.167,0.103,0.208,0.234,0.168
"P39","Muy positiva",0.631,0.238,0.141,0.226,0.203
"P39","Positiva",0.195,0.24,0.156,0.406,0.371
"P39","Neutral",0.123,0.325,0.281,0.046,0.115
"P39","Algo negativa",0.003,0.077,0.195,0,0.09
"P39","Negativa",0.009,0.117,0.168,0.314,0.196
"P39","No sabe",0.039,0.003,0.059,0.008,0.025
"P40","Muy positiva",0.42,0.202,0.142,0.267,0
"P40","Positiva",0.282,0.159,0.075,0.317,0.225
"P40","Neutral",0.101,0.249,0.272,0.185,0.134
"P40","Algo negativa",0.024,0.172,0.161,0.029,0.458
"P40","Negativa",0.084,0.208,0.233,0.006,0.183
"P40","No sabe",0.089,0.01,0.117,0.196,0
"P41","Muy positiva",0.605,0.227,0.459,0.262,0.395
"P41","Positiva",0.2,0.236,0.178,0.351,0.473
"P41","Neutral",0.066,0.302,0.161,0.157,0.078
"P41","Algo negativa",0.029,0.103,0.095,0.071,0.054
"P41","Negativa",0.042,0.122,0.094,0.159,0
"P41","No sabe",0.058,0.01,0.013,0,0
"P42","Muy positiva",0.566,0.349,0.358,0.29,0.219
"P42","Positiva",0.271,0.058,0.184,0.171,0.225
"P42","Neutral",0.045,0.416,0.34,0.006,0.462
"P42","Algo negativa",0.035,0.07,0.005,0.185,0.073
"P42","Negativa",0.014,0.076,0.105,0.297,0.021
"P42","No sabe",0.069,0.031,0.008,0.051,0
"P43","Lo votaría",0.856,0.102,0.051,0.593,0.029
"P43","Puede que lo vote",0.055,0.167,0.033,0.029,0.282
"P43","Nunca lo votaría",0.029,0.724,0.854,0.369,0.689
"P43","No sabe",0.06,0.007,0.062,0.009,0
"P44","Lo votaría",0.048,0.343,0.085,0.271,0.253
"P44","Puede que lo vote",0.095,0.316,0.18,0,0.204
"P44","Nunca lo votaría",0.777,0.305,0.636,0.561,0.46
"P44","No sabe",0.08,0.036,0.099,0.168,0.083
"P45","Lo votaría",0.048,0.069,0.018,0.383,0.08
"P45","Puede que lo vote",0.175,0.426,0.106,0.031,0.038
"P45","Nunca lo votaría",0.623,0.403,0.643,0.274,0.648
"P45","No sabe",0.154,0.102,0.233,0.312,0.234
"P46","Lo votaría",0.04,0.249,0.848,0.197,0.463
"P46","Puede que lo vote",0.046,0.12,0.073,0.35,0.148
"P46","Nunca lo votaría",0.868,0.482,0.079,0.301,0.389
"P46","No sabe",0.046,0.149,0,0.152,0
"P47","Lo votaría",0.027,0.026,0.07,0.319,0
"P47","Puede que lo vote",0.235,0.022,0.071,0.127,0.145
"P47","Nunca lo votaría",0.543,0.673,0.721,0.401,0.721
"P47","No sabe",0.195,0.279,0.138,0.153,0.134
"P48","Si",0.406,0.288,0.556,0.158,0.595
"P48","No",0.594,0.712,0.444,0.842,0.405
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.888,0.204,0.028,0.521,0.267
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.053,0.445,0.055,0.236,0.189
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.037,0.23,0.886,0.186,0.408
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.004,0.003,0,0.039,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.008,0.019,0.002,0,0.124
"PRESIDENTE","En blanco",0.007,0.003,0.007,0,0
"PRESIDENTE","No sabe",0.003,0.096,0.022,0.018,0.012
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.811,0.204,0.028,0.368,0.124
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.068,0.404,0.123,0.23,0.182
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.073,0.082,0.132,0.306,0.071
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.014,0.226,0.371,0.033,0.296
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.006,0,0.002,0.039,0.026
"DIPUTADOS","En blanco",0.001,0.008,0.182,0,0.207
"DIPUTADOS","No sabe",0.027,0.076,0.162,0.024,0.094
"P14_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.856,0.204,0.045,0.378,0.234
"P14_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.045,0.503,0.055,0.244,0.189
"P14_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.056,0.049,0.007,0.153,0.045
"P14_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.036,0.23,0.891,0.186,0.408
"P14_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0.003,0,0.039,0
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.002,0.008,0.002,0,0.124
"P14_imputada","En blanco",0.001,0.003,0,0,0
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.891,0.204,0.045,0.531,0.279
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.053,0.541,0.055,0.244,0.189
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.037,0.23,0.891,0.186,0.408
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.004,0.003,0,0.039,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.008,0.019,0.002,0,0.124
"PRESIDENTE_imputada","En blanco",0.007,0.003,0.007,0,0
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.836,0.216,0.028,0.384,0.136
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.068,0.469,0.123,0.238,0.264
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.073,0.082,0.178,0.306,0.071
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.016,0.226,0.486,0.033,0.296
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.006,0,0.002,0.039,0.026
"DIPUTADOS_imputada","En blanco",0.001,0.007,0.183,0,0.207
