"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco"
"P37","Estimular la inversión extranjera",0.021,0.084,0.118,0.055,0,0.091
"P37","Aumentar los subsidios a los servicios públicos",0.008,0.079,0,0,0.275,0
"P38","Muy positiva",0.311,0.142,0.278,0.148,0.546,0.012
"P38","Positiva",0.277,0.207,0.384,0.082,0.093,0.17
"P38","Neutral",0.215,0.317,0.15,0.412,0.106,0.471
"P38","Algo negativa",0.019,0.108,0.023,0.026,0,0.049
"P38","Negativa",0.009,0.115,0.011,0.116,0,0.016
"P38","No sabe",0.169,0.111,0.154,0.216,0.255,0.282
"P39","Muy positiva",0.643,0.121,0.242,0.177,0.849,0.117
"P39","Positiva",0.173,0.137,0.456,0.317,0,0.044
"P39","Neutral",0.106,0.427,0.137,0.2,0,0.228
"P39","Algo negativa",0.009,0.107,0.107,0.114,0,0.203
"P39","Negativa",0.029,0.201,0.047,0.151,0.151,0.284
"P39","No sabe",0.04,0.007,0.011,0.041,0,0.124
"P40","Muy positiva",0.435,0.186,0.136,0.174,0.588,0
"P40","Positiva",0.29,0.119,0.176,0.138,0.165,0.147
"P40","Neutral",0.104,0.326,0.224,0.171,0,0.243
"P40","Algo negativa",0.021,0.145,0.112,0.229,0,0.166
"P40","Negativa",0.073,0.178,0.108,0.235,0,0.275
"P40","No sabe",0.077,0.046,0.244,0.053,0.247,0.169
"P41","Muy positiva",0.582,0.409,0.199,0.479,0.877,0.427
"P41","Positiva",0.21,0.096,0.379,0.302,0.123,0.106
"P41","Neutral",0.06,0.205,0.211,0.158,0,0.208
"P41","Algo negativa",0.036,0.142,0.175,0.012,0,0
"P41","Negativa",0.057,0.138,0.008,0.035,0,0.259
"P41","No sabe",0.055,0.01,0.028,0.014,0,0
"P42","Muy positiva",0.552,0.384,0.511,0.234,0.866,0.247
"P42","Positiva",0.282,0.046,0.15,0.217,0.134,0.123
"P42","Neutral",0.026,0.315,0.169,0.45,0,0.372
"P42","Algo negativa",0.065,0.024,0.01,0.016,0,0.071
"P42","Negativa",0.006,0.184,0.131,0.083,0,0.187
"P42","No sabe",0.069,0.047,0.029,0,0,0
"P43","Lo votaría",0.845,0.105,0.413,0.026,0.808,0.174
"P43","Puede que lo vote",0.075,0.059,0.05,0.054,0.192,0.12
"P43","Nunca lo votaría",0.019,0.836,0.537,0.832,0,0.698
"P43","No sabe",0.061,0,0,0.088,0,0.008
"P44","Lo votaría",0.077,0.492,0.077,0.035,0,0.006
"P44","Puede que lo vote",0.086,0.179,0.12,0.254,0,0.184
"P44","Nunca lo votaría",0.766,0.249,0.642,0.583,1,0.802
"P44","No sabe",0.071,0.08,0.161,0.128,0,0.008
"P45","Lo votaría",0.045,0.091,0.296,0.027,0,0.01
"P45","Puede que lo vote",0.202,0.155,0.072,0.187,0,0.016
"P45","Nunca lo votaría",0.574,0.574,0.38,0.627,0.743,0.786
"P45","No sabe",0.179,0.18,0.252,0.159,0.257,0.188
"P46","Lo votaría",0.05,0.199,0.398,0.828,0,0.844
"P46","Puede que lo vote",0.049,0.238,0.227,0.049,0,0.01
"P46","Nunca lo votaría",0.859,0.56,0.224,0.041,1,0.146
"P46","No sabe",0.042,0.003,0.151,0.082,0,0
"P47","Lo votaría",0.064,0.064,0.077,0.048,0,0.016
"P47","Puede que lo vote",0.212,0.085,0.141,0.088,0.941,0.006
"P47","Nunca lo votaría",0.512,0.733,0.516,0.699,0,0.978
"P47","No sabe",0.212,0.118,0.266,0.165,0.059,0
"P48","Si",0.364,0.285,0.249,0.639,0.514,0.721
"P48","No",0.636,0.715,0.751,0.361,0.486,0.279
"P14_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.93,0.137,0.057,0.003,0.278,0.07
"P14_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.03,0.516,0.052,0.054,0,0.026
"P14_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0,0,0.679,0,0,0
"P14_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.039,0.315,0.208,0.93,0.073,0.869
"P14_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.001,0.002,0,0,0.649,0
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0.027,0.004,0.013,0,0.028
"P14_imputada","En blanco",0,0.003,0,0,0,0.007
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.93,0.135,0.377,0.003,0.281,0.07
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.03,0.519,0.111,0.055,0,0.026
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.039,0.314,0.286,0.929,0.073,0.868
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.001,0.002,0.026,0,0.646,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0.027,0.12,0.013,0,0.029
"PRESIDENTE_imputada","En blanco",0,0.003,0.08,0,0,0.007
