"var","categoria","No estaba enterado del tema","Un tema de la vida privada de él","Un hecho vergonzoso de exclusiva responsabilidad de él","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa","No sabe"
"DIPUTADOS","En blanco",0.008,0.01,0.084,0.044,0.117,0
"DIPUTADOS","No sabe",0.011,0.121,0.001,0.186,0.138,0
"P14_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.692,0.722,0.725,0.184,0.075,0.927
"P14_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.053,0.104,0.073,0.222,0.158,0.051
"P14_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.085,0.024,0.066,0.025,0.025,0
"P14_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.167,0.141,0.118,0.562,0.721,0
"P14_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0,0.013,0.003,0.002,0.022
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.003,0.006,0.005,0.004,0.017,0
"P14_imputada","En blanco",0,0.003,0,0,0.002,0
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.759,0.74,0.771,0.184,0.075,0.927
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.065,0.104,0.078,0.222,0.174,0.051
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.167,0.147,0.118,0.562,0.724,0
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0,0,0.013,0.002,0.002,0.022
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.003,0.006,0.013,0.014,0.017,0
"PRESIDENTE_imputada","En blanco",0.006,0.003,0.007,0.016,0.008,0
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.664,0.693,0.725,0.208,0.027,0.918
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.086,0.143,0.064,0.317,0.194,0.082
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.161,0.113,0.078,0.119,0.156,0
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.081,0.026,0.035,0.311,0.499,0
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0.015,0.014,0,0.005,0
"DIPUTADOS_imputada","En blanco",0.008,0.01,0.084,0.045,0.119,0
