"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco"
"P43","Puede que lo vote",0.083,0.063,0.052,0.049,0.165,0.18,0
"P43","Nunca lo votaría",0.05,0.658,0.189,0.843,0.064,0.782,0.408
"P43","No sabe",0.059,0.006,0,0.053,0,0,0.592
"P44","Lo votaría",0.04,0.633,0.079,0.043,0.064,0.43,0
"P44","Puede que lo vote",0.114,0.135,0.131,0.178,0,0.365,0
"P44","Nunca lo votaría",0.753,0.211,0.747,0.666,0.936,0.205,0
"P44","No sabe",0.093,0.021,0.043,0.113,0,0,1
"P45","Lo votaría",0.019,0.218,0.54,0.016,0,0.437,0.586
"P45","Puede que lo vote",0.212,0.192,0.021,0.107,0,0.103,0
"P45","Nunca lo votaría",0.569,0.428,0.241,0.708,0.936,0.46,0
"P45","No sabe",0.2,0.162,0.198,0.169,0.064,0,0.414
"P46","Lo votaría",0.035,0.179,0.07,0.851,0,0.447,0
"P46","Puede que lo vote",0.046,0.17,0.415,0.087,0,0,0
"P46","Nunca lo votaría",0.854,0.528,0.444,0.062,1,0.553,0.586
"P46","No sabe",0.065,0.123,0.071,0,0,0,0.414
"P47","Lo votaría",0.05,0.125,0.032,0.047,0.099,0.301,0
"P47","Puede que lo vote",0.206,0.106,0.302,0.06,0.837,0.039,0
"P47","Nunca lo votaría",0.511,0.613,0.666,0.746,0.064,0.66,1
"P47","No sabe",0.233,0.156,0,0.147,0,0,0
"P48","Si",0.369,0.361,0.307,0.56,0.325,0.073,0
"P48","No",0.631,0.639,0.693,0.44,0.675,0.927,1
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",1,0,0.473,0,0,0,0
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0,1,0.084,0,0,0,0
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0,0,0.108,1,0,0,0
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0,0,0.042,0,1,0,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0,0.179,0,0,1,0
"PRESIDENTE_imputada","En blanco",0,0,0.114,0,0,0,1
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.923,0.136,0,0.058,0.096,0,0
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.038,0.655,0,0.131,0.056,0.417,0.453
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.025,0.106,1,0.139,0,0.1,0
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.001,0.088,0,0.499,0,0.274,0
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0,0,0.002,0.848,0,0
"DIPUTADOS_imputada","En blanco",0.009,0.015,0,0.171,0,0.209,0.547
