"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco"
"P23","Martín Soria a Diputado Nacional por Unión por la Patria",0.316,0.182,0.057,0.6,0,0
"P23","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.265,0.444,0.102,0.4,0.597,0.075
"P23","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.202,0.216,0.157,0,0.161,0.648
"P23","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.009,0.098,0.369,0,0.242,0.277
"P23","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.034,0,0.002,0,0,0
"P23","En blanco",0.044,0.013,0.134,0,0,0
"P23","No sabe",0.13,0.047,0.179,0,0,0
"P27","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.939,0.196,0.115,0.846,0.58,0.464
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.027,0.77,0.337,0.154,0.256,0.049
"P27","En blanco",0.004,0.034,0.368,0,0.164,0.211
"P27","No sabe",0.03,0,0.18,0,0,0.276
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.266,0.653,0.083,0.055,0.464,0.245
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.039,0.244,0.814,0.102,0.241,0.23
"P28","En blanco",0.424,0.066,0.071,0.234,0.261,0.465
"P28","No sabe",0.271,0.037,0.032,0.609,0.034,0.06
"P29","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.914,0.224,0.031,0.898,0.355,0.25
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.027,0.408,0.943,0.102,0.307,0.254
"P29","En blanco",0.024,0.271,0.024,0,0.296,0.265
"P29","No sabe",0.035,0.097,0.002,0,0.042,0.231
"P30","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.209,0.362,0.621,0,0.115,0.262
"P30","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.1,0.113,0.204,0,0.197,0.399
"P30","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.529,0.275,0.058,0.232,0.421,0.339
"P30","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.109,0.179,0.045,0.055,0,0
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.019,0,0.049,0.713,0.098,0
"P30","No sabe",0.034,0.071,0.023,0,0.169,0
"P31","No estaba enterado del tema",0.2,0.077,0.073,0,0.036,0.109
"P31","Un tema de la vida privada de él",0.183,0.116,0.061,0,0.072,0.059
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.5,0.228,0.128,0.754,0.397,0.314
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.042,0.229,0.215,0.057,0.15,0.263
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.033,0.34,0.523,0.1,0.345,0.255
"P31","No sabe",0.042,0.01,0,0.089,0,0
"P32","Si",0.806,0.623,0.8,1,0.807,0.729
"P32","No",0.194,0.377,0.2,0,0.193,0.271
"P33","Sergio Massa",0.842,0.213,0.059,0.403,0.351,0.605
"P33","Patria Bullrich",0.04,0.459,0.076,0.062,0.166,0.066
"P33","Javier Milei",0.023,0.121,0.768,0,0.05,0.329
"P33","Myriam Bregman",0.073,0.143,0.043,0.535,0,0
"P33","Juan Schiaretti",0.022,0.064,0.054,0,0.433,0
"P34","Ha aumentado significativamente",0.229,0.097,0.041,0.153,0,0.147
"P34","Ha aumentado ligeramente",0.255,0.147,0.142,0.532,0.033,0.375
"P34","Se mantiene igual",0.326,0.218,0.308,0.16,0.394,0
"P34","Ha disminuido ligeramente",0.15,0.196,0.194,0,0,0.413
"P34","Ha disminuido significativamente",0.04,0.342,0.315,0.155,0.573,0.065
"P35","No, ninguna dificultad",0.57,0.224,0.212,0.312,0.148,0.246
"P35","Alguna dificultad ocasional",0.284,0.429,0.356,0.533,0.032,0.671
"P35","Sí, dificultades frecuentes",0.146,0.347,0.432,0.155,0.82,0.083
"P36","Sí, absolutamente",0.677,0.481,0.37,0.258,0.697,0.934
"P36","Sí, en cierta medida",0.274,0.44,0.286,0.742,0.048,0
"P36","No, en absoluto",0.049,0.079,0.344,0,0.255,0.066
"P37","Reducir la inflación",0.494,0.229,0.292,0.061,0.293,0.935
"P37","Implementar reformas fiscales",0.084,0.147,0.11,0.256,0,0
"P37","Establecer políticas de control de precios",0.299,0.067,0.097,0.525,0.242,0
"P37","Reducir el gasto público",0.068,0.495,0.398,0,0.465,0.065
"P37","Estimular la inversión extranjera",0.023,0.062,0.103,0,0,0
"P37","Aumentar los subsidios a los servicios públicos",0.032,0,0,0.158,0,0
"P38","Muy positiva",0.265,0.222,0.196,0.561,0,0.229
"P38","Positiva",0.303,0.169,0.113,0.229,0.47,0.608
"P38","Neutral",0.202,0.353,0.378,0.15,0.329,0.093
"P38","Algo negativa",0.022,0.112,0.025,0,0.121,0
"P38","Negativa",0.028,0.033,0.079,0,0.08,0
"P38","No sabe",0.18,0.111,0.209,0.06,0,0.07
"P39","Muy positiva",0.612,0.188,0.118,0.94,0.36,0.556
"P39","Positiva",0.207,0.297,0.201,0,0.164,0.28
"P39","Neutral",0.112,0.277,0.27,0,0.121,0.094
"P39","Algo negativa",0.019,0.047,0.154,0,0.152,0
"P39","Negativa",0.014,0.186,0.206,0,0.126,0.07
"P39","No sabe",0.036,0.005,0.051,0.06,0.077,0
"P40","Muy positiva",0.399,0.29,0.111,0.808,0,0.111
"P40","Positiva",0.285,0.074,0.15,0.131,0.224,0.125
"P40","Neutral",0.111,0.237,0.247,0,0,0.692
"P40","Algo negativa",0.029,0.18,0.168,0,0.453,0
"P40","Negativa",0.076,0.169,0.22,0,0.323,0.072
"P40","No sabe",0.1,0.05,0.104,0.061,0,0
"P41","Muy positiva",0.591,0.172,0.462,0.79,0.06,0.236
"P41","Positiva",0.222,0.136,0.242,0.149,0.499,0.311
"P41","Neutral",0.065,0.374,0.128,0,0.08,0.284
"P41","Algo negativa",0.037,0.136,0.059,0,0.24,0
"P41","Negativa",0.031,0.173,0.098,0,0.121,0.169
"P41","No sabe",0.054,0.009,0.011,0.061,0,0
"P42","Muy positiva",0.565,0.365,0.282,0.769,0.167,0.737
"P42","Positiva",0.274,0.107,0.164,0.166,0,0.107
"P42","Neutral",0.037,0.304,0.363,0,0.648,0
"P42","Algo negativa",0.032,0.17,0.018,0,0.072,0
"P42","Negativa",0.026,0.021,0.161,0,0.113,0.156
"P42","No sabe",0.066,0.033,0.012,0.065,0,0
"P43","Lo votaría",0.812,0.258,0.059,0.771,0.444,0.56
"P43","Puede que lo vote",0.078,0.075,0.048,0.165,0.104,0.178
"P43","Nunca lo votaría",0.054,0.661,0.84,0.064,0.452,0.107
"P43","No sabe",0.056,0.006,0.053,0,0,0.155
"P44","Lo votaría",0.04,0.613,0.043,0.064,0.249,0.013
"P44","Puede que lo vote",0.108,0.168,0.181,0,0.211,0
"P44","Nunca lo votaría",0.761,0.199,0.664,0.936,0.54,0.547
"P44","No sabe",0.091,0.02,0.112,0,0,0.44
"P45","Lo votaría",0.055,0.245,0.016,0,0.255,0.164
"P45","Puede que lo vote",0.2,0.182,0.107,0,0.132,0
"P45","Nunca lo votaría",0.553,0.405,0.705,0.936,0.269,0.729
"P45","No sabe",0.192,0.168,0.172,0.064,0.344,0.107
"P46","Lo votaría",0.036,0.169,0.848,0,0.261,0.43
"P46","Puede que lo vote",0.07,0.201,0.086,0,0,0
"P46","Nunca lo votaría",0.83,0.498,0.066,1,0.739,0.463
"P46","No sabe",0.064,0.132,0,0,0,0.107
"P47","Lo votaría",0.047,0.118,0.046,0.099,0.176,0.429
"P47","Puede que lo vote",0.21,0.1,0.064,0.837,0.366,0
"P47","Nunca lo votaría",0.523,0.635,0.743,0.064,0.458,0.571
"P47","No sabe",0.22,0.147,0.147,0,0,0
"P48","Si",0.366,0.357,0.56,0.325,0.108,0.312
"P48","No",0.634,0.643,0.44,0.675,0.892,0.688
"P14_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.906,0,0,0,0,0
"P14_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0,0.968,0,0,0,0
"P14_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.094,0.032,0.03,0.09,0.546,0.662
"P14_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0,0,0.97,0,0,0
"P14_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0,0,0,0.91,0,0
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0,0,0,0.454,0
"P14_imputada","En blanco",0,0,0,0,0,0.338
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.812,0.121,0.055,0.048,0,0
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.033,0.59,0.125,0.029,0.11,0.022
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.142,0.195,0.177,0.504,0.764,0.951
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.001,0.08,0.478,0,0.071,0
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0,0.002,0.419,0,0
"DIPUTADOS_imputada","En blanco",0.008,0.014,0.163,0,0.055,0.027
