"var","categoria","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus","Retirarla y no presentar nada","Volverla a presentar igual","No sabe"
"P31","No sabe",0.033,0.006,0.002,0.006,0,0.025
"P32","Muy buena",0.174,0.103,0.102,0.13,0.027,0.156
"P32","Buena",0.22,0.183,0.129,0.257,0.116,0.135
"P32","Ni buena ni mala",0.273,0.395,0.364,0.339,0.294,0.359
"P32","Mala",0.227,0.219,0.21,0.18,0.381,0.193
"P32","Muy mala",0.071,0.077,0.102,0.055,0.14,0.077
"P32","No sabe",0.035,0.023,0.093,0.039,0.042,0.08
"P33","Muy buena",0.162,0.031,0.099,0.064,0.2,0.098
"P33","Buena",0.184,0.11,0.152,0.116,0.046,0.183
"P33","Ni buena ni mala",0.19,0.271,0.254,0.315,0.175,0.367
"P33","Mala",0.307,0.384,0.271,0.317,0.415,0.23
"P33","Muy mala",0.122,0.193,0.171,0.153,0.102,0.021
"P33","No sabe",0.035,0.011,0.053,0.035,0.062,0.101
"P34","Muy buena",0.131,0.042,0.088,0.037,0.086,0.161
"P34","Buena",0.162,0.171,0.167,0.154,0.025,0.073
"P34","Ni buena ni mala",0.351,0.421,0.443,0.494,0.271,0.481
"P34","Mala",0.244,0.213,0.183,0.163,0.312,0.151
"P34","Muy mala",0.069,0.123,0.085,0.085,0.072,0.007
"P34","No sabe",0.043,0.03,0.034,0.067,0.234,0.127
"P35","Muy buena",0.259,0.083,0.109,0.226,0.111,0.19
"P35","Buena",0.092,0.168,0.094,0.276,0.143,0.121
"P35","Ni buena ni mala",0.25,0.34,0.304,0.32,0.203,0.222
"P35","Mala",0.244,0.246,0.274,0.115,0.352,0.256
"P35","Muy mala",0.132,0.136,0.19,0.033,0.109,0.055
"P35","No sabe",0.023,0.027,0.029,0.03,0.082,0.156
"P36","Muy buena",0.16,0.072,0.05,0.501,0.125,0.25
"P36","Buena",0.085,0.11,0.13,0.229,0,0
"P36","Ni buena ni mala",0.115,0.103,0.13,0.105,0.008,0.129
"P36","Mala",0.228,0.325,0.331,0.103,0.468,0.236
"P36","Muy mala",0.412,0.389,0.339,0.061,0.399,0.362
"P36","No sabe",0,0.001,0.02,0.001,0,0.023
"P37","Muy buena",0.262,0.108,0.103,0.046,0.361,0.023
"P37","Buena",0.262,0.171,0.252,0.053,0.14,0.069
"P37","Ni buena ni mala",0.244,0.265,0.286,0.056,0.385,0.359
"P37","Mala",0.17,0.276,0.25,0.34,0.084,0.365
"P37","Muy mala",0.062,0.179,0.089,0.505,0.03,0.161
"P37","No sabe",0,0.001,0.02,0,0,0.023
"P38","Muy buena",0.099,0.033,0.04,0.23,0.017,0.131
"P38","Buena",0.153,0.132,0.109,0.316,0.007,0.133
"P38","Ni buena ni mala",0.117,0.184,0.179,0.254,0.108,0.281
"P38","Mala",0.264,0.32,0.28,0.143,0.43,0.112
"P38","Muy mala",0.367,0.325,0.371,0.047,0.438,0.32
"P38","No sabe",0,0.006,0.021,0.01,0,0.023
"P39","Muy buena",0.626,0.339,0.514,0.047,0.811,0.158
"P39","Buena",0.23,0.211,0.077,0.042,0.138,0.11
"P39","Ni buena ni mala",0.02,0.209,0.112,0.051,0.013,0.424
"P39","Mala",0.071,0.125,0.237,0.296,0,0.192
"P39","Muy mala",0.045,0.1,0.058,0.56,0.038,0.093
"P39","No sabe",0.008,0.016,0.002,0.004,0,0.023
"P40","Muy buena",0.492,0.302,0.286,0.039,0.708,0.06
"P40","Buena",0.332,0.262,0.224,0.03,0.244,0.1
"P40","Ni buena ni mala",0.063,0.211,0.167,0.01,0.01,0.574
"P40","Mala",0.053,0.122,0.239,0.31,0,0.156
"P40","Muy mala",0.06,0.103,0.082,0.611,0.038,0.082
"P40","No sabe",0,0,0.002,0,0,0.028
"P41","Muy buena",0.359,0.153,0.192,0.025,0.405,0
"P41","Buena",0.19,0.188,0.214,0.046,0.254,0.049
"P41","Ni buena ni mala",0.339,0.4,0.304,0.072,0.193,0.556
"P41","Mala",0.05,0.133,0.201,0.322,0.008,0.198
"P41","Muy mala",0.051,0.08,0.063,0.51,0.025,0.082
"P41","No sabe",0.011,0.046,0.026,0.025,0.115,0.115
"P42","Muy buena",0.517,0.368,0.487,0.04,0.875,0.067
"P42","Buena",0.188,0.209,0.114,0.035,0.038,0.306
"P42","Ni buena ni mala",0.204,0.236,0.141,0.083,0.048,0.217
"P42","Mala",0.026,0.08,0.126,0.244,0.008,0.123
"P42","Muy mala",0.054,0.1,0.065,0.588,0.031,0.047
"P42","No sabe",0.011,0.007,0.067,0.01,0,0.24
"P43","Muy buena",0.218,0.065,0.093,0.032,0.24,0.008
"P43","Buena",0.233,0.221,0.237,0.062,0.197,0.166
"P43","Ni buena ni mala",0.418,0.455,0.422,0.342,0.39,0.345
"P43","Mala",0.1,0.159,0.13,0.279,0.144,0.073
"P43","Muy mala",0.017,0.088,0.028,0.259,0.029,0
"P43","No sabe",0.014,0.012,0.09,0.026,0,0.408
"P44","Muy buena",0.23,0.15,0.193,0.037,0.302,0.04
"P44","Buena",0.371,0.186,0.25,0.018,0.267,0.026
"P44","Ni buena ni mala",0.221,0.35,0.236,0.108,0.285,0.659
"P44","Mala",0.078,0.129,0.19,0.251,0.023,0.075
"P44","Muy mala",0.076,0.169,0.077,0.575,0.123,0.035
"P44","No sabe",0.024,0.016,0.054,0.011,0,0.165
"P45","Muy buena",0.32,0.11,0.111,0.032,0.215,0.045
"P45","Buena",0.175,0.199,0.095,0.013,0.23,0.032
"P45","Ni buena ni mala",0.368,0.392,0.448,0.199,0.404,0.174
"P45","Mala",0.033,0.124,0.209,0.342,0.022,0.089
"P45","Muy mala",0.066,0.109,0.043,0.363,0.014,0
"P45","No sabe",0.038,0.066,0.094,0.051,0.115,0.66
