"var","categoria","Muy buena","Buena","Regular","Mala","Muy mala"
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.083,0.077,0.107,0.279,0.374
"P38","En blanco",0.371,0.607,0.464,0.169,0.082
"P38","No sabe",0.229,0.184,0.196,0.132,0.056
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.732,0.869,0.773,0.337,0.123
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.132,0.055,0.084,0.382,0.547
"P39","En blanco",0.044,0.048,0.084,0.138,0.214
"P39","No sabe",0.092,0.028,0.059,0.143,0.116
"P40","Lo votaría",0.756,0.871,0.764,0.319,0.079
"P40","Puede que lo vote",0.043,0.046,0.087,0.122,0.11
"P40","Nunca lo votaría",0.155,0.066,0.094,0.486,0.772
"P40","No sabe",0.046,0.017,0.055,0.073,0.039
"P41","Lo votaría",0.243,0.105,0.163,0.341,0.456
"P41","Puede que lo vote",0.052,0.066,0.077,0.176,0.192
"P41","Nunca lo votaría",0.638,0.804,0.7,0.402,0.317
"P41","No sabe",0.067,0.025,0.06,0.081,0.035
"P42","Lo votaría",0.167,0.044,0.073,0.252,0.4
"P42","Puede que lo vote",0.07,0.051,0.077,0.181,0.226
"P42","Nunca lo votaría",0.737,0.89,0.801,0.485,0.321
"P42","No sabe",0.026,0.015,0.049,0.082,0.053
"P43","Lo votaría",0.265,0.124,0.149,0.087,0.075
"P43","Puede que lo vote",0.276,0.435,0.329,0.208,0.167
"P43","Nunca lo votaría",0.423,0.385,0.439,0.607,0.703
"P43","No sabe",0.036,0.056,0.083,0.098,0.055
"P44","Lo votaría",0.251,0.085,0.117,0.109,0.065
"P44","Puede que lo vote",0.207,0.338,0.286,0.269,0.229
"P44","Nunca lo votaría",0.489,0.521,0.499,0.506,0.633
"P44","No sabe",0.053,0.056,0.098,0.116,0.073
"P53","Sergio Massa y Javier Milei",0.733,0.75,0.643,0.406,0.239
"P53","Patricia Bullrich y Javier Milei",0.127,0.111,0.167,0.428,0.639
"P53","Sergio Massa y Patricia Bullrich",0.14,0.139,0.19,0.166,0.122
"P54","Muy buena",0.367,0.072,0.098,0.055,0.03
"P54","Buena",0.345,0.319,0.054,0.073,0.079
"P54","Regular",0.202,0.498,0.566,0.083,0.018
"P54","Mala",0.057,0.074,0.236,0.616,0.115
"P54","Muy mala",0.029,0.037,0.046,0.173,0.758
"P56","Muy buena",0.643,0.263,0.113,0.037,0.047
"P56","Buena",0.223,0.555,0.356,0.17,0.119
"P56","Regular",0.051,0.15,0.466,0.409,0.351
"P56","Mala",0.049,0.019,0.057,0.349,0.221
"P56","Muy mala",0.034,0.013,0.008,0.035,0.262
"P57","Muy buena",0.241,0.111,0.064,0.02,0.019
"P57","Buena",0.332,0.493,0.279,0.134,0.111
"P57","Regular",0.289,0.333,0.535,0.495,0.4
"P57","Mala",0.089,0.054,0.108,0.288,0.258
"P57","Muy mala",0.049,0.009,0.014,0.063,0.212
"P58","Muy buena",0.441,0.172,0.068,0.028,0.015
"P58","Buena",0.272,0.564,0.309,0.105,0.067
"P58","Regular",0.138,0.212,0.488,0.408,0.25
"P58","Mala",0.087,0.046,0.118,0.399,0.313
"P58","Muy mala",0.062,0.006,0.017,0.06,0.355
"P59","Muy buena",0.444,0.225,0.102,0.071,0.063
"P59","Buena",0.319,0.573,0.433,0.245,0.177
"P59","Regular",0.114,0.179,0.405,0.452,0.43
"P59","Mala",0.069,0.017,0.049,0.19,0.201
"P59","Muy mala",0.054,0.006,0.011,0.042,0.129
"P60","Ha aumentado significativamente",0.366,0.16,0.108,0.06,0.024
"P60","Ha aumentado ligeramente",0.21,0.386,0.287,0.167,0.137
"P60","Se mantiene igual",0.22,0.34,0.364,0.304,0.248
"P60","Ha disminuido ligeramente",0.134,0.085,0.183,0.294,0.226
"P60","Ha disminuido significativamente",0.07,0.029,0.058,0.175,0.365
"P61","Muy baja",0.212,0.037,0.047,0.069,0.027
"P61","Baja",0.166,0.097,0.078,0.081,0.037
"P61","Moderada",0.135,0.231,0.183,0.073,0.036
"P61","Alta",0.315,0.481,0.452,0.323,0.091
"P61","Muy alta",0.172,0.154,0.24,0.454,0.809
"P62","Muy bajas",0.177,0.018,0.02,0.06,0.055
"P62","Bajas",0.11,0.124,0.061,0.119,0.104
"P62","Adecuadas",0.361,0.414,0.33,0.218,0.181
"P62","Altas",0.219,0.337,0.426,0.399,0.25
"P62","Muy altas",0.133,0.107,0.163,0.204,0.41
"P63","No, ninguna dificultad",0.564,0.537,0.369,0.278,0.199
"P63","Alguna dificultad ocasional",0.218,0.29,0.315,0.325,0.34
"P63","Sí, dificultades frecuentes",0.218,0.173,0.316,0.397,0.461
"P64","Sí, absolutamente",0.726,0.707,0.632,0.439,0.265
"P64","Sí, en cierta medida",0.152,0.254,0.279,0.333,0.371
"P64","No, en absoluto",0.122,0.039,0.089,0.228,0.364
"P65","Reducir la inflación",0.51,0.421,0.521,0.483,0.374
"P65","Implementar reformas fiscales",0.151,0.171,0.105,0.117,0.094
"P65","Establecer políticas de control de precios",0.247,0.326,0.227,0.103,0.073
"P65","Reducir el gasto público",0.049,0.039,0.073,0.245,0.409
"P65","Estimular la inversión extranjera",0.019,0.027,0.053,0.041,0.042
"P65","Aumentar los subsidios a los servicios públicos",0.024,0.016,0.021,0.011,0.008
"P66","Fomentar la competencia entre proveedores",0.402,0.209,0.23,0.389,0.445
"P66","Incrementar la inversión en infraestructura",0.118,0.261,0.199,0.244,0.199
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.24,0.223,0.268,0.126,0.069
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.24,0.307,0.303,0.241,0.287
"P67","Muy positiva",0.593,0.432,0.328,0.21,0.104
"P67","Positiva",0.18,0.356,0.302,0.184,0.13
"P67","Neutral",0.141,0.099,0.217,0.307,0.314
"P67","Algo negativa",0.054,0.039,0.07,0.116,0.146
"P67","Negativa",0.019,0.006,0.015,0.076,0.198
"P67","No sabe",0.013,0.068,0.068,0.107,0.108
"P68","Muy positivo",0.469,0.386,0.267,0.128,0.024
"P68","Positivo",0.339,0.408,0.335,0.201,0.102
"P68","Neutral",0.126,0.135,0.245,0.343,0.368
"P68","Algo negativo",0.035,0.018,0.029,0.124,0.15
"P68","Negativo",0.017,0.004,0.014,0.074,0.228
"P68","No sabe",0.014,0.049,0.11,0.13,0.128
"P69","Muy positivo",0.436,0.273,0.157,0.092,0.014
"P69","Positivo",0.259,0.311,0.288,0.145,0.067
"P69","Neutral",0.179,0.292,0.378,0.432,0.511
"P69","Algo negativo",0.028,0.025,0.026,0.113,0.118
"P69","Negativo",0.024,0.01,0.021,0.058,0.156
"P69","No sabe",0.074,0.089,0.13,0.16,0.134
"P70","Muy positiva",0.699,0.705,0.511,0.286,0.108
"P70","Positiva",0.143,0.178,0.268,0.251,0.183
"P70","Neutral",0.118,0.084,0.141,0.25,0.335
"P70","Algo negativa",0,0.021,0.018,0.079,0.14
"P70","Negativa",0.034,0.001,0.022,0.082,0.186
"P70","No sabe",0.006,0.011,0.04,0.052,0.048
"P71","Muy positivo",0.601,0.709,0.574,0.27,0.093
"P71","Positivo",0.22,0.188,0.265,0.244,0.195
"P71","Neutral",0.077,0.059,0.087,0.271,0.316
"P71","Algo negativo",0.041,0.021,0.017,0.085,0.151
"P71","Negativo",0.049,0.009,0.015,0.086,0.204
"P71","No sabe",0.012,0.014,0.042,0.044,0.041
"P72","Muy positivo",0.622,0.638,0.514,0.232,0.103
"P72","Positivo",0.178,0.243,0.26,0.278,0.211
"P72","Neutral",0.097,0.095,0.155,0.306,0.39
"P72","Algo negativo",0.049,0.005,0.024,0.06,0.082
"P72","Negativo",0.022,0.01,0.014,0.085,0.171
"P72","No sabe",0.032,0.009,0.033,0.039,0.043
"P73","Muy positiva",0.503,0.508,0.37,0.156,0.054
"P73","Positiva",0.266,0.363,0.349,0.236,0.144
"P73","Neutral",0.112,0.069,0.189,0.307,0.294
"P73","Algo negativa",0.036,0.012,0.033,0.107,0.146
"P73","Negativa",0.039,0.018,0.008,0.097,0.273
"P73","No sabe",0.044,0.03,0.051,0.097,0.089
"P74","Muy positivo",0.499,0.435,0.351,0.12,0.045
"P74","Positivo",0.288,0.387,0.366,0.228,0.104
"P74","Neutral",0.127,0.109,0.179,0.323,0.32
"P74","Algo negativo",0.023,0.021,0.041,0.134,0.161
"P74","Negativo",0.02,0.008,0.006,0.091,0.294
"P74","No sabe",0.043,0.04,0.057,0.104,0.076
"P75","Muy positivo",0.444,0.373,0.261,0.096,0.053
"P75","Positivo",0.221,0.352,0.336,0.21,0.089
"P75","Neutral",0.268,0.209,0.283,0.381,0.401
"P75","Algo negativo",0.02,0.019,0.047,0.107,0.126
"P75","Negativo",0.002,0.004,0.006,0.082,0.252
"P75","No sabe",0.045,0.043,0.067,0.124,0.079
"P76","Muy positiva",0.668,0.647,0.537,0.269,0.192
"P76","Positiva",0.094,0.24,0.236,0.247,0.197
"P76","Neutral",0.149,0.063,0.124,0.23,0.26
"P76","Algo negativa",0.011,0.008,0.042,0.096,0.096
"P76","Negativa",0.03,0.012,0.016,0.071,0.21
"P76","No sabe",0.048,0.03,0.045,0.087,0.045
"P77","Muy positivo",0.701,0.607,0.537,0.279,0.187
"P77","Positivo",0.105,0.287,0.243,0.237,0.215
"P77","Neutral",0.127,0.052,0.104,0.24,0.232
"P77","Algo negativo",0.021,0.023,0.037,0.096,0.129
"P77","Negativo",0.007,0.016,0.019,0.082,0.2
"P77","No sabe",0.039,0.015,0.06,0.066,0.037
"P78","Muy positivo",0.636,0.537,0.46,0.227,0.166
"P78","Positivo",0.148,0.25,0.204,0.201,0.208
"P78","Neutral",0.157,0.18,0.231,0.35,0.331
"P78","Algo negativo",0.017,0.019,0.03,0.059,0.091
"P78","Negativo",0.002,0.002,0.021,0.069,0.158
"P78","No sabe",0.04,0.012,0.054,0.094,0.046
"P79","Si",0.596,0.588,0.59,0.529,0.509
"P79","No",0.404,0.412,0.41,0.471,0.491
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.719,0.822,0.697,0.281,0.101
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.098,0.053,0.092,0.339,0.443
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.122,0.073,0.101,0.274,0.365
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.022,0.024,0.047,0.028,0.022
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.023,0.012,0.031,0.008,0.018
"PRESIDENTE","En blanco",0.002,0.008,0.011,0.041,0.023
"PRESIDENTE","No sabe",0.014,0.008,0.021,0.029,0.028
