"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.546,0.414,0.105,0.106,0.174,0.193
"P39","En blanco",0.151,0.166,0.108,0.103,0.206,0.132
"P39","No sabe",0.095,0.123,0.061,0.181,0.06,0.341
"P40","Lo votaría",0.14,0.281,0.744,0.637,0.537,0.358
"P40","Puede que lo vote",0.103,0.15,0.057,0.085,0.126,0.081
"P40","Nunca lo votaría",0.711,0.53,0.158,0.173,0.298,0.394
"P40","No sabe",0.046,0.039,0.041,0.105,0.039,0.167
"P41","Lo votaría",0.404,0.479,0.185,0.132,0.232,0.215
"P41","Puede que lo vote",0.192,0.158,0.095,0.105,0.05,0.14
"P41","Nunca lo votaría",0.362,0.306,0.675,0.662,0.688,0.405
"P41","No sabe",0.042,0.057,0.045,0.101,0.03,0.24
"P42","Lo votaría",0.447,0.208,0.071,0.066,0.165,0.177
"P42","Puede que lo vote",0.199,0.233,0.086,0.078,0.068,0.138
"P42","Nunca lo votaría",0.312,0.482,0.806,0.762,0.705,0.485
"P42","No sabe",0.042,0.077,0.037,0.094,0.062,0.2
"P43","Lo votaría",0.103,0.072,0.114,0.145,0.161,0.058
"P43","Puede que lo vote",0.158,0.221,0.356,0.295,0.315,0.181
"P43","Nunca lo votaría",0.682,0.641,0.46,0.408,0.472,0.536
"P43","No sabe",0.057,0.066,0.07,0.152,0.052,0.225
"P44","Lo votaría",0.099,0.111,0.101,0.075,0.056,0.057
"P44","Puede que lo vote",0.212,0.309,0.319,0.219,0.232,0.24
"P44","Nunca lo votaría",0.622,0.488,0.498,0.548,0.675,0.464
"P44","No sabe",0.067,0.092,0.082,0.158,0.037,0.239
"P53","Sergio Massa y Javier Milei",0.293,0.34,0.65,0.637,0.517,0.412
"P53","Patricia Bullrich y Javier Milei",0.577,0.51,0.194,0.203,0.285,0.412
"P53","Sergio Massa y Patricia Bullrich",0.13,0.15,0.156,0.16,0.198,0.176
"P54","Muy buena",0.06,0.065,0.065,0.087,0.106,0.091
"P54","Buena",0.074,0.099,0.165,0.168,0.171,0.075
"P54","Regular",0.071,0.148,0.41,0.266,0.275,0.195
"P54","Mala",0.251,0.249,0.218,0.33,0.133,0.23
"P54","Muy mala",0.544,0.439,0.142,0.149,0.315,0.409
"P55","Muy buena",0.025,0.037,0.081,0.054,0.048,0.023
"P55","Buena",0.025,0.074,0.28,0.177,0.218,0.125
"P55","Regular",0.078,0.133,0.334,0.341,0.216,0.147
"P55","Mala",0.26,0.239,0.155,0.222,0.141,0.273
"P55","Muy mala",0.612,0.517,0.15,0.206,0.377,0.432
"P56","Muy buena",0.088,0.054,0.177,0.135,0.163,0.072
"P56","Buena",0.158,0.188,0.367,0.308,0.256,0.165
"P56","Regular",0.377,0.408,0.304,0.27,0.238,0.331
"P56","Mala",0.225,0.217,0.097,0.197,0.133,0.253
"P56","Muy mala",0.152,0.133,0.055,0.09,0.21,0.179
"P57","Muy buena",0.038,0.03,0.071,0.063,0.08,0.031
"P57","Buena",0.112,0.191,0.323,0.273,0.284,0.183
"P57","Regular",0.426,0.504,0.424,0.404,0.354,0.387
"P57","Mala",0.258,0.201,0.141,0.169,0.172,0.209
"P57","Muy mala",0.166,0.074,0.041,0.091,0.11,0.19
"P58","Muy buena",0.026,0.052,0.125,0.114,0.07,0.046
"P58","Buena",0.09,0.149,0.329,0.268,0.31,0.202
"P58","Regular",0.282,0.36,0.343,0.363,0.285,0.292
"P58","Mala",0.33,0.26,0.153,0.186,0.183,0.304
"P58","Muy mala",0.272,0.179,0.05,0.069,0.152,0.156
"P59","Muy buena",0.086,0.078,0.154,0.152,0.126,0.079
"P59","Buena",0.207,0.26,0.457,0.333,0.312,0.223
"P59","Regular",0.425,0.439,0.293,0.334,0.385,0.415
"P59","Mala",0.182,0.158,0.068,0.129,0.101,0.199
"P59","Muy mala",0.1,0.065,0.028,0.052,0.076,0.084
"P60","Ha aumentado significativamente",0.051,0.063,0.131,0.122,0.067,0.051
"P60","Ha aumentado ligeramente",0.143,0.191,0.289,0.227,0.244,0.252
"P60","Se mantiene igual",0.263,0.299,0.322,0.299,0.35,0.27
"P60","Ha disminuido ligeramente",0.249,0.218,0.177,0.187,0.13,0.184
"P60","Ha disminuido significativamente",0.294,0.229,0.081,0.165,0.209,0.243
"P61","Muy baja",0.059,0.045,0.035,0.048,0.05,0.059
"P61","Baja",0.06,0.077,0.053,0.122,0.02,0.109
"P61","Moderada",0.06,0.088,0.143,0.135,0.177,0.099
"P61","Alta",0.187,0.186,0.428,0.352,0.288,0.219
"P61","Muy alta",0.634,0.604,0.341,0.343,0.465,0.514
"P62","Muy bajas",0.073,0.052,0.03,0.019,0.026,0.046
"P62","Bajas",0.103,0.138,0.093,0.084,0.066,0.068
"P62","Adecuadas",0.192,0.278,0.344,0.26,0.224,0.204
"P62","Altas",0.308,0.298,0.352,0.38,0.334,0.316
"P62","Muy altas",0.324,0.234,0.181,0.257,0.35,0.366
"P63","No, ninguna dificultad",0.207,0.318,0.441,0.338,0.339,0.271
"P63","Alguna dificultad ocasional",0.32,0.371,0.301,0.306,0.274,0.295
"P63","Sí, dificultades frecuentes",0.473,0.311,0.258,0.356,0.387,0.434
"P64","Sí, absolutamente",0.344,0.3,0.641,0.604,0.547,0.457
"P64","Sí, en cierta medida",0.331,0.404,0.273,0.271,0.243,0.344
"P64","No, en absoluto",0.325,0.296,0.086,0.125,0.21,0.199
"P65","Reducir la inflación",0.42,0.37,0.509,0.456,0.431,0.44
"P65","Implementar reformas fiscales",0.094,0.15,0.113,0.132,0.142,0.058
"P65","Establecer políticas de control de precios",0.078,0.113,0.225,0.222,0.255,0.18
"P65","Reducir el gasto público",0.363,0.317,0.095,0.118,0.12,0.229
"P65","Estimular la inversión extranjera",0.031,0.046,0.044,0.059,0.037,0.056
"P65","Aumentar los subsidios a los servicios públicos",0.014,0.004,0.014,0.013,0.015,0.037
"P66","Fomentar la competencia entre proveedores",0.468,0.404,0.238,0.243,0.236,0.327
"P66","Incrementar la inversión en infraestructura",0.206,0.258,0.204,0.183,0.201,0.19
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.078,0.114,0.231,0.233,0.187,0.175
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.248,0.224,0.327,0.341,0.376,0.308
"P67","Muy positiva",0.16,0.185,0.373,0.327,0.247,0.086
"P67","Positiva",0.15,0.176,0.292,0.256,0.281,0.127
"P67","Neutral",0.315,0.279,0.187,0.189,0.201,0.315
"P67","Algo negativa",0.119,0.143,0.063,0.083,0.144,0.098
"P67","Negativa",0.157,0.12,0.038,0.053,0.082,0.1
"P67","No sabe",0.099,0.097,0.047,0.092,0.045,0.274
"P68","Muy positivo",0.068,0.11,0.3,0.26,0.216,0.062
"P68","Positivo",0.139,0.172,0.346,0.25,0.289,0.188
"P68","Neutral",0.369,0.332,0.201,0.244,0.236,0.302
"P68","Algo negativo",0.127,0.139,0.042,0.095,0.06,0.086
"P68","Negativo",0.172,0.134,0.045,0.033,0.108,0.144
"P68","No sabe",0.125,0.113,0.066,0.118,0.091,0.218
"P69","Muy positivo",0.056,0.068,0.206,0.162,0.177,0.038
"P69","Positivo",0.106,0.123,0.263,0.207,0.231,0.149
"P69","Neutral",0.473,0.467,0.373,0.342,0.344,0.399
"P69","Algo negativo",0.102,0.118,0.032,0.096,0.055,0.063
"P69","Negativo",0.122,0.101,0.035,0.024,0.079,0.109
"P69","No sabe",0.141,0.123,0.091,0.169,0.114,0.242
"P70","Muy positiva",0.188,0.193,0.569,0.474,0.49,0.199
"P70","Positiva",0.184,0.256,0.222,0.205,0.134,0.276
"P70","Neutral",0.308,0.28,0.134,0.174,0.207,0.223
"P70","Algo negativa",0.125,0.096,0.023,0.055,0.057,0.083
"P70","Negativa",0.15,0.122,0.034,0.056,0.098,0.094
"P70","No sabe",0.045,0.053,0.018,0.036,0.014,0.125
"P71","Muy positivo",0.184,0.178,0.556,0.524,0.496,0.233
"P71","Positivo",0.205,0.24,0.245,0.204,0.163,0.2
"P71","Neutral",0.296,0.264,0.099,0.117,0.188,0.289
"P71","Algo negativo",0.117,0.151,0.031,0.054,0.035,0.06
"P71","Negativo",0.16,0.128,0.053,0.06,0.08,0.081
"P71","No sabe",0.038,0.039,0.016,0.041,0.038,0.137
"P72","Muy positivo",0.172,0.188,0.524,0.447,0.45,0.166
"P72","Positivo",0.216,0.273,0.233,0.28,0.169,0.268
"P72","Neutral",0.354,0.331,0.174,0.137,0.217,0.301
"P72","Algo negativo",0.084,0.077,0.01,0.031,0.031,0.051
"P72","Negativo",0.139,0.098,0.042,0.06,0.099,0.073
"P72","No sabe",0.035,0.033,0.017,0.045,0.034,0.141
"P73","Muy positiva",0.099,0.097,0.415,0.333,0.394,0.123
"P73","Positiva",0.183,0.209,0.333,0.277,0.267,0.167
"P73","Neutral",0.3,0.296,0.146,0.149,0.161,0.289
"P73","Algo negativa",0.127,0.129,0.033,0.087,0.033,0.093
"P73","Negativa",0.216,0.172,0.035,0.083,0.088,0.142
"P73","No sabe",0.075,0.097,0.038,0.071,0.057,0.186
"P74","Muy positivo",0.082,0.082,0.366,0.357,0.323,0.092
"P74","Positivo",0.136,0.155,0.368,0.326,0.297,0.191
"P74","Neutral",0.339,0.289,0.158,0.161,0.198,0.269
"P74","Algo negativo",0.135,0.199,0.037,0.046,0.048,0.09
"P74","Negativo",0.231,0.174,0.038,0.061,0.093,0.14
"P74","No sabe",0.077,0.101,0.033,0.049,0.041,0.218
"P75","Muy positivo",0.067,0.081,0.303,0.27,0.305,0.079
"P75","Positivo",0.132,0.149,0.306,0.308,0.234,0.192
"P75","Neutral",0.387,0.393,0.287,0.247,0.277,0.352
"P75","Algo negativo",0.126,0.131,0.032,0.043,0.036,0.065
"P75","Negativo",0.209,0.136,0.033,0.051,0.085,0.097
"P75","No sabe",0.079,0.11,0.039,0.081,0.063,0.215
"P76","Muy positiva",0.224,0.254,0.56,0.519,0.504,0.186
"P76","Positiva",0.208,0.219,0.249,0.203,0.167,0.178
"P76","Neutral",0.262,0.217,0.113,0.131,0.146,0.242
"P76","Algo negativa",0.085,0.106,0.037,0.052,0.04,0.063
"P76","Negativa",0.158,0.148,0.03,0.042,0.098,0.137
"P76","No sabe",0.063,0.056,0.011,0.053,0.045,0.194
"P77","Muy positivo",0.237,0.245,0.532,0.481,0.434,0.33
"P77","Positivo",0.205,0.222,0.273,0.282,0.21,0.123
"P77","Neutral",0.242,0.21,0.109,0.11,0.141,0.157
"P77","Algo negativo",0.112,0.101,0.041,0.059,0.064,0.148
"P77","Negativo",0.156,0.162,0.033,0.013,0.11,0.102
"P77","No sabe",0.048,0.06,0.012,0.055,0.041,0.14
"P78","Muy positivo",0.215,0.223,0.464,0.355,0.399,0.237
"P78","Positivo",0.196,0.188,0.227,0.263,0.185,0.199
"P78","Neutral",0.317,0.341,0.234,0.262,0.226,0.284
"P78","Algo negativo",0.082,0.057,0.031,0.05,0.064,0.068
"P78","Negativo",0.131,0.122,0.022,0.016,0.081,0.069
"P78","No sabe",0.059,0.069,0.022,0.054,0.045,0.143
"P79","Si",0.505,0.556,0.557,0.596,0.641,0.482
"P79","No",0.495,0.444,0.443,0.404,0.359,0.518
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.173,0.267,0.668,0.569,0.468,0.321
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.353,0.431,0.148,0.085,0.2,0.186
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.384,0.225,0.098,0.114,0.192,0.185
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.022,0.025,0.034,0.041,0.047,0.017
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.025,0.009,0.016,0.04,0.051,0.012
"PRESIDENTE","En blanco",0.02,0.024,0.018,0.098,0.021,0.114
"PRESIDENTE","No sabe",0.023,0.019,0.018,0.053,0.021,0.165
