"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.085,0.019,0.005,0.138,0.01,0.02
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.001,0,0.022,0,0.144,0.001
"P36","No sabe",0.013,0.008,0.024,0.022,0.023,0.221
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.426,0.103,0.14,0.085,0.059,0.068
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.447,0.821,0.767,0.75,0.876,0.785
"P37","En blanco",0.088,0.041,0.052,0.017,0.052,0.016
"P37","No sabe",0.039,0.035,0.041,0.148,0.013,0.131
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.567,0.701,0.786,0.498,0.86,0.901
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.15,0.257,0.111,0.232,0.068,0.049
"P38","En blanco",0.196,0.034,0.074,0.091,0.066,0.016
"P38","No sabe",0.087,0.008,0.029,0.179,0.006,0.034
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.489,0.09,0.181,0.097,0.057,0.096
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.297,0.747,0.314,0.418,0.109,0.196
"P39","En blanco",0.123,0.105,0.331,0.134,0.763,0.141
"P39","No sabe",0.091,0.058,0.174,0.351,0.071,0.567
"P40","Lo votaría",0.327,0.087,0.113,0.054,0.043,0.066
"P40","Puede que lo vote",0.188,0.148,0.088,0.482,0.044,0.105
"P40","Nunca lo votaría",0.459,0.748,0.756,0.379,0.894,0.765
"P40","No sabe",0.026,0.017,0.043,0.085,0.019,0.064
"P41","Lo votaría",0.447,0.734,0.742,0.508,0.856,0.784
"P41","Puede que lo vote",0.173,0.072,0.084,0.244,0.046,0.072
"P41","Nunca lo votaría",0.372,0.17,0.126,0.15,0.078,0.094
"P41","No sabe",0.008,0.024,0.048,0.098,0.02,0.05
"P42","Lo votaría",0.177,0.334,0.235,0.402,0.136,0.119
"P42","Puede que lo vote",0.217,0.46,0.215,0.075,0.108,0.148
"P42","Nunca lo votaría",0.547,0.162,0.487,0.425,0.719,0.566
"P42","No sabe",0.059,0.044,0.063,0.098,0.037,0.167
"P43","Lo votaría",0.081,0.044,0.089,0.183,0.001,0.009
"P43","Puede que lo vote",0.231,0.216,0.113,0.313,0.112,0.155
"P43","Nunca lo votaría",0.583,0.695,0.723,0.394,0.856,0.744
"P43","No sabe",0.105,0.045,0.075,0.11,0.031,0.092
"P44","Lo votaría",0.063,0.051,0.217,0.047,0.001,0.019
"P44","Puede que lo vote",0.276,0.301,0.422,0.109,0.162,0.233
"P44","Nunca lo votaría",0.557,0.567,0.335,0.507,0.787,0.599
"P44","No sabe",0.104,0.081,0.026,0.337,0.05,0.149
"P53","Sergio Massa y Javier Milei",0.343,0.166,0.121,0.037,0.037,0.047
"P53","Patricia Bullrich y Javier Milei",0.436,0.74,0.728,0.698,0.751,0.827
"P53","Sergio Massa y Patricia Bullrich",0.221,0.094,0.151,0.265,0.212,0.126
"P54","Muy buena",0.13,0.034,0.031,0,0.001,0.03
"P54","Buena",0.097,0.107,0.134,0.378,0.056,0.086
"P54","Regular",0.146,0.037,0.052,0.027,0.029,0.019
"P54","Mala",0.29,0.236,0.342,0.297,0.156,0.305
"P54","Muy mala",0.337,0.586,0.441,0.298,0.758,0.56
"P55","Muy buena",0.089,0.018,0.012,0,0.003,0.002
"P55","Buena",0.062,0.01,0.02,0.023,0.006,0.036
"P55","Regular",0.168,0.044,0.06,0.055,0.014,0.016
"P55","Mala",0.28,0.244,0.311,0.48,0.12,0.298
"P55","Muy mala",0.401,0.684,0.597,0.442,0.857,0.648
"P56","Muy buena",0.129,0.029,0.043,0.023,0.008,0.017
"P56","Buena",0.197,0.108,0.124,0.046,0.133,0.147
"P56","Regular",0.304,0.425,0.416,0.273,0.411,0.379
"P56","Mala",0.223,0.274,0.251,0.477,0.227,0.311
"P56","Muy mala",0.147,0.164,0.166,0.181,0.221,0.146
"P57","Muy buena",0.061,0.03,0.041,0.035,0.006,0.03
"P57","Buena",0.19,0.118,0.149,0.27,0.118,0.119
"P57","Regular",0.373,0.484,0.485,0.194,0.44,0.458
"P57","Mala",0.273,0.244,0.231,0.375,0.241,0.234
"P57","Muy mala",0.103,0.124,0.094,0.126,0.195,0.159
"P58","Muy buena",0.063,0.016,0.041,0.037,0.005,0.045
"P58","Buena",0.18,0.067,0.122,0.272,0.059,0.111
"P58","Regular",0.247,0.321,0.333,0.468,0.22,0.325
"P58","Mala",0.363,0.344,0.298,0.076,0.34,0.288
"P58","Muy mala",0.147,0.252,0.206,0.147,0.376,0.231
"P59","Muy buena",0.115,0.042,0.078,0.037,0.016,0.028
"P59","Buena",0.223,0.213,0.204,0.25,0.203,0.161
"P59","Regular",0.404,0.433,0.453,0.395,0.503,0.544
"P59","Mala",0.187,0.206,0.172,0.224,0.18,0.212
"P59","Muy mala",0.071,0.106,0.093,0.094,0.098,0.055
"P60","Ha aumentado significativamente",0.114,0.024,0.023,0.035,0.015,0.007
"P60","Ha aumentado ligeramente",0.094,0.147,0.194,0.516,0.107,0.143
"P60","Se mantiene igual",0.334,0.308,0.272,0.139,0.206,0.207
"P60","Ha disminuido ligeramente",0.298,0.208,0.243,0.083,0.272,0.281
"P60","Ha disminuido significativamente",0.16,0.313,0.268,0.227,0.4,0.362
"P61","Muy baja",0.076,0.038,0.025,0,0.02,0.024
"P61","Baja",0.033,0.055,0.049,0.182,0.045,0.048
"P61","Moderada",0.063,0.046,0.077,0.018,0.033,0.053
"P61","Alta",0.348,0.146,0.163,0.197,0.083,0.196
"P61","Muy alta",0.48,0.715,0.686,0.603,0.819,0.679
"P62","Muy bajas",0.083,0.063,0.054,0.034,0.042,0.041
"P62","Bajas",0.122,0.124,0.13,0.46,0.129,0.103
"P62","Adecuadas",0.189,0.174,0.254,0.054,0.23,0.206
"P62","Altas",0.358,0.34,0.259,0.265,0.249,0.385
"P62","Muy altas",0.248,0.299,0.303,0.187,0.35,0.265
"P63","No, ninguna dificultad",0.298,0.234,0.254,0.114,0.235,0.27
"P63","Alguna dificultad ocasional",0.409,0.409,0.291,0.339,0.317,0.279
"P63","Sí, dificultades frecuentes",0.293,0.357,0.455,0.547,0.448,0.451
"P64","Sí, absolutamente",0.403,0.198,0.289,0.453,0.209,0.357
"P64","Sí, en cierta medida",0.427,0.467,0.407,0.053,0.343,0.371
"P64","No, en absoluto",0.17,0.335,0.304,0.494,0.448,0.272
"P65","Reducir la inflación",0.409,0.347,0.44,0.434,0.389,0.391
"P65","Implementar reformas fiscales",0.147,0.142,0.122,0.072,0.077,0.079
"P65","Establecer políticas de control de precios",0.115,0.048,0.052,0.096,0.052,0.058
"P65","Reducir el gasto público",0.181,0.43,0.339,0.398,0.435,0.404
"P65","Estimular la inversión extranjera",0.128,0.032,0.038,0,0.047,0.037
"P65","Aumentar los subsidios a los servicios públicos",0.02,0.001,0.009,0,0,0.031
"P66","Fomentar la competencia entre proveedores",0.458,0.516,0.386,0.358,0.337,0.413
"P66","Incrementar la inversión en infraestructura",0.224,0.196,0.286,0.352,0.333,0.23
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.196,0.025,0.08,0.03,0.067,0.087
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.122,0.263,0.248,0.26,0.263,0.27
"P67","Muy positiva",0.301,0.134,0.114,0.207,0.072,0.071
"P67","Positiva",0.178,0.132,0.152,0.06,0.067,0.052
"P67","Neutral",0.289,0.352,0.314,0.208,0.288,0.3
"P67","Algo negativa",0.065,0.158,0.169,0.163,0.146,0.139
"P67","Negativa",0.127,0.146,0.152,0.125,0.314,0.215
"P67","No sabe",0.04,0.078,0.099,0.237,0.113,0.223
"P68","Muy positivo",0.191,0.036,0.035,0.055,0.016,0.012
"P68","Positivo",0.149,0.151,0.115,0.037,0.043,0.059
"P68","Neutral",0.39,0.412,0.414,0.384,0.324,0.368
"P68","Algo negativo",0.076,0.176,0.152,0.126,0.17,0.126
"P68","Negativo",0.131,0.149,0.155,0.156,0.322,0.213
"P68","No sabe",0.063,0.076,0.129,0.242,0.125,0.222
"P69","Muy positivo",0.172,0.018,0.022,0.057,0.014,0.027
"P69","Positivo",0.094,0.095,0.053,0.029,0.035,0.03
"P69","Neutral",0.49,0.577,0.528,0.454,0.503,0.405
"P69","Algo negativo",0.107,0.127,0.13,0.055,0.134,0.107
"P69","Negativo",0.038,0.091,0.127,0.155,0.225,0.174
"P69","No sabe",0.099,0.092,0.14,0.25,0.089,0.257
"P70","Muy positiva",0.286,0.091,0.085,0.077,0.077,0.168
"P70","Positiva",0.2,0.23,0.232,0.073,0.132,0.189
"P70","Neutral",0.201,0.4,0.325,0.402,0.302,0.273
"P70","Algo negativa",0.169,0.13,0.139,0.054,0.166,0.119
"P70","Negativa",0.068,0.129,0.172,0.157,0.302,0.158
"P70","No sabe",0.076,0.02,0.047,0.237,0.021,0.093
"P71","Muy positivo",0.263,0.099,0.081,0.145,0.049,0.194
"P71","Positivo",0.186,0.174,0.206,0.05,0.118,0.156
"P71","Neutral",0.29,0.379,0.407,0.638,0.259,0.207
"P71","Algo negativo",0.155,0.167,0.103,0.01,0.225,0.156
"P71","Negativo",0.063,0.161,0.155,0.139,0.302,0.205
"P71","No sabe",0.043,0.02,0.048,0.018,0.047,0.082
"P72","Muy positivo",0.302,0.075,0.074,0.083,0.055,0.212
"P72","Positivo",0.175,0.22,0.197,0.335,0.16,0.157
"P72","Neutral",0.406,0.425,0.484,0.437,0.402,0.268
"P72","Algo negativo",0.066,0.107,0.109,0.017,0.121,0.082
"P72","Negativo",0.035,0.124,0.119,0.11,0.24,0.226
"P72","No sabe",0.016,0.049,0.017,0.018,0.022,0.055
"P73","Muy positiva",0.218,0.033,0.085,0.018,0.011,0.063
"P73","Positiva",0.121,0.14,0.161,0.307,0.102,0.068
"P73","Neutral",0.352,0.361,0.383,0.422,0.258,0.289
"P73","Algo negativa",0.175,0.188,0.146,0.127,0.176,0.119
"P73","Negativa",0.084,0.218,0.167,0.086,0.381,0.302
"P73","No sabe",0.05,0.06,0.058,0.04,0.072,0.159
"P74","Muy positivo",0.209,0.026,0.053,0.074,0.005,0.045
"P74","Positivo",0.208,0.099,0.087,0.025,0.064,0.066
"P74","Neutral",0.363,0.398,0.423,0.312,0.286,0.283
"P74","Algo negativo",0.083,0.188,0.185,0.189,0.215,0.195
"P74","Negativo",0.114,0.228,0.211,0.129,0.378,0.232
"P74","No sabe",0.023,0.061,0.041,0.271,0.052,0.179
"P75","Muy positivo",0.191,0.031,0.047,0.076,0.004,0.06
"P75","Positivo",0.177,0.086,0.094,0,0.044,0.092
"P75","Neutral",0.463,0.467,0.394,0.613,0.417,0.326
"P75","Algo negativo",0.053,0.174,0.188,0,0.17,0.13
"P75","Negativo",0.101,0.174,0.238,0.025,0.287,0.185
"P75","No sabe",0.015,0.068,0.039,0.286,0.078,0.207
"P76","Muy positiva",0.318,0.139,0.196,0.317,0.078,0.176
"P76","Positiva",0.271,0.197,0.194,0.103,0.172,0.1
"P76","Neutral",0.209,0.293,0.259,0.497,0.233,0.224
"P76","Algo negativa",0.065,0.126,0.145,0.032,0.144,0.133
"P76","Negativa",0.123,0.172,0.176,0.051,0.328,0.205
"P76","No sabe",0.014,0.073,0.03,0,0.045,0.162
"P77","Muy positivo",0.306,0.146,0.208,0.292,0.045,0.098
"P77","Positivo",0.26,0.213,0.19,0.176,0.134,0.19
"P77","Neutral",0.244,0.255,0.265,0.365,0.28,0.153
"P77","Algo negativo",0.057,0.153,0.115,0.032,0.173,0.191
"P77","Negativo",0.124,0.178,0.2,0.135,0.324,0.227
"P77","No sabe",0.009,0.055,0.022,0,0.044,0.141
"P78","Muy positivo",0.273,0.159,0.154,0.308,0.044,0.133
"P78","Positivo",0.177,0.17,0.216,0.2,0.146,0.172
"P78","Neutral",0.355,0.354,0.364,0.346,0.387,0.262
"P78","Algo negativo",0.052,0.119,0.097,0.036,0.117,0.079
"P78","Negativo",0.132,0.147,0.139,0.11,0.251,0.142
"P78","No sabe",0.011,0.051,0.03,0,0.055,0.212
"P79","Si",0.525,0.483,0.478,0.678,0.522,0.512
"P79","No",0.475,0.517,0.522,0.322,0.478,0.488
