"var","categoria","No, ninguna dificultad","Alguna dificultad ocasional","Sí, dificultades frecuentes"
"P54","Muy buena",0.084,0.065,0.055
"P54","Buena",0.139,0.122,0.086
"P54","Regular",0.299,0.19,0.13
"P54","Mala",0.204,0.224,0.275
"P54","Muy mala",0.274,0.399,0.454
"P55","Muy buena",0.082,0.03,0.026
"P55","Buena",0.221,0.115,0.059
"P55","Regular",0.225,0.183,0.158
"P55","Mala",0.195,0.218,0.228
"P55","Muy mala",0.277,0.454,0.529
"P56","Muy buena",0.167,0.082,0.081
"P56","Buena",0.299,0.229,0.184
"P56","Regular",0.315,0.379,0.356
"P56","Mala",0.138,0.176,0.219
"P56","Muy mala",0.081,0.134,0.16
"P57","Muy buena",0.105,0.021,0.02
"P57","Buena",0.402,0.176,0.079
"P57","Regular",0.393,0.541,0.366
"P57","Mala",0.075,0.186,0.32
"P57","Muy mala",0.025,0.076,0.215
"P58","Muy buena",0.163,0.02,0.032
"P58","Buena",0.338,0.189,0.086
"P58","Regular",0.292,0.407,0.26
"P58","Mala",0.145,0.239,0.327
"P58","Muy mala",0.062,0.145,0.295
"P59","Muy buena",0.19,0.072,0.079
"P59","Buena",0.395,0.313,0.212
"P59","Regular",0.312,0.445,0.375
"P59","Mala",0.066,0.121,0.218
"P59","Muy mala",0.037,0.049,0.116
"P60","Ha aumentado significativamente",0.162,0.047,0.043
"P60","Ha aumentado ligeramente",0.307,0.208,0.134
"P60","Se mantiene igual",0.313,0.338,0.23
"P60","Ha disminuido ligeramente",0.132,0.215,0.266
"P60","Ha disminuido significativamente",0.086,0.192,0.327
"P61","Muy baja",0.061,0.028,0.056
"P61","Baja",0.058,0.069,0.08
"P61","Moderada",0.122,0.12,0.061
"P61","Alta",0.347,0.25,0.209
"P61","Muy alta",0.412,0.533,0.594
"P62","Muy bajas",0.099,0.032,0.027
"P62","Bajas",0.155,0.124,0.045
"P62","Adecuadas",0.363,0.233,0.182
"P62","Altas",0.266,0.395,0.309
"P62","Muy altas",0.117,0.216,0.437
"P64","Sí, absolutamente",0.602,0.335,0.418
"P64","Sí, en cierta medida",0.236,0.512,0.227
"P64","No, en absoluto",0.162,0.153,0.355
"P65","Reducir la inflación",0.482,0.408,0.425
"P65","Implementar reformas fiscales",0.111,0.128,0.102
"P65","Establecer políticas de control de precios",0.174,0.158,0.118
"P65","Reducir el gasto público",0.184,0.261,0.289
"P65","Estimular la inversión extranjera",0.04,0.04,0.043
"P65","Aumentar los subsidios a los servicios públicos",0.009,0.005,0.023
"P66","Fomentar la competencia entre proveedores",0.35,0.371,0.36
"P66","Incrementar la inversión en infraestructura",0.249,0.223,0.173
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.157,0.135,0.147
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.244,0.271,0.32
"P67","Muy positiva",0.348,0.198,0.168
"P67","Positiva",0.229,0.221,0.172
"P67","Neutral",0.197,0.28,0.293
"P67","Algo negativa",0.071,0.114,0.132
"P67","Negativa",0.087,0.09,0.132
"P67","No sabe",0.068,0.097,0.103
"P68","Muy positivo",0.247,0.122,0.119
"P68","Positivo",0.262,0.231,0.169
"P68","Neutral",0.252,0.319,0.318
"P68","Algo negativo",0.064,0.117,0.113
"P68","Negativo",0.092,0.112,0.14
"P68","No sabe",0.083,0.099,0.141
"P69","Muy positivo",0.173,0.095,0.076
"P69","Positivo",0.197,0.166,0.144
"P69","Neutral",0.427,0.447,0.401
"P69","Algo negativo",0.045,0.098,0.099
"P69","Negativo",0.054,0.069,0.123
"P69","No sabe",0.104,0.125,0.157
"P70","Muy positiva",0.458,0.292,0.255
"P70","Positiva",0.199,0.233,0.202
"P70","Neutral",0.186,0.272,0.247
"P70","Algo negativa",0.062,0.086,0.093
"P70","Negativa",0.069,0.081,0.146
"P70","No sabe",0.026,0.036,0.057
"P71","Muy positivo",0.446,0.299,0.255
"P71","Positivo",0.207,0.223,0.227
"P71","Neutral",0.159,0.249,0.237
"P71","Algo negativo",0.076,0.102,0.088
"P71","Negativo",0.092,0.091,0.141
"P71","No sabe",0.02,0.036,0.052
"P72","Muy positivo",0.412,0.266,0.254
"P72","Positivo",0.24,0.272,0.203
"P72","Neutral",0.225,0.297,0.293
"P72","Algo negativo",0.033,0.05,0.075
"P72","Negativo",0.071,0.088,0.119
"P72","No sabe",0.019,0.027,0.056
"P73","Muy positiva",0.333,0.16,0.179
"P73","Positiva",0.257,0.258,0.209
"P73","Neutral",0.188,0.282,0.238
"P73","Algo negativa",0.063,0.1,0.11
"P73","Negativa",0.104,0.128,0.175
"P73","No sabe",0.055,0.072,0.089
"P74","Muy positivo",0.273,0.163,0.161
"P74","Positivo",0.297,0.213,0.187
"P74","Neutral",0.189,0.296,0.274
"P74","Algo negativo",0.077,0.114,0.122
"P74","Negativo",0.114,0.125,0.181
"P74","No sabe",0.05,0.089,0.075
"P75","Muy positivo",0.244,0.127,0.132
"P75","Positivo",0.214,0.205,0.199
"P75","Neutral",0.324,0.382,0.319
"P75","Algo negativo",0.076,0.084,0.098
"P75","Negativo",0.094,0.101,0.165
"P75","No sabe",0.048,0.101,0.087
"P76","Muy positiva",0.47,0.315,0.307
"P76","Positiva",0.226,0.229,0.198
"P76","Neutral",0.145,0.213,0.22
"P76","Algo negativa",0.055,0.077,0.076
"P76","Negativa",0.072,0.105,0.139
"P76","No sabe",0.032,0.061,0.06
"P77","Muy positivo",0.471,0.308,0.301
"P77","Positivo",0.235,0.25,0.208
"P77","Neutral",0.142,0.186,0.204
"P77","Algo negativo",0.054,0.11,0.088
"P77","Negativo",0.076,0.106,0.131
"P77","No sabe",0.022,0.04,0.068
"P78","Muy positivo",0.389,0.275,0.271
"P78","Positivo",0.226,0.209,0.194
"P78","Neutral",0.277,0.305,0.28
"P78","Algo negativo",0.026,0.074,0.073
"P78","Negativo",0.049,0.083,0.114
"P78","No sabe",0.033,0.054,0.068
"P79","Si",0.534,0.509,0.583
"P79","No",0.466,0.491,0.417
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.513,0.321,0.298
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.232,0.334,0.304
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.19,0.249,0.289
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.024,0.034,0.029
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.007,0.021,0.02
"PRESIDENTE","En blanco",0.016,0.021,0.031
"PRESIDENTE","No sabe",0.018,0.02,0.029
