"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de la Izquierda","A otro candidato","No sabe"
"P23","Cambiemos",0.095,0.581,0.041,0.063,0.037
"P23","Liberales",0.005,0.12,0.433,0.5,0.167
"P23","Izquierda",0.015,0.02,0.245,0.076,0.015
"P23","No sabe",0.11,0.064,0.071,0.252,0.642
"P25","A Alberto Fernández",0.462,0.331,0.053,0.793,0.362
"P25","A Sergio Massa",0.057,0.111,0.212,0,0.32
"P25","A algún candidato del peronismo",0.107,0.551,0.61,0.128,0.03
"P25","A algún candidato del kirchnerismo",0.374,0.007,0.125,0.079,0.288
"P26","A Alberto Fernández",0.165,0.329,0.016,0.776,0.362
"P26","A Sergio Massa",0.067,0.01,0.269,0,0.308
"P26","A algún candidato del peronismo",0.029,0.61,0.158,0.128,0.023
"P26","A Cristina Fernández de Kirchner",0.739,0.051,0.557,0.096,0.307
"P27","A Horacio Rodriguez Larreta",0.946,0.343,0.067,0.4,0.873
"P27","A Mauricio Macri",0.013,0.241,0.933,0.3,0
"P27","A Patricia Bullrich",0.014,0.325,0,0.2,0.127
"P27","A Facundo Manes",0.027,0.021,0,0.1,0
"P27","A Martín Lousteau",0,0.07,0,0,0
"P28","Seguro lo votaria",0.539,0.162,0.933,0,0.873
"P28","Quizás lo votaría",0.013,0.295,0.067,0.3,0.042
"P28","Nunca lo votaría",0.448,0.543,0,0.7,0.085
"P29","Muy buena",0.19,0.086,0.022,0.208,0.081
"P29","Buena",0.291,0.103,0.048,0.055,0.175
"P29","Ni buena ni mala",0.333,0.076,0.145,0.081,0.268
"P29","Mala",0.144,0.09,0.47,0.104,0.149
"P29","Muy mala",0.039,0.645,0.184,0.542,0.293
"P29","No sabe",0.003,0,0.131,0.01,0.034
"P30","Muy buena",0.045,0.291,0.068,0.072,0.066
"P30","Buena",0.034,0.248,0.016,0.24,0.104
"P30","Ni buena ni mala",0.05,0.255,0.134,0.101,0.135
"P30","Mala",0.239,0.089,0.196,0.249,0.214
"P30","Muy mala",0.596,0.117,0.552,0.332,0.415
"P30","No sabe",0.036,0,0.034,0.006,0.066
"P31","Muy buena",0.647,0.047,0.113,0.161,0.163
"P31","Buena",0.104,0.173,0.1,0.126,0.095
"P31","Ni buena ni mala",0.075,0.017,0.07,0.093,0.136
"P31","Mala",0.123,0.068,0.235,0.081,0.16
"P31","Muy mala",0.038,0.692,0.33,0.531,0.43
"P31","No sabe",0.013,0.003,0.152,0.008,0.016
"P32","Muy buena",0.141,0.394,0.139,0.066,0.115
"P32","Buena",0.045,0.32,0.063,0.138,0.122
"P32","Ni buena ni mala",0.107,0.19,0.11,0.256,0.217
"P32","Mala",0.234,0.048,0.075,0.143,0.167
"P32","Muy mala",0.435,0.048,0.592,0.296,0.259
"P32","No sabe",0.038,0,0.021,0.101,0.12
"P33","Muy buena",0.155,0.009,0.007,0.026,0.091
"P33","Buena",0.273,0.037,0.022,0.014,0.12
"P33","Ni buena ni mala",0.386,0.183,0.272,0.266,0.24
"P33","Mala",0.103,0.153,0.335,0.124,0.153
"P33","Muy mala",0.056,0.56,0.34,0.488,0.263
"P33","No sabe",0.027,0.058,0.024,0.082,0.133
"P34","Muy buena",0.072,0.412,0.093,0.104,0.113
"P34","Buena",0.074,0.27,0.039,0.209,0.07
"P34","Ni buena ni mala",0.084,0.133,0.032,0.265,0.171
"P34","Mala",0.212,0.04,0.166,0.028,0.194
"P34","Muy mala",0.507,0.087,0.64,0.292,0.381
"P34","No sabe",0.051,0.058,0.03,0.102,0.071
"P35","Muy buena",0.04,0.14,0.098,0.357,0.093
"P35","Buena",0.063,0.133,0.059,0.109,0.124
"P35","Ni buena ni mala",0.197,0.395,0.224,0.165,0.261
"P35","Mala",0.191,0.184,0.052,0.058,0.119
"P35","Muy mala",0.501,0.078,0.505,0.205,0.264
"P35","No sabe",0.008,0.07,0.062,0.106,0.139
