"var","categoria","A Gustavo Menéndez","A Karina Menéndez","A Florencia Lizaraso","A Raúl Otahacé","No sabe"
"P16","El estado de las escuelas y la educación",0.037,0.039,0.153,0.007,0.013
"P16","El sistema de salud",0.101,0.151,0.377,0.136,0.039
"P16","El deporte y la cultura",0.015,0.285,0,0,0
"P16","La obra pública",0.005,0,0,0,0
"P16","La luminaria",0.011,0.009,0.003,0.008,0.047
"P16","No sabe",0.29,0.06,0.04,0.245,0.009
"P17","Agua corriente y cloacas",0.628,0.401,0.235,0.172,0.407
"P17","Energía eléctrica",0.052,0.113,0,0.064,0.269
"P17","Red de gas natural",0.09,0.348,0.153,0.03,0.017
"P17","Recolección de residuos",0.128,0.054,0.235,0.315,0.036
"P17","Ninguno",0.102,0.084,0.377,0.419,0.271
"P18","Los robos",0.769,0.41,0.435,0.613,0.544
"P18","El narcotráfico",0.061,0.117,0.196,0.086,0.099
"P18","La ausencia de patrulleros y personal policial",0.112,0.389,0.348,0.041,0.286
"P18","Otro",0.037,0.064,0.003,0.26,0.062
"P18","Ninguno",0.021,0.02,0.018,0,0.009
"P19","Muy buena",0.303,0.458,0,0.157,0.236
"P19","Buena",0.311,0.177,0.106,0.047,0.024
"P19","Ni buena ni mala",0.198,0.193,0.692,0.141,0.45
"P19","Mala",0.103,0.134,0.003,0.297,0.131
"P19","Muy mala",0.045,0.01,0.043,0.287,0.011
"P19","No sabe",0.04,0.028,0.156,0.071,0.148
"P20","Muy buena",0.288,0.391,0.022,0.071,0.053
"P20","Buena",0.188,0.242,0.191,0.096,0.277
"P20","Ni buena ni mala",0.367,0.207,0.621,0.196,0.194
"P20","Mala",0.079,0.122,0.047,0.255,0.426
"P20","Muy mala",0.052,0.008,0,0.311,0.011
"P20","No sabe",0.026,0.03,0.119,0.071,0.039
"P23","Frente de Todos y el peronismo",0.708,0.881,0.978,0.438,0.745
"P23","Cambiemos",0.234,0.076,0,0,0.036
"P23","Liberales",0.018,0,0,0,0
"P23","Izquierda",0.008,0,0,0,0
"P23","No sabe",0.032,0.043,0.022,0.562,0.219
"P25","A Alberto Fernández",0.414,0.423,0.141,0.032,0.445
"P25","A Sergio Massa",0.163,0.17,0,0.126,0.048
"P25","A algún candidato del peronismo",0.122,0.124,0,0.536,0.233
"P25","A algún candidato del kirchnerismo",0.301,0.283,0.859,0.306,0.274
"P26","A Alberto Fernández",0.174,0.105,0.04,0,0.307
"P26","A Sergio Massa",0.132,0.157,0,0.035,0.049
"P26","A algún candidato del peronismo",0.04,0.024,0,0.268,0.009
"P26","A Cristina Fernández de Kirchner",0.654,0.714,0.96,0.697,0.635
"P27","A Horacio Rodriguez Larreta",0.909,0,0,0,0
"P27","A Mauricio Macri",0,0,0,0,0
"P27","A Patricia Bullrich",0,0,0,0,1
"P27","A Facundo Manes",0.091,1,0,0,0
"P27","A Martín Lousteau",0,0,0,0,0
"P28","Seguro lo votaria",0.27,0,0,0,1
"P28","Quizás lo votaría",0,0,0,0,0
"P28","Nunca lo votaría",0.73,1,0,0,0
"P29","Muy buena",0.259,0.179,0.023,0.008,0.215
"P29","Buena",0.235,0.274,0.24,0.299,0.15
"P29","Ni buena ni mala",0.254,0.358,0.146,0.397,0.509
"P29","Mala",0.214,0.18,0.445,0.283,0.035
"P29","Muy mala",0.033,0.009,0.127,0.013,0.091
"P29","No sabe",0.005,0,0.019,0,0
"P30","Muy buena",0.06,0,0,0.079,0
"P30","Buena",0.021,0.009,0,0.075,0.042
"P30","Ni buena ni mala",0.151,0,0.026,0.23,0
"P30","Mala",0.21,0.118,0.081,0.043,0.372
"P30","Muy mala",0.506,0.873,0.893,0.573,0.566
"P30","No sabe",0.052,0,0,0,0.02
"P31","Muy buena",0.51,0.656,1,0.571,0.947
"P31","Buena",0.084,0.059,0,0.113,0.011
"P31","Ni buena ni mala",0.072,0.264,0,0,0
"P31","Mala",0.284,0.011,0,0.087,0
"P31","Muy mala",0.044,0.01,0,0,0.042
"P31","No sabe",0.006,0,0,0.229,0
"P32","Muy buena",0.24,0.011,0.028,0.076,0.24
"P32","Buena",0.036,0.056,0.003,0.011,0.231
"P32","Ni buena ni mala",0.073,0.263,0,0,0.034
"P32","Mala",0.274,0.181,0.118,0.174,0.011
"P32","Muy mala",0.363,0.481,0.851,0.503,0.465
"P32","No sabe",0.014,0.008,0,0.236,0.019
"P33","Muy buena",0.281,0.022,0,0.01,0.141
"P33","Buena",0.282,0.236,0.13,0.19,0.274
"P33","Ni buena ni mala",0.335,0.463,0.44,0.154,0.456
"P33","Mala",0.078,0.226,0.077,0.109,0.129
"P33","Muy mala",0.018,0.053,0.353,0.229,0
"P33","No sabe",0.006,0,0,0.308,0
"P34","Muy buena",0.149,0.017,0,0,0.036
"P34","Buena",0.037,0.008,0,0.076,0.204
"P34","Ni buena ni mala",0.179,0.046,0,0,0
"P34","Mala",0.159,0.311,0.228,0.113,0.349
"P34","Muy mala",0.435,0.618,0.772,0.499,0.411
"P34","No sabe",0.041,0,0,0.312,0
"P35","Muy buena",0.102,0.01,0,0,0
"P35","Buena",0.006,0.009,0,0,0.414
"P35","Ni buena ni mala",0.231,0.318,0,0.074,0.107
"P35","Mala",0.188,0.117,0.081,0.16,0.119
"P35","Muy mala",0.465,0.545,0.919,0.766,0.353
"P35","No sabe",0.008,0.001,0,0,0.007
