"var","categoria","Es un logro muy importante del Gobierno provincial","Está bien, pero es insuficiente para resolver la situación de emergencia","No alcanza para nada y son negocios del gobierno Provincial","No alcanza para nada porque el gobierno gestionó mal la compra","No sabe"
"P39","Muy buena",0.371,0.344,0.396,0.595,0.366
"P39","Buena",0.153,0.13,0.132,0.123,0.288
"P39","Ni buena ni mala",0.105,0.143,0.099,0.135,0.059
"P39","Mala",0.164,0.179,0.202,0.057,0.081
"P39","Muy mala",0.201,0.19,0.171,0.09,0.201
"P39","No sabe",0.006,0.014,0,0,0.005
"P40","Muy buena",0.286,0.265,0.334,0.468,0.249
"P40","Buena",0.213,0.183,0.198,0.209,0.387
"P40","Ni buena ni mala",0.117,0.143,0.144,0.13,0.055
"P40","Mala",0.175,0.193,0.116,0.086,0.089
"P40","Muy mala",0.209,0.214,0.208,0.107,0.215
"P40","No sabe",0,0.002,0,0,0.005
"P41","Muy buena",0.219,0.135,0.229,0.26,0.141
"P41","Buena",0.172,0.141,0.148,0.144,0.266
"P41","Ni buena ni mala",0.245,0.319,0.271,0.35,0.224
"P41","Mala",0.167,0.183,0.16,0.156,0.091
"P41","Muy mala",0.178,0.172,0.168,0.09,0.206
"P41","No sabe",0.019,0.05,0.024,0,0.072
"P42","Muy buena",0.331,0.336,0.414,0.679,0.314
"P42","Buena",0.136,0.141,0.125,0.119,0.212
"P42","Ni buena ni mala",0.189,0.189,0.084,0.052,0.158
"P42","Mala",0.113,0.124,0.119,0.06,0.055
"P42","Muy mala",0.208,0.191,0.22,0.09,0.216
"P42","No sabe",0.023,0.019,0.038,0,0.045
"P43","Muy buena",0.135,0.089,0.063,0.232,0.03
"P43","Buena",0.169,0.192,0.186,0.226,0.158
"P43","Ni buena ni mala",0.432,0.427,0.271,0.219,0.569
"P43","Mala",0.145,0.161,0.29,0.131,0.081
"P43","Muy mala",0.086,0.095,0.162,0.059,0.1
"P43","No sabe",0.033,0.036,0.028,0.133,0.062
"P44","Muy buena",0.194,0.121,0.151,0.344,0.106
"P44","Buena",0.198,0.17,0.237,0.25,0.15
"P44","Ni buena ni mala",0.203,0.279,0.205,0.259,0.398
"P44","Mala",0.139,0.171,0.17,0.045,0.045
"P44","Muy mala",0.233,0.242,0.209,0.102,0.234
"P44","No sabe",0.033,0.017,0.028,0,0.067
"P45","Muy buena",0.192,0.098,0.107,0.356,0.107
"P45","Buena",0.112,0.139,0.167,0.052,0.081
"P45","Ni buena ni mala",0.297,0.374,0.282,0.309,0.441
"P45","Mala",0.159,0.174,0.228,0.025,0.089
"P45","Muy mala",0.149,0.139,0.171,0.075,0.148
"P45","No sabe",0.091,0.076,0.045,0.183,0.134
