"var","categoria","Buena","Regular","Mala","No sabe"
"P24","Mala",0.036,0.15,0.598,0.196
"P24","No sabe",0.05,0.029,0.025,0.551
"P25","Buena",0.43,0.166,0.077,0.06
"P25","Regular",0.313,0.469,0.333,0.339
"P25","Mala",0.079,0.183,0.498,0.091
"P25","No sabe",0.178,0.182,0.092,0.51
"P26","La capacitación para atender a la gente",0.317,0.195,0.149,0.12
"P26","La infraestructura y equipamiento de la fuerza",0.221,0.208,0.105,0.053
"P26","La formación técnica y profesional",0.223,0.355,0.298,0.319
"P26","La cantidad y distribución de los efectivos",0.069,0.113,0.184,0.069
"P26","La velocidad de respuesta ante las denuncias",0.064,0.067,0.153,0.093
"P26","Otros",0.067,0.053,0.082,0.103
"P26","No sabe",0.039,0.009,0.029,0.243
"P27","Alto",0.378,0.142,0.078,0.101
"P27","Regular",0.465,0.581,0.351,0.188
"P27","Bajo",0.12,0.259,0.542,0.368
"P27","No sabe",0.037,0.018,0.029,0.343
"P28","El gobierno de Javier Milei",0.315,0.276,0.234,0.233
"P28","El gobierno de Alberto Fernández",0.557,0.579,0.577,0.261
"P28","Ambos",0.092,0.112,0.186,0.452
"P28","No sabe",0.036,0.033,0.003,0.054
"P29","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.247,0.158,0.141,0.044
"P29","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.327,0.376,0.313,0.171
"P29","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.221,0.134,0.138,0.241
"P29","Retirarla y no presentar nada",0.14,0.25,0.258,0.391
"P29","Volverla a presentar igual",0.043,0.05,0.085,0.029
"P29","No sabe",0.022,0.032,0.065,0.124
"P30","Javier Milei",0.489,0.458,0.517,0.263
"P30","Los gobernadores",0.429,0.443,0.375,0.619
"P30","No sabe",0.082,0.099,0.108,0.118
"P31","Muy buena",0.293,0.225,0.178,0.111
"P31","Buena",0.371,0.314,0.245,0.247
"P31","Ni buena ni mala",0.241,0.34,0.348,0.469
"P31","Mala",0.057,0.088,0.17,0.145
"P31","Muy mala",0.006,0.032,0.056,0
"P31","No sabe",0.032,0.001,0.003,0.028
"P32","Muy buena",0.135,0.124,0.099,0.117
"P32","Buena",0.197,0.213,0.175,0.049
"P32","Ni buena ni mala",0.425,0.332,0.309,0.371
"P32","Mala",0.121,0.24,0.266,0.209
"P32","Muy mala",0.043,0.067,0.137,0
"P32","No sabe",0.079,0.024,0.014,0.254
"P33","Muy buena",0.094,0.078,0.091,0.025
"P33","Buena",0.167,0.132,0.104,0.077
"P33","Ni buena ni mala",0.349,0.23,0.233,0.349
"P33","Mala",0.211,0.375,0.355,0.436
"P33","Muy mala",0.108,0.157,0.205,0.085
"P33","No sabe",0.071,0.028,0.012,0.028
"P34","Muy buena",0.127,0.042,0.065,0.088
"P34","Buena",0.198,0.146,0.146,0
"P34","Ni buena ni mala",0.453,0.431,0.373,0.529
"P34","Mala",0.108,0.242,0.241,0.117
"P34","Muy mala",0.054,0.089,0.129,0.072
"P34","No sabe",0.06,0.05,0.046,0.194
"P35","Muy buena",0.201,0.132,0.146,0.22
"P35","Buena",0.142,0.209,0.138,0.019
"P35","Ni buena ni mala",0.402,0.276,0.247,0.352
"P35","Mala",0.134,0.259,0.245,0.295
"P35","Muy mala",0.093,0.099,0.169,0.047
"P35","No sabe",0.028,0.025,0.055,0.067
"P36","Muy buena",0.226,0.177,0.185,0.26
"P36","Buena",0.1,0.173,0.076,0.136
"P36","Ni buena ni mala",0.146,0.088,0.085,0.191
"P36","Mala",0.258,0.237,0.307,0.229
"P36","Muy mala",0.257,0.321,0.347,0.184
"P36","No sabe",0.013,0.004,0,0
"P37","Muy buena",0.193,0.112,0.106,0.092
"P37","Buena",0.128,0.187,0.179,0.076
"P37","Ni buena ni mala",0.246,0.195,0.244,0.31
"P37","Mala",0.252,0.277,0.266,0.112
"P37","Muy mala",0.168,0.226,0.205,0.41
"P37","No sabe",0.013,0.003,0,0
"P38","Muy buena",0.116,0.083,0.083,0.179
"P38","Buena",0.155,0.201,0.144,0.056
"P38","Ni buena ni mala",0.216,0.2,0.138,0.216
"P38","Mala",0.223,0.248,0.306,0.324
"P38","Muy mala",0.268,0.261,0.329,0.225
"P38","No sabe",0.022,0.007,0,0
"P39","Muy buena",0.426,0.347,0.363,0.244
"P39","Buena",0.086,0.192,0.136,0.07
"P39","Ni buena ni mala",0.169,0.105,0.116,0.026
"P39","Mala",0.127,0.197,0.164,0.157
"P39","Muy mala",0.171,0.156,0.219,0.458
"P39","No sabe",0.021,0.003,0.002,0.045
"P40","Muy buena",0.34,0.277,0.26,0.222
"P40","Buena",0.205,0.213,0.206,0.152
"P40","Ni buena ni mala",0.114,0.117,0.181,0.012
"P40","Mala",0.17,0.196,0.129,0.079
"P40","Muy mala",0.171,0.195,0.224,0.526
"P40","No sabe",0,0.002,0,0.009
"P41","Muy buena",0.243,0.149,0.172,0.028
"P41","Buena",0.133,0.164,0.175,0.129
"P41","Ni buena ni mala",0.331,0.265,0.301,0.161
"P41","Mala",0.144,0.201,0.141,0.155
"P41","Muy mala",0.123,0.168,0.198,0.383
"P41","No sabe",0.026,0.053,0.013,0.144
"P42","Muy buena",0.337,0.366,0.362,0.275
"P42","Buena",0.157,0.157,0.118,0.027
"P42","Ni buena ni mala",0.232,0.108,0.215,0.075
"P42","Mala",0.102,0.155,0.057,0.144
"P42","Muy mala",0.149,0.189,0.232,0.396
"P42","No sabe",0.023,0.025,0.016,0.083
"P43","Muy buena",0.112,0.11,0.073,0
"P43","Buena",0.155,0.21,0.175,0.136
"P43","Ni buena ni mala",0.485,0.383,0.387,0.373
"P43","Mala",0.105,0.2,0.185,0.128
"P43","Muy mala",0.105,0.062,0.141,0.269
"P43","No sabe",0.038,0.035,0.039,0.094
"P44","Muy buena",0.174,0.147,0.142,0.047
"P44","Buena",0.186,0.199,0.187,0.057
"P44","Ni buena ni mala",0.294,0.25,0.239,0.211
"P44","Mala",0.109,0.174,0.156,0.125
"P44","Muy mala",0.2,0.215,0.25,0.485
"P44","No sabe",0.037,0.015,0.026,0.075
"P45","Muy buena",0.161,0.127,0.125,0
"P45","Buena",0.089,0.133,0.159,0.158
"P45","Ni buena ni mala",0.415,0.347,0.292,0.209
"P45","Mala",0.119,0.193,0.184,0.063
"P45","Muy mala",0.143,0.13,0.161,0.226
"P45","No sabe",0.073,0.07,0.079,0.344
