"var","categoria","La capacitación para atender a la gente","La infraestructura y equipamiento de la fuerza","La formación técnica y profesional","La cantidad y distribución de los efectivos","La velocidad de respuesta ante las denuncias","Otros","No sabe"
"P20","Si",0.47,0.459,0.395,0.462,0.303,0.127,0.498
"P20","No",0.216,0.302,0.267,0.319,0.195,0.515,0.09
"P20","No sabe",0.314,0.239,0.338,0.219,0.502,0.358,0.412
"P23","Buena",0.365,0.301,0.174,0.136,0.167,0.241,0.301
"P23","Regular",0.41,0.518,0.509,0.41,0.318,0.35,0.129
"P23","Mala",0.203,0.169,0.277,0.432,0.476,0.35,0.268
"P23","No sabe",0.022,0.012,0.04,0.022,0.039,0.059,0.302
"P24","Buena",0.244,0.341,0.123,0.098,0.145,0.217,0.274
"P24","Regular",0.544,0.498,0.518,0.611,0.478,0.317,0.25
"P24","Mala",0.172,0.149,0.309,0.242,0.339,0.392,0.141
"P24","No sabe",0.04,0.012,0.05,0.049,0.038,0.074,0.335
"P25","Buena",0.243,0.365,0.129,0.164,0.09,0.209,0.183
"P25","Regular",0.461,0.438,0.311,0.372,0.503,0.35,0.233
"P25","Mala",0.203,0.088,0.375,0.261,0.223,0.243,0.028
"P25","No sabe",0.093,0.109,0.185,0.203,0.184,0.198,0.556
"P27","Alto",0.178,0.359,0.089,0.159,0.047,0.298,0.253
"P27","Regular",0.556,0.529,0.409,0.575,0.458,0.301,0.233
"P27","Bajo",0.248,0.105,0.472,0.22,0.42,0.367,0.214
"P27","No sabe",0.018,0.007,0.03,0.046,0.075,0.034,0.3
"P28","El gobierno de Javier Milei",0.433,0.173,0.265,0.206,0.229,0.244,0.271
"P28","El gobierno de Alberto Fernández",0.437,0.733,0.527,0.638,0.534,0.565,0.52
"P28","Ambos",0.115,0.057,0.183,0.144,0.182,0.16,0.2
"P28","No sabe",0.015,0.037,0.025,0.012,0.055,0.031,0.009
"P29","Dividirla en partes y transformarlas en varios decretos de necesidad y urgencia",0.191,0.249,0.123,0.247,0.099,0.135,0.019
"P29","Dividirlas en diferentes leyes que se puedan ir votando paulatinamente",0.363,0.38,0.377,0.203,0.382,0.26,0.098
"P29","Realizar un plebiscito sobre la necesidad del tratamiento de la ley ómnibus",0.158,0.174,0.119,0.149,0.18,0.263,0.278
"P29","Retirarla y no presentar nada",0.25,0.145,0.284,0.249,0.216,0.172,0.192
"P29","Volverla a presentar igual",0.002,0.036,0.073,0.082,0.105,0.071,0.12
"P29","No sabe",0.036,0.016,0.024,0.07,0.018,0.099,0.293
"P30","Javier Milei",0.428,0.545,0.464,0.447,0.51,0.503,0.383
"P30","Los gobernadores",0.498,0.388,0.436,0.413,0.38,0.365,0.447
"P30","No sabe",0.074,0.067,0.1,0.14,0.11,0.132,0.17
"P31","Muy buena",0.385,0.229,0.176,0.221,0.194,0.064,0.035
"P31","Buena",0.36,0.268,0.311,0.23,0.293,0.333,0.392
"P31","Ni buena ni mala",0.217,0.293,0.364,0.281,0.438,0.395,0.487
"P31","Mala",0.032,0.112,0.115,0.238,0.057,0.129,0.039
"P31","Muy mala",0.006,0.058,0.031,0.03,0.018,0.059,0.023
"P31","No sabe",0,0.04,0.003,0,0,0.02,0.024
"P32","Muy buena",0.276,0.049,0.122,0.048,0.049,0.05,0.118
"P32","Buena",0.175,0.223,0.175,0.171,0.278,0.229,0.031
"P32","Ni buena ni mala",0.375,0.335,0.357,0.317,0.265,0.427,0.416
"P32","Mala",0.132,0.258,0.229,0.342,0.204,0.156,0.088
"P32","Muy mala",0.032,0.062,0.105,0.107,0.074,0.112,0.038
"P32","No sabe",0.01,0.073,0.012,0.015,0.13,0.026,0.309
"P33","Muy buena",0.16,0.034,0.098,0.01,0.099,0.016,0.126
"P33","Buena",0.158,0.197,0.072,0.165,0.077,0.14,0.132
"P33","Ni buena ni mala",0.321,0.268,0.263,0.165,0.207,0.371,0.208
"P33","Mala",0.306,0.279,0.335,0.455,0.386,0.227,0.38
"P33","Muy mala",0.043,0.173,0.204,0.187,0.129,0.24,0.089
"P33","No sabe",0.012,0.049,0.028,0.018,0.102,0.006,0.065
"P34","Muy buena",0.147,0.039,0.056,0.051,0.061,0.012,0.147
"P34","Buena",0.19,0.201,0.099,0.153,0.189,0.132,0.078
"P34","Ni buena ni mala",0.441,0.435,0.408,0.377,0.41,0.501,0.463
"P34","Mala",0.158,0.172,0.245,0.323,0.193,0.083,0.108
"P34","Muy mala",0.039,0.086,0.131,0.075,0.063,0.182,0.02
"P34","No sabe",0.025,0.067,0.061,0.021,0.084,0.09,0.184
"P35","Muy buena",0.317,0.071,0.11,0.126,0.127,0.171,0.235
"P35","Buena",0.16,0.196,0.186,0.106,0.185,0.083,0.153
"P35","Ni buena ni mala",0.265,0.332,0.307,0.333,0.32,0.24,0.255
"P35","Mala",0.159,0.258,0.247,0.263,0.242,0.187,0.152
"P35","Muy mala",0.066,0.1,0.137,0.138,0.031,0.28,0.149
"P35","No sabe",0.033,0.043,0.013,0.034,0.095,0.039,0.056
"P36","Muy buena",0.335,0.11,0.189,0.159,0.124,0.146,0.256
"P36","Buena",0.173,0.127,0.15,0.084,0.07,0.027,0.111
"P36","Ni buena ni mala",0.115,0.11,0.102,0.04,0.12,0.156,0.174
"P36","Mala",0.241,0.293,0.23,0.329,0.281,0.301,0.104
"P36","Muy mala",0.136,0.342,0.329,0.388,0.4,0.35,0.355
"P36","No sabe",0,0.018,0,0,0.005,0.02,0
"P37","Muy buena",0.168,0.167,0.092,0.164,0.053,0.154,0.065
"P37","Buena",0.162,0.248,0.146,0.153,0.077,0.185,0.202
"P37","Ni buena ni mala",0.212,0.248,0.175,0.29,0.343,0.131,0.259
"P37","Mala",0.341,0.194,0.304,0.225,0.219,0.142,0.186
"P37","Muy mala",0.117,0.125,0.283,0.166,0.308,0.373,0.288
"P37","No sabe",0,0.018,0,0.002,0,0.015,0
"P38","Muy buena",0.202,0.053,0.071,0.074,0.068,0.04,0.123
"P38","Buena",0.211,0.194,0.158,0.18,0.123,0.066,0.111
"P38","Ni buena ni mala",0.236,0.15,0.216,0.097,0.12,0.255,0.25
"P38","Mala",0.216,0.272,0.254,0.322,0.374,0.122,0.234
"P38","Muy mala",0.135,0.301,0.295,0.327,0.315,0.497,0.282
"P38","No sabe",0,0.03,0.006,0,0,0.02,0
"P39","Muy buena",0.323,0.453,0.358,0.414,0.335,0.264,0.356
"P39","Buena",0.114,0.21,0.113,0.102,0.211,0.257,0.078
"P39","Ni buena ni mala",0.158,0.086,0.109,0.189,0.123,0.027,0.094
"P39","Mala",0.235,0.15,0.212,0.091,0.088,0.043,0.225
"P39","Muy mala",0.144,0.099,0.204,0.202,0.243,0.389,0.235
"P39","No sabe",0.026,0.002,0.004,0.002,0,0.02,0.012
"P40","Muy buena",0.242,0.388,0.312,0.218,0.193,0.267,0.285
"P40","Buena",0.165,0.226,0.17,0.233,0.303,0.262,0.243
"P40","Ni buena ni mala",0.196,0.155,0.085,0.203,0.1,0.007,0.048
"P40","Mala",0.205,0.136,0.201,0.135,0.149,0.071,0.113
"P40","Muy mala",0.192,0.095,0.232,0.211,0.255,0.378,0.297
"P40","No sabe",0,0,0,0,0,0.015,0.014
"P41","Muy buena",0.196,0.244,0.15,0.15,0.094,0.212,0.131
"P41","Buena",0.145,0.174,0.166,0.135,0.172,0.121,0.202
"P41","Ni buena ni mala",0.269,0.358,0.241,0.357,0.332,0.222,0.155
"P41","Mala",0.254,0.112,0.202,0.134,0.1,0.087,0.12
"P41","Muy mala",0.135,0.083,0.198,0.208,0.174,0.331,0.259
"P41","No sabe",0.001,0.029,0.043,0.016,0.128,0.027,0.133
"P42","Muy buena",0.265,0.43,0.32,0.406,0.424,0.38,0.358
"P42","Buena",0.135,0.133,0.152,0.165,0.141,0.106,0.086
"P42","Ni buena ni mala",0.202,0.244,0.137,0.164,0.111,0.074,0.163
"P42","Mala",0.196,0.102,0.137,0.022,0.028,0.063,0.178
"P42","Muy mala",0.189,0.078,0.246,0.195,0.215,0.34,0.183
"P42","No sabe",0.013,0.013,0.008,0.048,0.081,0.037,0.032
"P43","Muy buena",0.115,0.096,0.089,0.055,0.145,0.077,0.127
"P43","Buena",0.217,0.205,0.16,0.229,0.096,0.209,0.105
"P43","Ni buena ni mala",0.376,0.503,0.399,0.396,0.403,0.31,0.448
"P43","Mala",0.209,0.107,0.197,0.222,0.107,0.094,0.138
"P43","Muy mala",0.066,0.052,0.121,0.05,0.158,0.276,0.139
"P43","No sabe",0.017,0.037,0.034,0.048,0.091,0.034,0.043
"P44","Muy buena",0.187,0.178,0.111,0.139,0.171,0.135,0.097
"P44","Buena",0.108,0.261,0.202,0.219,0.097,0.248,0.164
"P44","Ni buena ni mala",0.296,0.316,0.204,0.276,0.226,0.199,0.322
"P44","Mala",0.225,0.125,0.186,0.106,0.077,0.042,0.112
"P44","Muy mala",0.184,0.108,0.291,0.212,0.298,0.354,0.248
"P44","No sabe",0,0.012,0.006,0.048,0.131,0.022,0.057
"P45","Muy buena",0.194,0.183,0.091,0.09,0.117,0.099,0.07
"P45","Buena",0.097,0.183,0.138,0.155,0.053,0.081,0.223
"P45","Ni buena ni mala",0.304,0.392,0.332,0.351,0.353,0.42,0.203
"P45","Mala",0.234,0.144,0.16,0.213,0.103,0.072,0.135
"P45","Muy mala",0.128,0.059,0.186,0.111,0.178,0.269,0.165
"P45","No sabe",0.043,0.039,0.093,0.08,0.196,0.059,0.204
