"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P46","Patricia Bullrich por Juntos por el Cambio",0.098,0.843,0.219
"P46","Wado de Pedro por el Frente de Todos",0.669,0.082,0.194
"P46","No sabe",0.233,0.075,0.587
"P47","Patricia Bullrich por Juntos por el Cambio",0.064,0.935,0.278
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.858,0.018,0.236
"P47","No sabe",0.078,0.047,0.486
"P48","Muy buena",0.138,0.112,0.077
"P48","Buena",0.393,0.015,0.089
"P48","Ni buena ni mala",0.296,0.032,0.221
"P48","Mala",0.114,0.066,0.155
"P48","Muy mala",0.048,0.773,0.443
"P48","No sabe",0.011,0.002,0.015
"P49","Muy buena",0.146,0.013,0.04
"P49","Buena",0.329,0.01,0.086
"P49","Ni buena ni mala",0.343,0.019,0.21
"P49","Mala",0.112,0.114,0.16
"P49","Muy mala",0.064,0.837,0.484
"P49","No sabe",0.006,0.007,0.02
"P50","Muy buena",0.608,0.016,0.182
"P50","Buena",0.172,0.003,0.077
"P50","Ni buena ni mala",0.103,0.012,0.113
"P50","Mala",0.052,0.049,0.071
"P50","Muy mala",0.061,0.919,0.542
"P50","No sabe",0.004,0.001,0.015
"P51","Muy buena",0.098,0.305,0.049
"P51","Buena",0.04,0.315,0.076
"P51","Ni buena ni mala",0.035,0.182,0.202
"P51","Mala",0.192,0.063,0.202
"P51","Muy mala",0.628,0.134,0.445
"P51","No sabe",0.007,0.001,0.026
"P52","Muy buena",0.033,0.249,0.067
"P52","Buena",0.04,0.338,0.137
"P52","Ni buena ni mala",0.13,0.246,0.227
"P52","Mala",0.208,0.087,0.142
"P52","Muy mala",0.567,0.073,0.36
"P52","No sabe",0.022,0.007,0.067
"P53","Muy buena",0.21,0.033,0.027
"P53","Buena",0.363,0.054,0.069
"P53","Ni buena ni mala",0.275,0.087,0.203
"P53","Mala",0.068,0.163,0.218
"P53","Muy mala",0.075,0.656,0.437
"P53","No sabe",0.009,0.007,0.046
"P54","Muy buena",0.055,0.469,0.095
"P54","Buena",0.047,0.274,0.146
"P54","Ni buena ni mala",0.095,0.114,0.216
"P54","Mala",0.135,0.038,0.15
"P54","Muy mala",0.657,0.096,0.351
"P54","No sabe",0.011,0.009,0.042
"P55","Muy buena",0.033,0.253,0.223
"P55","Buena",0.035,0.251,0.145
"P55","Ni buena ni mala",0.086,0.309,0.233
"P55","Mala",0.141,0.1,0.093
"P55","Muy mala",0.676,0.068,0.262
"P55","No sabe",0.029,0.019,0.044
"P56","Muy buena",0.017,0.321,0.102
"P56","Buena",0.018,0.327,0.152
"P56","Ni buena ni mala",0.091,0.197,0.202
"P56","Mala",0.181,0.086,0.147
"P56","Muy mala",0.675,0.06,0.348
"P56","No sabe",0.018,0.009,0.049
"P57","Muy buena",0.338,0.048,0.087
"P57","Buena",0.265,0.056,0.099
"P57","Ni buena ni mala",0.167,0.164,0.246
"P57","Mala",0.08,0.182,0.125
"P57","Muy mala",0.098,0.501,0.321
"P57","No sabe",0.052,0.049,0.122
"P58","Muy buena",0.099,0.079,0.089
"P58","Buena",0.128,0.159,0.13
"P58","Ni buena ni mala",0.341,0.333,0.335
"P58","Mala",0.185,0.184,0.124
"P58","Muy mala",0.168,0.202,0.217
"P58","No sabe",0.079,0.043,0.105
"P59","Muy buena",0.022,0.094,0.035
"P59","Buena",0.037,0.197,0.097
"P59","Ni buena ni mala",0.216,0.328,0.322
"P59","Mala",0.183,0.139,0.118
"P59","Muy mala",0.456,0.163,0.266
"P59","No sabe",0.086,0.079,0.162
"P60","Siempre",0.312,0.281,0.223
"P60","Casi siempre",0.381,0.384,0.393
"P60","Casi nunca",0.223,0.228,0.259
"P60","Nunca, pero esta es una excepción",0.084,0.107,0.125
"P61","Si",0.619,0.565,0.508
"P61","No",0.381,0.435,0.492
