"var","categoria","Patricia Bullrich por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","No sabe"
"P33","Otro candidato",0.086,0.135,0.174
"P33","Aún no lo tengo decidido",0.075,0.065,0.176
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.081,0.705,0.263
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.467,0.074,0.158
"P35","Javier Milei por los liberales libertarios",0.307,0.134,0.234
"P35","Nicolás del Caño por la izquierda",0.002,0.03,0.033
"P35","Otro candidato",0.101,0.034,0.14
"P35","Aún no lo tengo decidido",0.042,0.023,0.172
"P36","Sergio Massa por el Frente de Todos",0.056,0.575,0.24
"P36","Mauricio Macri por Juntos por el Cambio",0.551,0.051,0.116
"P36","Javier Milei por los liberales libertarios",0.264,0.124,0.233
"P36","Nicolás del Caño por la izquierda",0.003,0.042,0.044
"P36","Otro candidato",0.082,0.146,0.173
"P36","Aún no lo tengo decidido",0.044,0.062,0.194
"P37","Wado de Pedro por el Frente de Todos",0.039,0.684,0.128
"P37","Mauricio Macri por Juntos por el Cambio",0.572,0.058,0.108
"P37","Javier Milei por los liberales libertarios",0.258,0.111,0.256
"P37","Nicolás del Caño por la izquierda",0.005,0.034,0.044
"P37","Otro candidato",0.076,0.072,0.226
"P37","Aún no lo tengo decidido",0.05,0.041,0.238
"P38","Wado de Pedro por el Frente de Todos",0.04,0.694,0.124
"P38","Patricia Bullrich por Juntos por el Cambio",0.673,0.065,0.093
"P38","Javier Milei por los liberales libertarios",0.197,0.111,0.245
"P38","Nicolás del Caño por la izquierda",0.004,0.031,0.044
"P38","Otro candidato",0.04,0.07,0.245
"P38","Aún no lo tengo decidido",0.046,0.029,0.249
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.044,0.724,0.26
"P39","Patricia Bullrich por Juntos por el Cambio",0.687,0.075,0.08
"P39","Javier Milei por los liberales libertarios",0.198,0.105,0.261
"P39","Nicolás del Caño por la izquierda",0.006,0.024,0.046
"P39","Otro candidato",0.034,0.038,0.181
"P39","Aún no lo tengo decidido",0.031,0.034,0.172
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.117,0.774,0.247
"P40","Mauricio Macri por Juntos por el Cambio",0.746,0.115,0.261
"P40","No sabe",0.137,0.111,0.492
"P41","Wado de Pedro por el Frente de Todos",0.057,0.769,0.13
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.718,0.11,0.23
"P41","No sabe",0.225,0.121,0.64
"P42","Sergio Massa por el Frente de Todos",0.061,0.682,0.259
"P42","Patricia Bullrich por Juntos por el Cambio",0.885,0.115,0.138
"P42","No sabe",0.054,0.203,0.603
"P43","Sergio Massa por el Frente de Todos",0.059,0.699,0.283
"P43","Mauricio Macri por Juntos por el Cambio",0.835,0.14,0.149
"P43","No sabe",0.106,0.161,0.568
"P44","Sergio Massa por el Frente de Todos",0.065,0.691,0.252
"P44","Javier Milei por los liberales libertarios",0.628,0.163,0.267
"P44","No sabe",0.307,0.146,0.481
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.317,0.36,0.166
"P45","Javier Milei por los liberales libertarios",0.485,0.192,0.234
"P45","No sabe",0.198,0.448,0.6
"P47","Patricia Bullrich por Juntos por el Cambio",0.944,0.127,0.167
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.038,0.801,0.297
"P47","No sabe",0.018,0.072,0.536
"P48","Muy buena",0.095,0.164,0.084
"P48","Buena",0.023,0.334,0.154
"P48","Ni buena ni mala",0.035,0.294,0.22
"P48","Mala",0.066,0.115,0.155
"P48","Muy mala",0.779,0.09,0.362
"P48","No sabe",0.002,0.003,0.025
"P49","Muy buena",0.021,0.114,0.067
"P49","Buena",0.025,0.288,0.117
"P49","Ni buena ni mala",0.032,0.302,0.24
"P49","Mala",0.113,0.126,0.145
"P49","Muy mala",0.806,0.169,0.4
"P49","No sabe",0.003,0.001,0.031
"P50","Muy buena",0.034,0.603,0.17
"P50","Buena",0.016,0.122,0.115
"P50","Ni buena ni mala",0.015,0.067,0.151
"P50","Mala",0.042,0.042,0.096
"P50","Muy mala",0.891,0.165,0.453
"P50","No sabe",0.002,0.001,0.015
"P51","Muy buena",0.284,0.116,0.069
"P51","Buena",0.28,0.059,0.122
"P51","Ni buena ni mala",0.189,0.049,0.164
"P51","Mala",0.073,0.163,0.218
"P51","Muy mala",0.17,0.611,0.402
"P51","No sabe",0.004,0.002,0.025
"P52","Muy buena",0.229,0.046,0.09
"P52","Buena",0.32,0.067,0.138
"P52","Ni buena ni mala",0.246,0.122,0.234
"P52","Mala",0.08,0.209,0.157
"P52","Muy mala",0.113,0.549,0.309
"P52","No sabe",0.012,0.007,0.072
"P53","Muy buena",0.035,0.145,0.108
"P53","Buena",0.067,0.302,0.127
"P53","Ni buena ni mala",0.087,0.264,0.22
"P53","Mala",0.155,0.127,0.158
"P53","Muy mala",0.648,0.156,0.341
"P53","No sabe",0.008,0.006,0.046
"P54","Muy buena",0.47,0.06,0.084
"P54","Buena",0.287,0.049,0.111
"P54","Ni buena ni mala",0.105,0.093,0.233
"P54","Mala",0.028,0.116,0.193
"P54","Muy mala",0.104,0.673,0.329
"P54","No sabe",0.006,0.009,0.05
"P55","Muy buena",0.229,0.085,0.202
"P55","Buena",0.26,0.082,0.068
"P55","Ni buena ni mala",0.301,0.079,0.251
"P55","Mala",0.097,0.105,0.143
"P55","Muy mala",0.091,0.645,0.269
"P55","No sabe",0.022,0.004,0.067
"P56","Muy buena",0.293,0.062,0.1
"P56","Buena",0.328,0.057,0.097
"P56","Ni buena ni mala",0.203,0.072,0.209
"P56","Mala",0.074,0.159,0.201
"P56","Muy mala",0.091,0.637,0.345
"P56","No sabe",0.011,0.013,0.048
"P57","Muy buena",0.056,0.324,0.096
"P57","Buena",0.053,0.281,0.093
"P57","Ni buena ni mala",0.157,0.16,0.266
"P57","Mala",0.174,0.067,0.154
"P57","Muy mala",0.505,0.136,0.258
"P57","No sabe",0.055,0.032,0.133
"P58","Muy buena",0.085,0.07,0.112
"P58","Buena",0.162,0.111,0.144
"P58","Ni buena ni mala",0.348,0.337,0.31
"P58","Mala",0.178,0.196,0.124
"P58","Muy mala",0.192,0.227,0.166
"P58","No sabe",0.035,0.059,0.144
"P59","Muy buena",0.091,0.022,0.041
"P59","Buena",0.198,0.045,0.084
"P59","Ni buena ni mala",0.33,0.193,0.34
"P59","Mala",0.133,0.186,0.129
"P59","Muy mala",0.172,0.475,0.233
"P59","No sabe",0.076,0.079,0.173
"P60","Siempre",0.281,0.289,0.254
"P60","Casi siempre",0.404,0.393,0.335
"P60","Casi nunca",0.225,0.221,0.267
"P60","Nunca, pero esta es una excepción",0.09,0.097,0.144
"P61","Si",0.57,0.595,0.531
"P61","No",0.43,0.405,0.469
