"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Martín Lousteau"
"P17","Agua corriente y cloacas",0.515,0.498,0.643,0.745,0.116
"P17","Energía eléctrica",0.151,0.09,0.037,0.057,0.119
"P17","Red de gas natural",0.134,0.086,0.053,0,0
"P17","Recolección de residuos",0.091,0.193,0.211,0.182,0.765
"P17","Ninguno",0.109,0.133,0.056,0.016,0
"P18","Los robos",0.446,0.456,0.416,0.534,0.235
"P18","El narcotráfico",0.149,0.12,0.248,0.015,0
"P18","La ausencia de patrulleros y personal policial",0.247,0.159,0.172,0.179,0.765
"P18","Otro",0.158,0.152,0.164,0.272,0
"P18","Ninguno",0,0.113,0,0,0
"P19","Muy buena",0.059,0.053,0.003,0.157,0.228
"P19","Buena",0.073,0.074,0.079,0.177,0
"P19","Ni buena ni mala",0.577,0.191,0.182,0.599,0.653
"P19","Mala",0.094,0.226,0.441,0.031,0
"P19","Muy mala",0.174,0.433,0.243,0.036,0
"P19","No sabe",0.023,0.023,0.052,0,0.119
"P20","Muy buena",0.059,0.048,0,0,0.116
"P20","Buena",0.064,0.048,0.026,0.159,0
"P20","Ni buena ni mala",0.336,0.315,0.212,0.532,0.884
"P20","Mala",0.309,0.344,0.44,0.213,0
"P20","Muy mala",0.215,0.221,0.281,0.075,0
"P20","No sabe",0.017,0.024,0.041,0.021,0
"P21","Al candidato del Frente de Todos",0.213,0.036,0.009,0.258,0.769
"P21","Al candidato de Juntos por el Cambio",0.72,0.747,0.685,0.384,0.231
"P21","Al candidato de la Izquierda",0.003,0,0.007,0.157,0
"P21","A otro candidato",0,0.008,0.003,0.016,0
"P21","No sabe",0.064,0.209,0.296,0.185,0
"P22","A Gustavo Menéndez",0.976,0.892,0,1,0
"P22","A Karina Menéndez",0,0,0,0,1
"P22","A Florencia Lizaraso",0.024,0.108,0,0,0
"P22","A Raúl Otahacé",0,0,0,0,0
"P22","No sabe",0,0,1,0,0
"P28","Seguro lo votaria",0.228,0.151,0.066,0.065,0.116
"P28","Quizás lo votaría",0.105,0.454,0.326,0.075,0.119
"P28","Nunca lo votaría",0.667,0.395,0.608,0.86,0.765
"P29","Muy buena",0.065,0.007,0.004,0,0.116
"P29","Buena",0.009,0.162,0.008,0.142,0.652
"P29","Ni buena ni mala",0.203,0.008,0.005,0.156,0
"P29","Mala",0.207,0.056,0.117,0.256,0
"P29","Muy mala",0.516,0.767,0.855,0.446,0.232
"P29","No sabe",0,0,0.011,0,0
"P30","Muy buena",0.186,0.531,0.239,0,0
"P30","Buena",0.23,0.187,0.252,0.053,0
"P30","Ni buena ni mala",0.253,0.176,0.26,0.285,0.119
"P30","Mala",0.025,0.103,0.204,0.048,0.113
"P30","Muy mala",0.201,0.003,0.03,0.614,0.768
"P30","No sabe",0.105,0,0.015,0,0
"P31","Muy buena",0.06,0.004,0.004,0.413,0.768
"P31","Buena",0.004,0.118,0.003,0,0
"P31","Ni buena ni mala",0.14,0.019,0,0.142,0.119
"P31","Mala",0.039,0.113,0.071,0.014,0
"P31","Muy mala",0.757,0.741,0.918,0.431,0.113
"P31","No sabe",0,0.005,0.004,0,0
"P32","Muy buena",0.646,0.432,0.257,0.03,0
"P32","Buena",0.155,0.163,0.374,0.339,0.113
"P32","Ni buena ni mala",0.185,0.381,0.201,0.061,0.119
"P32","Mala",0,0.015,0.149,0.158,0
"P32","Muy mala",0.014,0.009,0.004,0.256,0.768
"P32","No sabe",0,0,0.015,0.156,0
"P33","Muy buena",0.06,0,0.004,0,0.116
"P33","Buena",0.254,0.005,0.013,0,0.652
"P33","Ni buena ni mala",0.231,0.209,0.087,0.313,0
"P33","Mala",0.177,0.08,0.259,0.319,0.113
"P33","Muy mala",0.278,0.706,0.628,0.368,0.119
"P33","No sabe",0,0,0.009,0,0
"P34","Muy buena",0.119,0.594,0.648,0.069,0.119
"P34","Buena",0.328,0.241,0.278,0.317,0.113
"P34","Ni buena ni mala",0.231,0.16,0.019,0.044,0
"P34","Mala",0.099,0,0,0.172,0
"P34","Muy mala",0.128,0,0.055,0.398,0.768
"P34","No sabe",0.095,0.005,0,0,0
"P35","Muy buena",0.019,0.142,0.026,0.033,0.12
"P35","Buena",0.225,0.466,0.246,0.077,0
"P35","Ni buena ni mala",0.277,0.252,0.376,0.2,0
"P35","Mala",0.091,0.037,0.325,0.404,0.113
"P35","Muy mala",0.254,0.084,0.023,0.286,0.767
"P35","No sabe",0.134,0.019,0.004,0,0
