"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P15","Lo votaría",0.729,0.046,0.062
"P15","Puede que lo vote",0.104,0.025,0.066
"P15","Nunca lo votaría",0.104,0.901,0.768
"P15","No sabe",0.063,0.028,0.104
"P16","Lo votaría",0.265,0.046,0.046
"P16","Puede que lo vote",0.39,0.076,0.108
"P16","Nunca lo votaría",0.21,0.845,0.703
"P16","No sabe",0.135,0.033,0.143
"P17","Lo votaría",0.052,0.378,0.086
"P17","Puede que lo vote",0.129,0.384,0.256
"P17","Nunca lo votaría",0.751,0.194,0.495
"P17","No sabe",0.068,0.044,0.163
"P18","Lo votaría",0.035,0.314,0.048
"P18","Puede que lo vote",0.095,0.387,0.185
"P18","Nunca lo votaría",0.77,0.216,0.559
"P18","No sabe",0.1,0.083,0.208
"P19","Lo votaría",0.316,0.056,0.086
"P19","Puede que lo vote",0.407,0.077,0.144
"P19","Nunca lo votaría",0.234,0.844,0.689
"P19","No sabe",0.043,0.023,0.081
"P20","Lo votaría",0.046,0.076,0.037
"P20","Puede que lo vote",0.146,0.259,0.129
"P20","Nunca lo votaría",0.63,0.504,0.603
"P20","No sabe",0.178,0.161,0.231
"P21","Lo votaría",0.043,0.307,0.28
"P21","Puede que lo vote",0.067,0.354,0.209
"P21","Nunca lo votaría",0.812,0.271,0.379
"P21","No sabe",0.078,0.068,0.132
"P22","Lo votaría",0.025,0.053,0.052
"P22","Puede que lo vote",0.063,0.141,0.072
"P22","Nunca lo votaría",0.671,0.533,0.528
"P22","No sabe",0.241,0.273,0.348
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.032,0.283,0.045
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.031,0.146,0.124
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.032,0.287,0.126
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.057,0.019,0.06
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.647,0.037,0.026
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.143,0.042,0.09
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.015,0.16,0.333
"P23","A los candidatos de la izquierda",0.021,0.004,0.034
"P23","Otros candidatos",0.022,0.022,0.162
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.047,0.458,0.119
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.031,0.233,0.131
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.156,0.038,0.056
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.571,0.047,0.075
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.044,0.167,0.378
"P24","A los candidatos de la izquierda",0.055,0.018,0.051
"P24","Otros candidatos",0.096,0.039,0.19
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.826,0.053,0.047
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.058,0.578,0.015
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.024,0.244,0.481
"P26","A los candidatos de la izquierda",0.033,0.016,0.064
"P26","Otro candidato",0.059,0.109,0.393
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.259,0.414,0.115
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.661,0.174,0.065
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.028,0.288,0.474
"P28","A los candidatos de la izquierda",0.018,0.004,0.055
"P28","Otro candidato",0.034,0.12,0.291
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.448,0.386,0.079
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.486,0.308,0.115
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.018,0.219,0.458
"P30","A los candidatos de la izquierda",0.016,0.004,0.061
"P30","Otro candidato",0.032,0.083,0.287
"P31","Sergio Massa por el Frente de Todos",0.504,0.198,0.095
"P31","Patricia Bullrich por Juntos por el Cambio",0.191,0.506,0.108
"P31","Javier Milei por los liberales libertarios",0.024,0.195,0.442
"P31","Nicolás del Caño por la izquierda",0.038,0.004,0.053
"P31","Otro candidato",0.123,0.06,0.148
"P31","Aún no lo tengo decidido",0.12,0.037,0.154
"P33","Sergio Massa por el Frente de Todos",0.603,0.089,0.064
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.103,0.467,0.138
"P33","Javier Milei por los liberales libertarios",0.028,0.287,0.449
"P33","Nicolás del Caño por la izquierda",0.04,0.007,0.053
"P33","Otro candidato",0.142,0.097,0.111
"P33","Aún no lo tengo decidido",0.084,0.053,0.185
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.84,0.048,0.018
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.51,0.154
"P34","Javier Milei por los liberales libertarios",0.025,0.293,0.459
"P34","Nicolás del Caño por la izquierda",0.018,0.009,0.06
"P34","Otro candidato",0.043,0.102,0.136
"P34","Aún no lo tengo decidido",0.025,0.038,0.173
"P35","Sergio Massa por el Frente de Todos",0.423,0.316,0.056
"P35","Mauricio Macri por Juntos por el Cambio",0.315,0.37,0.051
"P35","Javier Milei por los liberales libertarios",0.016,0.214,0.493
"P35","Nicolás del Caño por la izquierda",0.047,0.003,0.056
"P35","Otro candidato",0.113,0.075,0.195
"P35","Aún no lo tengo decidido",0.086,0.022,0.149
"P37","Alberto Fernández por el Frente de Todos",0.701,0.047,0.066
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.071,0.789,0.237
"P37","No sabe",0.228,0.164,0.697
"P38","Sergio Massa presidente por el Frente de Todos",0.739,0.053,0.13
"P38","Patricia Bullrich por Juntos por el Cambio",0.073,0.888,0.345
"P38","No sabe",0.188,0.059,0.525
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.884,0.047,0.053
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.075,0.814,0.337
"P39","No sabe",0.041,0.139,0.61
"P40","Sergio Massa presidente por el Frente de Todos",0.779,0.062,0.106
"P40","Javier Milei por los liberales libertarios",0.065,0.572,0.461
"P40","No sabe",0.156,0.366,0.433
"P41","Sergio Massa por el Frente de Todos",0.765,0.06,0.095
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.079,0.764,0.33
"P41","No sabe",0.156,0.176,0.575
"P42","Sergio Massa por el Frente de Todos",0.793,0.061,0.13
"P42","Mauricio Macri por Juntos por el Cambio",0.087,0.897,0.204
"P42","No sabe",0.12,0.042,0.666
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.188,0.479,0.174
"P43","Javier Milei por los liberales libertarios",0.068,0.403,0.457
"P43","No sabe",0.744,0.118,0.369
"P44","Muy buena",0.139,0.042,0.024
"P44","Buena",0.363,0.053,0.134
"P44","Ni buena ni mala",0.324,0.06,0.141
"P44","Mala",0.093,0.085,0.138
"P44","Muy mala",0.074,0.758,0.535
"P44","No sabe",0.007,0.002,0.028
"P45","Muy buena",0.149,0.015,0.01
"P45","Buena",0.294,0.025,0.06
"P45","Ni buena ni mala",0.312,0.042,0.138
"P45","Mala",0.144,0.106,0.165
"P45","Muy mala",0.099,0.809,0.618
"P45","No sabe",0.002,0.003,0.009
"P46","Muy buena",0.666,0.023,0.021
"P46","Buena",0.129,0.012,0.041
"P46","Ni buena ni mala",0.088,0.021,0.092
"P46","Mala",0.02,0.033,0.123
"P46","Muy mala",0.088,0.91,0.699
"P46","No sabe",0.009,0.001,0.024
"P47","Muy buena",0.088,0.31,0.036
"P47","Buena",0.058,0.339,0.065
"P47","Ni buena ni mala",0.049,0.158,0.266
"P47","Mala",0.123,0.065,0.209
"P47","Muy mala",0.676,0.128,0.406
"P47","No sabe",0.006,0,0.018
"P48","Muy buena",0.043,0.27,0.093
"P48","Buena",0.062,0.326,0.143
"P48","Ni buena ni mala",0.105,0.215,0.322
"P48","Mala",0.185,0.082,0.153
"P48","Muy mala",0.578,0.103,0.262
"P48","No sabe",0.027,0.004,0.027
"P49","Muy buena",0.153,0.042,0.044
"P49","Buena",0.301,0.047,0.083
"P49","Ni buena ni mala",0.292,0.067,0.21
"P49","Mala",0.094,0.134,0.213
"P49","Muy mala",0.157,0.707,0.437
"P49","No sabe",0.003,0.003,0.013
"P50","Muy buena",0.061,0.514,0.148
"P50","Buena",0.047,0.278,0.128
"P50","Ni buena ni mala",0.062,0.084,0.312
"P50","Mala",0.092,0.046,0.153
"P50","Muy mala",0.721,0.076,0.237
"P50","No sabe",0.017,0.002,0.022
"P51","Muy buena",0.032,0.231,0.292
"P51","Buena",0.031,0.227,0.145
"P51","Ni buena ni mala",0.085,0.321,0.271
"P51","Mala",0.116,0.104,0.086
"P51","Muy mala",0.721,0.104,0.183
"P51","No sabe",0.015,0.013,0.023
"P52","Muy buena",0.035,0.343,0.129
"P52","Buena",0.037,0.298,0.159
"P52","Ni buena ni mala",0.072,0.205,0.265
"P52","Mala",0.105,0.061,0.148
"P52","Muy mala",0.727,0.086,0.277
"P52","No sabe",0.024,0.007,0.022
"P53","Muy buena",0.175,0.037,0.042
"P53","Buena",0.332,0.051,0.075
"P53","Ni buena ni mala",0.27,0.084,0.197
"P53","Mala",0.082,0.175,0.203
"P53","Muy mala",0.117,0.644,0.466
"P53","No sabe",0.024,0.009,0.017
"P54","Muy buena",0.047,0.078,0.089
"P54","Buena",0.109,0.166,0.138
"P54","Ni buena ni mala",0.377,0.308,0.295
"P54","Mala",0.183,0.179,0.163
"P54","Muy mala",0.209,0.239,0.222
"P54","No sabe",0.075,0.03,0.093
"P55","Muy buena",0.023,0.068,0.056
"P55","Buena",0.044,0.164,0.101
"P55","Ni buena ni mala",0.195,0.384,0.365
"P55","Mala",0.178,0.143,0.134
"P55","Muy mala",0.479,0.165,0.21
"P55","No sabe",0.081,0.076,0.134
"P56","Siempre",0.319,0.316,0.272
"P56","Casi siempre",0.399,0.411,0.337
"P56","Casi nunca",0.151,0.195,0.236
"P56","Nunca, pero esta es una excepción",0.131,0.078,0.155
"P57","Si",0.573,0.563,0.522
"P57","No",0.427,0.437,0.478
