"var","categoria","Sergio Massa presidente por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P24","A los candidatos de la izquierda",0.036,0.023,0.076
"P24","Otros candidatos",0.046,0.041,0.282
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.855,0.013,0.256
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.016,0.526,0.088
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.022,0.305,0.291
"P26","A los candidatos de la izquierda",0.031,0.018,0.071
"P26","Otro candidato",0.076,0.138,0.294
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.238,0.377,0.196
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.647,0.143,0.25
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.021,0.347,0.3
"P28","A los candidatos de la izquierda",0.031,0.004,0.039
"P28","Otro candidato",0.063,0.129,0.215
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.446,0.324,0.222
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.439,0.333,0.155
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.017,0.265,0.323
"P30","A los candidatos de la izquierda",0.028,0.004,0.05
"P30","Otro candidato",0.07,0.074,0.25
"P31","Sergio Massa por el Frente de Todos",0.581,0.173,0.089
"P31","Patricia Bullrich por Juntos por el Cambio",0.185,0.498,0.05
"P31","Javier Milei por los liberales libertarios",0.015,0.247,0.312
"P31","Nicolás del Caño por la izquierda",0.042,0.004,0.06
"P31","Otro candidato",0.093,0.046,0.25
"P31","Aún no lo tengo decidido",0.084,0.032,0.239
"P33","Sergio Massa por el Frente de Todos",0.73,0.048,0.076
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.082,0.453,0.109
"P33","Javier Milei por los liberales libertarios",0.017,0.334,0.313
"P33","Nicolás del Caño por la izquierda",0.037,0.009,0.066
"P33","Otro candidato",0.083,0.092,0.234
"P33","Aún no lo tengo decidido",0.051,0.064,0.202
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.832,0.015,0.289
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.032,0.495,0.09
"P34","Javier Milei por los liberales libertarios",0.021,0.345,0.306
"P34","Nicolás del Caño por la izquierda",0.025,0.011,0.054
"P34","Otro candidato",0.047,0.098,0.139
"P34","Aún no lo tengo decidido",0.043,0.036,0.122
"P35","Sergio Massa por el Frente de Todos",0.41,0.312,0.106
"P35","Mauricio Macri por Juntos por el Cambio",0.415,0.28,0.077
"P35","Javier Milei por los liberales libertarios",0.019,0.279,0.302
"P35","Nicolás del Caño por la izquierda",0.036,0.006,0.081
"P35","Otro candidato",0.074,0.098,0.227
"P35","Aún no lo tengo decidido",0.046,0.025,0.207
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.848,0.057,0.343
"P36","Mauricio Macri por Juntos por el Cambio",0.069,0.793,0.124
"P36","No sabe",0.083,0.15,0.533
"P37","Alberto Fernández por el Frente de Todos",0.796,0.019,0.132
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.042,0.78,0.127
"P37","No sabe",0.162,0.201,0.741
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.891,0.014,0.302
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.04,0.829,0.177
"P39","No sabe",0.069,0.157,0.521
"P40","Sergio Massa presidente por el Frente de Todos",0.926,0.023,0.122
"P40","Javier Milei por los liberales libertarios",0.017,0.636,0.269
"P40","No sabe",0.057,0.341,0.609
"P41","Sergio Massa por el Frente de Todos",0.919,0.016,0.107
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.785,0.198
"P41","No sabe",0.055,0.199,0.695
"P42","Sergio Massa por el Frente de Todos",0.956,0.018,0.132
"P42","Mauricio Macri por Juntos por el Cambio",0.01,0.877,0.169
"P42","No sabe",0.034,0.105,0.699
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.196,0.467,0.114
"P43","Javier Milei por los liberales libertarios",0.046,0.444,0.326
"P43","No sabe",0.758,0.089,0.56
"P44","Muy buena",0.115,0.059,0.039
"P44","Buena",0.397,0.047,0.162
"P44","Ni buena ni mala",0.35,0.029,0.237
"P44","Mala",0.087,0.089,0.14
"P44","Muy mala",0.039,0.773,0.401
"P44","No sabe",0.012,0.003,0.021
"P45","Muy buena",0.145,0.009,0.057
"P45","Buena",0.338,0.01,0.084
"P45","Ni buena ni mala",0.344,0.021,0.2
"P45","Mala",0.116,0.122,0.182
"P45","Muy mala",0.055,0.836,0.468
"P45","No sabe",0.002,0.002,0.009
"P46","Muy buena",0.654,0.005,0.215
"P46","Buena",0.137,0.006,0.069
"P46","Ni buena ni mala",0.13,0.007,0.078
"P46","Mala",0.023,0.046,0.09
"P46","Muy mala",0.056,0.935,0.507
"P46","No sabe",0,0.001,0.041
"P47","Muy buena",0.073,0.279,0.074
"P47","Buena",0.044,0.317,0.067
"P47","Ni buena ni mala",0.058,0.181,0.179
"P47","Mala",0.137,0.077,0.179
"P47","Muy mala",0.682,0.146,0.481
"P47","No sabe",0.006,0,0.02
"P48","Muy buena",0.025,0.26,0.087
"P48","Buena",0.05,0.329,0.085
"P48","Ni buena ni mala",0.124,0.224,0.258
"P48","Mala",0.189,0.078,0.183
"P48","Muy mala",0.585,0.099,0.37
"P48","No sabe",0.027,0.01,0.017
"P49","Muy buena",0.19,0.034,0.028
"P49","Buena",0.365,0.038,0.057
"P49","Ni buena ni mala",0.289,0.07,0.263
"P49","Mala",0.059,0.159,0.203
"P49","Muy mala",0.093,0.696,0.436
"P49","No sabe",0.004,0.003,0.013
"P50","Muy buena",0.038,0.511,0.071
"P50","Buena",0.055,0.28,0.05
"P50","Ni buena ni mala",0.076,0.097,0.269
"P50","Mala",0.104,0.047,0.151
"P50","Muy mala",0.706,0.063,0.44
"P50","No sabe",0.021,0.002,0.019
"P51","Muy buena",0.017,0.263,0.199
"P51","Buena",0.015,0.237,0.095
"P51","Ni buena ni mala",0.07,0.33,0.218
"P51","Mala",0.128,0.095,0.093
"P51","Muy mala",0.747,0.066,0.374
"P51","No sabe",0.023,0.009,0.021
"P52","Muy buena",0.02,0.326,0.117
"P52","Buena",0.017,0.298,0.129
"P52","Ni buena ni mala",0.065,0.225,0.199
"P52","Mala",0.132,0.069,0.101
"P52","Muy mala",0.738,0.08,0.424
"P52","No sabe",0.028,0.002,0.03
"P53","Muy buena",0.185,0.041,0.044
"P53","Buena",0.355,0.048,0.108
"P53","Ni buena ni mala",0.26,0.083,0.263
"P53","Mala",0.071,0.197,0.148
"P53","Muy mala",0.101,0.623,0.421
"P53","No sabe",0.028,0.008,0.016
"P54","Muy buena",0.058,0.081,0.059
"P54","Buena",0.125,0.16,0.113
"P54","Ni buena ni mala",0.4,0.308,0.272
"P54","Mala",0.161,0.195,0.158
"P54","Muy mala",0.167,0.232,0.298
"P54","No sabe",0.089,0.024,0.1
"P55","Muy buena",0.016,0.078,0.032
"P55","Buena",0.041,0.172,0.055
"P55","Ni buena ni mala",0.212,0.391,0.279
"P55","Mala",0.186,0.127,0.168
"P55","Muy mala",0.453,0.161,0.334
"P55","No sabe",0.092,0.071,0.132
"P56","Siempre",0.306,0.322,0.274
"P56","Casi siempre",0.379,0.419,0.34
"P56","Casi nunca",0.177,0.194,0.19
"P56","Nunca, pero esta es una excepción",0.138,0.065,0.196
"P57","Si",0.551,0.569,0.542
"P57","No",0.449,0.431,0.458
