"var","categoria","Cristina Fernandez de Kirchner por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.015,0.259,0.118
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.007,0.192,0.037
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.022,0.282,0.139
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.052,0.015,0.052
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.683,0.019,0.04
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.156,0.046,0.074
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.012,0.157,0.355
"P23","A los candidatos de la izquierda",0.028,0.003,0.024
"P23","Otros candidatos",0.025,0.027,0.161
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.013,0.434,0.217
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.024,0.27,0.044
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.152,0.026,0.053
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.625,0.024,0.082
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.036,0.175,0.386
"P24","A los candidatos de la izquierda",0.061,0.024,0.031
"P24","Otros candidatos",0.089,0.047,0.187
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.888,0.013,0.059
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.008,0.539,0.154
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.009,0.273,0.439
"P26","A los candidatos de la izquierda",0.043,0.014,0.06
"P26","Otro candidato",0.052,0.161,0.288
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.241,0.435,0.089
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.684,0.152,0.07
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.018,0.297,0.477
"P28","A los candidatos de la izquierda",0.026,0.005,0.045
"P28","Otro candidato",0.031,0.111,0.319
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.483,0.321,0.144
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.448,0.331,0.118
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.012,0.237,0.441
"P30","A los candidatos de la izquierda",0.027,0.004,0.05
"P30","Otro candidato",0.03,0.107,0.247
"P31","Sergio Massa por el Frente de Todos",0.528,0.167,0.118
"P31","Patricia Bullrich por Juntos por el Cambio",0.155,0.505,0.138
"P31","Javier Milei por los liberales libertarios",0.018,0.211,0.432
"P31","Nicolás del Caño por la izquierda",0.048,0.006,0.044
"P31","Otro candidato",0.12,0.071,0.134
"P31","Aún no lo tengo decidido",0.131,0.04,0.134
"P33","Sergio Massa por el Frente de Todos",0.654,0.055,0.081
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.062,0.515,0.056
"P33","Javier Milei por los liberales libertarios",0.016,0.283,0.479
"P33","Nicolás del Caño por la izquierda",0.05,0.01,0.044
"P33","Otro candidato",0.13,0.079,0.179
"P33","Aún no lo tengo decidido",0.088,0.058,0.161
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.894,0.013,0.038
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.568,0.043
"P34","Javier Milei por los liberales libertarios",0.013,0.292,0.494
"P34","Nicolás del Caño por la izquierda",0.03,0.011,0.046
"P34","Otro candidato",0.034,0.073,0.222
"P34","Aún no lo tengo decidido",0.016,0.043,0.157
"P35","Sergio Massa por el Frente de Todos",0.369,0.323,0.131
"P35","Mauricio Macri por Juntos por el Cambio",0.37,0.289,0.116
"P35","Javier Milei por los liberales libertarios",0.016,0.244,0.435
"P35","Nicolás del Caño por la izquierda",0.052,0.008,0.046
"P35","Otro candidato",0.111,0.105,0.151
"P35","Aún no lo tengo decidido",0.082,0.031,0.121
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.913,0.062,0.076
"P36","Mauricio Macri por Juntos por el Cambio",0.056,0.78,0.294
"P36","No sabe",0.031,0.158,0.63
"P37","Alberto Fernández por el Frente de Todos",0.761,0.012,0.073
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.87,0.099
"P37","No sabe",0.223,0.118,0.828
"P38","Sergio Massa presidente por el Frente de Todos",0.812,0.029,0.112
"P38","Patricia Bullrich por Juntos por el Cambio",0.019,0.891,0.371
"P38","No sabe",0.169,0.08,0.517
"P40","Sergio Massa presidente por el Frente de Todos",0.846,0.04,0.07
"P40","Javier Milei por los liberales libertarios",0.019,0.608,0.437
"P40","No sabe",0.135,0.352,0.493
"P41","Sergio Massa por el Frente de Todos",0.832,0.021,0.098
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.894,0.12
"P41","No sabe",0.161,0.085,0.782
"P42","Sergio Massa por el Frente de Todos",0.858,0.031,0.119
"P42","Mauricio Macri por Juntos por el Cambio",0.019,0.869,0.324
"P42","No sabe",0.123,0.1,0.557
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.151,0.541,0.068
"P43","Javier Milei por los liberales libertarios",0.041,0.404,0.487
"P43","No sabe",0.808,0.055,0.445
"P44","Muy buena",0.12,0.062,0.017
"P44","Buena",0.375,0.066,0.101
"P44","Ni buena ni mala",0.364,0.03,0.158
"P44","Mala",0.089,0.096,0.123
"P44","Muy mala",0.04,0.744,0.581
"P44","No sabe",0.012,0.002,0.02
"P45","Muy buena",0.16,0.008,0.013
"P45","Buena",0.32,0.015,0.053
"P45","Ni buena ni mala",0.342,0.029,0.134
"P45","Mala",0.131,0.134,0.126
"P45","Muy mala",0.045,0.811,0.666
"P45","No sabe",0.002,0.003,0.008
"P46","Muy buena",0.699,0.006,0.035
"P46","Buena",0.149,0.005,0.03
"P46","Ni buena ni mala",0.104,0.016,0.082
"P46","Mala",0.018,0.052,0.086
"P46","Muy mala",0.021,0.92,0.742
"P46","No sabe",0.009,0.001,0.025
"P47","Muy buena",0.078,0.275,0.111
"P47","Buena",0.044,0.303,0.146
"P47","Ni buena ni mala",0.044,0.185,0.21
"P47","Mala",0.134,0.074,0.178
"P47","Muy mala",0.694,0.16,0.341
"P47","No sabe",0.006,0.003,0.014
"P48","Muy buena",0.02,0.298,0.048
"P48","Buena",0.019,0.369,0.096
"P48","Ni buena ni mala",0.107,0.229,0.286
"P48","Mala",0.2,0.07,0.164
"P48","Muy mala",0.631,0.033,0.364
"P48","No sabe",0.023,0.001,0.042
"P49","Muy buena",0.16,0.043,0.038
"P49","Buena",0.318,0.054,0.055
"P49","Ni buena ni mala",0.314,0.086,0.146
"P49","Mala",0.088,0.162,0.158
"P49","Muy mala",0.117,0.651,0.59
"P49","No sabe",0.003,0.004,0.013
"P50","Muy buena",0.043,0.487,0.2
"P50","Buena",0.037,0.258,0.172
"P50","Ni buena ni mala",0.08,0.108,0.234
"P50","Mala",0.087,0.063,0.131
"P50","Muy mala",0.738,0.082,0.237
"P50","No sabe",0.015,0.002,0.026
"P51","Muy buena",0.023,0.222,0.32
"P51","Buena",0.006,0.234,0.156
"P51","Ni buena ni mala",0.061,0.351,0.228
"P51","Mala",0.122,0.106,0.071
"P51","Muy mala",0.776,0.078,0.189
"P51","No sabe",0.012,0.009,0.036
"P52","Muy buena",0.015,0.359,0.097
"P52","Buena",0.004,0.304,0.181
"P52","Ni buena ni mala",0.054,0.23,0.232
"P52","Mala",0.118,0.06,0.137
"P52","Muy mala",0.786,0.045,0.316
"P52","No sabe",0.023,0.002,0.037
"P53","Muy buena",0.175,0.044,0.031
"P53","Buena",0.349,0.055,0.055
"P53","Ni buena ni mala",0.283,0.1,0.153
"P53","Mala",0.073,0.197,0.164
"P53","Muy mala",0.1,0.596,0.571
"P53","No sabe",0.02,0.008,0.026
"P54","Muy buena",0.043,0.099,0.047
"P54","Buena",0.118,0.179,0.087
"P54","Ni buena ni mala",0.393,0.314,0.256
"P54","Mala",0.174,0.181,0.174
"P54","Muy mala",0.197,0.199,0.331
"P54","No sabe",0.075,0.028,0.105
"P55","Muy buena",0.016,0.085,0.028
"P55","Buena",0.031,0.185,0.065
"P55","Ni buena ni mala",0.187,0.421,0.28
"P55","Mala",0.183,0.127,0.164
"P55","Muy mala",0.504,0.12,0.291
"P55","No sabe",0.079,0.062,0.172
"P56","Siempre",0.305,0.327,0.268
"P56","Casi siempre",0.398,0.41,0.336
"P56","Casi nunca",0.169,0.192,0.212
"P56","Nunca, pero esta es una excepción",0.128,0.071,0.184
"P57","Si",0.553,0.57,0.539
"P57","No",0.447,0.43,0.461
