"var","categoria","Estoy de acuerdo","Debería realizarse solo en caso de violación o riesgo de vida de la madre","No estoy de acuerdo","No sabe"
"P34","Ni buena ni mala",0.106,0.116,0.151,0.165
"P34","Mala",0.083,0.12,0.11,0.133
"P34","Muy mala",0.357,0.556,0.544,0.402
"P34","No sabe",0.014,0.032,0.044,0.101
"P35","Muy buena",0.078,0.136,0.173,0.103
"P35","Buena",0.105,0.176,0.169,0.117
"P35","Ni buena ni mala",0.143,0.218,0.203,0.241
"P35","Mala",0.146,0.192,0.178,0.207
"P35","Muy mala",0.519,0.26,0.265,0.317
"P35","No sabe",0.009,0.018,0.012,0.015
"P36","Muy buena",0.085,0.15,0.139,0.1
"P36","Buena",0.157,0.231,0.194,0.148
"P36","Ni buena ni mala",0.187,0.29,0.281,0.269
"P36","Mala",0.181,0.14,0.152,0.152
"P36","Muy mala",0.361,0.148,0.159,0.203
"P36","No sabe",0.029,0.041,0.075,0.128
"P37","Muy buena",0.097,0.147,0.162,0.131
"P37","Buena",0.142,0.218,0.186,0.158
"P37","Ni buena ni mala",0.134,0.235,0.259,0.227
"P37","Mala",0.144,0.154,0.151,0.169
"P37","Muy mala",0.462,0.214,0.208,0.236
"P37","No sabe",0.021,0.032,0.034,0.079
"P38","Muy buena",0.115,0.195,0.22,0.167
"P38","Buena",0.104,0.153,0.155,0.112
"P38","Ni buena ni mala",0.161,0.291,0.286,0.305
"P38","Mala",0.109,0.116,0.08,0.089
"P38","Muy mala",0.476,0.183,0.159,0.197
"P38","No sabe",0.035,0.062,0.1,0.13
"P39","Muy buena",0.165,0.307,0.349,0.191
"P39","Buena",0.113,0.206,0.183,0.168
"P39","Ni buena ni mala",0.104,0.16,0.185,0.262
"P39","Mala",0.098,0.097,0.068,0.085
"P39","Muy mala",0.494,0.179,0.148,0.23
"P39","No sabe",0.026,0.051,0.067,0.064
"P40","Muy buena",0.072,0.034,0.025,0.027
"P40","Buena",0.185,0.102,0.132,0.134
"P40","Ni buena ni mala",0.283,0.256,0.259,0.302
"P40","Mala",0.241,0.319,0.239,0.23
"P40","Muy mala",0.186,0.253,0.282,0.247
"P40","No sabe",0.033,0.036,0.063,0.06
"P41","Muy buena",0.019,0.028,0.017,0.042
"P41","Buena",0.051,0.076,0.093,0.042
"P41","Ni buena ni mala",0.133,0.223,0.221,0.232
"P41","Mala",0.251,0.291,0.284,0.242
"P41","Muy mala",0.525,0.346,0.317,0.392
"P41","No sabe",0.021,0.036,0.068,0.05
