"var","categoria","Sí, la votaría","Puede que la vote","Nunca la votaría","No sabe"
"P39","Buena",0.066,0.092,0.224,0.127
"P39","Ni buena ni mala",0.08,0.178,0.174,0.234
"P39","Mala",0.097,0.114,0.08,0.143
"P39","Muy mala",0.615,0.426,0.14,0.261
"P39","No sabe",0.043,0.107,0.022,0.142
"P40","Muy buena",0.095,0.036,0.027,0.028
"P40","Buena",0.258,0.174,0.084,0.114
"P40","Ni buena ni mala",0.327,0.372,0.221,0.366
"P40","Mala",0.179,0.216,0.324,0.183
"P40","Muy mala",0.105,0.138,0.311,0.175
"P40","No sabe",0.036,0.064,0.033,0.134
"P41","Muy buena",0.022,0.014,0.024,0.029
"P41","Buena",0.058,0.067,0.07,0.045
"P41","Ni buena ni mala",0.145,0.202,0.2,0.306
"P41","Mala",0.222,0.32,0.292,0.178
"P41","Muy mala",0.518,0.334,0.385,0.327
"P41","No sabe",0.035,0.063,0.029,0.115
