"var","categoria","Muy importante","Algo importante","Nada importante","No sabe"
"P15","Lo votaría",0.185,0.142,0.231,0.125
"P15","Puede que lo vote",0.268,0.297,0.204,0.156
"P15","Nunca lo votaría",0.492,0.507,0.524,0.503
"P15","No sabe",0.055,0.054,0.041,0.216
"P16","Sí, lo votaría",0.291,0.423,0.475,0.236
"P16","Puede que lo vote",0.102,0.201,0.144,0.129
"P16","Nunca lo votaría",0.562,0.326,0.329,0.435
"P16","No sabe",0.045,0.05,0.052,0.2
"P17","Sí, la votaría",0.351,0.192,0.176,0.277
"P17","Puede que la vote",0.095,0.089,0.045,0.066
"P17","Nunca la votaría",0.521,0.691,0.752,0.507
"P17","No sabe",0.033,0.028,0.027,0.15
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.389,0.152,0.106,0.303
"P18","Mauricio Macri por Cambiemos",0.217,0.343,0.272,0.172
"P18","Javier Milei por los liberales",0.191,0.261,0.482,0.21
"P18","Nicolás del Caño por la izquierda",0.025,0.02,0.01,0.014
"P18","Otro candidato",0.178,0.224,0.13,0.301
"P19","Horacio Rodríguez Larreta por Cambiemos",0.26,0.307,0.217,0.215
"P19","Alberto Fernández por el Frente de Todos",0.305,0.192,0.11,0.239
"P19","Javier Milei por los liberales",0.195,0.275,0.496,0.213
"P19","Nicolás del Caño por la izquierda",0.034,0.019,0.007,0.015
"P19","Otro candidato",0.206,0.207,0.17,0.318
"P20","Mauricio Macri presidente Javier Milei vice",0.312,0.494,0.533,0.297
"P20","Sergio Massa presidente Gerardo Morales vice",0.184,0.108,0.08,0.14
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.079,0.056,0.056,0.021
"P20","No sabe",0.425,0.342,0.331,0.542
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.248,0.386,0.319,0.25
"P21","Alberto Fernández presidente Sergio Massa vice",0.194,0.108,0.055,0.14
"P21","Javier Milei presidente José Luis Espert vice",0.146,0.183,0.426,0.148
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.116,0.163,0.086,0.135
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.201,0.072,0.057,0.147
"P21","Otros candidatos",0.095,0.088,0.057,0.18
"P22","Muy buena",0.089,0.058,0.035,0.108
"P22","Buena",0.195,0.083,0.05,0.049
"P22","Ni buena ni mala",0.166,0.117,0.113,0.277
"P22","Mala",0.151,0.189,0.151,0.146
"P22","Muy mala",0.388,0.542,0.642,0.358
"P22","No sabe",0.011,0.011,0.009,0.062
"P23","Si",0.676,0.631,0.497,0.466
"P23","No",0.162,0.165,0.322,0.191
"P23","No sabe",0.162,0.204,0.181,0.343
"P24","El kirchnerismo",0.398,0.606,0.588,0.269
"P24","Cambiemos",0.207,0.102,0.115,0.142
"P24","Los medios de comunicación",0.22,0.114,0.063,0.125
"P24","Otros",0.084,0.083,0.114,0.15
"P24","No sabe",0.091,0.095,0.12,0.314
"P25","Sin deuda",0.276,0.324,0.23,0.21
"P25","Menos de 10%",0.153,0.183,0.189,0.091
"P25","Entre 10 y 20%",0.146,0.167,0.117,0.126
"P25","Entre 20 y 30%",0.102,0.088,0.107,0.102
"P25","Entre 30 y 40%",0.105,0.094,0.099,0.086
"P25","Mas del 40%",0.182,0.111,0.209,0.273
"P25","No sabe",0.036,0.033,0.049,0.112
"P26","Gran excedente habitual",0.008,0.019,0.003,0.004
"P26","Gran excedente excepcional",0.009,0.006,0.012,0.012
"P26","Pequeño excedente habitual",0.067,0.08,0.059,0.003
"P26","Pequeño excedente excepcional",0.065,0.078,0.06,0.026
"P26","Alcanza gastos familia",0.159,0.204,0.129,0.066
"P26","No alcanza gastos familia",0.164,0.162,0.156,0.258
"P26","Solo NBFamiliares",0.259,0.262,0.26,0.249
"P26","No alcanza NBFamiliares",0.26,0.177,0.309,0.354
"P26","No sabe",0.009,0.012,0.012,0.028
"P27","Muy buena",0.039,0.053,0.065,0.025
"P27","Buena",0.163,0.162,0.132,0.061
"P27","Ni buena ni mala",0.411,0.446,0.313,0.255
"P27","Mala",0.273,0.257,0.332,0.404
"P27","Muy mala",0.106,0.066,0.148,0.193
"P27","No sabe",0.008,0.016,0.01,0.062
"P28","Mejor",0.142,0.091,0.078,0.078
"P28","Igual",0.296,0.241,0.152,0.209
"P28","Peor",0.523,0.625,0.708,0.686
"P28","No sabe",0.039,0.043,0.062,0.027
"P29","Mejor",0.166,0.074,0.048,0.088
"P29","Igual",0.256,0.251,0.158,0.235
"P29","Peor",0.479,0.602,0.724,0.49
"P29","No sabe",0.099,0.073,0.07,0.187
"P30","Muy buena",0.044,0.043,0.07,0.034
"P30","Buena",0.089,0.058,0.026,0.046
"P30","Ni buena ni mala",0.173,0.099,0.059,0.118
"P30","Mala",0.302,0.254,0.237,0.329
"P30","Muy mala",0.384,0.534,0.595,0.428
"P30","No sabe",0.008,0.012,0.013,0.045
"P31","Muy buena",0.268,0.083,0.086,0.186
"P31","Buena",0.111,0.071,0.045,0.082
"P31","Ni buena ni mala",0.088,0.079,0.071,0.164
"P31","Mala",0.076,0.076,0.091,0.072
"P31","Muy mala",0.452,0.687,0.699,0.456
"P31","No sabe",0.005,0.004,0.008,0.04
"P32","Muy buena",0.103,0.036,0.039,0.108
"P32","Buena",0.187,0.102,0.06,0.107
"P32","Ni buena ni mala",0.169,0.117,0.097,0.261
"P32","Mala",0.151,0.166,0.154,0.128
"P32","Muy mala",0.384,0.574,0.646,0.356
"P32","No sabe",0.006,0.005,0.004,0.04
"P33","Muy buena",0.06,0.038,0.029,0.063
"P33","Buena",0.132,0.085,0.054,0.04
"P33","Ni buena ni mala",0.237,0.155,0.141,0.31
"P33","Mala",0.189,0.192,0.213,0.122
"P33","Muy mala",0.348,0.503,0.539,0.34
"P33","No sabe",0.034,0.027,0.024,0.125
"P34","Muy buena",0.224,0.068,0.061,0.114
"P34","Buena",0.136,0.085,0.051,0.073
"P34","Ni buena ni mala",0.124,0.091,0.099,0.215
"P34","Mala",0.096,0.129,0.119,0.116
"P34","Muy mala",0.396,0.61,0.642,0.355
"P34","No sabe",0.024,0.017,0.028,0.127
"P35","Muy buena",0.099,0.141,0.165,0.145
"P35","Buena",0.12,0.214,0.179,0.101
"P35","Ni buena ni mala",0.161,0.217,0.251,0.206
"P35","Mala",0.161,0.191,0.162,0.195
"P35","Muy mala",0.444,0.231,0.238,0.321
"P35","No sabe",0.015,0.006,0.005,0.032
"P36","Muy buena",0.118,0.146,0.105,0.093
"P36","Buena",0.169,0.275,0.195,0.14
"P36","Ni buena ni mala",0.221,0.287,0.283,0.286
"P36","Mala",0.165,0.145,0.168,0.168
"P36","Muy mala",0.287,0.12,0.204,0.163
"P36","No sabe",0.04,0.027,0.045,0.15
"P37","Muy buena",0.128,0.114,0.138,0.142
"P37","Buena",0.163,0.241,0.193,0.121
"P37","Ni buena ni mala",0.163,0.263,0.251,0.245
"P37","Mala",0.148,0.151,0.153,0.168
"P37","Muy mala",0.372,0.201,0.248,0.233
"P37","No sabe",0.026,0.03,0.017,0.091
"P38","Muy buena",0.133,0.168,0.342,0.126
"P38","Buena",0.121,0.172,0.145,0.102
"P38","Ni buena ni mala",0.218,0.277,0.228,0.337
"P38","Mala",0.105,0.153,0.056,0.09
"P38","Muy mala",0.368,0.188,0.173,0.166
"P38","No sabe",0.055,0.042,0.056,0.179
"P39","Muy buena",0.211,0.34,0.325,0.21
"P39","Buena",0.132,0.229,0.237,0.106
"P39","Ni buena ni mala",0.128,0.156,0.173,0.243
"P39","Mala",0.096,0.073,0.082,0.122
"P39","Muy mala",0.394,0.167,0.143,0.199
"P39","No sabe",0.039,0.035,0.04,0.12
"P40","Muy buena",0.056,0.028,0.048,0.027
"P40","Buena",0.174,0.085,0.109,0.059
"P40","Ni buena ni mala",0.282,0.278,0.176,0.34
"P40","Mala",0.256,0.339,0.255,0.223
"P40","Muy mala",0.196,0.24,0.371,0.221
"P40","No sabe",0.036,0.03,0.041,0.13
"P41","Muy buena",0.021,0.019,0.034,0.032
"P41","Buena",0.058,0.067,0.101,0.072
"P41","Ni buena ni mala",0.168,0.255,0.161,0.235
"P41","Mala",0.26,0.34,0.254,0.235
"P41","Muy mala",0.46,0.293,0.424,0.292
"P41","No sabe",0.033,0.026,0.026,0.134
