"var","categoria","Derecha","Centro derecha","Centro izquierda","Izquierda","No sabe"
"P19","Nicolás del Caño por la izquierda",0.01,0.007,0.032,0.125,0.016
"P19","Otro candidato",0.13,0.184,0.249,0.185,0.256
"P20","Mauricio Macri presidente Javier Milei vice",0.554,0.609,0.128,0.222,0.306
"P20","Sergio Massa presidente Gerardo Morales vice",0.083,0.109,0.287,0.189,0.144
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.052,0.021,0.106,0.215,0.04
"P20","No sabe",0.311,0.261,0.479,0.374,0.51
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.393,0.478,0.12,0.161,0.23
"P21","Alberto Fernández presidente Sergio Massa vice",0.11,0.061,0.242,0.193,0.181
"P21","Javier Milei presidente José Luis Espert vice",0.29,0.213,0.064,0.079,0.214
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.119,0.145,0.126,0.117,0.11
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.053,0.045,0.358,0.32,0.125
"P21","Otros candidatos",0.035,0.058,0.09,0.13,0.14
"P22","Muy buena",0.077,0.059,0.091,0.092,0.078
"P22","Buena",0.076,0.053,0.304,0.258,0.125
"P22","Ni buena ni mala",0.115,0.067,0.226,0.18,0.188
"P22","Mala",0.123,0.155,0.145,0.185,0.178
"P22","Muy mala",0.605,0.66,0.228,0.264,0.405
"P22","No sabe",0.004,0.006,0.006,0.021,0.026
"P23","Si",0.527,0.614,0.796,0.68,0.605
"P23","No",0.26,0.196,0.106,0.16,0.183
"P23","No sabe",0.213,0.19,0.098,0.16,0.212
"P24","El kirchnerismo",0.578,0.679,0.253,0.262,0.413
"P24","Cambiemos",0.135,0.092,0.32,0.234,0.144
"P24","Los medios de comunicación",0.12,0.088,0.322,0.312,0.136
"P24","Otros",0.096,0.068,0.051,0.105,0.12
"P24","No sabe",0.071,0.073,0.054,0.087,0.187
"P25","Sin deuda",0.287,0.291,0.359,0.312,0.204
"P25","Menos de 10%",0.147,0.199,0.209,0.189,0.111
"P25","Entre 10 y 20%",0.15,0.151,0.127,0.127,0.151
"P25","Entre 20 y 30%",0.105,0.104,0.07,0.126,0.104
"P25","Entre 30 y 40%",0.105,0.074,0.08,0.075,0.132
"P25","Mas del 40%",0.176,0.145,0.126,0.147,0.233
"P25","No sabe",0.03,0.036,0.029,0.024,0.065
"P26","Gran excedente habitual",0.011,0.011,0.013,0.003,0.005
"P26","Gran excedente excepcional",0.009,0.006,0.007,0.003,0.013
"P26","Pequeño excedente habitual",0.083,0.064,0.115,0.063,0.025
"P26","Pequeño excedente excepcional",0.061,0.073,0.105,0.074,0.037
"P26","Alcanza gastos familia",0.143,0.182,0.241,0.187,0.1
"P26","No alcanza gastos familia",0.187,0.152,0.13,0.105,0.205
"P26","Solo NBFamiliares",0.246,0.269,0.209,0.307,0.263
"P26","No alcanza NBFamiliares",0.25,0.222,0.174,0.247,0.342
"P26","No sabe",0.01,0.021,0.006,0.011,0.01
"P27","Muy buena",0.036,0.04,0.061,0.048,0.041
"P27","Buena",0.153,0.153,0.256,0.211,0.078
"P27","Ni buena ni mala",0.396,0.439,0.399,0.359,0.374
"P27","Mala",0.3,0.267,0.202,0.286,0.333
"P27","Muy mala",0.104,0.087,0.073,0.086,0.158
"P27","No sabe",0.011,0.014,0.009,0.01,0.016
"P28","Mejor",0.102,0.071,0.22,0.173,0.09
"P28","Igual",0.221,0.182,0.375,0.356,0.243
"P28","Peor",0.632,0.713,0.384,0.429,0.616
"P28","No sabe",0.045,0.034,0.021,0.042,0.051
"P29","Mejor",0.08,0.055,0.261,0.199,0.11
"P29","Igual",0.209,0.207,0.311,0.304,0.227
"P29","Peor",0.63,0.682,0.342,0.412,0.529
"P29","No sabe",0.081,0.056,0.086,0.085,0.134
"P30","Muy buena",0.047,0.05,0.034,0.046,0.049
"P30","Buena",0.06,0.036,0.134,0.139,0.045
"P30","Ni buena ni mala",0.083,0.06,0.243,0.178,0.158
"P30","Mala",0.227,0.216,0.355,0.334,0.309
"P30","Muy mala",0.578,0.63,0.228,0.298,0.415
"P30","No sabe",0.005,0.008,0.006,0.005,0.024
"P31","Muy buena",0.117,0.064,0.447,0.374,0.164
"P31","Buena",0.072,0.045,0.135,0.12,0.102
"P31","Ni buena ni mala",0.052,0.044,0.072,0.086,0.142
"P31","Mala",0.051,0.062,0.067,0.091,0.101
"P31","Muy mala",0.704,0.783,0.275,0.321,0.475
"P31","No sabe",0.004,0.002,0.004,0.008,0.016
"P32","Muy buena",0.055,0.032,0.117,0.097,0.105
"P32","Buena",0.095,0.057,0.28,0.212,0.142
"P32","Ni buena ni mala",0.089,0.077,0.219,0.218,0.193
"P32","Mala",0.122,0.161,0.172,0.201,0.144
"P32","Muy mala",0.634,0.672,0.21,0.26,0.4
"P32","No sabe",0.005,0.001,0.002,0.012,0.016
"P33","Muy buena",0.035,0.03,0.092,0.083,0.044
"P33","Buena",0.066,0.056,0.209,0.173,0.085
"P33","Ni buena ni mala",0.147,0.11,0.291,0.246,0.26
"P33","Mala",0.159,0.227,0.168,0.207,0.192
"P33","Muy mala",0.561,0.555,0.228,0.278,0.346
"P33","No sabe",0.032,0.022,0.012,0.013,0.073
"P34","Muy buena",0.079,0.061,0.357,0.354,0.124
"P34","Buena",0.085,0.057,0.196,0.14,0.1
"P34","Ni buena ni mala",0.097,0.062,0.093,0.114,0.18
"P34","Mala",0.081,0.117,0.079,0.117,0.127
"P34","Muy mala",0.628,0.693,0.267,0.265,0.407
"P34","No sabe",0.03,0.01,0.008,0.01,0.062
"P35","Muy buena",0.185,0.172,0.064,0.08,0.092
"P35","Buena",0.171,0.25,0.092,0.079,0.114
"P35","Ni buena ni mala",0.226,0.238,0.09,0.116,0.208
"P35","Mala",0.158,0.147,0.131,0.132,0.216
"P35","Muy mala",0.248,0.189,0.616,0.584,0.347
"P35","No sabe",0.012,0.004,0.007,0.009,0.023
"P36","Muy buena",0.167,0.162,0.076,0.078,0.101
"P36","Buena",0.181,0.315,0.107,0.137,0.181
"P36","Ni buena ni mala",0.28,0.255,0.173,0.155,0.286
"P36","Mala",0.151,0.123,0.205,0.207,0.154
"P36","Muy mala",0.184,0.115,0.422,0.408,0.191
"P36","No sabe",0.037,0.03,0.017,0.015,0.087
"P37","Muy buena",0.159,0.172,0.081,0.101,0.118
"P37","Buena",0.219,0.286,0.087,0.126,0.158
"P37","Ni buena ni mala",0.225,0.231,0.112,0.135,0.224
"P37","Mala",0.147,0.109,0.142,0.153,0.172
"P37","Muy mala",0.225,0.177,0.566,0.48,0.272
"P37","No sabe",0.025,0.025,0.012,0.005,0.056
"P38","Muy buena",0.305,0.172,0.063,0.1,0.154
"P38","Buena",0.149,0.209,0.059,0.079,0.134
"P38","Ni buena ni mala",0.252,0.307,0.122,0.158,0.276
"P38","Mala",0.059,0.129,0.133,0.076,0.114
"P38","Muy mala",0.184,0.157,0.607,0.561,0.202
"P38","No sabe",0.051,0.026,0.016,0.026,0.12
"P39","Muy buena",0.374,0.395,0.108,0.182,0.187
"P39","Buena",0.205,0.279,0.089,0.071,0.13
"P39","Ni buena ni mala",0.134,0.124,0.072,0.086,0.22
"P39","Mala",0.072,0.064,0.09,0.1,0.121
"P39","Muy mala",0.17,0.119,0.624,0.551,0.257
"P39","No sabe",0.045,0.019,0.017,0.01,0.085
"P40","Muy buena",0.041,0.026,0.074,0.08,0.04
"P40","Buena",0.118,0.1,0.235,0.209,0.106
"P40","Ni buena ni mala",0.209,0.252,0.307,0.314,0.295
"P40","Mala",0.299,0.345,0.222,0.231,0.24
"P40","Muy mala",0.305,0.256,0.141,0.144,0.237
"P40","No sabe",0.028,0.021,0.021,0.022,0.082
"P41","Muy buena",0.022,0.02,0.015,0.025,0.027
"P41","Buena",0.065,0.082,0.062,0.057,0.06
"P41","Ni buena ni mala",0.198,0.23,0.105,0.146,0.216
"P41","Mala",0.267,0.335,0.268,0.256,0.247
"P41","Muy mala",0.415,0.321,0.536,0.499,0.373
"P41","No sabe",0.033,0.012,0.014,0.017,0.077
