"var","categoria","Mauricio Macri presidente Javier Milei vice","Sergio Massa presidente Gerardo Morales vice","Nicolas del Caño presidente Myriam Bregman vice","No sabe"
"P35","Muy mala",0.106,0.67,0.617,0.458
"P35","No sabe",0.008,0.004,0,0.021
"P36","Muy buena",0.199,0.056,0.064,0.076
"P36","Buena",0.286,0.094,0.057,0.165
"P36","Ni buena ni mala",0.272,0.208,0.195,0.233
"P36","Mala",0.109,0.213,0.228,0.175
"P36","Muy mala",0.102,0.397,0.433,0.285
"P36","No sabe",0.032,0.032,0.023,0.066
"P37","Muy buena",0.218,0.045,0.066,0.088
"P37","Buena",0.306,0.07,0.053,0.131
"P37","Ni buena ni mala",0.226,0.12,0.172,0.2
"P37","Mala",0.104,0.205,0.19,0.166
"P37","Muy mala",0.123,0.55,0.513,0.378
"P37","No sabe",0.023,0.01,0.006,0.037
"P38","Muy buena",0.285,0.063,0.123,0.114
"P38","Buena",0.225,0.063,0.094,0.086
"P38","Ni buena ni mala",0.277,0.174,0.061,0.246
"P38","Mala",0.084,0.14,0.088,0.117
"P38","Muy mala",0.1,0.506,0.599,0.355
"P38","No sabe",0.029,0.054,0.035,0.082
"P39","Muy buena",0.496,0.039,0.084,0.137
"P39","Buena",0.251,0.05,0.068,0.147
"P39","Ni buena ni mala",0.147,0.107,0.109,0.163
"P39","Mala",0.036,0.143,0.092,0.115
"P39","Muy mala",0.043,0.624,0.629,0.387
"P39","No sabe",0.027,0.037,0.018,0.051
"P40","Muy buena",0.025,0.088,0.056,0.055
"P40","Buena",0.077,0.263,0.202,0.155
"P40","Ni buena ni mala",0.219,0.333,0.279,0.285
"P40","Mala",0.343,0.188,0.266,0.23
"P40","Muy mala",0.306,0.105,0.189,0.224
"P40","No sabe",0.03,0.023,0.008,0.051
"P41","Muy buena",0.031,0.024,0.01,0.018
"P41","Buena",0.068,0.086,0.04,0.062
"P41","Ni buena ni mala",0.205,0.145,0.109,0.195
"P41","Mala",0.298,0.262,0.32,0.24
"P41","Muy mala",0.37,0.453,0.508,0.44
"P41","No sabe",0.028,0.03,0.013,0.045
