"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales","Izquierda","No sabe"
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.08,0.187,0.066,0.072,0.213
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.401,0.019,0.022,0.204,0.087
"P21","Otros candidatos",0.05,0.052,0.035,0.493,0.39
"P22","Muy buena",0.157,0.051,0.029,0.083,0.02
"P22","Buena",0.386,0.025,0.018,0.103,0.059
"P22","Ni buena ni mala",0.272,0.042,0.094,0.283,0.242
"P22","Mala",0.113,0.161,0.166,0.334,0.223
"P22","Muy mala",0.062,0.712,0.687,0.185,0.392
"P22","No sabe",0.01,0.009,0.006,0.012,0.064
"P23","Si",0.84,0.536,0.497,0.748,0.536
"P23","No",0.08,0.228,0.293,0.072,0.169
"P23","No sabe",0.08,0.236,0.21,0.18,0.295
"P24","El kirchnerismo",0.15,0.706,0.605,0.262,0.364
"P24","Cambiemos",0.349,0.074,0.068,0.288,0.118
"P24","Los medios de comunicación",0.348,0.071,0.075,0.263,0.132
"P24","Otros",0.075,0.066,0.129,0.088,0.134
"P24","No sabe",0.078,0.083,0.123,0.099,0.252
"P25","Sin deuda",0.334,0.292,0.206,0.26,0.208
"P25","Menos de 10%",0.165,0.176,0.143,0.128,0.136
"P25","Entre 10 y 20%",0.146,0.157,0.136,0.146,0.129
"P25","Entre 20 y 30%",0.078,0.106,0.116,0.126,0.097
"P25","Entre 30 y 40%",0.087,0.085,0.12,0.143,0.128
"P25","Mas del 40%",0.144,0.154,0.235,0.158,0.244
"P25","No sabe",0.046,0.03,0.044,0.039,0.058
"P26","Gran excedente habitual",0.013,0.006,0.008,0.002,0.009
"P26","Gran excedente excepcional",0.015,0.005,0.007,0.002,0.013
"P26","Pequeño excedente habitual",0.085,0.057,0.063,0.028,0.04
"P26","Pequeño excedente excepcional",0.076,0.065,0.055,0.083,0.049
"P26","Alcanza gastos familia",0.209,0.155,0.115,0.123,0.108
"P26","No alcanza gastos familia",0.167,0.163,0.165,0.18,0.206
"P26","Solo NBFamiliares",0.228,0.265,0.279,0.278,0.253
"P26","No alcanza NBFamiliares",0.193,0.276,0.295,0.287,0.313
"P26","No sabe",0.014,0.008,0.013,0.017,0.009
"P27","Muy buena",0.064,0.038,0.034,0.026,0.03
"P27","Buena",0.221,0.142,0.108,0.146,0.084
"P27","Ni buena ni mala",0.411,0.414,0.363,0.395,0.353
"P27","Mala",0.227,0.299,0.32,0.358,0.331
"P27","Muy mala",0.062,0.099,0.16,0.069,0.18
"P27","No sabe",0.015,0.008,0.015,0.006,0.022
"P28","Mejor",0.251,0.056,0.051,0.103,0.066
"P28","Igual",0.433,0.169,0.158,0.271,0.234
"P28","Peor",0.273,0.747,0.741,0.58,0.659
"P28","No sabe",0.043,0.028,0.05,0.046,0.041
"P29","Mejor",0.296,0.037,0.041,0.158,0.064
"P29","Igual",0.341,0.18,0.186,0.282,0.213
"P29","Peor",0.233,0.73,0.701,0.42,0.556
"P29","No sabe",0.13,0.053,0.072,0.14,0.167
"P30","Muy buena",0.042,0.047,0.052,0.085,0.04
"P30","Buena",0.171,0.021,0.022,0.059,0.03
"P30","Ni buena ni mala",0.326,0.045,0.028,0.122,0.131
"P30","Mala",0.32,0.244,0.23,0.45,0.35
"P30","Muy mala",0.122,0.64,0.661,0.284,0.426
"P30","No sabe",0.019,0.003,0.007,0,0.023
"P31","Muy buena",0.552,0.039,0.023,0.124,0.069
"P31","Buena",0.187,0.037,0.023,0.176,0.083
"P31","Ni buena ni mala",0.1,0.019,0.076,0.265,0.225
"P31","Mala",0.05,0.071,0.086,0.135,0.13
"P31","Muy mala",0.103,0.829,0.786,0.29,0.476
"P31","No sabe",0.008,0.005,0.006,0.01,0.017
"P32","Muy buena",0.208,0.024,0.011,0.039,0.049
"P32","Buena",0.355,0.046,0.032,0.164,0.079
"P32","Ni buena ni mala",0.228,0.065,0.1,0.238,0.287
"P32","Mala",0.109,0.169,0.144,0.264,0.22
"P32","Muy mala",0.092,0.694,0.707,0.283,0.339
"P32","No sabe",0.008,0.002,0.006,0.012,0.026
"P33","Muy buena",0.118,0.02,0.015,0.023,0.04
"P33","Buena",0.245,0.027,0.03,0.124,0.082
"P33","Ni buena ni mala",0.346,0.099,0.123,0.318,0.295
"P33","Mala",0.14,0.223,0.201,0.255,0.186
"P33","Muy mala",0.102,0.608,0.615,0.266,0.299
"P33","No sabe",0.049,0.023,0.016,0.014,0.098
"P34","Muy buena",0.426,0.054,0.026,0.116,0.048
"P34","Buena",0.224,0.047,0.043,0.193,0.085
"P34","Ni buena ni mala",0.159,0.05,0.082,0.256,0.23
"P34","Mala",0.058,0.116,0.112,0.169,0.175
"P34","Muy mala",0.106,0.711,0.715,0.256,0.378
"P34","No sabe",0.027,0.022,0.022,0.01,0.084
"P35","Muy buena",0.036,0.278,0.076,0.057,0.035
"P35","Buena",0.038,0.3,0.148,0.036,0.06
"P35","Ni buena ni mala",0.054,0.225,0.299,0.109,0.241
"P35","Mala",0.169,0.084,0.231,0.139,0.279
"P35","Muy mala",0.697,0.101,0.229,0.647,0.355
"P35","No sabe",0.006,0.012,0.017,0.012,0.03
"P36","Muy buena",0.04,0.263,0.088,0.042,0.061
"P36","Buena",0.062,0.364,0.17,0.109,0.169
"P36","Ni buena ni mala",0.163,0.223,0.335,0.18,0.35
"P36","Mala",0.231,0.059,0.18,0.278,0.142
"P36","Muy mala",0.451,0.068,0.188,0.381,0.153
"P36","No sabe",0.053,0.023,0.039,0.01,0.125
"P37","Muy buena",0.036,0.281,0.116,0.038,0.051
"P37","Buena",0.051,0.341,0.181,0.077,0.15
"P37","Ni buena ni mala",0.087,0.217,0.269,0.137,0.318
"P37","Mala",0.197,0.056,0.182,0.23,0.178
"P37","Muy mala",0.605,0.089,0.221,0.499,0.223
"P37","No sabe",0.024,0.016,0.031,0.019,0.08
"P38","Muy buena",0.045,0.078,0.495,0.078,0.053
"P38","Buena",0.053,0.193,0.194,0.054,0.082
"P38","Ni buena ni mala",0.13,0.398,0.158,0.105,0.345
"P38","Mala",0.118,0.136,0.039,0.14,0.129
"P38","Muy mala",0.577,0.152,0.095,0.592,0.24
"P38","No sabe",0.077,0.043,0.019,0.031,0.151
"P39","Muy buena",0.042,0.497,0.315,0.077,0.1
"P39","Buena",0.035,0.245,0.269,0.026,0.111
"P39","Ni buena ni mala",0.079,0.13,0.204,0.115,0.276
"P39","Mala",0.116,0.046,0.071,0.174,0.164
"P39","Muy mala",0.671,0.056,0.117,0.598,0.262
"P39","No sabe",0.057,0.026,0.024,0.01,0.087
"P40","Muy buena",0.093,0.037,0.016,0.029,0.019
"P40","Buena",0.263,0.108,0.066,0.128,0.062
"P40","Ni buena ni mala",0.344,0.275,0.153,0.261,0.308
"P40","Mala",0.163,0.353,0.291,0.338,0.289
"P40","Muy mala",0.088,0.211,0.435,0.207,0.232
"P40","No sabe",0.049,0.016,0.039,0.037,0.09
"P41","Muy buena",0.025,0.034,0.014,0.01,0.012
"P41","Buena",0.067,0.09,0.045,0.039,0.059
"P41","Ni buena ni mala",0.133,0.25,0.168,0.122,0.224
"P41","Mala",0.227,0.315,0.259,0.306,0.303
"P41","Muy mala",0.506,0.291,0.479,0.484,0.333
"P41","No sabe",0.042,0.02,0.035,0.039,0.069
