"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Segundo Cernadas","Buena",0.158,0.148,0.167,0.17,0.131,0.154,0.224,0.144,0.118,0.245,0.101,0.197,0.2,0.084,0.241,0.221
"Segundo Cernadas","Ni buena ni mala",0.312,0.349,0.278,0.263,0.356,0.328,0.244,0.385,0.306,0.22,0.336,0.316,0.287,0.336,0.307,0.123
"Segundo Cernadas","Mala",0.103,0.081,0.125,0.07,0.118,0.111,0.107,0.062,0.138,0.102,0.105,0.096,0.104,0.163,0.04,0.217
"Segundo Cernadas","Muy mala",0.127,0.144,0.11,0.137,0.129,0.126,0.101,0.078,0.129,0.191,0.134,0.128,0.119,0.206,0.053,0.201
"Segundo Cernadas","No sabe",0.14,0.109,0.17,0.165,0.152,0.081,0.15,0.181,0.135,0.092,0.158,0.075,0.148,0.161,0.089,0.096
"Julio Zamora","Muy buena",0.218,0.232,0.205,0.207,0.213,0.203,0.279,0.272,0.224,0.131,0.206,0.295,0.2,0.342,0.152,0.227
"Julio Zamora","Buena",0.224,0.182,0.265,0.168,0.26,0.214,0.237,0.216,0.26,0.176,0.246,0.177,0.222,0.3,0.149,0.545
"Julio Zamora","Ni buena ni mala",0.233,0.205,0.259,0.238,0.225,0.245,0.226,0.242,0.234,0.216,0.236,0.184,0.248,0.17,0.262,0.039
"Julio Zamora","Mala",0.133,0.136,0.13,0.136,0.128,0.16,0.102,0.094,0.127,0.198,0.111,0.102,0.167,0.083,0.174,0.047
"Julio Zamora","Muy mala",0.153,0.219,0.089,0.218,0.134,0.142,0.107,0.117,0.117,0.267,0.138,0.24,0.134,0.091,0.195,0.137
"Julio Zamora","No sabe",0.039,0.026,0.052,0.033,0.04,0.036,0.049,0.059,0.038,0.012,0.063,0.002,0.029,0.014,0.068,0.005
"Patricia Bullrich","Muy buena",0.233,0.326,0.149,0.161,0.217,0.284,0.316,0.313,0.139,0.284,0.2,0.347,0.223,0.118,0.412,0.065
"Patricia Bullrich","Buena",0.146,0.168,0.127,0.177,0.095,0.178,0.197,0.137,0.105,0.226,0.115,0.178,0.166,0.082,0.228,0.357
"Patricia Bullrich","Ni buena ni mala",0.197,0.137,0.251,0.389,0.164,0.121,0.102,0.125,0.32,0.087,0.2,0.208,0.188,0.139,0.162,0.074
"Patricia Bullrich","Mala",0.097,0.091,0.102,0.018,0.123,0.111,0.125,0.129,0.084,0.076,0.136,0.072,0.067,0.166,0.056,0.049
"Patricia Bullrich","Muy mala",0.301,0.262,0.335,0.255,0.353,0.278,0.256,0.231,0.347,0.314,0.31,0.195,0.331,0.476,0.127,0.455
"Patricia Bullrich","No sabe",0.026,0.016,0.036,0,0.048,0.028,0.004,0.065,0.005,0.013,0.039,0,0.025,0.019,0.015,0
"Horacio Rodriguez Larreta","Muy buena",0.111,0.168,0.059,0,0.134,0.138,0.179,0.183,0.074,0.078,0.104,0.123,0.112,0.035,0.219,0
"Horacio Rodriguez Larreta","Buena",0.191,0.139,0.238,0.309,0.106,0.221,0.203,0.109,0.23,0.232,0.17,0.181,0.215,0.059,0.257,0.812
"Horacio Rodriguez Larreta","Ni buena ni mala",0.247,0.231,0.261,0.259,0.279,0.21,0.192,0.239,0.287,0.193,0.243,0.348,0.213,0.269,0.222,0.079
"Horacio Rodriguez Larreta","Mala",0.124,0.118,0.131,0.097,0.149,0.092,0.145,0.12,0.107,0.158,0.122,0.089,0.141,0.134,0.081,0.037
"Horacio Rodriguez Larreta","Muy mala",0.285,0.339,0.236,0.286,0.295,0.302,0.229,0.281,0.261,0.33,0.313,0.259,0.267,0.407,0.217,0.019
"Horacio Rodriguez Larreta","No sabe",0.042,0.005,0.075,0.049,0.037,0.037,0.052,0.068,0.041,0.009,0.048,0,0.052,0.096,0.004,0.053
"Javier Milei","Muy buena",0.205,0.341,0.081,0.38,0.191,0.116,0.096,0.268,0.147,0.218,0.194,0.266,0.192,0.113,0.261,0.39
"Javier Milei","Buena",0.128,0.13,0.126,0.126,0.105,0.188,0.105,0.094,0.141,0.15,0.096,0.178,0.141,0.053,0.18,0.034
"Javier Milei","Ni buena ni mala",0.211,0.156,0.262,0.19,0.21,0.185,0.293,0.164,0.255,0.203,0.201,0.308,0.185,0.153,0.261,0.011
"Javier Milei","Mala",0.142,0.125,0.157,0.151,0.098,0.214,0.14,0.18,0.152,0.074,0.154,0.086,0.15,0.112,0.137,0.444
"Javier Milei","Muy mala",0.28,0.23,0.325,0.104,0.38,0.264,0.299,0.251,0.268,0.337,0.325,0.148,0.285,0.517,0.136,0.053
"Javier Milei","No sabe",0.034,0.018,0.049,0.049,0.016,0.033,0.067,0.043,0.037,0.018,0.03,0.014,0.047,0.052,0.025,0.068
"Malena Galmarini","Muy buena",0.134,0.131,0.137,0.113,0.148,0.141,0.121,0.157,0.138,0.094,0.173,0.128,0.097,0.195,0.122,0.012
"Malena Galmarini","Buena",0.145,0.103,0.186,0.104,0.187,0.114,0.144,0.13,0.184,0.099,0.145,0.093,0.166,0.244,0.052,0.306
"Malena Galmarini","Ni buena ni mala",0.209,0.159,0.257,0.233,0.198,0.174,0.255,0.24,0.211,0.164,0.149,0.304,0.235,0.204,0.211,0.076
"Malena Galmarini","Mala",0.12,0.123,0.116,0.042,0.128,0.181,0.15,0.082,0.112,0.188,0.099,0.105,0.147,0.059,0.173,0.092
"Malena Galmarini","Muy mala",0.305,0.413,0.202,0.382,0.271,0.318,0.237,0.292,0.274,0.376,0.343,0.341,0.251,0.197,0.39,0.457
"Malena Galmarini","No sabe",0.087,0.071,0.102,0.126,0.068,0.072,0.093,0.099,0.081,0.079,0.091,0.029,0.104,0.101,0.052,0.057
"Mauricio Macri","Muy buena",0.174,0.23,0.123,0.185,0.141,0.195,0.219,0.237,0.108,0.199,0.186,0.104,0.188,0.064,0.337,0
"Mauricio Macri","Buena",0.166,0.172,0.16,0.239,0.073,0.199,0.264,0.129,0.147,0.243,0.159,0.328,0.111,0.088,0.263,0.037
"Mauricio Macri","Ni buena ni mala",0.167,0.156,0.178,0.2,0.184,0.122,0.139,0.216,0.172,0.099,0.136,0.177,0.195,0.13,0.147,0.434
"Mauricio Macri","Mala",0.161,0.148,0.172,0.117,0.225,0.139,0.08,0.143,0.178,0.156,0.184,0.085,0.167,0.174,0.086,0.456
"Mauricio Macri","Muy mala",0.318,0.282,0.352,0.259,0.36,0.318,0.293,0.245,0.393,0.291,0.325,0.306,0.317,0.528,0.151,0.073
"Mauricio Macri","No sabe",0.014,0.012,0.015,0,0.017,0.027,0.005,0.03,0.002,0.012,0.01,0,0.022,0.016,0.016,0
"Sergio Massa","Muy buena",0.107,0.082,0.131,0.017,0.128,0.131,0.152,0.139,0.098,0.081,0.119,0.148,0.081,0.182,0.072,0.037
"Sergio Massa","Buena",0.144,0.103,0.181,0.133,0.143,0.116,0.208,0.109,0.167,0.152,0.121,0.076,0.193,0.217,0.056,0.377
"Sergio Massa","Ni buena ni mala",0.227,0.185,0.264,0.329,0.212,0.16,0.208,0.218,0.317,0.09,0.221,0.173,0.252,0.265,0.189,0.037
"Sergio Massa","Mala",0.139,0.148,0.131,0.084,0.177,0.138,0.119,0.145,0.118,0.166,0.144,0.133,0.136,0.081,0.18,0.426
"Sergio Massa","Muy mala",0.373,0.474,0.281,0.437,0.33,0.434,0.302,0.364,0.296,0.509,0.385,0.47,0.324,0.242,0.494,0.123
"Sergio Massa","No sabe",0.01,0.008,0.012,0,0.01,0.021,0.011,0.025,0.004,0.002,0.01,0,0.014,0.013,0.009,0
"CFK","Muy buena",0.261,0.281,0.241,0.173,0.332,0.213,0.267,0.332,0.222,0.232,0.284,0.153,0.278,0.429,0.214,0
"CFK","Buena",0.1,0.045,0.151,0.239,0.045,0.075,0.079,0.038,0.185,0.042,0.11,0.086,0.097,0.141,0.059,0.324
"CFK","Ni buena ni mala",0.108,0.065,0.148,0.099,0.139,0.092,0.06,0.139,0.13,0.034,0.122,0.031,0.124,0.15,0.044,0
"CFK","Mala",0.043,0.033,0.052,0,0.032,0.077,0.087,0.025,0.05,0.054,0.034,0.045,0.051,0.023,0.051,0.104
"CFK","Muy mala",0.476,0.566,0.395,0.489,0.442,0.512,0.501,0.436,0.411,0.634,0.439,0.685,0.434,0.242,0.619,0.561
"CFK","No sabe",0.012,0.01,0.013,0,0.01,0.031,0.006,0.03,0.002,0.004,0.011,0,0.016,0.015,0.013,0.011
"Alberto Fernandez","Muy buena",0.116,0.082,0.148,0.128,0.11,0.081,0.17,0.169,0.11,0.058,0.155,0.087,0.089,0.156,0.091,0.364
"Alberto Fernandez","Buena",0.147,0.115,0.175,0.137,0.154,0.133,0.163,0.135,0.142,0.17,0.134,0.158,0.155,0.211,0.128,0
"Alberto Fernandez","Ni buena ni mala",0.208,0.171,0.242,0.237,0.215,0.166,0.205,0.225,0.275,0.075,0.223,0.086,0.24,0.242,0.158,0.073
"Alberto Fernandez","Mala",0.12,0.11,0.129,0.087,0.144,0.087,0.152,0.024,0.158,0.181,0.115,0.075,0.141,0.147,0.103,0.094
"Alberto Fernandez","Muy mala",0.4,0.521,0.29,0.411,0.37,0.504,0.31,0.429,0.308,0.515,0.363,0.594,0.364,0.23,0.513,0.469
"Alberto Fernandez","No sabe",0.009,0.001,0.016,0,0.007,0.029,0,0.018,0.007,0.001,0.01,0,0.011,0.014,0.007,0
