"var","categoria","Unión por la Patria","Juntos por el Cambio ","Liberales","Izquierda","Hacemos por Nuestro país","No sabe"
"P41","No sabe",0.025,0.03,0.05,0.054,0.084,0.311
"P42","Lo votaría",0.035,0.17,0.718,0.19,0.282,0.142
"P42","Puede que lo vote",0.044,0.294,0.13,0.031,0.166,0.231
"P42","Nunca lo votaría",0.896,0.47,0.124,0.747,0.471,0.402
"P42","No sabe",0.025,0.066,0.028,0.032,0.081,0.225
"P43","Lo votaría",0.137,0.045,0.1,0.425,0.112,0.14
"P43","Puede que lo vote",0.42,0.096,0.084,0.099,0.105,0.17
"P43","Nunca lo votaría",0.382,0.823,0.781,0.409,0.727,0.494
"P43","No sabe",0.061,0.036,0.035,0.067,0.056,0.196
"P44","Lo votaría",0.067,0.069,0.067,0.137,0.191,0.109
"P44","Puede que lo vote",0.289,0.249,0.222,0.174,0.181,0.198
"P44","Nunca lo votaría",0.569,0.615,0.666,0.548,0.588,0.434
"P44","No sabe",0.075,0.067,0.045,0.141,0.04,0.259
"P53","Sergio Massa y Javier Milei",0.743,0.121,0.289,0.366,0.533,0.453
"P53","Patricia Bullrich y Javier Milei",0.073,0.701,0.556,0.3,0.299,0.268
"P53","Sergio Massa y Patricia Bullrich",0.184,0.178,0.155,0.334,0.168,0.279
"P54","Muy buena",0.125,0.026,0.046,0.197,0.206,0.041
"P54","Buena",0.122,0.083,0.158,0.142,0.083,0.058
"P54","Regular",0.415,0.056,0.047,0.224,0.144,0.147
"P54","Mala",0.275,0.232,0.131,0.202,0.275,0.275
"P54","Muy mala",0.063,0.603,0.618,0.235,0.292,0.479
"P55","Muy buena",0.064,0.012,0.01,0.06,0.031,0.047
"P55","Buena",0.29,0.031,0.006,0.006,0.072,0.007
"P55","Regular",0.432,0.047,0.027,0.218,0.158,0.171
"P55","Mala",0.144,0.245,0.199,0.276,0.271,0.287
"P55","Muy mala",0.07,0.665,0.758,0.44,0.468,0.488
"P56","Muy buena",0.17,0.034,0.074,0.13,0.073,0.061
"P56","Buena",0.387,0.104,0.155,0.106,0.158,0.054
"P56","Regular",0.31,0.453,0.236,0.168,0.23,0.344
"P56","Mala",0.104,0.257,0.23,0.25,0.229,0.219
"P56","Muy mala",0.029,0.152,0.305,0.346,0.31,0.322
"P57","Muy buena",0.108,0.031,0.047,0.114,0.109,0.068
"P57","Buena",0.393,0.212,0.172,0.141,0.115,0.134
"P57","Regular",0.401,0.499,0.421,0.377,0.445,0.336
"P57","Mala",0.072,0.199,0.24,0.176,0.207,0.265
"P57","Muy mala",0.026,0.059,0.12,0.192,0.124,0.197
"P58","Muy buena",0.201,0.025,0.04,0.12,0.117,0.067
"P58","Buena",0.376,0.124,0.147,0.116,0.126,0.097
"P58","Regular",0.307,0.346,0.319,0.332,0.256,0.389
"P58","Mala",0.091,0.3,0.221,0.218,0.317,0.206
"P58","Muy mala",0.025,0.205,0.273,0.214,0.184,0.241
"P59","Muy buena",0.18,0.038,0.157,0.2,0.071,0.038
"P59","Buena",0.457,0.226,0.28,0.191,0.195,0.124
"P59","Regular",0.28,0.511,0.308,0.273,0.407,0.476
"P59","Mala",0.061,0.135,0.137,0.213,0.244,0.205
"P59","Muy mala",0.022,0.09,0.118,0.123,0.083,0.157
"P60","Ha aumentado significativamente",0.192,0.038,0.06,0.123,0.089,0.028
"P60","Ha aumentado ligeramente",0.315,0.137,0.174,0.147,0.127,0.233
"P60","Se mantiene igual",0.297,0.282,0.259,0.304,0.278,0.292
"P60","Ha disminuido ligeramente",0.131,0.236,0.24,0.256,0.356,0.212
"P60","Ha disminuido significativamente",0.065,0.307,0.267,0.17,0.15,0.235
"P61","Muy baja",0.037,0.031,0.061,0.064,0.056,0.088
"P61","Baja",0.081,0.034,0.051,0.065,0.074,0.12
"P61","Moderada",0.122,0.068,0.045,0.073,0.106,0.092
"P61","Alta",0.415,0.137,0.129,0.366,0.199,0.135
"P61","Muy alta",0.345,0.73,0.714,0.432,0.565,0.565
"P62","Muy bajas",0.044,0.063,0.099,0.035,0.149,0.068
"P62","Bajas",0.12,0.219,0.157,0.126,0.069,0.125
"P62","Adecuadas",0.432,0.242,0.212,0.176,0.233,0.214
"P62","Altas",0.294,0.257,0.207,0.315,0.203,0.317
"P62","Muy altas",0.11,0.219,0.325,0.348,0.346,0.276
"P63","No, ninguna dificultad",0.576,0.362,0.411,0.206,0.369,0.205
"P63","Alguna dificultad ocasional",0.256,0.352,0.315,0.499,0.347,0.402
"P63","Sí, dificultades frecuentes",0.168,0.286,0.274,0.295,0.284,0.393
"P64","Sí, absolutamente",0.699,0.197,0.289,0.473,0.398,0.416
"P64","Sí, en cierta medida",0.261,0.454,0.296,0.404,0.301,0.396
"P64","No, en absoluto",0.04,0.349,0.415,0.123,0.301,0.188
"P65","Reducir la inflación",0.515,0.32,0.324,0.415,0.47,0.565
"P65","Implementar reformas fiscales",0.181,0.138,0.122,0.084,0.065,0.138
"P65","Establecer políticas de control de precios",0.253,0.083,0.067,0.241,0.17,0.112
"P65","Reducir el gasto público",0.018,0.417,0.431,0.183,0.191,0.122
"P65","Estimular la inversión extranjera",0.022,0.039,0.045,0.03,0.053,0.028
"P65","Aumentar los subsidios a los servicios públicos",0.011,0.003,0.011,0.047,0.051,0.035
"P66","Fomentar la competencia entre proveedores",0.201,0.411,0.613,0.303,0.507,0.344
"P66","Incrementar la inversión en infraestructura",0.33,0.295,0.171,0.079,0.095,0.293
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.167,0.089,0.022,0.259,0.106,0.2
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.302,0.205,0.194,0.359,0.292,0.163
"P67","Muy positiva",0.39,0.079,0.16,0.097,0.355,0.172
"P67","Positiva",0.365,0.144,0.131,0.296,0.127,0.24
"P67","Neutral",0.154,0.297,0.303,0.211,0.396,0.156
"P67","Algo negativa",0.065,0.226,0.161,0.174,0.012,0.166
"P67","Negativa",0.005,0.179,0.201,0.172,0.092,0.068
"P67","No sabe",0.021,0.075,0.044,0.05,0.018,0.198
"P68","Muy positivo",0.367,0.038,0.085,0.103,0.16,0.101
"P68","Positivo",0.377,0.107,0.108,0.273,0.099,0.283
"P68","Neutral",0.182,0.345,0.331,0.288,0.359,0.33
"P68","Algo negativo",0.021,0.208,0.176,0.046,0.157,0.06
"P68","Negativo",0.012,0.213,0.228,0.222,0.164,0.041
"P68","No sabe",0.041,0.089,0.072,0.068,0.061,0.185
"P69","Muy positivo",0.232,0.033,0.02,0.03,0.07,0.042
"P69","Positivo",0.299,0.074,0.083,0.252,0.131,0.229
"P69","Neutral",0.398,0.535,0.548,0.382,0.461,0.419
"P69","Algo negativo",0.015,0.127,0.107,0.076,0.14,0.045
"P69","Negativo",0.015,0.127,0.169,0.189,0.111,0.043
"P69","No sabe",0.041,0.104,0.073,0.071,0.087,0.222
"P70","Muy positiva",0.69,0.104,0.092,0.245,0.312,0.266
"P70","Positiva",0.184,0.196,0.133,0.074,0.268,0.177
"P70","Neutral",0.093,0.307,0.376,0.386,0.252,0.22
"P70","Algo negativa",0.008,0.165,0.146,0.081,0.014,0.114
"P70","Negativa",0.016,0.196,0.21,0.164,0.112,0.087
"P70","No sabe",0.009,0.032,0.043,0.05,0.042,0.136
"P71","Muy positivo",0.655,0.115,0.103,0.294,0.305,0.264
"P71","Positivo",0.21,0.176,0.18,0.215,0.263,0.268
"P71","Neutral",0.069,0.311,0.327,0.208,0.268,0.152
"P71","Algo negativo",0.018,0.171,0.162,0.042,0.041,0.119
"P71","Negativo",0.035,0.191,0.223,0.241,0.102,0.085
"P71","No sabe",0.013,0.036,0.005,0,0.021,0.112
"P72","Muy positivo",0.552,0.101,0.107,0.296,0.201,0.158
"P72","Positivo",0.279,0.206,0.148,0.226,0.3,0.258
"P72","Neutral",0.125,0.397,0.428,0.228,0.325,0.345
"P72","Algo negativo",0.015,0.088,0.102,0.108,0.043,0.054
"P72","Negativo",0.021,0.169,0.211,0.142,0.106,0.046
"P72","No sabe",0.008,0.039,0.004,0,0.025,0.139
"P73","Muy positiva",0.512,0.055,0.04,0.315,0.147,0.129
"P73","Positiva",0.341,0.102,0.086,0.276,0.197,0.298
"P73","Neutral",0.092,0.28,0.387,0.166,0.297,0.163
"P73","Algo negativa",0.014,0.195,0.157,0.067,0.049,0.114
"P73","Negativa",0.012,0.257,0.286,0.176,0.173,0.09
"P73","No sabe",0.029,0.111,0.044,0,0.137,0.206
"P74","Muy positivo",0.479,0.042,0.013,0.231,0.133,0.092
"P74","Positivo",0.347,0.093,0.069,0.203,0.185,0.289
"P74","Neutral",0.107,0.32,0.323,0.16,0.311,0.188
"P74","Algo negativo",0.024,0.171,0.197,0.165,0.085,0.147
"P74","Negativo",0.01,0.274,0.344,0.241,0.153,0.094
"P74","No sabe",0.033,0.1,0.054,0,0.133,0.19
"P75","Muy positivo",0.342,0.03,0.021,0.205,0.107,0.05
"P75","Positivo",0.326,0.118,0.056,0.189,0.082,0.16
"P75","Neutral",0.255,0.385,0.391,0.283,0.38,0.348
"P75","Algo negativo",0.033,0.145,0.195,0.081,0.143,0.063
"P75","Negativo",0.011,0.224,0.285,0.242,0.156,0.113
"P75","No sabe",0.033,0.098,0.052,0,0.132,0.266
"P76","Muy positiva",0.638,0.103,0.282,0.41,0.231,0.283
"P76","Positiva",0.2,0.172,0.208,0.213,0.273,0.294
"P76","Neutral",0.102,0.247,0.256,0.197,0.205,0.19
"P76","Algo negativa",0.037,0.158,0.135,0.039,0.152,0.061
"P76","Negativa",0.011,0.247,0.112,0.141,0.139,0.017
"P76","No sabe",0.012,0.073,0.007,0,0,0.155
"P77","Muy positivo",0.562,0.091,0.27,0.412,0.287,0.339
"P77","Positivo",0.275,0.144,0.239,0.224,0.188,0.222
"P77","Neutral",0.105,0.268,0.182,0.126,0.243,0.133
"P77","Algo negativo",0.028,0.143,0.106,0.097,0.186,0.09
"P77","Negativo",0.014,0.284,0.198,0.141,0.096,0.026
"P77","No sabe",0.016,0.07,0.005,0,0,0.19
"P78","Muy positivo",0.525,0.114,0.229,0.109,0.353,0.272
"P78","Positivo",0.175,0.151,0.216,0.301,0.154,0.288
"P78","Neutral",0.252,0.386,0.34,0.306,0.305,0.185
"P78","Algo negativo",0.028,0.095,0.084,0.178,0.084,0.067
"P78","Negativo",0.008,0.185,0.127,0.106,0.104,0.023
"P78","No sabe",0.012,0.069,0.004,0,0,0.165
"P79","Si",0.601,0.457,0.5,0.363,0.346,0.444
"P79","No",0.399,0.543,0.5,0.637,0.654,0.556
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.841,0.099,0.072,0.109,0.048,0.159
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.068,0.805,0.275,0.169,0.084,0.1
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.079,0.081,0.649,0.109,0.487,0.104
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.003,0.005,0,0.275,0.127,0.046
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.003,0.008,0,0.253,0.14,0.054
"PRESIDENTE","En blanco",0.001,0.001,0,0.023,0.034,0.314
"PRESIDENTE","No sabe",0.005,0.001,0.004,0.062,0.08,0.223
