"var","categoria","Sí, absolutamente","Sí, en cierta medida","No, en absoluto"
"P72","Neutral",0.215,0.338,0.371
"P72","Algo negativo",0.036,0.074,0.096
"P72","Negativo",0.074,0.08,0.244
"P72","No sabe",0.021,0.037,0.02
"P73","Muy positiva",0.435,0.117,0.039
"P73","Positiva",0.234,0.263,0.067
"P73","Neutral",0.162,0.243,0.294
"P73","Algo negativa",0.053,0.132,0.175
"P73","Negativa",0.076,0.125,0.371
"P73","No sabe",0.04,0.12,0.054
"P74","Muy positivo",0.397,0.104,0.011
"P74","Positivo",0.249,0.217,0.08
"P74","Neutral",0.171,0.275,0.258
"P74","Algo negativo",0.063,0.152,0.174
"P74","Negativo",0.073,0.149,0.418
"P74","No sabe",0.047,0.103,0.059
"P75","Muy positivo",0.29,0.074,0.013
"P75","Positivo",0.222,0.22,0.061
"P75","Neutral",0.301,0.387,0.304
"P75","Algo negativo",0.066,0.118,0.16
"P75","Negativo",0.062,0.109,0.391
"P75","No sabe",0.059,0.092,0.071
"P76","Muy positiva",0.546,0.242,0.17
"P76","Positiva",0.151,0.278,0.181
"P76","Neutral",0.178,0.194,0.209
"P76","Algo negativa",0.05,0.128,0.143
"P76","Negativa",0.046,0.11,0.256
"P76","No sabe",0.029,0.048,0.041
"P77","Muy positivo",0.497,0.226,0.169
"P77","Positivo",0.202,0.282,0.15
"P77","Neutral",0.16,0.194,0.185
"P77","Algo negativo",0.049,0.135,0.105
"P77","Negativo",0.061,0.117,0.338
"P77","No sabe",0.031,0.046,0.053
"P78","Muy positivo",0.456,0.194,0.151
"P78","Positivo",0.178,0.213,0.172
"P78","Neutral",0.239,0.379,0.339
"P78","Algo negativo",0.06,0.071,0.1
"P78","Negativo",0.042,0.088,0.207
"P78","No sabe",0.025,0.055,0.031
"P79","Si",0.558,0.466,0.462
"P79","No",0.442,0.534,0.538
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.562,0.274,0.087
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.2,0.439,0.559
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.152,0.176,0.299
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.021,0.035,0.014
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.038,0.02,0.015
"PRESIDENTE","En blanco",0.014,0.03,0.014
"PRESIDENTE","No sabe",0.013,0.026,0.012
