"var","categoria","Muy baja","Baja","Moderada","Alta","Muy alta"
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.166,0.366,0.395,0.325,0.328
"P22","En blanco",0.167,0.138,0.094,0.269,0.2
"P22","No sabe",0.22,0.052,0.15,0.135,0.014
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.063,0.041,0.135,0.139,0.084
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.279,0.288,0.494,0.378,0.368
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.174,0.372,0.192,0.144,0.165
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0,0,0.012,0.029,0.028
"P25","En blanco",0.458,0.251,0.064,0.156,0.252
"P25","No sabe",0.026,0.048,0.103,0.154,0.103
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.036,0.215,0.399,0.228,0.114
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.311,0.247,0.331,0.448,0.43
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.347,0.39,0.199,0.168,0.155
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.198,0.048,0.071,0.015,0.052
"P28","En blanco",0.108,0.1,0,0.1,0.207
"P28","No sabe",0,0,0,0.041,0.042
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.398,0.315,0.205,0.209,0.383
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.112,0.168,0.188,0.142,0.267
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.111,0.334,0.341,0.434,0.202
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.17,0.125,0.157,0.123,0.051
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.176,0.045,0.039,0.079,0.053
"P36","No sabe",0.033,0.013,0.07,0.013,0.044
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.509,0.389,0.551,0.573,0.259
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.223,0.303,0.185,0.252,0.58
"P37","En blanco",0.225,0.277,0.147,0.094,0.113
"P37","No sabe",0.043,0.031,0.117,0.081,0.048
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.399,0.428,0.329,0.274,0.478
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.2,0.186,0.053,0.147,0.266
"P38","En blanco",0.311,0.284,0.41,0.43,0.182
"P38","No sabe",0.09,0.102,0.208,0.149,0.074
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.487,0.551,0.607,0.571,0.268
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.301,0.263,0.084,0.204,0.419
"P39","En blanco",0.188,0.113,0.211,0.125,0.213
"P39","No sabe",0.024,0.073,0.098,0.1,0.1
"P40","Lo votaría",0.472,0.54,0.575,0.569,0.229
"P40","Puede que lo vote",0.166,0.119,0.141,0.116,0.12
"P40","Nunca lo votaría",0.349,0.31,0.226,0.283,0.614
"P40","No sabe",0.013,0.031,0.058,0.032,0.037
"P41","Lo votaría",0.499,0.383,0.299,0.239,0.464
"P41","Puede que lo vote",0.084,0.165,0.086,0.066,0.131
"P41","Nunca lo votaría",0.396,0.398,0.548,0.649,0.366
"P41","No sabe",0.021,0.054,0.067,0.046,0.039
"P42","Lo votaría",0.406,0.244,0.075,0.142,0.277
"P42","Puede que lo vote",0.063,0.166,0.117,0.101,0.201
"P42","Nunca lo votaría",0.475,0.541,0.796,0.712,0.461
"P42","No sabe",0.056,0.049,0.012,0.045,0.061
"P43","Lo votaría",0.2,0.158,0.187,0.123,0.083
"P43","Puede que lo vote",0.127,0.275,0.195,0.305,0.169
"P43","Nunca lo votaría",0.673,0.488,0.52,0.501,0.705
"P43","No sabe",0,0.079,0.098,0.071,0.043
"P44","Lo votaría",0.23,0.138,0.089,0.063,0.067
"P44","Puede que lo vote",0.158,0.299,0.147,0.257,0.266
"P44","Nunca lo votaría",0.549,0.471,0.67,0.588,0.602
"P44","No sabe",0.063,0.092,0.094,0.092,0.065
"P53","Sergio Massa y Javier Milei",0.409,0.425,0.492,0.592,0.324
"P53","Patricia Bullrich y Javier Milei",0.265,0.376,0.188,0.255,0.513
"P53","Sergio Massa y Patricia Bullrich",0.326,0.199,0.32,0.153,0.163
"P54","Muy buena",0.291,0.084,0.1,0.095,0.054
"P54","Buena",0.134,0.276,0.154,0.115,0.088
"P54","Regular",0.169,0.206,0.404,0.331,0.091
"P54","Mala",0.165,0.248,0.205,0.335,0.193
"P54","Muy mala",0.241,0.186,0.137,0.124,0.574
"P55","Muy buena",0.253,0.089,0.085,0.037,0.005
"P55","Buena",0.116,0.253,0.194,0.199,0.05
"P55","Regular",0.1,0.226,0.366,0.321,0.116
"P55","Mala",0.187,0.216,0.178,0.257,0.192
"P55","Muy mala",0.344,0.216,0.177,0.186,0.637
"P56","Muy buena",0.376,0.154,0.271,0.091,0.041
"P56","Buena",0.188,0.35,0.222,0.326,0.149
"P56","Regular",0.17,0.317,0.339,0.339,0.355
"P56","Mala",0.127,0.13,0.112,0.146,0.239
"P56","Muy mala",0.139,0.049,0.056,0.098,0.216
"P57","Muy buena",0.247,0.123,0.187,0.06,0.035
"P57","Buena",0.189,0.359,0.31,0.309,0.219
"P57","Regular",0.204,0.375,0.401,0.493,0.437
"P57","Mala",0.217,0.143,0.08,0.103,0.209
"P57","Muy mala",0.143,0,0.022,0.035,0.1
"P58","Muy buena",0.397,0.148,0.156,0.117,0.058
"P58","Buena",0.164,0.391,0.318,0.306,0.141
"P58","Regular",0.15,0.235,0.352,0.406,0.314
"P58","Mala",0.102,0.12,0.155,0.137,0.255
"P58","Muy mala",0.187,0.106,0.019,0.034,0.232
"P59","Muy buena",0.427,0.12,0.193,0.11,0.086
"P59","Buena",0.179,0.526,0.335,0.41,0.245
"P59","Regular",0.142,0.275,0.377,0.343,0.423
"P59","Mala",0.181,0.061,0.079,0.1,0.141
"P59","Muy mala",0.071,0.018,0.016,0.037,0.105
"P60","Ha aumentado significativamente",0.46,0.078,0.133,0.13,0.058
"P60","Ha aumentado ligeramente",0.079,0.664,0.186,0.233,0.168
"P60","Se mantiene igual",0.085,0.124,0.591,0.308,0.256
"P60","Ha disminuido ligeramente",0.202,0.034,0.079,0.274,0.211
"P60","Ha disminuido significativamente",0.174,0.1,0.011,0.055,0.307
"P62","Muy bajas",0.343,0.151,0.071,0.03,0.049
"P62","Bajas",0.174,0.278,0.082,0.123,0.172
"P62","Adecuadas",0.201,0.28,0.603,0.342,0.237
"P62","Altas",0.188,0.218,0.193,0.422,0.218
"P62","Muy altas",0.094,0.073,0.051,0.083,0.324
"P63","No, ninguna dificultad",0.397,0.415,0.473,0.502,0.388
"P63","Alguna dificultad ocasional",0.14,0.355,0.317,0.276,0.356
"P63","Sí, dificultades frecuentes",0.463,0.23,0.21,0.222,0.256
"P64","Sí, absolutamente",0.596,0.437,0.555,0.541,0.331
"P64","Sí, en cierta medida",0.147,0.357,0.322,0.358,0.362
"P64","No, en absoluto",0.257,0.206,0.123,0.101,0.307
"P65","Reducir la inflación",0.553,0.393,0.47,0.425,0.386
"P65","Implementar reformas fiscales",0.13,0.247,0.195,0.132,0.13
"P65","Establecer políticas de control de precios",0.145,0.204,0.178,0.243,0.097
"P65","Reducir el gasto público",0.093,0.091,0.115,0.158,0.342
"P65","Estimular la inversión extranjera",0.024,0.026,0.024,0.026,0.04
"P65","Aumentar los subsidios a los servicios públicos",0.055,0.039,0.018,0.016,0.005
"P66","Fomentar la competencia entre proveedores",0.533,0.331,0.442,0.311,0.382
"P66","Incrementar la inversión en infraestructura",0.247,0.337,0.29,0.255,0.257
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.151,0.175,0.093,0.135,0.108
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.069,0.157,0.175,0.299,0.253
"P67","Muy positiva",0.354,0.274,0.347,0.285,0.145
"P67","Positiva",0.19,0.368,0.237,0.309,0.179
"P67","Neutral",0.12,0.157,0.245,0.241,0.259
"P67","Algo negativa",0.209,0.132,0.022,0.108,0.178
"P67","Negativa",0.119,0.028,0.03,0.038,0.172
"P67","No sabe",0.008,0.041,0.119,0.019,0.067
"P68","Muy positivo",0.399,0.238,0.301,0.211,0.105
"P68","Positivo",0.257,0.328,0.264,0.324,0.15
"P68","Neutral",0.121,0.269,0.229,0.291,0.303
"P68","Algo negativo",0.16,0.027,0.041,0.099,0.147
"P68","Negativo",0.055,0.082,0.045,0.033,0.208
"P68","No sabe",0.008,0.056,0.12,0.042,0.087
"P69","Muy positivo",0.439,0.108,0.212,0.134,0.04
"P69","Positivo",0.147,0.351,0.246,0.225,0.122
"P69","Neutral",0.215,0.365,0.343,0.495,0.514
"P69","Algo negativo",0.096,0.059,0.037,0.063,0.091
"P69","Negativo",0.062,0.039,0.024,0.029,0.144
"P69","No sabe",0.041,0.078,0.138,0.054,0.089
"P70","Muy positiva",0.478,0.376,0.409,0.529,0.204
"P70","Positiva",0.241,0.228,0.285,0.138,0.161
"P70","Neutral",0.219,0.23,0.159,0.184,0.289
"P70","Algo negativa",0,0.088,0.036,0.095,0.113
"P70","Negativa",0.062,0.039,0.013,0.038,0.2
"P70","No sabe",0,0.039,0.098,0.016,0.033
"P71","Muy positivo",0.539,0.394,0.466,0.487,0.198
"P71","Positivo",0.177,0.263,0.225,0.236,0.172
"P71","Neutral",0.219,0.168,0.207,0.125,0.261
"P71","Algo negativo",0.019,0.105,0.032,0.071,0.135
"P71","Negativo",0.046,0.039,0.015,0.066,0.208
"P71","No sabe",0,0.031,0.055,0.015,0.026
"P72","Muy positivo",0.452,0.41,0.384,0.41,0.163
"P72","Positivo",0.185,0.263,0.357,0.307,0.171
"P72","Neutral",0.31,0.222,0.164,0.175,0.377
"P72","Algo negativo",0,0.027,0.019,0.051,0.085
"P72","Negativo",0.053,0.053,0.021,0.046,0.173
"P72","No sabe",0,0.025,0.055,0.011,0.031
"P73","Muy positiva",0.537,0.277,0.271,0.379,0.13
"P73","Positiva",0.144,0.335,0.359,0.29,0.135
"P73","Neutral",0.225,0.227,0.183,0.168,0.249
"P73","Algo negativa",0.019,0.058,0.028,0.06,0.157
"P73","Negativa",0.047,0.103,0.074,0.044,0.241
"P73","No sabe",0.028,0,0.085,0.059,0.088
"P74","Muy positivo",0.506,0.217,0.345,0.33,0.1
"P74","Positivo",0.14,0.365,0.287,0.284,0.131
"P74","Neutral",0.242,0.215,0.143,0.213,0.249
"P74","Algo negativo",0.019,0.085,0.102,0.071,0.157
"P74","Negativo",0.084,0.118,0.05,0.059,0.267
"P74","No sabe",0.009,0,0.073,0.043,0.096
"P75","Muy positivo",0.446,0.199,0.277,0.22,0.068
"P75","Positivo",0.217,0.316,0.336,0.281,0.096
"P75","Neutral",0.182,0.217,0.2,0.348,0.375
"P75","Algo negativo",0.052,0.087,0.107,0.067,0.13
"P75","Negativo",0.094,0.117,0.016,0.042,0.235
"P75","No sabe",0.009,0.064,0.064,0.042,0.096
"P76","Muy positiva",0.631,0.429,0.443,0.505,0.236
"P76","Positiva",0.11,0.251,0.269,0.227,0.181
"P76","Neutral",0.199,0.163,0.123,0.114,0.24
"P76","Algo negativa",0.022,0.076,0.033,0.08,0.128
"P76","Negativa",0.029,0.043,0.057,0.039,0.179
"P76","No sabe",0.009,0.038,0.075,0.035,0.036
"P77","Muy positivo",0.652,0.355,0.43,0.476,0.212
"P77","Positivo",0.09,0.274,0.336,0.233,0.195
"P77","Neutral",0.181,0.137,0.079,0.144,0.214
"P77","Algo negativo",0.012,0.076,0.058,0.057,0.123
"P77","Negativo",0.056,0.107,0.033,0.042,0.22
"P77","No sabe",0.009,0.051,0.064,0.048,0.036
"P78","Muy positivo",0.609,0.426,0.428,0.387,0.187
"P78","Positivo",0.083,0.288,0.237,0.209,0.169
"P78","Neutral",0.226,0.158,0.248,0.31,0.349
"P78","Algo negativo",0.011,0.059,0.013,0.043,0.104
"P78","Negativo",0.063,0.048,0.029,0.022,0.147
"P78","No sabe",0.008,0.021,0.045,0.029,0.044
"P79","Si",0.58,0.635,0.534,0.566,0.448
"P79","No",0.42,0.365,0.466,0.434,0.552
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.369,0.424,0.557,0.544,0.224
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.214,0.198,0.242,0.226,0.476
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.319,0.278,0.095,0.12,0.227
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.024,0,0.037,0.049,0.013
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.038,0.037,0.039,0.027,0.022
"PRESIDENTE","En blanco",0.032,0.034,0.026,0.02,0.015
"PRESIDENTE","No sabe",0.004,0.029,0.004,0.014,0.023
