"var","categoria","Ha aumentado significativamente","Ha aumentado ligeramente","Se mantiene igual","Ha disminuido ligeramente","Ha disminuido significativamente"
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.034,0.014,0.031,0.035,0.018
"P14","En blanco",0.003,0.013,0.021,0.032,0.016
"P14","No sabe",0.01,0.021,0.004,0.031,0.027
"P17","Totalmente seguro",0.751,0.694,0.695,0.656,0.667
"P17","Bastante seguro",0.142,0.176,0.143,0.18,0.134
"P17","Algo seguro",0.093,0.087,0.12,0.113,0.093
"P17","Para nada seguro",0.014,0.043,0.042,0.051,0.106
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.07,0.056,0.144,0.11,0.334
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.099,0.118,0.075,0.035,0.071
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.109,0.197,0.169,0.163,0.244
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.35,0.34,0.351,0.279,0.218
"P22","En blanco",0.34,0.175,0.152,0.3,0.133
"P22","No sabe",0.032,0.114,0.109,0.113,0
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.197,0.1,0.142,0.101,0.023
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.393,0.38,0.438,0.27,0.39
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.14,0.275,0.165,0.15,0.144
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.154,0.012,0.013,0.014,0.038
"P25","En blanco",0.09,0.14,0.158,0.308,0.3
"P25","No sabe",0.026,0.093,0.084,0.157,0.105
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.261,0.182,0.231,0.086,0.064
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.402,0.413,0.456,0.314,0.44
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.148,0.285,0.132,0.177,0.211
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.079,0.009,0.015,0.12,0.065
"P28","En blanco",0.11,0.111,0.096,0.27,0.183
"P28","No sabe",0,0,0.07,0.033,0.037
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.218,0.255,0.338,0.282,0.472
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.163,0.182,0.198,0.308,0.21
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.348,0.396,0.272,0.224,0.165
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.157,0.071,0.086,0.101,0.057
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.106,0.065,0.061,0.042,0.06
"P36","No sabe",0.008,0.031,0.045,0.043,0.036
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.667,0.553,0.408,0.241,0.161
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.203,0.317,0.412,0.499,0.631
"P37","En blanco",0.117,0.113,0.102,0.161,0.145
"P37","No sabe",0.013,0.017,0.078,0.099,0.063
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.278,0.327,0.408,0.422,0.552
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.147,0.208,0.176,0.258,0.236
"P38","En blanco",0.5,0.36,0.28,0.21,0.137
"P38","No sabe",0.075,0.105,0.136,0.11,0.075
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.654,0.548,0.452,0.281,0.172
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.205,0.276,0.264,0.397,0.437
"P39","En blanco",0.121,0.117,0.169,0.211,0.273
"P39","No sabe",0.02,0.059,0.115,0.111,0.118
"P40","Lo votaría",0.652,0.566,0.383,0.258,0.14
"P40","Puede que lo vote",0.116,0.102,0.153,0.092,0.134
"P40","Nunca lo votaría",0.219,0.305,0.414,0.609,0.696
"P40","No sabe",0.013,0.027,0.05,0.041,0.03
"P41","Lo votaría",0.287,0.318,0.383,0.385,0.532
"P41","Puede que lo vote",0.062,0.116,0.116,0.112,0.133
"P41","Nunca lo votaría",0.608,0.537,0.456,0.447,0.292
"P41","No sabe",0.043,0.029,0.045,0.056,0.043
"P42","Lo votaría",0.207,0.199,0.197,0.249,0.296
"P42","Puede que lo vote",0.073,0.129,0.163,0.193,0.213
"P42","Nunca lo votaría",0.696,0.644,0.582,0.489,0.428
"P42","No sabe",0.024,0.028,0.058,0.069,0.063
"P43","Lo votaría",0.161,0.121,0.123,0.089,0.077
"P43","Puede que lo vote",0.293,0.296,0.19,0.19,0.128
"P43","Nunca lo votaría",0.516,0.528,0.607,0.659,0.774
"P43","No sabe",0.03,0.055,0.08,0.062,0.021
"P44","Lo votaría",0.08,0.073,0.087,0.057,0.094
"P44","Puede que lo vote",0.215,0.3,0.279,0.247,0.183
"P44","Nunca lo votaría",0.692,0.577,0.554,0.568,0.649
"P44","No sabe",0.013,0.05,0.08,0.128,0.074
"P53","Sergio Massa y Javier Milei",0.544,0.512,0.438,0.43,0.202
"P53","Patricia Bullrich y Javier Milei",0.161,0.302,0.373,0.431,0.641
"P53","Sergio Massa y Patricia Bullrich",0.295,0.186,0.189,0.139,0.157
"P54","Muy buena",0.201,0.095,0.063,0.079,0.033
"P54","Buena",0.129,0.212,0.092,0.058,0.09
"P54","Regular",0.274,0.285,0.267,0.097,0.028
"P54","Mala",0.243,0.174,0.257,0.303,0.174
"P54","Muy mala",0.153,0.234,0.321,0.463,0.675
"P55","Muy buena",0.157,0.061,0.012,0,0.017
"P55","Buena",0.226,0.245,0.1,0.048,0.006
"P55","Regular",0.229,0.248,0.282,0.145,0.045
"P55","Mala",0.149,0.158,0.221,0.297,0.194
"P55","Muy mala",0.239,0.288,0.385,0.51,0.738
"P56","Muy buena",0.289,0.144,0.088,0.002,0.044
"P56","Buena",0.212,0.308,0.224,0.197,0.105
"P56","Regular",0.3,0.294,0.402,0.352,0.304
"P56","Mala",0.099,0.132,0.189,0.256,0.257
"P56","Muy mala",0.1,0.122,0.097,0.193,0.29
"P57","Muy buena",0.333,0.078,0.048,0,0.024
"P57","Buena",0.343,0.446,0.285,0.16,0.07
"P57","Regular",0.189,0.388,0.511,0.577,0.35
"P57","Mala",0.113,0.067,0.125,0.197,0.335
"P57","Muy mala",0.022,0.021,0.031,0.066,0.221
"P58","Muy buena",0.516,0.166,0.024,0.008,0.024
"P58","Buena",0.244,0.393,0.267,0.13,0.015
"P58","Regular",0.132,0.302,0.452,0.389,0.216
"P58","Mala",0.06,0.095,0.188,0.348,0.269
"P58","Muy mala",0.048,0.044,0.069,0.125,0.476
"P59","Muy buena",0.562,0.114,0.056,0.032,0.076
"P59","Buena",0.261,0.571,0.294,0.233,0.143
"P59","Regular",0.156,0.253,0.561,0.418,0.328
"P59","Mala",0.004,0.036,0.064,0.257,0.22
"P59","Muy mala",0.017,0.026,0.025,0.06,0.233
"P61","Muy baja",0.202,0.016,0.013,0.044,0.038
"P61","Baja",0.047,0.193,0.027,0.01,0.03
"P61","Moderada",0.112,0.075,0.178,0.033,0.005
"P61","Alta",0.314,0.267,0.266,0.327,0.066
"P61","Muy alta",0.325,0.449,0.516,0.586,0.861
"P62","Muy bajas",0.125,0.038,0.083,0.05,0.055
"P62","Bajas",0.086,0.164,0.158,0.191,0.155
"P62","Adecuadas",0.4,0.381,0.264,0.302,0.189
"P62","Altas",0.219,0.226,0.309,0.262,0.269
"P62","Muy altas",0.17,0.191,0.186,0.195,0.332
"P63","No, ninguna dificultad",0.666,0.559,0.444,0.372,0.186
"P63","Alguna dificultad ocasional",0.15,0.293,0.324,0.4,0.368
"P63","Sí, dificultades frecuentes",0.184,0.148,0.232,0.228,0.446
"P64","Sí, absolutamente",0.694,0.535,0.391,0.339,0.277
"P64","Sí, en cierta medida",0.166,0.379,0.356,0.424,0.322
"P64","No, en absoluto",0.14,0.086,0.253,0.237,0.401
"P65","Reducir la inflación",0.485,0.377,0.412,0.432,0.383
"P65","Implementar reformas fiscales",0.162,0.218,0.121,0.114,0.118
"P65","Establecer políticas de control de precios",0.197,0.202,0.191,0.115,0.044
"P65","Reducir el gasto público",0.089,0.155,0.238,0.293,0.406
"P65","Estimular la inversión extranjera",0.047,0.026,0.03,0.031,0.043
"P65","Aumentar los subsidios a los servicios públicos",0.02,0.022,0.008,0.015,0.006
"P66","Fomentar la competencia entre proveedores",0.293,0.249,0.389,0.424,0.473
"P66","Incrementar la inversión en infraestructura",0.293,0.316,0.249,0.243,0.234
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.143,0.153,0.122,0.13,0.056
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.271,0.282,0.24,0.203,0.237
"P67","Muy positiva",0.414,0.268,0.211,0.152,0.118
"P67","Positiva",0.211,0.348,0.231,0.211,0.124
"P67","Neutral",0.147,0.18,0.283,0.282,0.253
"P67","Algo negativa",0.168,0.065,0.099,0.215,0.219
"P67","Negativa",0.053,0.106,0.082,0.096,0.225
"P67","No sabe",0.007,0.033,0.094,0.044,0.061
"P68","Muy positivo",0.394,0.247,0.146,0.08,0.084
"P68","Positivo",0.222,0.333,0.252,0.176,0.083
"P68","Neutral",0.205,0.207,0.331,0.304,0.323
"P68","Algo negativo",0.083,0.034,0.084,0.216,0.183
"P68","Negativo",0.062,0.128,0.096,0.134,0.25
"P68","No sabe",0.034,0.051,0.091,0.09,0.077
"P69","Muy positivo",0.267,0.161,0.087,0.022,0.034
"P69","Positivo",0.223,0.244,0.208,0.133,0.058
"P69","Neutral",0.352,0.427,0.495,0.551,0.472
"P69","Algo negativo",0.046,0.037,0.073,0.105,0.122
"P69","Negativo",0.077,0.061,0.051,0.09,0.215
"P69","No sabe",0.035,0.07,0.086,0.099,0.099
"P70","Muy positiva",0.588,0.427,0.361,0.212,0.123
"P70","Positiva",0.172,0.217,0.193,0.14,0.132
"P70","Neutral",0.146,0.214,0.235,0.264,0.33
"P70","Algo negativa",0.043,0.044,0.078,0.17,0.134
"P70","Negativa",0.051,0.07,0.083,0.169,0.255
"P70","No sabe",0,0.028,0.05,0.045,0.026
"P71","Muy positivo",0.554,0.43,0.346,0.228,0.123
"P71","Positivo",0.21,0.233,0.212,0.175,0.158
"P71","Neutral",0.169,0.183,0.225,0.211,0.264
"P71","Algo negativo",0.054,0.057,0.082,0.181,0.136
"P71","Negativo",0.013,0.079,0.089,0.185,0.295
"P71","No sabe",0,0.018,0.046,0.02,0.024
"P72","Muy positivo",0.444,0.381,0.268,0.198,0.135
"P72","Positivo",0.264,0.268,0.263,0.21,0.126
"P72","Neutral",0.239,0.21,0.321,0.347,0.334
"P72","Algo negativo",0.033,0.034,0.062,0.073,0.107
"P72","Negativo",0.02,0.087,0.053,0.154,0.251
"P72","No sabe",0,0.02,0.033,0.018,0.047
"P73","Muy positiva",0.53,0.351,0.188,0.141,0.08
"P73","Positiva",0.238,0.288,0.229,0.173,0.092
"P73","Neutral",0.111,0.143,0.265,0.265,0.268
"P73","Algo negativa",0.031,0.076,0.108,0.139,0.16
"P73","Negativa",0.05,0.109,0.116,0.17,0.335
"P73","No sabe",0.04,0.033,0.094,0.112,0.065
"P74","Muy positivo",0.447,0.312,0.185,0.115,0.062
"P74","Positivo",0.27,0.314,0.185,0.168,0.069
"P74","Neutral",0.082,0.137,0.297,0.251,0.304
"P74","Algo negativo",0.036,0.082,0.14,0.135,0.169
"P74","Negativo",0.086,0.127,0.141,0.188,0.328
"P74","No sabe",0.079,0.028,0.052,0.143,0.068
"P75","Muy positivo",0.365,0.212,0.11,0.097,0.063
"P75","Positivo",0.249,0.297,0.179,0.149,0.045
"P75","Neutral",0.198,0.302,0.387,0.329,0.375
"P75","Algo negativo",0.019,0.041,0.153,0.143,0.135
"P75","Negativo",0.09,0.109,0.119,0.134,0.315
"P75","No sabe",0.079,0.039,0.052,0.148,0.067
"P76","Muy positiva",0.628,0.461,0.309,0.28,0.206
"P76","Positiva",0.125,0.22,0.225,0.226,0.163
"P76","Neutral",0.165,0.143,0.212,0.178,0.249
"P76","Algo negativa",0.062,0.073,0.1,0.138,0.109
"P76","Negativa",0.02,0.077,0.086,0.143,0.236
"P76","No sabe",0,0.026,0.068,0.035,0.037
"P77","Muy positivo",0.607,0.366,0.356,0.25,0.166
"P77","Positivo",0.171,0.305,0.221,0.191,0.153
"P77","Neutral",0.117,0.14,0.167,0.248,0.203
"P77","Algo negativo",0.032,0.066,0.092,0.131,0.117
"P77","Negativo",0.069,0.095,0.085,0.156,0.32
"P77","No sabe",0.004,0.028,0.079,0.024,0.041
"P78","Muy positivo",0.629,0.349,0.281,0.2,0.16
"P78","Positivo",0.121,0.219,0.221,0.143,0.193
"P78","Neutral",0.209,0.266,0.319,0.438,0.283
"P78","Algo negativo",0.01,0.077,0.078,0.088,0.08
"P78","Negativo",0.027,0.076,0.05,0.097,0.213
"P78","No sabe",0.004,0.013,0.051,0.034,0.071
"P79","Si",0.576,0.559,0.459,0.455,0.51
"P79","No",0.424,0.441,0.541,0.545,0.49
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.65,0.522,0.387,0.196,0.138
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.121,0.246,0.375,0.436,0.531
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.182,0.173,0.151,0.228,0.25
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0,0.011,0.031,0.042,0.02
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.034,0.014,0.031,0.035,0.018
"PRESIDENTE","En blanco",0.003,0.013,0.021,0.032,0.016
"PRESIDENTE","No sabe",0.01,0.021,0.004,0.031,0.027
