"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P43","Nunca lo votaría",0.402,0.836,0.684,0.354
"P43","No sabe",0.066,0.021,0.058,0.233
"P44","Lo votaría",0.093,0.062,0.087,0.097
"P44","Puede que lo vote",0.258,0.256,0.215,0.194
"P44","Nunca lo votaría",0.57,0.633,0.617,0.426
"P44","No sabe",0.079,0.049,0.081,0.283
"P53","Sergio Massa y Javier Milei",0.705,0.129,0.471,0.434
"P53","Patricia Bullrich y Javier Milei",0.115,0.696,0.33,0.254
"P53","Sergio Massa y Patricia Bullrich",0.18,0.175,0.199,0.312
"P54","Muy buena",0.107,0.027,0.133,0.158
"P54","Buena",0.13,0.094,0.126,0.09
"P54","Regular",0.36,0.045,0.177,0.23
"P54","Mala",0.283,0.203,0.158,0.254
"P54","Muy mala",0.12,0.631,0.406,0.268
"P55","Muy buena",0.065,0.003,0.031,0.071
"P55","Buena",0.244,0.018,0.096,0.016
"P55","Regular",0.368,0.048,0.135,0.272
"P55","Mala",0.18,0.223,0.231,0.218
"P55","Muy mala",0.143,0.708,0.507,0.423
"P56","Muy buena",0.18,0.018,0.129,0.051
"P56","Buena",0.324,0.115,0.227,0.125
"P56","Regular",0.32,0.407,0.159,0.297
"P56","Mala",0.107,0.254,0.227,0.272
"P56","Muy mala",0.069,0.206,0.258,0.255
"P57","Muy buena",0.117,0.021,0.092,0.07
"P57","Buena",0.333,0.195,0.29,0.121
"P57","Regular",0.412,0.49,0.35,0.348
"P57","Mala",0.104,0.209,0.164,0.255
"P57","Muy mala",0.034,0.085,0.104,0.206
"P58","Muy buena",0.189,0.028,0.081,0.074
"P58","Buena",0.324,0.126,0.233,0.087
"P58","Regular",0.333,0.333,0.263,0.366
"P58","Mala",0.107,0.281,0.181,0.322
"P58","Muy mala",0.047,0.232,0.242,0.151
"P59","Muy buena",0.171,0.057,0.171,0.1
"P59","Buena",0.435,0.232,0.254,0.135
"P59","Regular",0.287,0.473,0.31,0.404
"P59","Mala",0.07,0.137,0.153,0.267
"P59","Muy mala",0.037,0.101,0.112,0.094
"P60","Ha aumentado significativamente",0.175,0.047,0.092,0.022
"P60","Ha aumentado ligeramente",0.305,0.154,0.187,0.059
"P60","Se mantiene igual",0.305,0.27,0.23,0.37
"P60","Ha disminuido ligeramente",0.13,0.236,0.261,0.339
"P60","Ha disminuido significativamente",0.085,0.293,0.23,0.21
"P61","Muy baja",0.06,0.023,0.079,0.031
"P61","Baja",0.063,0.043,0.135,0.031
"P61","Moderada",0.123,0.036,0.099,0.165
"P61","Alta",0.367,0.141,0.181,0.323
"P61","Muy alta",0.387,0.757,0.506,0.45
"P62","Muy bajas",0.058,0.064,0.108,0.031
"P62","Bajas",0.12,0.202,0.146,0.108
"P62","Adecuadas",0.388,0.23,0.233,0.316
"P62","Altas",0.276,0.257,0.267,0.246
"P62","Muy altas",0.158,0.247,0.246,0.299
"P63","No, ninguna dificultad",0.547,0.354,0.391,0.249
"P63","Alguna dificultad ocasional",0.274,0.371,0.3,0.344
"P63","Sí, dificultades frecuentes",0.179,0.275,0.309,0.407
"P64","Sí, absolutamente",0.653,0.222,0.387,0.408
"P64","Sí, en cierta medida",0.29,0.421,0.28,0.346
"P64","No, en absoluto",0.057,0.357,0.333,0.246
"P65","Reducir la inflación",0.501,0.34,0.356,0.464
"P65","Implementar reformas fiscales",0.165,0.121,0.166,0.131
"P65","Establecer políticas de control de precios",0.239,0.065,0.16,0.177
"P65","Reducir el gasto público",0.06,0.42,0.263,0.178
"P65","Estimular la inversión extranjera",0.021,0.047,0.017,0.05
"P65","Aumentar los subsidios a los servicios públicos",0.014,0.007,0.038,0
"P66","Fomentar la competencia entre proveedores",0.245,0.43,0.489,0.505
"P66","Incrementar la inversión en infraestructura",0.289,0.266,0.227,0.167
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.171,0.086,0.08,0.127
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.295,0.218,0.204,0.201
"P67","Muy positiva",0.354,0.1,0.22,0.138
"P67","Positiva",0.326,0.13,0.24,0.316
"P67","Neutral",0.188,0.277,0.303,0.17
"P67","Algo negativa",0.061,0.242,0.105,0.07
"P67","Negativa",0.032,0.187,0.132,0.081
"P67","No sabe",0.039,0.064,0,0.225
"P68","Muy positivo",0.297,0.044,0.247,0.098
"P68","Positivo",0.365,0.088,0.22,0.252
"P68","Neutral",0.228,0.347,0.23,0.297
"P68","Algo negativo",0.031,0.213,0.08,0.066
"P68","Negativo",0.033,0.22,0.179,0.084
"P68","No sabe",0.046,0.088,0.044,0.203
"P69","Muy positivo",0.19,0.022,0.108,0.072
"P69","Positivo",0.284,0.067,0.19,0.228
"P69","Neutral",0.428,0.525,0.459,0.388
"P69","Algo negativo",0.019,0.141,0.049,0.048
"P69","Negativo",0.029,0.141,0.155,0.046
"P69","No sabe",0.05,0.104,0.039,0.218
"P70","Muy positiva",0.615,0.097,0.304,0.201
"P70","Positiva",0.179,0.167,0.16,0.223
"P70","Neutral",0.148,0.324,0.261,0.243
"P70","Algo negativa",0.006,0.178,0.072,0.112
"P70","Negativa",0.027,0.202,0.178,0.095
"P70","No sabe",0.025,0.032,0.025,0.126
"P71","Muy positivo",0.579,0.101,0.345,0.272
"P71","Positivo",0.22,0.169,0.178,0.323
"P71","Neutral",0.122,0.298,0.222,0.173
"P71","Algo negativo",0.017,0.191,0.073,0.068
"P71","Negativo",0.039,0.215,0.177,0.096
"P71","No sabe",0.023,0.026,0.005,0.068
"P72","Muy positivo",0.49,0.083,0.326,0.173
"P72","Positivo",0.274,0.195,0.151,0.33
"P72","Neutral",0.179,0.41,0.279,0.231
"P72","Algo negativo",0.011,0.095,0.081,0.119
"P72","Negativo",0.027,0.188,0.158,0.052
"P72","No sabe",0.019,0.029,0.005,0.095
"P73","Muy positiva",0.447,0.054,0.25,0.112
"P73","Positiva",0.331,0.094,0.15,0.342
"P73","Neutral",0.14,0.308,0.218,0.118
"P73","Algo negativa",0.012,0.195,0.114,0.09
"P73","Negativa",0.04,0.254,0.215,0.123
"P73","No sabe",0.03,0.095,0.053,0.215
"P74","Muy positivo",0.424,0.028,0.227,0.049
"P74","Positivo",0.345,0.07,0.171,0.26
"P74","Neutral",0.131,0.326,0.212,0.182
"P74","Algo negativo",0.042,0.19,0.093,0.167
"P74","Negativo",0.036,0.287,0.252,0.13
"P74","No sabe",0.022,0.099,0.045,0.212
"P75","Muy positivo",0.291,0.025,0.211,0.04
"P75","Positivo",0.317,0.075,0.12,0.269
"P75","Neutral",0.288,0.406,0.27,0.221
"P75","Algo negativo",0.042,0.147,0.143,0.138
"P75","Negativo",0.032,0.246,0.211,0.122
"P75","No sabe",0.03,0.101,0.045,0.21
"P76","Muy positiva",0.564,0.156,0.393,0.35
"P76","Positiva",0.219,0.187,0.206,0.195
"P76","Neutral",0.143,0.235,0.161,0.238
"P76","Algo negativa",0.03,0.162,0.124,0.026
"P76","Negativa",0.027,0.207,0.116,0.04
"P76","No sabe",0.017,0.053,0,0.151
"P77","Muy positivo",0.509,0.129,0.422,0.389
"P77","Positivo",0.283,0.168,0.227,0.137
"P77","Neutral",0.127,0.233,0.153,0.166
"P77","Algo negativo",0.024,0.153,0.091,0.091
"P77","Negativo",0.032,0.267,0.107,0.056
"P77","No sabe",0.025,0.05,0,0.161
"P78","Muy positivo",0.475,0.118,0.351,0.271
"P78","Positivo",0.174,0.2,0.188,0.212
"P78","Neutral",0.281,0.35,0.3,0.242
"P78","Algo negativo",0.026,0.121,0.056,0.08
"P78","Negativo",0.023,0.163,0.105,0.054
"P78","No sabe",0.021,0.048,0,0.141
"P79","Si",0.541,0.457,0.604,0.4
"P79","No",0.459,0.543,0.396,0.6
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.776,0.052,0.182,0.156
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.094,0.665,0.178,0.118
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.079,0.231,0.476,0.203
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.013,0.017,0.049,0.092
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.021,0.007,0.073,0.111
"PRESIDENTE","En blanco",0.007,0.017,0.04,0.136
"PRESIDENTE","No sabe",0.01,0.011,0.002,0.184
