"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P41","Nunca lo votaría",0.704,0.314,0.255,0.265
"P41","No sabe",0.045,0.048,0.017,0.173
"P42","Lo votaría",0.076,0.528,0.087,0.157
"P42","Puede que lo vote",0.059,0.322,0.079,0.146
"P42","Nunca lo votaría",0.831,0.116,0.784,0.487
"P42","No sabe",0.034,0.034,0.05,0.21
"P43","Lo votaría",0.18,0.078,0.04,0.114
"P43","Puede que lo vote",0.353,0.106,0.106,0.144
"P43","Nunca lo votaría",0.399,0.784,0.826,0.592
"P43","No sabe",0.068,0.032,0.028,0.15
"P44","Lo votaría",0.1,0.06,0.066,0.08
"P44","Puede que lo vote",0.252,0.246,0.226,0.272
"P44","Nunca lo votaría",0.558,0.659,0.668,0.374
"P44","No sabe",0.09,0.035,0.04,0.274
"P53","Sergio Massa y Javier Milei",0.701,0.24,0.203,0.18
"P53","Patricia Bullrich y Javier Milei",0.113,0.61,0.575,0.547
"P53","Sergio Massa y Patricia Bullrich",0.186,0.15,0.222,0.273
"P54","Muy buena",0.124,0.042,0.069,0.039
"P54","Buena",0.106,0.121,0.111,0.106
"P54","Regular",0.368,0.044,0.103,0.145
"P54","Mala",0.278,0.19,0.176,0.276
"P54","Muy mala",0.124,0.603,0.541,0.434
"P55","Muy buena",0.062,0.005,0.024,0.037
"P55","Buena",0.23,0.038,0.046,0.011
"P55","Regular",0.377,0.035,0.096,0.162
"P55","Mala",0.19,0.219,0.194,0.266
"P55","Muy mala",0.141,0.703,0.64,0.524
"P56","Muy buena",0.165,0.064,0.047,0.008
"P56","Buena",0.309,0.151,0.16,0.079
"P56","Regular",0.333,0.319,0.329,0.413
"P56","Mala",0.114,0.218,0.283,0.303
"P56","Muy mala",0.079,0.248,0.181,0.197
"P57","Muy buena",0.111,0.032,0.062,0.039
"P57","Buena",0.327,0.214,0.222,0.153
"P57","Regular",0.424,0.432,0.474,0.402
"P57","Mala",0.097,0.21,0.197,0.25
"P57","Muy mala",0.041,0.112,0.045,0.156
"P58","Muy buena",0.18,0.027,0.071,0.051
"P58","Buena",0.32,0.139,0.146,0.137
"P58","Regular",0.349,0.305,0.303,0.349
"P58","Mala",0.107,0.248,0.291,0.305
"P58","Muy mala",0.044,0.281,0.189,0.158
"P59","Muy buena",0.153,0.134,0.058,0.024
"P59","Buena",0.413,0.251,0.207,0.232
"P59","Regular",0.325,0.358,0.488,0.455
"P59","Mala",0.067,0.138,0.174,0.196
"P59","Muy mala",0.042,0.119,0.073,0.093
"P60","Ha aumentado significativamente",0.163,0.063,0.066,0.022
"P60","Ha aumentado ligeramente",0.287,0.18,0.134,0.134
"P60","Se mantiene igual",0.321,0.233,0.263,0.349
"P60","Ha disminuido ligeramente",0.143,0.252,0.237,0.242
"P60","Ha disminuido significativamente",0.086,0.272,0.3,0.253
"P61","Muy baja",0.054,0.042,0.045,0.011
"P61","Baja",0.085,0.05,0.037,0.047
"P61","Moderada",0.13,0.022,0.098,0.088
"P61","Alta",0.349,0.153,0.165,0.257
"P61","Muy alta",0.382,0.733,0.655,0.597
"P62","Muy bajas",0.066,0.075,0.073,0.015
"P62","Bajas",0.12,0.182,0.186,0.186
"P62","Adecuadas",0.396,0.218,0.24,0.242
"P62","Altas",0.273,0.222,0.305,0.293
"P62","Muy altas",0.145,0.303,0.196,0.264
"P63","No, ninguna dificultad",0.541,0.357,0.36,0.299
"P63","Alguna dificultad ocasional",0.261,0.345,0.419,0.331
"P63","Sí, dificultades frecuentes",0.198,0.298,0.221,0.37
"P64","Sí, absolutamente",0.657,0.225,0.282,0.318
"P64","Sí, en cierta medida",0.28,0.374,0.393,0.47
"P64","No, en absoluto",0.063,0.401,0.325,0.212
"P65","Reducir la inflación",0.486,0.299,0.421,0.452
"P65","Implementar reformas fiscales",0.161,0.156,0.093,0.123
"P65","Establecer políticas de control de precios",0.253,0.061,0.096,0.122
"P65","Reducir el gasto público",0.062,0.422,0.354,0.25
"P65","Estimular la inversión extranjera",0.025,0.046,0.019,0.053
"P65","Aumentar los subsidios a los servicios públicos",0.013,0.016,0.017,0
"P66","Fomentar la competencia entre proveedores",0.229,0.517,0.378,0.46
"P66","Incrementar la inversión en infraestructura",0.307,0.198,0.31,0.229
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.18,0.056,0.083,0.15
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.284,0.229,0.229,0.161
"P67","Muy positiva",0.358,0.13,0.09,0.127
"P67","Positiva",0.335,0.149,0.137,0.225
"P67","Neutral",0.178,0.303,0.275,0.228
"P67","Algo negativa",0.052,0.205,0.243,0.158
"P67","Negativa",0.034,0.168,0.204,0.113
"P67","No sabe",0.043,0.045,0.051,0.149
"P68","Muy positivo",0.295,0.082,0.091,0.088
"P68","Positivo",0.356,0.105,0.145,0.176
"P68","Neutral",0.231,0.335,0.296,0.303
"P68","Algo negativo",0.027,0.218,0.146,0.115
"P68","Negativo",0.041,0.195,0.227,0.163
"P68","No sabe",0.05,0.065,0.095,0.155
"P69","Muy positivo",0.175,0.038,0.07,0.052
"P69","Positivo",0.295,0.075,0.096,0.148
"P69","Neutral",0.416,0.542,0.493,0.431
"P69","Algo negativo",0.029,0.135,0.083,0.077
"P69","Negativo",0.033,0.14,0.15,0.097
"P69","No sabe",0.052,0.07,0.108,0.195
"P70","Muy positiva",0.592,0.107,0.203,0.196
"P70","Positiva",0.188,0.151,0.191,0.17
"P70","Neutral",0.132,0.346,0.291,0.278
"P70","Algo negativa",0.019,0.173,0.102,0.13
"P70","Negativa",0.04,0.194,0.191,0.137
"P70","No sabe",0.029,0.029,0.022,0.089
"P71","Muy positivo",0.565,0.104,0.233,0.234
"P71","Positivo",0.218,0.19,0.162,0.217
"P71","Neutral",0.098,0.298,0.294,0.255
"P71","Algo negativo",0.029,0.189,0.103,0.111
"P71","Negativo",0.063,0.209,0.178,0.123
"P71","No sabe",0.027,0.01,0.03,0.06
"P72","Muy positivo",0.484,0.1,0.171,0.183
"P72","Positivo",0.273,0.196,0.188,0.225
"P72","Neutral",0.159,0.394,0.406,0.31
"P72","Algo negativo",0.02,0.102,0.053,0.123
"P72","Negativo",0.043,0.197,0.147,0.075
"P72","No sabe",0.021,0.011,0.035,0.084
"P73","Muy positiva",0.431,0.067,0.157,0.103
"P73","Positiva",0.339,0.095,0.115,0.202
"P73","Neutral",0.139,0.292,0.263,0.248
"P73","Algo negativa",0.022,0.184,0.141,0.151
"P73","Negativa",0.031,0.272,0.244,0.161
"P73","No sabe",0.038,0.09,0.08,0.135
"P74","Muy positivo",0.398,0.041,0.156,0.068
"P74","Positivo",0.346,0.092,0.099,0.133
"P74","Neutral",0.142,0.309,0.246,0.278
"P74","Algo negativo",0.035,0.175,0.162,0.207
"P74","Negativo",0.05,0.297,0.244,0.17
"P74","No sabe",0.029,0.086,0.093,0.144
"P75","Muy positivo",0.277,0.032,0.141,0.057
"P75","Positivo",0.32,0.092,0.065,0.15
"P75","Neutral",0.28,0.365,0.366,0.379
"P75","Algo negativo",0.042,0.162,0.143,0.112
"P75","Negativo",0.049,0.258,0.179,0.173
"P75","No sabe",0.032,0.091,0.106,0.129
"P76","Muy positiva",0.564,0.215,0.245,0.163
"P76","Positiva",0.215,0.196,0.186,0.194
"P76","Neutral",0.142,0.223,0.195,0.273
"P76","Algo negativa",0.031,0.175,0.135,0.048
"P76","Negativa",0.025,0.167,0.188,0.189
"P76","No sabe",0.023,0.024,0.051,0.133
"P77","Muy positivo",0.503,0.201,0.233,0.211
"P77","Positivo",0.267,0.191,0.204,0.127
"P77","Neutral",0.145,0.224,0.161,0.18
"P77","Algo negativo",0.025,0.142,0.136,0.118
"P77","Negativo",0.035,0.216,0.228,0.196
"P77","No sabe",0.025,0.026,0.038,0.168
"P78","Muy positivo",0.468,0.195,0.173,0.133
"P78","Positivo",0.186,0.225,0.155,0.141
"P78","Neutral",0.263,0.316,0.392,0.347
"P78","Algo negativo",0.048,0.095,0.088,0.075
"P78","Negativo",0.016,0.144,0.163,0.136
"P78","No sabe",0.019,0.025,0.029,0.168
"P79","Si",0.517,0.491,0.546,0.441
"P79","No",0.483,0.509,0.454,0.559
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.754,0.062,0.115,0.087
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.109,0.415,0.698,0.445
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.078,0.474,0.078,0.062
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.017,0.012,0.031,0.076
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.019,0.011,0.049,0.071
"PRESIDENTE","En blanco",0.013,0.016,0.016,0.13
"PRESIDENTE","No sabe",0.01,0.01,0.013,0.129
