"var","categoria","No, ninguna dificultad","Alguna dificultad ocasional","Sí, dificultades frecuentes"
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.359,0.495,0.473
"P37","En blanco",0.117,0.118,0.157
"P37","No sabe",0.036,0.065,0.099
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.398,0.423,0.413
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.19,0.243,0.22
"P38","En blanco",0.323,0.231,0.221
"P38","No sabe",0.089,0.103,0.146
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.51,0.324,0.317
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.269,0.342,0.38
"P39","En blanco",0.153,0.235,0.16
"P39","No sabe",0.068,0.099,0.143
"P40","Lo votaría",0.496,0.289,0.268
"P40","Puede que lo vote",0.107,0.114,0.167
"P40","Nunca lo votaría",0.371,0.555,0.517
"P40","No sabe",0.026,0.042,0.048
"P41","Lo votaría",0.363,0.412,0.406
"P41","Puede que lo vote",0.115,0.106,0.104
"P41","Nunca lo votaría",0.492,0.444,0.413
"P41","No sabe",0.03,0.038,0.077
"P42","Lo votaría",0.222,0.213,0.283
"P42","Puede que lo vote",0.13,0.173,0.173
"P42","Nunca lo votaría",0.617,0.557,0.466
"P42","No sabe",0.031,0.057,0.078
"P43","Lo votaría",0.104,0.108,0.127
"P43","Puede que lo vote",0.268,0.194,0.131
"P43","Nunca lo votaría",0.58,0.642,0.673
"P43","No sabe",0.048,0.056,0.069
"P44","Lo votaría",0.097,0.063,0.074
"P44","Puede que lo vote",0.288,0.255,0.16
"P44","Nunca lo votaría",0.563,0.61,0.659
"P44","No sabe",0.052,0.072,0.107
"P53","Sergio Massa y Javier Milei",0.515,0.384,0.289
"P53","Patricia Bullrich y Javier Milei",0.332,0.407,0.517
"P53","Sergio Massa y Patricia Bullrich",0.153,0.209,0.194
"P54","Muy buena",0.087,0.073,0.079
"P54","Buena",0.111,0.108,0.123
"P54","Regular",0.257,0.149,0.115
"P54","Mala",0.211,0.233,0.256
"P54","Muy mala",0.334,0.437,0.427
"P55","Muy buena",0.054,0.022,0.028
"P55","Buena",0.172,0.082,0.051
"P55","Regular",0.225,0.203,0.137
"P55","Mala",0.197,0.171,0.271
"P55","Muy mala",0.352,0.522,0.513
"P56","Muy buena",0.139,0.047,0.085
"P56","Buena",0.24,0.217,0.171
"P56","Regular",0.333,0.361,0.335
"P56","Mala",0.176,0.183,0.221
"P56","Muy mala",0.112,0.192,0.188
"P57","Muy buena",0.127,0.028,0.03
"P57","Buena",0.392,0.211,0.08
"P57","Regular",0.392,0.503,0.444
"P57","Mala",0.065,0.201,0.271
"P57","Muy mala",0.024,0.057,0.175
"P58","Muy buena",0.178,0.049,0.05
"P58","Buena",0.32,0.19,0.072
"P58","Regular",0.287,0.358,0.338
"P58","Mala",0.147,0.224,0.275
"P58","Muy mala",0.068,0.179,0.265
"P59","Muy buena",0.174,0.06,0.118
"P59","Buena",0.38,0.294,0.195
"P59","Regular",0.35,0.427,0.357
"P59","Mala",0.068,0.141,0.177
"P59","Muy mala",0.028,0.078,0.153
"P60","Ha aumentado significativamente",0.161,0.048,0.075
"P60","Ha aumentado ligeramente",0.281,0.194,0.126
"P60","Se mantiene igual",0.292,0.28,0.259
"P60","Ha disminuido ligeramente",0.179,0.253,0.187
"P60","Ha disminuido significativamente",0.087,0.225,0.353
"P61","Muy baja",0.039,0.018,0.078
"P61","Baja",0.059,0.066,0.055
"P61","Moderada",0.096,0.084,0.072
"P61","Alta",0.29,0.21,0.218
"P61","Muy alta",0.516,0.622,0.577
"P62","Muy bajas",0.119,0.025,0.034
"P62","Bajas",0.19,0.202,0.041
"P62","Adecuadas",0.386,0.246,0.221
"P62","Altas",0.2,0.295,0.321
"P62","Muy altas",0.105,0.232,0.383
"P64","Sí, absolutamente",0.534,0.301,0.377
"P64","Sí, en cierta medida",0.298,0.502,0.238
"P64","No, en absoluto",0.168,0.197,0.385
"P65","Reducir la inflación",0.397,0.407,0.437
"P65","Implementar reformas fiscales",0.153,0.165,0.102
"P65","Establecer políticas de control de precios",0.191,0.11,0.13
"P65","Reducir el gasto público",0.214,0.277,0.275
"P65","Estimular la inversión extranjera",0.033,0.032,0.035
"P65","Aumentar los subsidios a los servicios públicos",0.012,0.009,0.021
"P66","Fomentar la competencia entre proveedores",0.35,0.403,0.37
"P66","Incrementar la inversión en infraestructura",0.305,0.271,0.184
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.126,0.099,0.135
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.219,0.227,0.311
"P67","Muy positiva",0.285,0.137,0.195
"P67","Positiva",0.257,0.232,0.178
"P67","Neutral",0.215,0.274,0.24
"P67","Algo negativa",0.108,0.176,0.171
"P67","Negativa",0.085,0.121,0.158
"P67","No sabe",0.05,0.06,0.058
"P68","Muy positivo",0.25,0.08,0.146
"P68","Positivo",0.213,0.285,0.145
"P68","Neutral",0.257,0.302,0.305
"P68","Algo negativo",0.104,0.108,0.157
"P68","Negativo",0.107,0.136,0.186
"P68","No sabe",0.069,0.089,0.061
"P69","Muy positivo",0.145,0.053,0.084
"P69","Positivo",0.193,0.196,0.117
"P69","Neutral",0.47,0.486,0.455
"P69","Algo negativo",0.051,0.075,0.126
"P69","Negativo",0.055,0.096,0.158
"P69","No sabe",0.086,0.094,0.06
"P70","Muy positiva",0.397,0.259,0.291
"P70","Positiva",0.176,0.205,0.134
"P70","Neutral",0.209,0.297,0.236
"P70","Algo negativa",0.093,0.077,0.122
"P70","Negativa",0.082,0.132,0.193
"P70","No sabe",0.043,0.03,0.024
"P71","Muy positivo",0.384,0.251,0.308
"P71","Positivo",0.188,0.21,0.203
"P71","Neutral",0.176,0.295,0.175
"P71","Algo negativo",0.127,0.094,0.075
"P71","Negativo",0.098,0.119,0.224
"P71","No sabe",0.027,0.031,0.015
"P72","Muy positivo",0.348,0.194,0.251
"P72","Positivo",0.226,0.26,0.191
"P72","Neutral",0.273,0.359,0.248
"P72","Algo negativo",0.055,0.033,0.113
"P72","Negativo",0.078,0.117,0.173
"P72","No sabe",0.02,0.037,0.024
"P73","Muy positiva",0.311,0.151,0.207
"P73","Positiva",0.205,0.238,0.175
"P73","Neutral",0.195,0.265,0.208
"P73","Algo negativa",0.092,0.1,0.144
"P73","Negativa",0.143,0.156,0.187
"P73","No sabe",0.054,0.09,0.079
"P74","Muy positivo",0.293,0.148,0.14
"P74","Positivo",0.21,0.203,0.182
"P74","Neutral",0.197,0.261,0.238
"P74","Algo negativo",0.089,0.124,0.162
"P74","Negativo",0.159,0.169,0.211
"P74","No sabe",0.052,0.095,0.067
"P75","Muy positivo",0.21,0.113,0.103
"P75","Positivo",0.201,0.184,0.159
"P75","Neutral",0.333,0.337,0.324
"P75","Algo negativo",0.087,0.115,0.125
"P75","Negativo",0.115,0.151,0.218
"P75","No sabe",0.054,0.1,0.071
"P76","Muy positiva",0.429,0.263,0.345
"P76","Positiva",0.187,0.24,0.18
"P76","Neutral",0.18,0.239,0.147
"P76","Algo negativa",0.089,0.094,0.119
"P76","Negativa",0.089,0.123,0.153
"P76","No sabe",0.026,0.041,0.056
"P77","Muy positivo",0.37,0.265,0.341
"P77","Positivo",0.23,0.236,0.174
"P77","Neutral",0.17,0.201,0.16
"P77","Algo negativo",0.086,0.085,0.111
"P77","Negativo",0.119,0.166,0.153
"P77","No sabe",0.025,0.047,0.061
"P78","Muy positivo",0.377,0.232,0.246
"P78","Positivo",0.191,0.202,0.171
"P78","Neutral",0.296,0.339,0.294
"P78","Algo negativo",0.042,0.076,0.121
"P78","Negativo",0.069,0.114,0.11
"P78","No sabe",0.025,0.037,0.058
"P79","Si",0.548,0.472,0.472
"P79","No",0.452,0.528,0.528
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.45,0.275,0.267
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.323,0.384,0.417
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.17,0.211,0.22
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.019,0.031,0.027
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.017,0.04,0.026
"PRESIDENTE","En blanco",0.011,0.023,0.029
"PRESIDENTE","No sabe",0.01,0.036,0.014
