"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.042,0.009,0.109,0.089,0.123,0
"P36","No sabe",0,0.027,0.03,0,0.064,0.041
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.275,0.149,0.147,0.313,0.016,0.144
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.434,0.725,0.336,0.209,0.213,0.388
"P37","En blanco",0.205,0.082,0.484,0.14,0.717,0.045
"P37","No sabe",0.086,0.044,0.033,0.338,0.054,0.423
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.311,0.232,0.216,0.425,0,0.123
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.372,0.669,0.616,0.333,0.943,0.877
"P38","En blanco",0.213,0.059,0.144,0.21,0.034,0
"P38","No sabe",0.104,0.04,0.024,0.032,0.023,0
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.325,0.159,0.223,0.174,0.015,0
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.362,0.767,0.643,0.729,0.936,1
"P39","En blanco",0.187,0.053,0.086,0.067,0.029,0
"P39","No sabe",0.126,0.021,0.048,0.03,0.02,0
"P40","Lo votaría",0.264,0.05,0.279,0.184,0.025,0
"P40","Puede que lo vote",0.243,0.141,0.087,0.181,0.126,0.143
"P40","Nunca lo votaría",0.462,0.778,0.621,0.563,0.812,0.722
"P40","No sabe",0.031,0.031,0.013,0.072,0.037,0.135
"P41","Lo votaría",0.259,0.212,0.291,0.184,0.041,0
"P41","Puede que lo vote",0.065,0.451,0.164,0.104,0.073,0.183
"P41","Nunca lo votaría",0.644,0.297,0.44,0.64,0.835,0.465
"P41","No sabe",0.032,0.04,0.105,0.072,0.051,0.352
"P42","Lo votaría",0.26,0.705,0.55,0.577,0.797,0.606
"P42","Puede que lo vote",0.165,0.116,0.231,0.079,0.013,0.181
"P42","Nunca lo votaría",0.543,0.179,0.147,0.344,0.14,0.213
"P42","No sabe",0.032,0,0.072,0,0.05,0
"P43","Lo votaría",0.046,0.16,0.174,0.167,0.085,0.06
"P43","Puede que lo vote",0.147,0.045,0.216,0.343,0.02,0.078
"P43","Nunca lo votaría",0.765,0.789,0.54,0.49,0.868,0.546
"P43","No sabe",0.042,0.006,0.07,0,0.027,0.316
"P44","Lo votaría",0,0.066,0.175,0.035,0.04,0
"P44","Puede que lo vote",0.203,0.209,0.336,0.25,0.035,0.182
"P44","Nunca lo votaría",0.797,0.687,0.325,0.715,0.897,0.636
"P44","No sabe",0,0.038,0.164,0,0.028,0.182
"P53","Sergio Massa y Javier Milei",0.436,0.26,0.418,0.352,0.467,0.761
"P53","Patricia Bullrich y Javier Milei",0.336,0.58,0.338,0.436,0.332,0.181
"P53","Sergio Massa y Patricia Bullrich",0.228,0.16,0.244,0.212,0.201,0.058
"P54","Muy buena",0.133,0.066,0.156,0.247,0.129,0
"P54","Buena",0.142,0.076,0.114,0.107,0.045,0
"P54","Regular",0.116,0.04,0.047,0.028,0.076,0.082
"P54","Mala",0.225,0.234,0.283,0.136,0.046,0.521
"P54","Muy mala",0.384,0.584,0.4,0.482,0.704,0.397
"P55","Muy buena",0.049,0.034,0.072,0.111,0,0
"P55","Buena",0.116,0.015,0.073,0,0,0
"P55","Regular",0.093,0.036,0.067,0.029,0.022,0.266
"P55","Mala",0.329,0.25,0.281,0.392,0.15,0
"P55","Muy mala",0.413,0.665,0.507,0.468,0.828,0.734
"P56","Muy buena",0.078,0.082,0.065,0.246,0.106,0.082
"P56","Buena",0.297,0.104,0.335,0.273,0.128,0.315
"P56","Regular",0.389,0.306,0.138,0.264,0.168,0.238
"P56","Mala",0.115,0.282,0.176,0.033,0.184,0
"P56","Muy mala",0.121,0.226,0.286,0.184,0.414,0.365
"P57","Muy buena",0.015,0.049,0.081,0.063,0.145,0
"P57","Buena",0.328,0.149,0.304,0.069,0.202,0.08
"P57","Regular",0.441,0.454,0.31,0.316,0.28,0.454
"P57","Mala",0.166,0.213,0.178,0.36,0.152,0.244
"P57","Muy mala",0.05,0.135,0.127,0.192,0.221,0.222
"P58","Muy buena",0.081,0.051,0.111,0.181,0.066,0
"P58","Buena",0.2,0.112,0.222,0.137,0.088,0.078
"P58","Regular",0.28,0.363,0.253,0.131,0.189,0.447
"P58","Mala",0.327,0.247,0.216,0.412,0.134,0.255
"P58","Muy mala",0.112,0.227,0.198,0.139,0.523,0.22
"P59","Muy buena",0.234,0.163,0.096,0.366,0.209,0.157
"P59","Buena",0.222,0.289,0.347,0.11,0.218,0.216
"P59","Regular",0.332,0.357,0.25,0.13,0.246,0.182
"P59","Mala",0.153,0.131,0.189,0.06,0.079,0.37
"P59","Muy mala",0.059,0.06,0.118,0.334,0.248,0.075
"P60","Ha aumentado significativamente",0.163,0.091,0.071,0.126,0.062,0
"P60","Ha aumentado ligeramente",0.234,0.194,0.28,0.029,0.128,0
"P60","Se mantiene igual",0.356,0.257,0.155,0.061,0.133,0.481
"P60","Ha disminuido ligeramente",0.14,0.188,0.221,0.503,0.399,0.238
"P60","Ha disminuido significativamente",0.107,0.27,0.273,0.281,0.278,0.281
"P61","Muy baja",0.018,0.057,0.132,0.252,0.049,0
"P61","Baja",0.122,0.051,0.17,0.07,0.051,0
"P61","Moderada",0.134,0.041,0.051,0.061,0,0
"P61","Alta",0.231,0.166,0.131,0.038,0.091,0.184
"P61","Muy alta",0.495,0.685,0.516,0.579,0.809,0.816
"P62","Muy bajas",0,0.122,0.099,0.129,0.057,0.213
"P62","Bajas",0.167,0.16,0.25,0.113,0.139,0.053
"P62","Adecuadas",0.312,0.172,0.211,0.027,0.097,0.441
"P62","Altas",0.295,0.235,0.198,0.323,0.209,0.055
"P62","Muy altas",0.226,0.311,0.242,0.408,0.498,0.238
"P63","No, ninguna dificultad",0.384,0.421,0.477,0.101,0.228,0.202
"P63","Alguna dificultad ocasional",0.489,0.256,0.275,0.304,0.513,0.565
"P63","Sí, dificultades frecuentes",0.127,0.323,0.248,0.595,0.259,0.233
"P64","Sí, absolutamente",0.341,0.249,0.3,0.607,0.361,0.487
"P64","Sí, en cierta medida",0.48,0.323,0.374,0.298,0.213,0.25
"P64","No, en absoluto",0.179,0.428,0.326,0.095,0.426,0.263
"P65","Reducir la inflación",0.449,0.303,0.375,0.623,0.255,0.249
"P65","Implementar reformas fiscales",0.233,0.091,0.274,0.079,0.199,0.324
"P65","Establecer políticas de control de precios",0.013,0.048,0.078,0.038,0.098,0.057
"P65","Reducir el gasto público",0.274,0.502,0.19,0.099,0.408,0.37
"P65","Estimular la inversión extranjera",0.031,0.047,0.045,0.083,0.014,0
"P65","Aumentar los subsidios a los servicios públicos",0,0.009,0.038,0.078,0.026,0
"P66","Fomentar la competencia entre proveedores",0.332,0.501,0.592,0.443,0.592,0.573
"P66","Incrementar la inversión en infraestructura",0.267,0.134,0.253,0.04,0.116,0.253
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.099,0.087,0.052,0.054,0.082,0
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.302,0.278,0.103,0.463,0.21,0.174
"P67","Muy positiva",0.334,0.218,0.367,0.53,0.101,0.087
"P67","Positiva",0.126,0.142,0.132,0.111,0.156,0
"P67","Neutral",0.133,0.292,0.243,0.106,0.393,0.249
"P67","Algo negativa",0.213,0.176,0.151,0.072,0.133,0.176
"P67","Negativa",0.16,0.129,0.085,0.133,0.217,0.185
"P67","No sabe",0.034,0.043,0.022,0.048,0,0.303
"P68","Muy positivo",0.255,0.129,0.182,0.368,0.145,0
"P68","Positivo",0.223,0.121,0.196,0.114,0.19,0.282
"P68","Neutral",0.168,0.405,0.153,0.227,0.232,0.322
"P68","Algo negativo",0.175,0.091,0.313,0.108,0.12,0.086
"P68","Negativo",0.128,0.207,0.122,0.136,0.23,0
"P68","No sabe",0.051,0.047,0.034,0.047,0.083,0.31
"P69","Muy positivo",0.118,0.065,0.054,0.12,0,0
"P69","Positivo",0.262,0.109,0.219,0.137,0.153,0.192
"P69","Neutral",0.411,0.514,0.453,0.522,0.383,0.479
"P69","Algo negativo",0.063,0.057,0.163,0,0.167,0
"P69","Negativo",0.131,0.212,0.075,0.167,0.173,0
"P69","No sabe",0.015,0.043,0.036,0.054,0.124,0.329
"P70","Muy positiva",0.38,0.142,0.072,0.054,0.11,0.388
"P70","Positiva",0.111,0.119,0.347,0.137,0.204,0.242
"P70","Neutral",0.345,0.415,0.183,0.515,0.288,0.205
"P70","Algo negativa",0.123,0.116,0.177,0.119,0.06,0
"P70","Negativa",0.041,0.174,0.184,0.175,0.216,0.165
"P70","No sabe",0,0.034,0.037,0,0.122,0
"P71","Muy positivo",0.376,0.145,0.074,0.054,0.117,0.385
"P71","Positivo",0.099,0.184,0.33,0.329,0.421,0
"P71","Neutral",0.357,0.28,0.166,0.264,0.188,0.319
"P71","Algo negativo",0.126,0.129,0.189,0.121,0.075,0.21
"P71","Negativo",0.042,0.235,0.202,0.232,0.199,0.086
"P71","No sabe",0,0.027,0.039,0,0,0
"P72","Muy positivo",0.303,0.249,0.063,0.129,0.051,0.216
"P72","Positivo",0.27,0.178,0.361,0,0.367,0.34
"P72","Neutral",0.317,0.306,0.204,0.666,0.263,0.289
"P72","Algo negativo",0.012,0.047,0.203,0,0.088,0
"P72","Negativo",0.098,0.21,0.143,0.205,0.231,0.075
"P72","No sabe",0,0.01,0.026,0,0,0.08
"P73","Muy positiva",0.33,0.165,0.059,0.123,0.052,0
"P73","Positiva",0.252,0.109,0.32,0.246,0.27,0
"P73","Neutral",0.211,0.234,0.383,0.269,0.073,0.267
"P73","Algo negativa",0.066,0.097,0.083,0,0.134,0
"P73","Negativa",0.122,0.314,0.103,0.362,0.279,0.46
"P73","No sabe",0.019,0.081,0.052,0,0.192,0.273
"P74","Muy positivo",0.331,0.121,0.06,0.073,0,0
"P74","Positivo",0.127,0.056,0.242,0.293,0.282,0.096
"P74","Neutral",0.104,0.325,0.411,0,0.139,0.198
"P74","Algo negativo",0.226,0.111,0.175,0.2,0.133,0.069
"P74","Negativo",0.101,0.352,0.09,0.434,0.254,0.363
"P74","No sabe",0.111,0.035,0.022,0,0.192,0.274
"P75","Muy positivo",0.292,0.109,0.058,0.071,0,0
"P75","Positivo",0.127,0.073,0.227,0.049,0.228,0
"P75","Neutral",0.214,0.418,0.288,0.232,0.222,0.29
"P75","Algo negativo",0.206,0.064,0.312,0.202,0.113,0.065
"P75","Negativo",0.047,0.299,0.093,0.446,0.247,0.368
"P75","No sabe",0.114,0.037,0.022,0,0.19,0.277
"P76","Muy positiva",0.279,0.359,0.12,0.378,0.239,0.789
"P76","Positiva",0.294,0.158,0.315,0.285,0.361,0
"P76","Neutral",0.196,0.21,0.211,0,0.254,0.071
"P76","Algo negativa",0.164,0.085,0.237,0.135,0.099,0.14
"P76","Negativa",0.048,0.128,0.094,0.202,0.047,0
"P76","No sabe",0.019,0.06,0.023,0,0,0
"P77","Muy positivo",0.264,0.324,0.187,0.138,0.241,0.516
"P77","Positivo",0.321,0.167,0.277,0.283,0.412,0.271
"P77","Neutral",0.187,0.16,0.264,0.135,0.194,0.072
"P77","Algo negativo",0.048,0.082,0.105,0.136,0.104,0.141
"P77","Negativo",0.18,0.207,0.144,0.308,0.049,0
"P77","No sabe",0,0.06,0.023,0,0,0
"P78","Muy positivo",0.228,0.285,0.195,0.089,0.218,0.512
"P78","Positivo",0.289,0.267,0.326,0.055,0.436,0.384
"P78","Neutral",0.334,0.293,0.259,0.433,0.262,0.042
"P78","Algo negativo",0.067,0.04,0.085,0.133,0.038,0.062
"P78","Negativo",0.082,0.09,0.121,0.29,0.046,0
"P78","No sabe",0,0.025,0.014,0,0,0
"P79","Si",0.604,0.56,0.372,0.248,0.596,0.781
"P79","No",0.396,0.44,0.628,0.752,0.404,0.219
