"var","categoria","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.","En blanco","No sabe"
"P33","En blanco",0.088,0.243,0.155,0.157,0.289,0.078
"P33","No sabe",0.055,0.157,0.055,0.222,0.088,0.25
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.26,0.133,0.173,0.473,0,0
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.465,0.584,0.385,0.026,1,0.487
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.059,0.147,0.135,0.058,0,0.02
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0,0.012,0.032,0.443,0,0
"P34","En blanco",0.184,0.029,0.201,0,0,0.493
"P34","No sabe",0.032,0.095,0.074,0,0,0
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.193,0.511,0.595,0.242,0.358,0.313
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.146,0.259,0.16,0.124,0.188,0.2
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.393,0.124,0.101,0.287,0.154,0.195
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.144,0.024,0.055,0.225,0.122,0.054
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.063,0.034,0.029,0.103,0.016,0.105
"P36","No sabe",0.061,0.048,0.06,0.019,0.162,0.133
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.763,0.117,0.139,0.574,0.168,0.237
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.135,0.782,0.499,0.078,0.222,0.119
"P37","En blanco",0.07,0.056,0.255,0.077,0.217,0.294
"P37","No sabe",0.032,0.045,0.107,0.271,0.393,0.35
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.239,0.706,0.116,0.102,0.179,0.35
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.117,0.178,0.704,0.142,0.129,0.058
"P38","En blanco",0.444,0.065,0.129,0.343,0.173,0.265
"P38","No sabe",0.2,0.051,0.051,0.413,0.519,0.327
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.768,0.156,0.129,0.505,0.154,0.239
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.13,0.418,0.754,0.136,0.186,0.094
"P39","En blanco",0.061,0.261,0.085,0.096,0.212,0.246
"P39","No sabe",0.041,0.165,0.032,0.263,0.448,0.421
"P45","Lo votaría",0.764,0.119,0.111,0.475,0.157,0.323
"P45","Puede que lo vote",0.042,0.106,0.145,0.177,0.103,0.044
"P45","Nunca lo votaría",0.165,0.737,0.707,0.262,0.484,0.424
"P45","No sabe",0.029,0.038,0.037,0.086,0.256,0.209
"P46","Lo votaría",0.163,0.686,0.135,0.103,0.143,0.28
"P46","Puede que lo vote",0.083,0.088,0.32,0.119,0.206,0.17
"P46","Nunca lo votaría",0.698,0.186,0.494,0.756,0.32,0.412
"P46","No sabe",0.056,0.04,0.051,0.022,0.331,0.138
"P47","Lo votaría",0.084,0.221,0.623,0.048,0.08,0.149
"P47","Puede que lo vote",0.095,0.239,0.139,0.043,0.21,0.2
"P47","Nunca lo votaría",0.763,0.472,0.208,0.84,0.534,0.48
"P47","No sabe",0.058,0.068,0.03,0.069,0.176,0.171
"P48","Lo votaría",0.152,0.056,0.105,0.447,0.124,0.16
"P48","Puede que lo vote",0.362,0.247,0.253,0.26,0.087,0.287
"P48","Nunca lo votaría",0.415,0.652,0.599,0.208,0.383,0.427
"P48","No sabe",0.071,0.045,0.043,0.085,0.406,0.126
"P49","Lo votaría",0.112,0.068,0.033,0.193,0.083,0.133
"P49","Puede que lo vote",0.267,0.272,0.303,0.353,0.103,0.262
"P49","Nunca lo votaría",0.529,0.577,0.616,0.357,0.396,0.539
"P49","No sabe",0.092,0.083,0.048,0.097,0.418,0.066
"P50","Si",0.432,0.507,0.237,0.813,0.417,0.753
"P50","No",0.568,0.493,0.763,0.187,0.583,0.247
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.647,0.116,0.108,0.026,0.358,0.326
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.003,0.457,0.199,0,0,0.091
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.284,0.395,0.652,0.061,0.333,0.317
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.046,0,0,0.836,0,0
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.015,0.022,0,0,0.097,0
"P51","En blanco",0.003,0,0.035,0,0.044,0.161
"P51","No sabe",0.002,0.01,0.006,0.077,0.168,0.105
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",1,0,0,0,0,0
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0,1,0,0,0,0
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0,0,1,0,0,0
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0,0,0,1,0,0
"P52","En blanco",0,0,0,0,1,0
"P52","No sabe",0,0,0,0,0,1
"P53","Sergio Massa y Javier Milei",0.695,0.229,0.418,0.651,0.339,0.662
"P53","Patricia Bullrich y Javier Milei",0.202,0.7,0.547,0.183,0.645,0.189
"P53","Sergio Massa y Patricia Bullrich",0.103,0.071,0.035,0.166,0.016,0.149
"P54","Muy buena",0.05,0.039,0.046,0.084,0.033,0.075
"P54","Buena",0.142,0.053,0.066,0.15,0.258,0.052
"P54","Regular",0.412,0.047,0.12,0.112,0.143,0.138
"P54","Mala",0.227,0.303,0.124,0.341,0.203,0.207
"P54","Muy mala",0.169,0.558,0.644,0.313,0.363,0.528
"P55","Muy buena",0.093,0.018,0.035,0.036,0.209,0.082
"P55","Buena",0.26,0.019,0.075,0.143,0.033,0.119
"P55","Regular",0.319,0.066,0.058,0.42,0.08,0.046
"P55","Mala",0.16,0.239,0.103,0.18,0.186,0.358
"P55","Muy mala",0.168,0.658,0.729,0.221,0.492,0.395
"P56","Muy buena",0.201,0.039,0.134,0.11,0.198,0.071
"P56","Buena",0.358,0.146,0.161,0.242,0.172,0.188
"P56","Regular",0.288,0.408,0.397,0.302,0.257,0.334
"P56","Mala",0.111,0.259,0.143,0.215,0.297,0.242
"P56","Muy mala",0.042,0.148,0.165,0.131,0.076,0.165
"P57","Muy buena",0.066,0.008,0.055,0.065,0,0.106
"P57","Buena",0.308,0.126,0.075,0.093,0.138,0.138
"P57","Regular",0.424,0.46,0.439,0.445,0.538,0.397
"P57","Mala",0.159,0.255,0.224,0.315,0.278,0.192
"P57","Muy mala",0.043,0.151,0.207,0.082,0.046,0.167
"P58","Muy buena",0.111,0.019,0.045,0.036,0.086,0.15
"P58","Buena",0.306,0.081,0.124,0.159,0.188,0.088
"P58","Regular",0.364,0.293,0.244,0.377,0.278,0.307
"P58","Mala",0.145,0.341,0.272,0.318,0.299,0.269
"P58","Muy mala",0.074,0.266,0.315,0.11,0.149,0.186
"P59","Muy buena",0.149,0.056,0.108,0.144,0,0.044
"P59","Buena",0.434,0.167,0.238,0.281,0.3,0.16
"P59","Regular",0.327,0.487,0.392,0.365,0.292,0.426
"P59","Mala",0.059,0.199,0.15,0.201,0.305,0.21
"P59","Muy mala",0.031,0.091,0.112,0.009,0.103,0.16
"P60","Ha aumentado significativamente",0.111,0.024,0.05,0.13,0.084,0.058
"P60","Ha aumentado ligeramente",0.284,0.102,0.18,0.232,0.164,0.053
"P60","Se mantiene igual",0.344,0.266,0.246,0.29,0.163,0.183
"P60","Ha disminuido ligeramente",0.136,0.263,0.22,0.196,0.36,0.253
"P60","Ha disminuido significativamente",0.125,0.345,0.304,0.152,0.229,0.453
"P61","Muy baja",0.054,0.035,0.061,0.025,0.015,0.042
"P61","Baja",0.081,0.055,0.058,0.021,0,0.034
"P61","Moderada",0.144,0.044,0.11,0.109,0,0.026
"P61","Alta",0.385,0.152,0.126,0.357,0.352,0.221
"P61","Muy alta",0.336,0.714,0.645,0.488,0.633,0.677
"P62","Muy bajas",0.037,0.049,0.092,0.009,0.015,0.038
"P62","Bajas",0.09,0.107,0.086,0.02,0.024,0.157
"P62","Adecuadas",0.344,0.228,0.21,0.324,0.134,0.1
"P62","Altas",0.349,0.308,0.259,0.382,0.432,0.384
"P62","Muy altas",0.18,0.308,0.353,0.265,0.395,0.321
"P63","No, ninguna dificultad",0.388,0.231,0.204,0.184,0.295,0.403
"P63","Alguna dificultad ocasional",0.293,0.348,0.331,0.366,0.343,0.252
"P63","Sí, dificultades frecuentes",0.319,0.421,0.465,0.45,0.362,0.345
"P64","Sí, absolutamente",0.671,0.256,0.251,0.546,0.431,0.276
"P64","Sí, en cierta medida",0.246,0.396,0.324,0.382,0.188,0.457
"P64","No, en absoluto",0.083,0.348,0.425,0.072,0.381,0.267
"P65","Reducir la inflación",0.523,0.413,0.291,0.373,0.381,0.464
"P65","Implementar reformas fiscales",0.107,0.093,0.098,0.253,0.008,0.175
"P65","Establecer políticas de control de precios",0.189,0.074,0.141,0.228,0.205,0.042
"P65","Reducir el gasto público",0.1,0.358,0.445,0.106,0.153,0.258
"P65","Estimular la inversión extranjera",0.068,0.041,0.024,0.033,0.253,0.041
"P65","Aumentar los subsidios a los servicios públicos",0.013,0.021,0.001,0.007,0,0.02
"P66","Fomentar la competencia entre proveedores",0.239,0.406,0.42,0.353,0.195,0.457
"P66","Incrementar la inversión en infraestructura",0.186,0.241,0.149,0.17,0.22,0.288
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.214,0.111,0.1,0.133,0.374,0.031
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.361,0.242,0.331,0.344,0.211,0.224
"P67","Muy positiva",0.388,0.126,0.178,0.162,0.147,0.176
"P67","Positiva",0.267,0.133,0.186,0.256,0.286,0.381
"P67","Neutral",0.183,0.331,0.315,0.297,0.311,0.096
"P67","Algo negativa",0.074,0.122,0.095,0.068,0.084,0.201
"P67","Negativa",0.027,0.182,0.14,0.1,0.078,0.09
"P67","No sabe",0.061,0.106,0.086,0.117,0.094,0.056
"P68","Muy positivo",0.302,0.036,0.099,0.182,0.243,0.125
"P68","Positivo",0.304,0.12,0.174,0.32,0.235,0.174
"P68","Neutral",0.228,0.403,0.318,0.243,0.189,0.281
"P68","Algo negativo",0.048,0.122,0.139,0.063,0.05,0.159
"P68","Negativo",0.033,0.174,0.168,0.112,0.064,0.117
"P68","No sabe",0.085,0.145,0.102,0.08,0.219,0.144
"P69","Muy positivo",0.207,0.038,0.059,0.223,0.237,0.126
"P69","Positivo",0.246,0.08,0.15,0.15,0.191,0.141
"P69","Neutral",0.368,0.514,0.427,0.527,0.167,0.428
"P69","Algo negativo",0.039,0.093,0.117,0.018,0.063,0.036
"P69","Negativo",0.028,0.118,0.163,0.036,0.116,0.072
"P69","No sabe",0.112,0.157,0.084,0.046,0.226,0.197
"P70","Muy positiva",0.589,0.122,0.164,0.461,0.319,0.283
"P70","Positiva",0.238,0.208,0.225,0.332,0.046,0.1
"P70","Neutral",0.097,0.311,0.29,0.133,0.196,0.435
"P70","Algo negativa",0.036,0.155,0.095,0.022,0.06,0.173
"P70","Negativa",0.027,0.142,0.191,0.024,0.261,0
"P70","No sabe",0.013,0.062,0.035,0.028,0.118,0.009
"P71","Muy positivo",0.581,0.112,0.148,0.272,0.287,0.272
"P71","Positivo",0.231,0.171,0.298,0.239,0.033,0.128
"P71","Neutral",0.112,0.315,0.247,0.235,0.258,0.387
"P71","Algo negativo",0.038,0.176,0.116,0.007,0.045,0.081
"P71","Negativo",0.025,0.172,0.159,0.179,0.26,0.132
"P71","No sabe",0.013,0.054,0.032,0.068,0.117,0
"P72","Muy positivo",0.535,0.135,0.146,0.195,0.113,0.288
"P72","Positivo",0.238,0.194,0.31,0.5,0.249,0.097
"P72","Neutral",0.154,0.396,0.307,0.279,0.257,0.357
"P72","Algo negativo",0.021,0.086,0.071,0,0,0.191
"P72","Negativo",0.029,0.144,0.146,0,0.266,0.067
"P72","No sabe",0.023,0.045,0.02,0.026,0.115,0
"P73","Muy positiva",0.435,0.055,0.114,0.227,0.074,0.132
"P73","Positiva",0.3,0.172,0.19,0.403,0.322,0.084
"P73","Neutral",0.136,0.302,0.278,0.183,0.179,0.534
"P73","Algo negativa",0.04,0.172,0.108,0.069,0.103,0.042
"P73","Negativa",0.045,0.209,0.244,0.072,0.309,0.161
"P73","No sabe",0.044,0.09,0.066,0.046,0.013,0.047
"P74","Muy positivo",0.381,0.055,0.064,0.105,0.062,0.07
"P74","Positivo",0.345,0.139,0.169,0.423,0.3,0.183
"P74","Neutral",0.154,0.329,0.272,0.191,0.168,0.584
"P74","Algo negativo",0.038,0.176,0.139,0.083,0.266,0.054
"P74","Negativo",0.039,0.209,0.283,0.006,0.19,0.109
"P74","No sabe",0.043,0.092,0.073,0.192,0.014,0
"P75","Muy positivo",0.324,0.053,0.078,0.083,0.046,0.119
"P75","Positivo",0.323,0.129,0.098,0.295,0.105,0.182
"P75","Neutral",0.243,0.369,0.404,0.457,0.433,0.631
"P75","Algo negativo",0.026,0.151,0.084,0.046,0.244,0
"P75","Negativo",0.034,0.177,0.257,0.012,0.147,0.068
"P75","No sabe",0.05,0.121,0.079,0.107,0.025,0
"P76","Muy positiva",0.577,0.186,0.267,0.271,0.505,0.369
"P76","Positiva",0.212,0.199,0.183,0.473,0.114,0.246
"P76","Neutral",0.128,0.229,0.253,0.088,0.18,0.331
"P76","Algo negativa",0.037,0.096,0.057,0.03,0.066,0.054
"P76","Negativa",0.024,0.198,0.212,0.058,0.121,0
"P76","No sabe",0.022,0.092,0.028,0.08,0.014,0
"P77","Muy positivo",0.576,0.15,0.307,0.249,0.544,0.32
"P77","Positivo",0.222,0.229,0.241,0.404,0.056,0.387
"P77","Neutral",0.115,0.222,0.239,0.179,0.221,0.079
"P77","Algo negativo",0.056,0.129,0.053,0.016,0.069,0.115
"P77","Negativo",0.021,0.196,0.138,0.072,0.11,0.099
"P77","No sabe",0.01,0.074,0.022,0.08,0,0
"P78","Muy positivo",0.495,0.138,0.262,0.235,0.313,0.309
"P78","Positivo",0.212,0.214,0.211,0.255,0.279,0.335
"P78","Neutral",0.221,0.321,0.313,0.408,0.278,0.244
"P78","Algo negativo",0.036,0.074,0.044,0.031,0.018,0.082
"P78","Negativo",0.02,0.153,0.145,0,0.112,0
"P78","No sabe",0.016,0.1,0.025,0.071,0,0.03
"P79","Si",0.616,0.534,0.576,0.265,0.403,0.505
"P79","No",0.384,0.466,0.424,0.735,0.597,0.495
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.89,0.044,0.021,0.019,0.06,0.136
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.001,0.793,0.032,0,0,0.04
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.086,0.15,0.941,0.038,0.056,0.117
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.017,0,0,0.494,0.063,0
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.004,0.008,0,0.42,0.025,0
"PRESIDENTE","En blanco",0.001,0,0.005,0,0.771,0.067
"PRESIDENTE","No sabe",0.001,0.005,0.001,0.029,0.025,0.64
"CORTA_PRESIDENTE","Si",0.163,0.229,0.131,0.796,0.273,0.395
"CORTA_PRESIDENTE","No",0.837,0.771,0.869,0.204,0.727,0.605
"CORTA_GOBERNADOR","Si",0.2,0.193,0.114,0.692,0.392,0.672
"CORTA_GOBERNADOR","No",0.8,0.807,0.886,0.308,0.608,0.328
