"var","categoria","Muy bajas","Bajas","Adecuadas","Altas","Muy altas"
"P56","Muy mala",0.27,0.071,0.073,0.085,0.179
"P57","Muy buena",0.09,0.1,0.057,0.036,0.023
"P57","Buena",0.138,0.251,0.312,0.177,0.101
"P57","Regular",0.399,0.446,0.458,0.474,0.336
"P57","Mala",0.148,0.167,0.125,0.239,0.301
"P57","Muy mala",0.225,0.036,0.048,0.074,0.239
"P58","Muy buena",0.154,0.109,0.117,0.04,0.044
"P58","Buena",0.053,0.251,0.285,0.198,0.072
"P58","Regular",0.155,0.282,0.346,0.348,0.261
"P58","Mala",0.215,0.238,0.172,0.311,0.221
"P58","Muy mala",0.423,0.12,0.08,0.103,0.402
"P59","Muy buena",0.209,0.131,0.151,0.085,0.073
"P59","Buena",0.17,0.426,0.373,0.328,0.165
"P59","Regular",0.348,0.332,0.359,0.382,0.422
"P59","Mala",0.137,0.099,0.082,0.161,0.197
"P59","Muy mala",0.136,0.012,0.035,0.044,0.143
"P60","Ha aumentado significativamente",0.146,0.068,0.083,0.077,0.036
"P60","Ha aumentado ligeramente",0.233,0.336,0.294,0.173,0.105
"P60","Se mantiene igual",0.215,0.198,0.325,0.325,0.252
"P60","Ha disminuido ligeramente",0.094,0.195,0.171,0.238,0.205
"P60","Ha disminuido significativamente",0.312,0.203,0.127,0.187,0.402
"P61","Muy baja",0.28,0.042,0.029,0.036,0.038
"P61","Baja",0.091,0.155,0.073,0.054,0.042
"P61","Moderada",0.054,0.12,0.139,0.097,0.033
"P61","Alta",0.101,0.138,0.363,0.386,0.104
"P61","Muy alta",0.474,0.545,0.396,0.427,0.783
"P63","No, ninguna dificultad",0.636,0.484,0.424,0.222,0.152
"P63","Alguna dificultad ocasional",0.096,0.361,0.302,0.427,0.224
"P63","Sí, dificultades frecuentes",0.268,0.155,0.274,0.351,0.624
"P64","Sí, absolutamente",0.277,0.246,0.481,0.526,0.438
"P64","Sí, en cierta medida",0.167,0.448,0.308,0.324,0.275
"P64","No, en absoluto",0.556,0.306,0.211,0.15,0.287
"P65","Reducir la inflación",0.375,0.297,0.481,0.483,0.436
"P65","Implementar reformas fiscales",0.09,0.174,0.116,0.106,0.07
"P65","Establecer políticas de control de precios",0.135,0.163,0.17,0.144,0.093
"P65","Reducir el gasto público",0.363,0.292,0.182,0.189,0.324
"P65","Estimular la inversión extranjera",0.012,0.074,0.048,0.061,0.053
"P65","Aumentar los subsidios a los servicios públicos",0.025,0,0.003,0.017,0.024
"P66","Fomentar la competencia entre proveedores",0.541,0.419,0.275,0.32,0.34
"P66","Incrementar la inversión en infraestructura",0.154,0.255,0.23,0.218,0.146
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.026,0.162,0.199,0.156,0.141
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.279,0.164,0.296,0.306,0.373
"P67","Muy positiva",0.421,0.286,0.303,0.281,0.149
"P67","Positiva",0.152,0.185,0.245,0.245,0.152
"P67","Neutral",0.124,0.221,0.213,0.251,0.357
"P67","Algo negativa",0.095,0.165,0.076,0.07,0.114
"P67","Negativa",0.175,0.097,0.069,0.069,0.148
"P67","No sabe",0.033,0.046,0.094,0.084,0.08
"P68","Muy positivo",0.164,0.207,0.21,0.22,0.09
"P68","Positivo",0.092,0.185,0.285,0.235,0.143
"P68","Neutral",0.274,0.245,0.248,0.306,0.384
"P68","Algo negativo",0.071,0.123,0.055,0.096,0.112
"P68","Negativo",0.288,0.149,0.083,0.058,0.132
"P68","No sabe",0.111,0.091,0.119,0.085,0.139
"P69","Muy positivo",0.123,0.09,0.196,0.176,0.04
"P69","Positivo",0.068,0.169,0.214,0.181,0.112
"P69","Neutral",0.402,0.474,0.368,0.427,0.465
"P69","Algo negativo",0.028,0.066,0.053,0.084,0.095
"P69","Negativo",0.276,0.099,0.041,0.032,0.126
"P69","No sabe",0.103,0.102,0.128,0.1,0.162
"P70","Muy positiva",0.199,0.295,0.483,0.412,0.244
"P70","Positiva",0.113,0.29,0.197,0.218,0.213
"P70","Neutral",0.333,0.183,0.136,0.199,0.282
"P70","Algo negativa",0.122,0.117,0.065,0.085,0.086
"P70","Negativa",0.172,0.098,0.086,0.066,0.115
"P70","No sabe",0.061,0.017,0.033,0.02,0.06
"P71","Muy positivo",0.181,0.327,0.426,0.393,0.256
"P71","Positivo",0.173,0.178,0.247,0.188,0.213
"P71","Neutral",0.315,0.207,0.149,0.2,0.272
"P71","Algo negativo",0.108,0.119,0.07,0.118,0.072
"P71","Negativo",0.181,0.151,0.07,0.077,0.144
"P71","No sabe",0.042,0.018,0.038,0.024,0.043
"P72","Muy positivo",0.192,0.259,0.415,0.352,0.277
"P72","Positivo",0.148,0.23,0.27,0.242,0.185
"P72","Neutral",0.302,0.336,0.194,0.281,0.287
"P72","Algo negativo",0.056,0.055,0.036,0.051,0.068
"P72","Negativo",0.266,0.116,0.055,0.059,0.121
"P72","No sabe",0.036,0.004,0.03,0.015,0.062
"P73","Muy positiva",0.183,0.265,0.312,0.239,0.205
"P73","Positiva",0.092,0.224,0.271,0.258,0.204
"P73","Neutral",0.185,0.171,0.186,0.26,0.245
"P73","Algo negativa",0.141,0.128,0.053,0.104,0.099
"P73","Negativa",0.301,0.187,0.121,0.102,0.153
"P73","No sabe",0.098,0.025,0.057,0.037,0.094
"P74","Muy positivo",0.152,0.222,0.234,0.237,0.19
"P74","Positivo",0.135,0.177,0.275,0.281,0.2
"P74","Neutral",0.237,0.253,0.217,0.249,0.255
"P74","Algo negativo",0.132,0.128,0.099,0.104,0.082
"P74","Negativo",0.255,0.181,0.112,0.078,0.182
"P74","No sabe",0.089,0.039,0.063,0.051,0.091
"P75","Muy positivo",0.136,0.158,0.23,0.204,0.163
"P75","Positivo",0.101,0.254,0.199,0.256,0.186
"P75","Neutral",0.322,0.326,0.29,0.34,0.336
"P75","Algo negativo",0.128,0.095,0.08,0.073,0.067
"P75","Negativo",0.225,0.117,0.113,0.067,0.157
"P75","No sabe",0.088,0.05,0.088,0.06,0.091
"P76","Muy positiva",0.249,0.382,0.421,0.452,0.323
"P76","Positiva",0.141,0.217,0.211,0.23,0.191
"P76","Neutral",0.17,0.176,0.14,0.171,0.262
"P76","Algo negativa",0.128,0.061,0.045,0.061,0.059
"P76","Negativa",0.298,0.141,0.107,0.061,0.112
"P76","No sabe",0.014,0.023,0.076,0.025,0.053
"P77","Muy positivo",0.262,0.363,0.438,0.444,0.284
"P77","Positivo",0.177,0.216,0.227,0.228,0.252
"P77","Neutral",0.226,0.13,0.144,0.172,0.213
"P77","Algo negativo",0.088,0.085,0.076,0.08,0.086
"P77","Negativo",0.236,0.191,0.08,0.059,0.099
"P77","No sabe",0.011,0.015,0.035,0.017,0.066
"P78","Muy positivo",0.252,0.347,0.353,0.365,0.28
"P78","Positivo",0.186,0.138,0.235,0.231,0.21
"P78","Neutral",0.195,0.327,0.258,0.275,0.277
"P78","Algo negativo",0.079,0.051,0.043,0.039,0.069
"P78","Negativo",0.276,0.118,0.06,0.053,0.084
"P78","No sabe",0.012,0.019,0.051,0.037,0.08
"P79","Si",0.505,0.557,0.536,0.579,0.604
"P79","No",0.495,0.443,0.464,0.421,0.396
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.248,0.381,0.538,0.452,0.257
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.309,0.311,0.223,0.247,0.289
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.424,0.261,0.19,0.212,0.329
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.013,0.017,0.037,0.041,0.036
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0,0.005,0.003,0.005,0.036
"PRESIDENTE","En blanco",0,0.006,0.003,0.015,0.027
"PRESIDENTE","No sabe",0.006,0.019,0.006,0.028,0.026
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.347,0.429,0.554,0.475,0.311
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.354,0.392,0.283,0.323,0.408
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.268,0.127,0.105,0.109,0.189
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.007,0.008,0.041,0.041,0.036
"GOBERNADOR","En blanco",0.005,0.004,0.008,0.023,0.026
"GOBERNADOR","No sabe",0.019,0.04,0.009,0.029,0.03
"CORTA_PRESIDENTE","Si",0.369,0.158,0.191,0.195,0.27
"CORTA_PRESIDENTE","No",0.631,0.842,0.809,0.805,0.73
"CORTA_GOBERNADOR","Si",0.337,0.193,0.183,0.197,0.295
"CORTA_GOBERNADOR","No",0.663,0.807,0.817,0.803,0.705
