"var","categoria","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda","En blanco","No sabe"
"P10","Tiene Decidido que no va a ir a votar",0.007,0.042,0.008,0,0.003,0
"P13","Unión por la Patria",0.355,0.037,0.053,0.203,0.003,0
"P13","Juntos por el Cambio ",0.316,0.706,0.768,0.295,0.874,0.675
"P13","Liberales",0.227,0.21,0.104,0.085,0.096,0.214
"P13","Izquierda",0.059,0.019,0.025,0.052,0.012,0.005
"P13","Hacemos por Nuestro país",0.003,0.022,0.027,0,0.006,0
"P13","No sabe",0.04,0.006,0.023,0.365,0.009,0.106
"P21","Totalmente seguro",0.616,0.746,0.732,0.808,0.782,0.488
"P21","Bastante seguro",0.119,0.113,0.169,0.12,0.179,0.243
"P21","Algo seguro",0.193,0.12,0.088,0.034,0.037,0.181
"P21","Para nada seguro",0.072,0.021,0.011,0.038,0.002,0.088
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.443,0.549,0.405,0.624,0.512,0.506
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.197,0.35,0.359,0.119,0.22,0.2
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.233,0.076,0.135,0.042,0.127,0.059
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.096,0.016,0.006,0.215,0.007,0.005
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.004,0,0.068,0,0.12,0
"P36","No sabe",0.027,0.009,0.027,0,0.014,0.23
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.497,0.06,0.14,0.031,0.031,0.069
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.329,0.888,0.781,0.776,0.962,0.79
"P37","En blanco",0.11,0.042,0.063,0.028,0.006,0.009
"P37","No sabe",0.064,0.01,0.016,0.165,0.001,0.132
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.519,0.737,0.819,0.677,0.912,0.92
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.09,0.223,0.103,0,0.024,0.052
"P38","En blanco",0.275,0.031,0.06,0.062,0.062,0.012
"P38","No sabe",0.116,0.009,0.018,0.261,0.002,0.016
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.551,0.051,0.179,0.114,0.071,0.147
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.238,0.798,0.253,0.34,0.085,0.222
"P39","En blanco",0.129,0.062,0.352,0.097,0.816,0.104
"P39","No sabe",0.082,0.089,0.216,0.449,0.028,0.527
"P45","Lo votaría",0.462,0.085,0.086,0.048,0.025,0.058
"P45","Puede que lo vote",0.096,0.156,0.076,0.123,0.036,0.095
"P45","Nunca lo votaría",0.429,0.743,0.808,0.549,0.937,0.824
"P45","No sabe",0.013,0.016,0.03,0.28,0.002,0.023
"P46","Lo votaría",0.458,0.803,0.764,0.372,0.915,0.774
"P46","Puede que lo vote",0.112,0.038,0.089,0.2,0.008,0.05
"P46","Nunca lo votaría",0.43,0.118,0.115,0.147,0.071,0.124
"P46","No sabe",0,0.041,0.032,0.281,0.006,0.052
"P47","Lo votaría",0.127,0.305,0.151,0.176,0.076,0.078
"P47","Puede que lo vote",0.092,0.465,0.248,0.136,0.066,0.165
"P47","Nunca lo votaría",0.742,0.178,0.488,0.411,0.804,0.67
"P47","No sabe",0.039,0.052,0.113,0.277,0.054,0.087
"P48","Lo votaría",0.105,0.047,0.08,0.207,0.002,0.021
"P48","Puede que lo vote",0.176,0.301,0.264,0.153,0.183,0.221
"P48","Nunca lo votaría",0.661,0.644,0.573,0.317,0.803,0.702
"P48","No sabe",0.058,0.008,0.083,0.323,0.012,0.056
"P49","Lo votaría",0.082,0.062,0.277,0.086,0,0.011
"P49","Puede que lo vote",0.164,0.305,0.517,0.174,0.189,0.2
"P49","Nunca lo votaría",0.628,0.536,0.184,0.309,0.761,0.7
"P49","No sabe",0.126,0.097,0.022,0.431,0.05,0.089
"P50","Si",0.454,0.561,0.611,0.774,0.335,0.48
"P50","No",0.546,0.439,0.389,0.226,0.665,0.52
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.28,0.19,0.277,0.128,0.132,0.096
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.399,0.316,0.296,0.493,0.493,0.471
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.321,0.472,0.393,0.333,0.369,0.413
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0,0.017,0,0.046,0.006,0
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0,0.003,0,0,0,0.02
"P51","En blanco",0,0,0.028,0,0,0
"P51","No sabe",0,0.002,0.006,0,0,0
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.342,0.347,0.505,0.302,0.238,0.172
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.492,0.584,0.399,0.698,0.686,0.682
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.15,0.025,0.044,0,0.038,0.028
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0,0.004,0.011,0,0.006,0.012
"P52","En blanco",0,0.01,0,0,0.018,0.008
"P52","No sabe",0.016,0.03,0.041,0,0.014,0.098
"P53","Sergio Massa y Javier Milei",0.526,0.254,0.201,0,0.024,0.047
"P53","Patricia Bullrich y Javier Milei",0.344,0.733,0.715,0.971,0.806,0.915
"P53","Sergio Massa y Patricia Bullrich",0.13,0.013,0.084,0.029,0.17,0.038
"P54","Muy buena",0.235,0.059,0.019,0,0.002,0.007
"P54","Buena",0.135,0.067,0.094,0.273,0.031,0.01
"P54","Regular",0.077,0.025,0.084,0.032,0.018,0
"P54","Mala",0.272,0.275,0.263,0.251,0.202,0.373
"P54","Muy mala",0.281,0.574,0.54,0.444,0.747,0.61
"P55","Muy buena",0.154,0.032,0.013,0,0.002,0
"P55","Buena",0.083,0.016,0.012,0,0,0.004
"P55","Regular",0.09,0.065,0.102,0.053,0.018,0.003
"P55","Mala",0.321,0.25,0.237,0.363,0.1,0.237
"P55","Muy mala",0.352,0.637,0.636,0.584,0.88,0.756
"P56","Muy buena",0.283,0.007,0.051,0,0.024,0.013
"P56","Buena",0.182,0.091,0.125,0.113,0.136,0.186
"P56","Regular",0.178,0.433,0.429,0.564,0.423,0.343
"P56","Mala",0.145,0.323,0.288,0.29,0.23,0.317
"P56","Muy mala",0.212,0.146,0.107,0.033,0.187,0.141
"P57","Muy buena",0.116,0.005,0.067,0,0.005,0.002
"P57","Buena",0.235,0.09,0.166,0.097,0.072,0.065
"P57","Regular",0.306,0.466,0.43,0.298,0.388,0.599
"P57","Mala",0.169,0.316,0.283,0.605,0.267,0.193
"P57","Muy mala",0.174,0.123,0.054,0,0.268,0.141
"P58","Muy buena",0.126,0.006,0.049,0,0.005,0.025
"P58","Buena",0.134,0.049,0.114,0.05,0.037,0.085
"P58","Regular",0.36,0.332,0.314,0.668,0.14,0.332
"P58","Mala",0.264,0.368,0.298,0.089,0.33,0.289
"P58","Muy mala",0.116,0.245,0.225,0.193,0.488,0.269
"P59","Muy buena",0.203,0.025,0.104,0,0.036,0.066
"P59","Buena",0.125,0.158,0.187,0.051,0.159,0.118
"P59","Regular",0.355,0.485,0.443,0.916,0.509,0.526
"P59","Mala",0.182,0.204,0.224,0,0.221,0.23
"P59","Muy mala",0.135,0.128,0.042,0.033,0.075,0.06
"P60","Ha aumentado significativamente",0.193,0.001,0.015,0,0.019,0
"P60","Ha aumentado ligeramente",0.145,0.109,0.187,0.31,0.068,0.065
"P60","Se mantiene igual",0.239,0.337,0.257,0.246,0.162,0.262
"P60","Ha disminuido ligeramente",0.229,0.196,0.236,0.078,0.286,0.35
"P60","Ha disminuido significativamente",0.194,0.357,0.305,0.366,0.465,0.323
"P61","Muy baja",0.097,0.029,0.034,0,0.017,0.018
"P61","Baja",0.077,0.044,0.03,0,0.09,0.089
"P61","Moderada",0.143,0.044,0.122,0.031,0.013,0.032
"P61","Alta",0.304,0.139,0.064,0.362,0.08,0.251
"P61","Muy alta",0.379,0.744,0.75,0.607,0.8,0.61
"P62","Muy bajas",0.127,0.068,0.034,0,0.044,0.024
"P62","Bajas",0.075,0.104,0.189,0.134,0.099,0.074
"P62","Adecuadas",0.177,0.18,0.376,0.121,0.228,0.238
"P62","Altas",0.422,0.346,0.217,0.59,0.25,0.306
"P62","Muy altas",0.199,0.302,0.184,0.155,0.379,0.358
"P63","No, ninguna dificultad",0.427,0.2,0.274,0.03,0.148,0.232
"P63","Alguna dificultad ocasional",0.238,0.451,0.266,0.389,0.3,0.384
"P63","Sí, dificultades frecuentes",0.335,0.349,0.46,0.581,0.552,0.384
"P64","Sí, absolutamente",0.51,0.189,0.258,0.51,0.194,0.312
"P64","Sí, en cierta medida",0.311,0.496,0.464,0.159,0.301,0.341
"P64","No, en absoluto",0.179,0.315,0.278,0.331,0.505,0.347
"P65","Reducir la inflación",0.328,0.395,0.431,0.556,0.446,0.33
"P65","Implementar reformas fiscales",0.107,0.125,0.134,0.209,0.07,0.015
"P65","Establecer políticas de control de precios",0.23,0.039,0.052,0,0.06,0.086
"P65","Reducir el gasto público",0.133,0.414,0.351,0.235,0.353,0.507
"P65","Estimular la inversión extranjera",0.135,0.026,0.026,0,0.071,0.062
"P65","Aumentar los subsidios a los servicios públicos",0.067,0.001,0.006,0,0,0
"P66","Fomentar la competencia entre proveedores",0.242,0.522,0.354,0.334,0.308,0.362
"P66","Incrementar la inversión en infraestructura",0.179,0.209,0.335,0.353,0.32,0.211
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.459,0.037,0.08,0,0.089,0.065
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.12,0.232,0.231,0.313,0.283,0.362
"P67","Muy positiva",0.224,0.146,0.131,0,0.108,0.027
"P67","Positiva",0.23,0.147,0.169,0.073,0.061,0.054
"P67","Neutral",0.307,0.341,0.262,0.639,0.332,0.307
"P67","Algo negativa",0.135,0.169,0.183,0.288,0.112,0.122
"P67","Negativa",0.058,0.16,0.131,0,0.327,0.246
"P67","No sabe",0.046,0.037,0.124,0,0.06,0.244
"P68","Muy positivo",0.173,0.034,0.032,0.182,0.007,0.005
"P68","Positivo",0.162,0.159,0.074,0.036,0.035,0.016
"P68","Neutral",0.412,0.447,0.386,0.525,0.368,0.345
"P68","Algo negativo",0.13,0.185,0.176,0.257,0.144,0.103
"P68","Negativo",0.043,0.136,0.157,0,0.341,0.196
"P68","No sabe",0.08,0.039,0.175,0,0.105,0.335
"P69","Muy positivo",0.096,0.022,0.03,0.187,0.003,0.043
"P69","Positivo",0.086,0.093,0.036,0.033,0.024,0.035
"P69","Neutral",0.535,0.555,0.519,0.672,0.522,0.414
"P69","Algo negativo",0.142,0.137,0.105,0.052,0.147,0.066
"P69","Negativo",0.02,0.086,0.095,0,0.254,0.095
"P69","No sabe",0.121,0.107,0.215,0.056,0.05,0.347
"P70","Muy positiva",0.195,0.043,0.133,0.243,0.089,0.069
"P70","Positiva",0.243,0.267,0.263,0.089,0.094,0.224
"P70","Neutral",0.185,0.41,0.276,0.616,0.351,0.267
"P70","Algo negativa",0.254,0.128,0.145,0.052,0.204,0.121
"P70","Negativa",0.039,0.125,0.15,0,0.247,0.138
"P70","No sabe",0.084,0.027,0.033,0,0.015,0.181
"P71","Muy positivo",0.207,0.029,0.113,0.249,0.065,0.141
"P71","Positivo",0.145,0.183,0.211,0.091,0.094,0.142
"P71","Neutral",0.29,0.433,0.37,0.66,0.26,0.224
"P71","Algo negativo",0.267,0.178,0.125,0,0.295,0.106
"P71","Negativo",0.079,0.146,0.152,0,0.268,0.217
"P71","No sabe",0.012,0.031,0.029,0,0.018,0.17
"P72","Muy positivo",0.229,0.043,0.042,0.054,0.068,0.242
"P72","Positivo",0.138,0.219,0.268,0.284,0.105,0.141
"P72","Neutral",0.472,0.429,0.502,0.662,0.356,0.299
"P72","Algo negativo",0.12,0.118,0.094,0,0.155,0.048
"P72","Negativo",0.041,0.103,0.089,0,0.294,0.204
"P72","No sabe",0,0.088,0.005,0,0.022,0.066
"P73","Muy positiva",0.095,0.033,0.081,0,0.013,0.046
"P73","Positiva",0.23,0.153,0.272,0.162,0.106,0.086
"P73","Neutral",0.27,0.312,0.288,0.68,0.249,0.345
"P73","Algo negativa",0.336,0.208,0.136,0,0.187,0.066
"P73","Negativa",0.05,0.227,0.155,0.036,0.38,0.246
"P73","No sabe",0.019,0.067,0.068,0.122,0.065,0.211
"P74","Muy positivo",0.21,0.025,0.017,0.173,0.005,0
"P74","Positivo",0.154,0.121,0.141,0.088,0.067,0.098
"P74","Neutral",0.465,0.331,0.458,0.054,0.278,0.317
"P74","Algo negativo",0.055,0.234,0.194,0.257,0.217,0.161
"P74","Negativo",0.081,0.219,0.152,0.304,0.377,0.179
"P74","No sabe",0.035,0.07,0.038,0.124,0.056,0.245
"P75","Muy positivo",0.129,0.027,0,0.175,0,0.097
"P75","Positivo",0.235,0.107,0.101,0,0.032,0.098
"P75","Neutral",0.478,0.396,0.448,0.698,0.437,0.296
"P75","Algo negativo",0.044,0.213,0.181,0,0.164,0.096
"P75","Negativo",0.07,0.169,0.227,0,0.308,0.126
"P75","No sabe",0.044,0.088,0.043,0.127,0.059,0.287
"P76","Muy positiva",0.269,0.142,0.259,0.087,0.08,0.212
"P76","Positiva",0.375,0.177,0.203,0.296,0.12,0.096
"P76","Neutral",0.182,0.264,0.124,0.553,0.302,0.204
"P76","Algo negativa",0.074,0.154,0.131,0.064,0.134,0.096
"P76","Negativa",0.056,0.185,0.253,0,0.357,0.12
"P76","No sabe",0.044,0.078,0.03,0,0.007,0.272
"P77","Muy positivo",0.342,0.128,0.239,0.089,0.033,0.153
"P77","Positivo",0.373,0.203,0.187,0.334,0.074,0.209
"P77","Neutral",0.163,0.26,0.171,0.514,0.357,0.167
"P77","Algo negativo",0.044,0.115,0.134,0.063,0.202,0.194
"P77","Negativo",0.07,0.203,0.251,0,0.33,0.155
"P77","No sabe",0.008,0.091,0.018,0,0.004,0.122
"P78","Muy positivo",0.288,0.122,0.159,0.183,0.032,0.21
"P78","Positivo",0.157,0.193,0.204,0.446,0.095,0.152
"P78","Neutral",0.437,0.352,0.392,0.307,0.383,0.21
"P78","Algo negativo",0.033,0.089,0.07,0,0.145,0.099
"P78","Negativo",0.048,0.179,0.133,0.064,0.281,0.048
"P78","No sabe",0.037,0.065,0.042,0,0.064,0.281
"P79","Si",0.535,0.472,0.472,0.618,0.561,0.667
"P79","No",0.465,0.528,0.528,0.382,0.439,0.333
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.092,0.096,0.111,0.048,0.03,0.023
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.8,0.695,0.715,0.766,0.896,0.838
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.108,0.198,0.156,0.164,0.073,0.134
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0,0.008,0,0.022,0.001,0
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0,0.002,0,0,0,0.005
"PRESIDENTE","En blanco",0,0,0.015,0,0,0
"PRESIDENTE","No sabe",0,0.001,0.003,0,0,0
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.108,0.141,0.191,0.126,0.043,0.041
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.824,0.835,0.771,0.874,0.939,0.932
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.062,0.008,0.016,0,0.01,0.005
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0,0.002,0.004,0,0.001,0.003
"GOBERNADOR","En blanco",0,0.004,0,0,0.003,0.002
"GOBERNADOR","No sabe",0.006,0.01,0.018,0,0.004,0.017
"CORTA_PRESIDENTE","Si",0.268,0.327,0.38,0.419,0.128,0.232
"CORTA_PRESIDENTE","No",0.732,0.673,0.62,0.581,0.872,0.768
"CORTA_GOBERNADOR","Si",0.238,0.203,0.336,0.242,0.079,0.108
"CORTA_GOBERNADOR","No",0.762,0.797,0.664,0.758,0.921,0.892
