"var","categoria","Reducir la inflación","Implementar reformas fiscales","Establecer políticas de control de precios","Reducir el gasto público","Estimular la inversión extranjera","Aumentar los subsidios a los servicios públicos"
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.253,0.06,0.343,0.038,0.419,0.702
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.302,0.474,0.428,0.359,0.258,0.298
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.287,0.146,0.117,0.092,0.302,0
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.005,0,0.012,0.012,0,0
"P34","En blanco",0.122,0.087,0.081,0.446,0.021,0
"P34","No sabe",0.031,0.233,0.019,0.053,0,0
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.311,0.285,0.196,0.566,0.293,0.575
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.16,0.263,0.103,0.237,0.197,0
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.34,0.238,0.387,0.069,0.27,0.202
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.087,0.106,0.139,0.029,0.116,0.059
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.054,0.082,0.122,0.036,0.078,0.035
"P36","No sabe",0.048,0.026,0.053,0.063,0.046,0.129
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.484,0.491,0.662,0.096,0.547,0.664
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.336,0.364,0.185,0.672,0.283,0.322
"P37","En blanco",0.1,0.082,0.076,0.16,0.157,0
"P37","No sabe",0.08,0.063,0.077,0.072,0.013,0.014
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.355,0.382,0.184,0.489,0.441,0.03
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.159,0.205,0.146,0.398,0.144,0.201
"P38","En blanco",0.315,0.301,0.471,0.046,0.307,0.324
"P38","No sabe",0.171,0.112,0.199,0.067,0.108,0.445
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.503,0.511,0.656,0.142,0.588,0.627
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.247,0.323,0.174,0.566,0.151,0.131
"P39","En blanco",0.146,0.088,0.107,0.175,0.187,0.019
"P39","No sabe",0.104,0.078,0.063,0.117,0.074,0.223
"P45","Lo votaría",0.514,0.479,0.681,0.082,0.454,0.571
"P45","Puede que lo vote",0.07,0.088,0.074,0.108,0.069,0.161
"P45","Nunca lo votaría",0.368,0.409,0.21,0.787,0.47,0.159
"P45","No sabe",0.048,0.024,0.035,0.023,0.007,0.109
"P46","Lo votaría",0.326,0.246,0.114,0.513,0.29,0.175
"P46","Puede que lo vote",0.102,0.122,0.06,0.161,0.198,0.199
"P46","Nunca lo votaría",0.526,0.616,0.799,0.284,0.454,0.593
"P46","No sabe",0.046,0.016,0.027,0.042,0.058,0.033
"P47","Lo votaría",0.152,0.197,0.108,0.411,0.052,0.049
"P47","Puede que lo vote",0.144,0.141,0.072,0.201,0.271,0.04
"P47","Nunca lo votaría",0.661,0.633,0.789,0.295,0.607,0.802
"P47","No sabe",0.043,0.029,0.031,0.093,0.07,0.109
"P48","Lo votaría",0.145,0.241,0.138,0.058,0.052,0.257
"P48","Puede que lo vote",0.315,0.383,0.321,0.19,0.323,0.204
"P48","Nunca lo votaría",0.477,0.345,0.46,0.73,0.498,0.417
"P48","No sabe",0.063,0.031,0.081,0.022,0.127,0.122
"P49","Lo votaría",0.113,0.084,0.05,0.057,0.037,0.107
"P49","Puede que lo vote",0.265,0.425,0.239,0.27,0.243,0.065
"P49","Nunca lo votaría",0.552,0.407,0.619,0.611,0.508,0.522
"P49","No sabe",0.07,0.084,0.092,0.062,0.212,0.306
"P50","Si",0.455,0.457,0.292,0.527,0.546,0.821
"P50","No",0.545,0.543,0.708,0.473,0.454,0.179
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.36,0.337,0.357,0.232,0.673,0.297
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.157,0.124,0.126,0.251,0.102,0.261
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.333,0.292,0.309,0.458,0.183,0.169
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.096,0.17,0.122,0.034,0.041,0.018
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.017,0,0.01,0.009,0,0.255
"P51","En blanco",0.025,0.003,0.028,0.004,0.001,0
"P51","No sabe",0.012,0.074,0.048,0.012,0,0
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.502,0.439,0.395,0.354,0.775,0.28
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.312,0.222,0.226,0.453,0.152,0.662
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.051,0.023,0.166,0.103,0.01,0
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.075,0.233,0.097,0.04,0.031,0.018
"P52","En blanco",0.024,0,0.091,0.006,0,0
"P52","No sabe",0.036,0.083,0.025,0.044,0.032,0.04
"P53","Sergio Massa y Javier Milei",0.551,0.493,0.624,0.299,0.457,0.652
"P53","Patricia Bullrich y Javier Milei",0.361,0.398,0.232,0.627,0.438,0.157
"P53","Sergio Massa y Patricia Bullrich",0.088,0.109,0.144,0.074,0.105,0.191
"P54","Muy buena",0.05,0.067,0.067,0.03,0.028,0.033
"P54","Buena",0.095,0.164,0.192,0.05,0.007,0.09
"P54","Regular",0.281,0.208,0.362,0.014,0.328,0.485
"P54","Mala",0.246,0.27,0.148,0.214,0.32,0.351
"P54","Muy mala",0.328,0.291,0.231,0.692,0.317,0.041
"P55","Muy buena",0.081,0.07,0.113,0.022,0.025,0.153
"P55","Buena",0.146,0.168,0.307,0.011,0.11,0.059
"P55","Regular",0.238,0.232,0.224,0.035,0.303,0.356
"P55","Mala",0.174,0.2,0.1,0.19,0.217,0.113
"P55","Muy mala",0.361,0.33,0.256,0.742,0.345,0.319
"P56","Muy buena",0.162,0.135,0.276,0.033,0.057,0.168
"P56","Buena",0.265,0.278,0.304,0.15,0.176,0.228
"P56","Regular",0.323,0.318,0.249,0.417,0.444,0.443
"P56","Mala",0.145,0.165,0.07,0.262,0.231,0.055
"P56","Muy mala",0.105,0.104,0.101,0.138,0.092,0.106
"P57","Muy buena",0.068,0.035,0.068,0.009,0.02,0.019
"P57","Buena",0.211,0.242,0.327,0.1,0.142,0.193
"P57","Regular",0.411,0.464,0.417,0.471,0.502,0.153
"P57","Mala",0.194,0.166,0.096,0.291,0.252,0.483
"P57","Muy mala",0.116,0.093,0.092,0.129,0.084,0.152
"P58","Muy buena",0.097,0.084,0.107,0.01,0.072,0.073
"P58","Buena",0.201,0.241,0.344,0.066,0.105,0.12
"P58","Regular",0.302,0.339,0.339,0.279,0.475,0.297
"P58","Mala",0.23,0.234,0.12,0.284,0.247,0.387
"P58","Muy mala",0.17,0.102,0.09,0.361,0.101,0.123
"P59","Muy buena",0.118,0.122,0.184,0.058,0.12,0.162
"P59","Buena",0.338,0.356,0.371,0.176,0.162,0.077
"P59","Regular",0.349,0.372,0.308,0.475,0.521,0.558
"P59","Mala",0.119,0.101,0.086,0.209,0.173,0.042
"P59","Muy mala",0.076,0.049,0.051,0.082,0.024,0.161
"P60","Ha aumentado significativamente",0.095,0.053,0.137,0.02,0.015,0.109
"P60","Ha aumentado ligeramente",0.199,0.278,0.243,0.147,0.295,0.033
"P60","Se mantiene igual",0.3,0.336,0.318,0.263,0.173,0.27
"P60","Ha disminuido ligeramente",0.182,0.184,0.124,0.247,0.28,0.238
"P60","Ha disminuido significativamente",0.224,0.149,0.178,0.323,0.237,0.35
"P61","Muy baja",0.041,0.015,0.032,0.039,0.076,0.413
"P61","Baja",0.072,0.123,0.091,0.015,0.151,0
"P61","Moderada",0.092,0.106,0.154,0.048,0.094,0.059
"P61","Alta",0.298,0.27,0.385,0.111,0.415,0.156
"P61","Muy alta",0.497,0.486,0.338,0.787,0.264,0.372
"P62","Muy bajas",0.04,0.041,0.046,0.073,0.011,0.09
"P62","Bajas",0.06,0.152,0.107,0.111,0.124,0
"P62","Adecuadas",0.3,0.309,0.34,0.213,0.247,0.054
"P62","Altas",0.35,0.328,0.336,0.257,0.366,0.412
"P62","Muy altas",0.25,0.17,0.171,0.346,0.252,0.444
"P63","No, ninguna dificultad",0.349,0.288,0.397,0.193,0.291,0.141
"P63","Alguna dificultad ocasional",0.289,0.401,0.36,0.345,0.251,0.215
"P63","Sí, dificultades frecuentes",0.362,0.311,0.243,0.462,0.458,0.644
"P64","Sí, absolutamente",0.599,0.291,0.573,0.178,0.324,0.7
"P64","Sí, en cierta medida",0.259,0.594,0.176,0.361,0.39,0.286
"P64","No, en absoluto",0.142,0.115,0.251,0.461,0.286,0.014
"P66","Fomentar la competencia entre proveedores",0.374,0.307,0.199,0.372,0.243,0.263
"P66","Incrementar la inversión en infraestructura",0.194,0.371,0.128,0.205,0.181,0.086
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.17,0.101,0.347,0.03,0.192,0.362
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.262,0.221,0.326,0.393,0.384,0.289
"P67","Muy positiva",0.286,0.284,0.426,0.127,0.223,0.087
"P67","Positiva",0.24,0.335,0.24,0.095,0.173,0.215
"P67","Neutral",0.254,0.211,0.126,0.34,0.342,0.357
"P67","Algo negativa",0.073,0.083,0.064,0.139,0.152,0.091
"P67","Negativa",0.085,0.032,0.038,0.188,0.067,0.118
"P67","No sabe",0.062,0.055,0.106,0.111,0.043,0.132
"P68","Muy positivo",0.218,0.212,0.268,0.043,0.2,0.092
"P68","Positivo",0.233,0.339,0.295,0.088,0.194,0.071
"P68","Neutral",0.305,0.221,0.167,0.392,0.373,0.461
"P68","Algo negativo",0.076,0.077,0.058,0.143,0.107,0
"P68","Negativo",0.074,0.077,0.081,0.189,0.047,0.186
"P68","No sabe",0.094,0.074,0.131,0.145,0.079,0.19
"P69","Muy positivo",0.172,0.193,0.193,0.017,0.111,0.093
"P69","Positivo",0.173,0.232,0.261,0.069,0.177,0.061
"P69","Neutral",0.415,0.366,0.303,0.531,0.463,0.462
"P69","Algo negativo",0.059,0.071,0.055,0.108,0.122,0
"P69","Negativo",0.059,0.048,0.046,0.138,0.054,0.177
"P69","No sabe",0.122,0.09,0.142,0.137,0.073,0.207
"P70","Muy positiva",0.456,0.386,0.506,0.104,0.348,0.446
"P70","Positiva",0.212,0.259,0.178,0.218,0.235,0.135
"P70","Neutral",0.177,0.175,0.098,0.354,0.219,0.082
"P70","Algo negativa",0.082,0.033,0.068,0.117,0.074,0.216
"P70","Negativa",0.057,0.109,0.066,0.166,0.096,0.092
"P70","No sabe",0.016,0.038,0.084,0.041,0.028,0.029
"P71","Muy positivo",0.467,0.31,0.485,0.064,0.383,0.288
"P71","Positivo",0.186,0.29,0.229,0.213,0.205,0.045
"P71","Neutral",0.175,0.228,0.073,0.352,0.224,0.23
"P71","Algo negativo",0.088,0.026,0.073,0.138,0.078,0.231
"P71","Negativo",0.071,0.111,0.071,0.195,0.093,0
"P71","No sabe",0.013,0.035,0.069,0.038,0.017,0.206
"P72","Muy positivo",0.419,0.27,0.495,0.086,0.445,0.206
"P72","Positivo",0.215,0.297,0.18,0.269,0.208,0.125
"P72","Neutral",0.23,0.299,0.145,0.39,0.233,0.422
"P72","Algo negativo",0.044,0.018,0.054,0.082,0.016,0.138
"P72","Negativo",0.065,0.049,0.081,0.154,0.086,0.109
"P72","No sabe",0.027,0.067,0.045,0.019,0.012,0
"P73","Muy positiva",0.349,0.192,0.364,0.02,0.281,0.189
"P73","Positiva",0.258,0.338,0.23,0.151,0.323,0.062
"P73","Neutral",0.205,0.227,0.122,0.331,0.198,0.194
"P73","Algo negativa",0.049,0.077,0.131,0.144,0.015,0.462
"P73","Negativa",0.092,0.108,0.089,0.272,0.123,0.093
"P73","No sabe",0.047,0.058,0.064,0.082,0.06,0
"P74","Muy positivo",0.281,0.199,0.36,0.01,0.224,0.29
"P74","Positivo",0.278,0.285,0.269,0.117,0.351,0.176
"P74","Neutral",0.225,0.266,0.124,0.324,0.232,0.495
"P74","Algo negativo",0.083,0.084,0.089,0.153,0.102,0.039
"P74","Negativo",0.082,0.1,0.087,0.303,0.031,0
"P74","No sabe",0.051,0.066,0.071,0.093,0.06,0
"P75","Muy positivo",0.232,0.202,0.321,0.036,0.147,0.225
"P75","Positivo",0.238,0.233,0.269,0.087,0.36,0.356
"P75","Neutral",0.305,0.305,0.167,0.474,0.324,0.304
"P75","Algo negativo",0.072,0.104,0.052,0.097,0.082,0.025
"P75","Negativo",0.079,0.082,0.096,0.233,0.009,0.09
"P75","No sabe",0.074,0.074,0.095,0.073,0.078,0
"P76","Muy positiva",0.47,0.323,0.535,0.167,0.518,0.438
"P76","Positiva",0.229,0.26,0.145,0.184,0.206,0.358
"P76","Neutral",0.159,0.167,0.11,0.297,0.189,0.189
"P76","Algo negativa",0.048,0.08,0.027,0.1,0.029,0
"P76","Negativa",0.062,0.103,0.103,0.206,0.044,0.015
"P76","No sabe",0.032,0.067,0.08,0.046,0.014,0
"P77","Muy positivo",0.465,0.312,0.583,0.129,0.472,0.282
"P77","Positivo",0.239,0.285,0.195,0.202,0.232,0.422
"P77","Neutral",0.138,0.18,0.103,0.282,0.21,0.042
"P77","Algo negativo",0.08,0.086,0.037,0.125,0.035,0
"P77","Negativo",0.061,0.043,0.067,0.22,0.046,0
"P77","No sabe",0.017,0.094,0.015,0.042,0.005,0.254
"P78","Muy positivo",0.409,0.279,0.522,0.11,0.304,0.152
"P78","Positivo",0.228,0.225,0.176,0.219,0.228,0.159
"P78","Neutral",0.219,0.264,0.173,0.398,0.376,0.689
"P78","Algo negativo",0.049,0.081,0.022,0.067,0.019,0
"P78","Negativo",0.061,0.048,0.055,0.154,0.033,0
"P78","No sabe",0.034,0.103,0.052,0.052,0.04,0
"P79","Si",0.605,0.586,0.554,0.517,0.57,0.294
"P79","No",0.395,0.414,0.446,0.483,0.43,0.706
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.489,0.415,0.579,0.139,0.544,0.435
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.225,0.243,0.149,0.397,0.189,0.231
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.206,0.25,0.177,0.409,0.164,0.123
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.04,0.062,0.037,0.021,0.018,0.017
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.008,0.001,0.033,0.006,0.005,0.194
"PRESIDENTE","En blanco",0.016,0.003,0.01,0.003,0.08,0
"PRESIDENTE","No sabe",0.016,0.026,0.015,0.025,0,0
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.528,0.453,0.598,0.188,0.562,0.416
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.313,0.294,0.177,0.506,0.254,0.516
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.088,0.125,0.134,0.252,0.061,0.013
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.031,0.087,0.058,0.016,0.022,0.02
"GOBERNADOR","En blanco",0.015,0.001,0.026,0.012,0.083,0
"GOBERNADOR","No sabe",0.025,0.04,0.007,0.026,0.018,0.035
"CORTA_PRESIDENTE","Si",0.222,0.211,0.143,0.269,0.243,0.074
"CORTA_PRESIDENTE","No",0.778,0.789,0.857,0.731,0.757,0.926
"CORTA_GOBERNADOR","Si",0.229,0.212,0.149,0.264,0.234,0.374
"CORTA_GOBERNADOR","No",0.771,0.788,0.851,0.736,0.766,0.626
