"var","categoria","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda","En blanco","No sabe"
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.051,0.416,0.76,0.329,0.186,0.168,0.072
"P39","En blanco",0.043,0.285,0.068,0.334,0.12,0.261,0.136
"P39","No sabe",0.029,0.165,0.031,0.154,0.469,0.359,0.65
"P45","Lo votaría",0.879,0.105,0.129,0.192,0.19,0.141,0.121
"P45","Puede que lo vote",0.034,0.102,0.131,0.167,0.173,0.141,0.106
"P45","Nunca lo votaría",0.066,0.778,0.691,0.521,0.347,0.489,0.391
"P45","No sabe",0.021,0.015,0.049,0.12,0.29,0.229,0.382
"P46","Lo votaría",0.099,0.78,0.151,0.18,0.012,0.097,0.11
"P46","Puede que lo vote",0.065,0.054,0.34,0.161,0.044,0.191,0.313
"P46","Nunca lo votaría",0.783,0.136,0.482,0.511,0.726,0.356,0.302
"P46","No sabe",0.053,0.03,0.027,0.148,0.218,0.356,0.275
"P47","Lo votaría",0.028,0.179,0.675,0.138,0.029,0.069,0.045
"P47","Puede que lo vote",0.064,0.271,0.131,0.22,0.044,0.198,0.19
"P47","Nunca lo votaría",0.862,0.489,0.174,0.527,0.735,0.444,0.372
"P47","No sabe",0.046,0.061,0.02,0.115,0.192,0.289,0.393
"P48","Lo votaría",0.168,0.041,0.122,0.049,0.698,0.021,0.142
"P48","Puede que lo vote",0.38,0.252,0.25,0.444,0.105,0.135,0.204
"P48","Nunca lo votaría",0.375,0.673,0.6,0.414,0.073,0.401,0.363
"P48","No sabe",0.077,0.034,0.028,0.093,0.124,0.443,0.291
"P49","Lo votaría",0.108,0.078,0.055,0.421,0.116,0.035,0.061
"P49","Puede que lo vote",0.284,0.277,0.272,0.276,0.202,0.09,0.308
"P49","Nunca lo votaría",0.529,0.561,0.631,0.212,0.491,0.399,0.351
"P49","No sabe",0.079,0.084,0.042,0.091,0.191,0.476,0.28
"P50","Si",0.362,0.506,0.455,0.791,0.701,0.607,0.675
"P50","No",0.638,0.494,0.545,0.209,0.299,0.393,0.325
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.664,0.197,0.14,0.454,0.109,0.064,0.077
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.06,0.392,0.121,0.195,0.046,0.133,0.148
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.119,0.39,0.64,0.149,0.331,0.387,0.378
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.128,0.008,0.087,0.018,0.223,0.162,0.121
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.007,0.004,0.006,0.038,0.145,0.074,0.082
"P51","En blanco",0.011,0.007,0,0.014,0.001,0.18,0.039
"P51","No sabe",0.011,0.002,0.006,0.132,0.145,0,0.155
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.719,0.33,0.297,0.587,0.332,0.172,0.275
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.099,0.578,0.42,0.229,0.192,0.237,0.238
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.021,0.047,0.139,0,0.06,0.278,0.043
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.109,0.005,0.076,0.018,0.27,0.163,0.166
"P52","En blanco",0.013,0.008,0.004,0,0.145,0.021,0.136
"P52","No sabe",0.039,0.032,0.064,0.166,0.001,0.129,0.142
"P53","Sergio Massa y Javier Milei",0.744,0.176,0.487,0.701,0.708,0.461,0.485
"P53","Patricia Bullrich y Javier Milei",0.136,0.749,0.495,0.24,0.145,0.457,0.374
"P53","Sergio Massa y Patricia Bullrich",0.12,0.075,0.018,0.059,0.147,0.082,0.141
"P54","Muy buena",0.05,0.043,0.056,0.064,0.014,0.06,0
"P54","Buena",0.164,0.063,0.046,0.033,0.231,0.054,0.011
"P54","Regular",0.465,0.033,0.114,0.037,0.102,0.205,0.149
"P54","Mala",0.224,0.288,0.165,0.422,0.315,0.298,0.289
"P54","Muy mala",0.097,0.573,0.619,0.444,0.338,0.383,0.551
"P55","Muy buena",0.1,0.026,0.032,0.02,0.128,0.053,0.029
"P55","Buena",0.314,0.014,0.053,0,0.01,0.057,0.098
"P55","Regular",0.354,0.053,0.101,0.131,0.285,0.184,0.088
"P55","Mala",0.156,0.239,0.132,0.174,0.181,0.189,0.345
"P55","Muy mala",0.076,0.668,0.682,0.675,0.396,0.517,0.44
"P56","Muy buena",0.233,0.039,0.11,0.02,0.121,0.035,0.018
"P56","Buena",0.402,0.128,0.203,0.05,0.012,0.16,0.128
"P56","Regular",0.272,0.411,0.399,0.262,0.322,0.37,0.182
"P56","Mala",0.064,0.283,0.142,0.626,0.279,0.308,0.377
"P56","Muy mala",0.029,0.139,0.146,0.042,0.266,0.127,0.295
"P57","Muy buena",0.065,0.022,0.056,0,0.03,0,0
"P57","Buena",0.346,0.113,0.086,0.076,0.093,0.142,0.114
"P57","Regular",0.443,0.444,0.468,0.307,0.306,0.431,0.32
"P57","Mala",0.127,0.276,0.212,0.559,0.27,0.271,0.319
"P57","Muy mala",0.019,0.145,0.178,0.058,0.301,0.156,0.247
"P58","Muy buena",0.116,0.024,0.046,0.069,0.083,0.128,0
"P58","Buena",0.353,0.072,0.113,0.022,0.152,0.049,0.114
"P58","Regular",0.383,0.291,0.259,0.329,0.365,0.325,0.146
"P58","Mala",0.118,0.338,0.292,0.455,0.203,0.343,0.362
"P58","Muy mala",0.03,0.275,0.29,0.125,0.197,0.155,0.378
"P59","Muy buena",0.171,0.054,0.101,0,0.028,0,0.017
"P59","Buena",0.469,0.16,0.247,0.111,0.268,0.243,0.144
"P59","Regular",0.31,0.483,0.421,0.543,0.39,0.283,0.282
"P59","Mala",0.038,0.21,0.13,0.316,0.134,0.373,0.335
"P59","Muy mala",0.012,0.093,0.101,0.03,0.18,0.101,0.222
"P60","Ha aumentado significativamente",0.129,0.023,0.049,0,0.11,0,0.052
"P60","Ha aumentado ligeramente",0.299,0.109,0.172,0.115,0.079,0.195,0.171
"P60","Se mantiene igual",0.368,0.261,0.255,0.281,0.053,0.233,0.177
"P60","Ha disminuido ligeramente",0.124,0.25,0.257,0.204,0.262,0.231,0.194
"P60","Ha disminuido significativamente",0.08,0.357,0.267,0.4,0.496,0.341,0.406
"P61","Muy baja",0.046,0.032,0.054,0.253,0.132,0.029,0.031
"P61","Baja",0.088,0.059,0.043,0,0.036,0.028,0.023
"P61","Moderada",0.163,0.05,0.077,0,0.007,0.082,0.036
"P61","Alta",0.419,0.156,0.166,0.157,0.156,0.229,0.251
"P61","Muy alta",0.284,0.703,0.66,0.59,0.669,0.632,0.659
"P62","Muy bajas",0.025,0.056,0.09,0.036,0.013,0.001,0.024
"P62","Bajas",0.088,0.102,0.1,0.074,0.055,0.039,0.113
"P62","Adecuadas",0.379,0.232,0.202,0.085,0.046,0.094,0.261
"P62","Altas",0.362,0.317,0.265,0.24,0.306,0.433,0.334
"P62","Muy altas",0.146,0.293,0.343,0.565,0.58,0.433,0.268
"P63","No, ninguna dificultad",0.424,0.222,0.236,0.198,0.138,0.112,0.296
"P63","Alguna dificultad ocasional",0.312,0.361,0.278,0.289,0.22,0.26,0.335
"P63","Sí, dificultades frecuentes",0.264,0.417,0.486,0.513,0.642,0.628,0.369
"P64","Sí, absolutamente",0.732,0.247,0.278,0.377,0.656,0.172,0.294
"P64","Sí, en cierta medida",0.231,0.408,0.29,0.369,0.257,0.474,0.584
"P64","No, en absoluto",0.037,0.345,0.432,0.254,0.087,0.354,0.122
"P65","Reducir la inflación",0.523,0.406,0.346,0.376,0.464,0.374,0.554
"P65","Implementar reformas fiscales",0.123,0.094,0.091,0.143,0.144,0.125,0.023
"P65","Establecer políticas de control de precios",0.225,0.074,0.099,0.095,0.204,0.057,0.087
"P65","Reducir el gasto público",0.055,0.367,0.415,0.354,0.041,0.224,0.283
"P65","Estimular la inversión extranjera",0.058,0.051,0.039,0.032,0.029,0.22,0.053
"P65","Aumentar los subsidios a los servicios públicos",0.016,0.008,0.01,0,0.118,0,0
"P66","Fomentar la competencia entre proveedores",0.206,0.394,0.465,0.238,0.293,0.372,0.409
"P66","Incrementar la inversión en infraestructura",0.183,0.25,0.167,0.257,0.031,0.267,0.224
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.241,0.103,0.1,0.105,0.064,0.215,0.142
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.37,0.253,0.268,0.4,0.612,0.146,0.225
"P67","Muy positiva",0.425,0.128,0.164,0.02,0.16,0.199,0.166
"P67","Positiva",0.284,0.122,0.191,0.383,0.332,0.252,0.282
"P67","Neutral",0.151,0.329,0.332,0.382,0.294,0.291,0.18
"P67","Algo negativa",0.072,0.146,0.056,0.052,0.054,0.09,0.17
"P67","Negativa",0.007,0.187,0.148,0.132,0.111,0.022,0.04
"P67","No sabe",0.061,0.088,0.109,0.031,0.049,0.146,0.162
"P68","Muy positivo",0.342,0.041,0.071,0,0.16,0.361,0.079
"P68","Positivo",0.356,0.099,0.169,0.283,0.349,0,0.141
"P68","Neutral",0.194,0.396,0.359,0.271,0.188,0.351,0.364
"P68","Algo negativo",0.026,0.159,0.106,0.044,0.035,0.055,0.038
"P68","Negativo",0.012,0.184,0.164,0.158,0.123,0.021,0.014
"P68","No sabe",0.07,0.121,0.131,0.244,0.145,0.212,0.364
"P69","Muy positivo",0.247,0.033,0.055,0,0.139,0.172,0.063
"P69","Positivo",0.293,0.07,0.102,0.031,0.289,0.084,0.035
"P69","Neutral",0.336,0.495,0.498,0.437,0.365,0.575,0.456
"P69","Algo negativo",0.023,0.126,0.074,0.04,0.036,0.022,0.028
"P69","Negativo",0.009,0.126,0.153,0.218,0.034,0.02,0.025
"P69","No sabe",0.092,0.15,0.118,0.274,0.137,0.127,0.393
"P70","Muy positiva",0.672,0.088,0.193,0.026,0.599,0.179,0.265
"P70","Positiva",0.234,0.212,0.229,0.425,0.171,0.047,0.253
"P70","Neutral",0.06,0.336,0.238,0.458,0.131,0.521,0.16
"P70","Algo negativa",0.021,0.162,0.104,0.043,0.026,0.03,0.171
"P70","Negativa",0.008,0.148,0.177,0.048,0.039,0.178,0.022
"P70","No sabe",0.005,0.054,0.059,0,0.034,0.045,0.129
"P71","Muy positivo",0.657,0.081,0.196,0.044,0.283,0.197,0.23
"P71","Positivo",0.244,0.161,0.242,0.363,0.238,0.152,0.151
"P71","Neutral",0.061,0.348,0.243,0.489,0.171,0.404,0.27
"P71","Algo negativo",0.023,0.189,0.106,0.056,0.012,0.023,0.094
"P71","Negativo",0.006,0.177,0.171,0.048,0.15,0.178,0.128
"P71","No sabe",0.009,0.044,0.042,0,0.146,0.046,0.127
"P72","Muy positivo",0.608,0.099,0.184,0.045,0.188,0.081,0.245
"P72","Positivo",0.253,0.186,0.264,0.118,0.385,0.281,0.407
"P72","Neutral",0.103,0.412,0.327,0.417,0.406,0.413,0.126
"P72","Algo negativo",0.014,0.107,0.049,0.114,0.008,0,0.015
"P72","Negativo",0.011,0.148,0.15,0.051,0.013,0.178,0.081
"P72","No sabe",0.011,0.048,0.026,0.255,0,0.047,0.126
"P73","Muy positiva",0.49,0.043,0.126,0.047,0.162,0.058,0.048
"P73","Positiva",0.345,0.153,0.189,0.208,0.361,0.085,0.077
"P73","Neutral",0.091,0.305,0.293,0.201,0.371,0.395,0.551
"P73","Algo negativa",0.035,0.187,0.081,0,0.026,0.05,0.163
"P73","Negativa",0.011,0.224,0.236,0.294,0.047,0.311,0.071
"P73","No sabe",0.028,0.088,0.075,0.25,0.033,0.101,0.09
"P74","Muy positivo",0.428,0.038,0.077,0.047,0.166,0.055,0.016
"P74","Positivo",0.395,0.116,0.187,0.169,0.375,0.047,0.134
"P74","Neutral",0.117,0.339,0.279,0.154,0.352,0.419,0.543
"P74","Algo negativo",0.027,0.194,0.109,0,0.055,0.235,0.171
"P74","Negativo",0.006,0.219,0.264,0.372,0.031,0.043,0.074
"P74","No sabe",0.027,0.094,0.084,0.258,0.021,0.201,0.062
"P75","Muy positivo",0.358,0.044,0.078,0.079,0.181,0.041,0.041
"P75","Positivo",0.372,0.1,0.098,0.098,0.494,0.033,0.071
"P75","Neutral",0.211,0.396,0.409,0.233,0.249,0.553,0.714
"P75","Algo negativo",0.014,0.163,0.089,0,0.023,0.205,0
"P75","Negativo",0.006,0.182,0.24,0.333,0,0.043,0.078
"P75","No sabe",0.039,0.115,0.086,0.257,0.053,0.125,0.096
"P76","Muy positiva",0.616,0.162,0.269,0.088,0.649,0.547,0.287
"P76","Positiva",0.239,0.179,0.218,0.343,0.049,0.076,0.343
"P76","Neutral",0.105,0.232,0.253,0.269,0.246,0.201,0.077
"P76","Algo negativa",0.013,0.127,0.062,0.058,0.026,0.022,0.023
"P76","Negativa",0.007,0.212,0.165,0.242,0,0.043,0.175
"P76","No sabe",0.02,0.088,0.033,0,0.03,0.111,0.095
"P77","Muy positivo",0.618,0.146,0.276,0.08,0.503,0.531,0.257
"P77","Positivo",0.244,0.195,0.287,0.465,0.016,0.188,0.224
"P77","Neutral",0.094,0.245,0.232,0.14,0.073,0.106,0.171
"P77","Algo negativo",0.031,0.138,0.066,0.236,0.174,0.023,0.106
"P77","Negativo",0.007,0.216,0.115,0.079,0.025,0.041,0.169
"P77","No sabe",0.006,0.06,0.024,0,0.209,0.111,0.073
"P78","Muy positivo",0.529,0.143,0.221,0.08,0.367,0.505,0.242
"P78","Positivo",0.234,0.169,0.262,0.443,0.191,0.14,0.21
"P78","Neutral",0.203,0.329,0.326,0.195,0.393,0.176,0.362
"P78","Algo negativo",0.016,0.093,0.045,0.2,0.049,0,0.023
"P78","Negativo",0.008,0.165,0.116,0.082,0,0.04,0.052
"P78","No sabe",0.01,0.101,0.03,0,0,0.139,0.111
"P79","Si",0.599,0.542,0.54,0.666,0.47,0.771,0.292
"P79","No",0.401,0.458,0.46,0.334,0.53,0.229,0.708
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.91,0.071,0.045,0.196,0.039,0.023,0.025
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.015,0.783,0.037,0.115,0.017,0.036,0.054
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.033,0.137,0.887,0.093,0.13,0.119,0.126
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.034,0.003,0.026,0.516,0.126,0.037,0.035
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.002,0.002,0.002,0.02,0.646,0.02,0.021
"PRESIDENTE","En blanco",0.003,0.003,0,0.01,0.001,0.765,0.012
"PRESIDENTE","No sabe",0.003,0.001,0.003,0.05,0.041,0,0.727
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.928,0.111,0.093,0.443,0.144,0.047,0.077
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.025,0.858,0.13,0.216,0.072,0.068,0.087
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.006,0.015,0.74,0,0.032,0.082,0.015
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.027,0.002,0.02,0.014,0.7,0.037,0.054
"GOBERNADOR","En blanco",0.002,0.003,0.001,0.211,0.051,0.731,0.035
"GOBERNADOR","No sabe",0.012,0.011,0.016,0.116,0.001,0.035,0.732
"CORTA_PRESIDENTE","Si",0.119,0.271,0.162,0.778,0.602,0.496,0.572
"CORTA_PRESIDENTE","No",0.881,0.729,0.838,0.222,0.398,0.504,0.428
"CORTA_GOBERNADOR","Si",0.097,0.194,0.379,0.792,0.506,0.587,0.57
"CORTA_GOBERNADOR","No",0.903,0.806,0.621,0.208,0.494,0.413,0.43
