"var","categoria","Ha aumentado significativamente","Ha aumentado ligeramente","Se mantiene igual","Ha disminuido ligeramente","Ha disminuido significativamente"
"P34","En blanco",0.195,0.335,0.152,0.141,0.299
"P34","No sabe",0,0.009,0.076,0.063,0.045
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.197,0.229,0.29,0.458,0.535
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.192,0.163,0.169,0.179,0.203
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.436,0.342,0.354,0.22,0.077
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.111,0.103,0.087,0.061,0.061
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.05,0.078,0.056,0.045,0.064
"P36","No sabe",0.014,0.085,0.044,0.037,0.06
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.812,0.632,0.458,0.285,0.167
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.099,0.207,0.36,0.529,0.624
"P37","En blanco",0.057,0.122,0.123,0.097,0.114
"P37","No sabe",0.032,0.039,0.059,0.089,0.095
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.237,0.228,0.355,0.445,0.501
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.126,0.198,0.19,0.233,0.295
"P38","En blanco",0.468,0.428,0.3,0.161,0.105
"P38","No sabe",0.169,0.146,0.155,0.161,0.099
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.777,0.633,0.475,0.344,0.192
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.144,0.221,0.3,0.362,0.461
"P39","En blanco",0.056,0.08,0.115,0.148,0.241
"P39","No sabe",0.023,0.066,0.11,0.146,0.106
"P45","Lo votaría",0.785,0.64,0.493,0.297,0.149
"P45","Puede que lo vote",0.077,0.048,0.092,0.086,0.128
"P45","Nunca lo votaría",0.129,0.28,0.38,0.581,0.679
"P45","No sabe",0.009,0.032,0.035,0.036,0.044
"P46","Lo votaría",0.124,0.21,0.301,0.421,0.487
"P46","Puede que lo vote",0.067,0.124,0.109,0.149,0.127
"P46","Nunca lo votaría",0.804,0.597,0.557,0.39,0.335
"P46","No sabe",0.005,0.069,0.033,0.04,0.051
"P47","Lo votaría",0.102,0.152,0.184,0.261,0.282
"P47","Puede que lo vote",0.04,0.158,0.128,0.186,0.188
"P47","Nunca lo votaría",0.849,0.633,0.638,0.498,0.459
"P47","No sabe",0.009,0.057,0.05,0.055,0.071
"P48","Lo votaría",0.205,0.135,0.125,0.093,0.116
"P48","Puede que lo vote",0.305,0.339,0.297,0.308,0.296
"P48","Nunca lo votaría",0.452,0.462,0.512,0.527,0.55
"P48","No sabe",0.038,0.064,0.066,0.072,0.038
"P49","Lo votaría",0.149,0.062,0.092,0.105,0.061
"P49","Puede que lo vote",0.272,0.31,0.287,0.291,0.238
"P49","Nunca lo votaría",0.486,0.533,0.561,0.504,0.612
"P49","No sabe",0.093,0.095,0.06,0.1,0.089
"P50","Si",0.388,0.393,0.443,0.448,0.555
"P50","No",0.612,0.607,0.557,0.552,0.445
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.526,0.41,0.344,0.31,0.291
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.022,0.17,0.168,0.264,0.179
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.261,0.295,0.325,0.317,0.426
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.191,0.102,0.109,0.052,0.03
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0,0.007,0.017,0.001,0.037
"P51","En blanco",0,0.008,0.016,0.004,0.024
"P51","No sabe",0,0.008,0.021,0.052,0.013
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.512,0.612,0.505,0.379,0.385
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.126,0.191,0.322,0.406,0.431
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.097,0.081,0.044,0.03,0.087
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.158,0.099,0.09,0.089,0.016
"P52","En blanco",0.073,0.008,0.008,0.036,0.014
"P52","No sabe",0.034,0.009,0.031,0.06,0.067
"P53","Sergio Massa y Javier Milei",0.779,0.657,0.505,0.347,0.335
"P53","Patricia Bullrich y Javier Milei",0.184,0.26,0.38,0.539,0.584
"P53","Sergio Massa y Patricia Bullrich",0.037,0.083,0.115,0.114,0.081
"P54","Muy buena",0.109,0.075,0.038,0.038,0.016
"P54","Buena",0.267,0.107,0.144,0.064,0.028
"P54","Regular",0.298,0.392,0.304,0.13,0.045
"P54","Mala",0.188,0.174,0.223,0.385,0.202
"P54","Muy mala",0.138,0.252,0.291,0.383,0.709
"P55","Muy buena",0.279,0.048,0.066,0.042,0.023
"P55","Buena",0.27,0.286,0.182,0.04,0.015
"P55","Regular",0.194,0.27,0.243,0.153,0.064
"P55","Mala",0.138,0.127,0.192,0.297,0.129
"P55","Muy mala",0.119,0.269,0.317,0.468,0.769
"P56","Muy buena",0.412,0.179,0.14,0.075,0.06
"P56","Buena",0.321,0.411,0.266,0.144,0.111
"P56","Regular",0.167,0.227,0.405,0.434,0.343
"P56","Mala",0.054,0.121,0.116,0.223,0.273
"P56","Muy mala",0.046,0.062,0.073,0.124,0.213
"P57","Muy buena",0.209,0.077,0.039,0.013,0.01
"P57","Buena",0.389,0.325,0.267,0.099,0.041
"P57","Regular",0.257,0.417,0.517,0.514,0.312
"P57","Mala",0.1,0.14,0.134,0.266,0.355
"P57","Muy mala",0.045,0.041,0.043,0.108,0.282
"P58","Muy buena",0.355,0.115,0.055,0.031,0.012
"P58","Buena",0.296,0.341,0.243,0.101,0.023
"P58","Regular",0.213,0.365,0.45,0.294,0.13
"P58","Mala",0.098,0.099,0.16,0.453,0.323
"P58","Muy mala",0.038,0.08,0.092,0.121,0.512
"P59","Muy buena",0.5,0.149,0.081,0.046,0.048
"P59","Buena",0.33,0.502,0.372,0.177,0.111
"P59","Regular",0.136,0.276,0.477,0.482,0.377
"P59","Mala",0.011,0.054,0.058,0.275,0.229
"P59","Muy mala",0.023,0.019,0.012,0.02,0.235
"P61","Muy baja",0.244,0.025,0.017,0.031,0.052
"P61","Baja",0.042,0.18,0.036,0.042,0.035
"P61","Moderada",0.113,0.107,0.199,0.025,0.01
"P61","Alta",0.367,0.341,0.297,0.379,0.062
"P61","Muy alta",0.234,0.347,0.451,0.523,0.841
"P62","Muy bajas",0.096,0.052,0.034,0.022,0.062
"P62","Bajas",0.089,0.149,0.063,0.089,0.08
"P62","Adecuadas",0.325,0.394,0.311,0.237,0.15
"P62","Altas",0.357,0.273,0.367,0.388,0.262
"P62","Muy altas",0.133,0.132,0.225,0.264,0.446
"P63","No, ninguna dificultad",0.569,0.451,0.352,0.18,0.136
"P63","Alguna dificultad ocasional",0.2,0.341,0.372,0.334,0.255
"P63","Sí, dificultades frecuentes",0.231,0.208,0.276,0.486,0.609
"P64","Sí, absolutamente",0.774,0.506,0.536,0.381,0.267
"P64","Sí, en cierta medida",0.125,0.331,0.27,0.339,0.379
"P64","No, en absoluto",0.101,0.163,0.194,0.28,0.354
"P65","Reducir la inflación",0.572,0.437,0.464,0.418,0.426
"P65","Implementar reformas fiscales",0.075,0.143,0.121,0.098,0.066
"P65","Establecer políticas de control de precios",0.257,0.167,0.153,0.089,0.105
"P65","Reducir el gasto público",0.065,0.173,0.217,0.301,0.328
"P65","Estimular la inversión extranjera",0.011,0.078,0.032,0.078,0.055
"P65","Aumentar los subsidios a los servicios públicos",0.02,0.002,0.013,0.016,0.02
"P66","Fomentar la competencia entre proveedores",0.321,0.275,0.314,0.316,0.427
"P66","Incrementar la inversión en infraestructura",0.126,0.199,0.22,0.263,0.161
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.215,0.217,0.174,0.148,0.075
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.338,0.309,0.292,0.273,0.337
"P67","Muy positiva",0.6,0.364,0.268,0.132,0.152
"P67","Positiva",0.162,0.295,0.202,0.203,0.168
"P67","Neutral",0.114,0.178,0.304,0.315,0.271
"P67","Algo negativa",0.083,0.067,0.073,0.123,0.122
"P67","Negativa",0.023,0.039,0.085,0.097,0.192
"P67","No sabe",0.018,0.057,0.068,0.13,0.095
"P68","Muy positivo",0.482,0.247,0.21,0.089,0.051
"P68","Positivo",0.233,0.335,0.202,0.178,0.14
"P68","Neutral",0.148,0.216,0.359,0.332,0.338
"P68","Algo negativo",0.053,0.06,0.074,0.127,0.12
"P68","Negativo",0.048,0.046,0.081,0.114,0.198
"P68","No sabe",0.036,0.096,0.074,0.16,0.153
"P69","Muy positivo",0.358,0.162,0.17,0.1,0.013
"P69","Positivo",0.198,0.281,0.169,0.103,0.098
"P69","Neutral",0.225,0.378,0.5,0.467,0.397
"P69","Algo negativo",0.086,0.056,0.031,0.099,0.124
"P69","Negativo",0.041,0.022,0.053,0.067,0.183
"P69","No sabe",0.092,0.101,0.077,0.164,0.185
"P70","Muy positiva",0.741,0.462,0.411,0.245,0.192
"P70","Positiva",0.13,0.285,0.193,0.201,0.214
"P70","Neutral",0.042,0.134,0.254,0.23,0.251
"P70","Algo negativa",0.034,0.034,0.054,0.156,0.129
"P70","Negativa",0.053,0.059,0.056,0.111,0.171
"P70","No sabe",0,0.026,0.032,0.057,0.043
"P71","Muy positivo",0.754,0.467,0.382,0.231,0.159
"P71","Positivo",0.108,0.27,0.196,0.191,0.222
"P71","Neutral",0.082,0.138,0.254,0.219,0.257
"P71","Algo negativo",0,0.041,0.063,0.183,0.134
"P71","Negativo",0.056,0.065,0.073,0.138,0.173
"P71","No sabe",0,0.019,0.032,0.038,0.055
"P72","Muy positivo",0.731,0.404,0.368,0.233,0.163
"P72","Positivo",0.104,0.322,0.204,0.209,0.239
"P72","Neutral",0.09,0.19,0.309,0.307,0.304
"P72","Algo negativo",0,0.017,0.027,0.098,0.097
"P72","Negativo",0.067,0.048,0.068,0.135,0.124
"P72","No sabe",0.008,0.019,0.024,0.018,0.073
"P73","Muy positiva",0.627,0.363,0.231,0.174,0.098
"P73","Positiva",0.176,0.379,0.247,0.2,0.141
"P73","Neutral",0.037,0.131,0.283,0.266,0.263
"P73","Algo negativa",0.051,0.024,0.08,0.133,0.156
"P73","Negativa",0.084,0.066,0.116,0.139,0.255
"P73","No sabe",0.025,0.037,0.043,0.088,0.087
"P74","Muy positivo",0.571,0.273,0.216,0.149,0.099
"P74","Positivo",0.236,0.38,0.245,0.176,0.163
"P74","Neutral",0.092,0.188,0.27,0.28,0.277
"P74","Algo negativo",0.041,0.029,0.097,0.164,0.141
"P74","Negativo",0.06,0.069,0.113,0.151,0.231
"P74","No sabe",0,0.061,0.059,0.08,0.089
"P75","Muy positivo",0.484,0.226,0.207,0.13,0.086
"P75","Positivo",0.149,0.368,0.215,0.149,0.153
"P75","Neutral",0.271,0.259,0.322,0.394,0.343
"P75","Algo negativo",0.01,0.018,0.08,0.122,0.12
"P75","Negativo",0.039,0.064,0.101,0.131,0.197
"P75","No sabe",0.047,0.065,0.075,0.074,0.101
"P76","Muy positiva",0.621,0.516,0.38,0.332,0.265
"P76","Positiva",0.152,0.239,0.233,0.219,0.162
"P76","Neutral",0.14,0.131,0.232,0.21,0.174
"P76","Algo negativa",0.015,0.04,0.062,0.051,0.098
"P76","Negativa",0.029,0.039,0.07,0.136,0.219
"P76","No sabe",0.043,0.035,0.023,0.052,0.082
"P77","Muy positivo",0.683,0.523,0.381,0.288,0.229
"P77","Positivo",0.17,0.223,0.254,0.268,0.191
"P77","Neutral",0.051,0.122,0.185,0.226,0.204
"P77","Algo negativo",0.057,0.071,0.074,0.105,0.089
"P77","Negativo",0.033,0.043,0.077,0.099,0.198
"P77","No sabe",0.006,0.018,0.029,0.014,0.089
"P78","Muy positivo",0.684,0.435,0.32,0.208,0.23
"P78","Positivo",0.119,0.245,0.249,0.247,0.149
"P78","Neutral",0.145,0.224,0.303,0.295,0.306
"P78","Algo negativo",0.008,0.032,0.039,0.084,0.071
"P78","Negativo",0.014,0.027,0.057,0.087,0.179
"P78","No sabe",0.03,0.037,0.032,0.079,0.065
"P79","Si",0.688,0.551,0.494,0.611,0.604
"P79","No",0.312,0.449,0.506,0.389,0.396
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.691,0.567,0.467,0.3,0.2
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.073,0.166,0.232,0.367,0.351
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.151,0.196,0.218,0.264,0.361
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.072,0.038,0.041,0.023,0.017
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.004,0.004,0.009,0.003,0.033
"PRESIDENTE","En blanco",0,0.012,0.012,0.015,0.019
"PRESIDENTE","No sabe",0.009,0.017,0.021,0.028,0.019
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.689,0.637,0.518,0.302,0.234
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.115,0.179,0.311,0.453,0.504
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.095,0.124,0.114,0.15,0.176
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.061,0.039,0.033,0.033,0.022
"GOBERNADOR","En blanco",0.02,0.014,0.009,0.03,0.016
"GOBERNADOR","No sabe",0.02,0.007,0.015,0.032,0.048
"CORTA_PRESIDENTE","Si",0.184,0.174,0.193,0.222,0.288
"CORTA_PRESIDENTE","No",0.816,0.826,0.807,0.778,0.712
"CORTA_GOBERNADOR","Si",0.222,0.174,0.184,0.254,0.286
"CORTA_GOBERNADOR","No",0.778,0.826,0.816,0.746,0.714
