"var","categoria","Sí, absolutamente","Sí, en cierta medida","No, en absoluto"
"P21","Algo seguro",0.071,0.108,0.133
"P21","Para nada seguro",0.043,0.068,0.037
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.079,0.059,0.155
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.052,0.084,0.367
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.239,0.304,0.175
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.265,0.221,0.097
"P32","En blanco",0.239,0.198,0.181
"P32","No sabe",0.126,0.134,0.025
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.18,0.067,0.045
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.311,0.495,0.367
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.144,0.156,0.109
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.027,0.005,0.013
"P33","En blanco",0.191,0.18,0.351
"P33","No sabe",0.147,0.097,0.115
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.357,0.071,0.08
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.256,0.476,0.322
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.198,0.3,0.074
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.008,0.006,0.008
"P34","En blanco",0.076,0.131,0.481
"P34","No sabe",0.105,0.016,0.035
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.238,0.376,0.564
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.094,0.252,0.253
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.438,0.181,0.055
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.098,0.093,0.035
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.078,0.043,0.053
"P36","No sabe",0.054,0.055,0.04
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.655,0.313,0.115
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.174,0.521,0.666
"P37","En blanco",0.098,0.089,0.164
"P37","No sabe",0.073,0.077,0.055
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.244,0.481,0.466
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.123,0.203,0.418
"P38","En blanco",0.418,0.202,0.062
"P38","No sabe",0.215,0.114,0.054
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.677,0.341,0.133
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.162,0.374,0.546
"P39","En blanco",0.079,0.165,0.22
"P39","No sabe",0.082,0.12,0.101
"P45","Lo votaría",0.694,0.295,0.078
"P45","Puede que lo vote",0.042,0.096,0.152
"P45","Nunca lo votaría",0.223,0.566,0.757
"P45","No sabe",0.041,0.043,0.013
"P46","Lo votaría",0.222,0.399,0.464
"P46","Puede que lo vote",0.081,0.135,0.168
"P46","Nunca lo votaría",0.655,0.41,0.347
"P46","No sabe",0.042,0.056,0.021
"P47","Lo votaría",0.109,0.208,0.397
"P47","Puede que lo vote",0.085,0.216,0.187
"P47","Nunca lo votaría",0.764,0.492,0.373
"P47","No sabe",0.042,0.084,0.043
"P48","Lo votaría",0.172,0.111,0.075
"P48","Puede que lo vote",0.357,0.26,0.203
"P48","Nunca lo votaría",0.399,0.569,0.694
"P48","No sabe",0.072,0.06,0.028
"P49","Lo votaría",0.11,0.067,0.048
"P49","Puede que lo vote",0.248,0.327,0.264
"P49","Nunca lo votaría",0.557,0.5,0.623
"P49","No sabe",0.085,0.106,0.065
"P50","Si",0.416,0.55,0.426
"P50","No",0.584,0.45,0.574
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.462,0.299,0.221
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.117,0.201,0.234
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.252,0.356,0.492
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.109,0.082,0.037
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.035,0.004,0.008
"P51","En blanco",0.007,0.026,0.008
"P51","No sabe",0.018,0.032,0
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.581,0.406,0.336
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.229,0.363,0.473
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.031,0.082,0.112
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.091,0.096,0.02
"P52","En blanco",0.041,0.007,0
"P52","No sabe",0.027,0.046,0.059
"P53","Sergio Massa y Javier Milei",0.631,0.415,0.318
"P53","Patricia Bullrich y Javier Milei",0.245,0.513,0.61
"P53","Sergio Massa y Patricia Bullrich",0.124,0.072,0.072
"P54","Muy buena",0.05,0.038,0.052
"P54","Buena",0.142,0.09,0.045
"P54","Regular",0.362,0.163,0.041
"P54","Mala",0.241,0.261,0.195
"P54","Muy mala",0.205,0.448,0.667
"P55","Muy buena",0.115,0.027,0.026
"P55","Buena",0.237,0.09,0.016
"P55","Regular",0.275,0.171,0.047
"P55","Mala",0.159,0.218,0.162
"P55","Muy mala",0.214,0.494,0.749
"P56","Muy buena",0.227,0.058,0.07
"P56","Buena",0.338,0.183,0.131
"P56","Regular",0.27,0.414,0.394
"P56","Mala",0.093,0.221,0.232
"P56","Muy mala",0.072,0.124,0.173
"P57","Muy buena",0.077,0.013,0.029
"P57","Buena",0.288,0.163,0.087
"P57","Regular",0.378,0.473,0.472
"P57","Mala",0.18,0.243,0.236
"P57","Muy mala",0.077,0.108,0.176
"P58","Muy buena",0.128,0.027,0.026
"P58","Buena",0.278,0.144,0.079
"P58","Regular",0.331,0.349,0.241
"P58","Mala",0.158,0.298,0.288
"P58","Muy mala",0.105,0.182,0.366
"P59","Muy buena",0.167,0.051,0.083
"P59","Buena",0.405,0.257,0.153
"P59","Regular",0.312,0.445,0.449
"P59","Mala",0.074,0.175,0.203
"P59","Muy mala",0.042,0.072,0.112
"P60","Ha aumentado significativamente",0.123,0.029,0.031
"P60","Ha aumentado ligeramente",0.227,0.217,0.142
"P60","Se mantiene igual",0.348,0.256,0.243
"P60","Ha disminuido ligeramente",0.166,0.215,0.234
"P60","Ha disminuido significativamente",0.136,0.283,0.35
"P61","Muy baja",0.065,0.024,0.034
"P61","Baja",0.069,0.089,0.043
"P61","Moderada",0.133,0.06,0.054
"P61","Alta",0.361,0.238,0.127
"P61","Muy alta",0.372,0.589,0.742
"P62","Muy bajas",0.029,0.025,0.111
"P62","Bajas",0.049,0.13,0.117
"P62","Adecuadas",0.295,0.277,0.25
"P62","Altas",0.382,0.343,0.211
"P62","Muy altas",0.245,0.225,0.311
"P63","No, ninguna dificultad",0.403,0.203,0.251
"P63","Alguna dificultad ocasional",0.238,0.518,0.214
"P63","Sí, dificultades frecuentes",0.359,0.279,0.535
"P65","Reducir la inflación",0.598,0.37,0.269
"P65","Implementar reformas fiscales",0.068,0.198,0.051
"P65","Establecer políticas de control de precios",0.179,0.078,0.148
"P65","Reducir el gasto público",0.095,0.275,0.466
"P65","Estimular la inversión extranjera",0.039,0.067,0.065
"P65","Aumentar los subsidios a los servicios públicos",0.021,0.012,0.001
"P66","Fomentar la competencia entre proveedores",0.249,0.347,0.465
"P66","Incrementar la inversión en infraestructura",0.173,0.237,0.217
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.226,0.126,0.077
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.352,0.29,0.241
"P67","Muy positiva",0.388,0.144,0.185
"P67","Positiva",0.231,0.268,0.102
"P67","Neutral",0.194,0.293,0.328
"P67","Algo negativa",0.056,0.149,0.089
"P67","Negativa",0.062,0.06,0.206
"P67","No sabe",0.069,0.086,0.09
"P68","Muy positivo",0.322,0.081,0.049
"P68","Positivo",0.276,0.223,0.09
"P68","Neutral",0.223,0.369,0.36
"P68","Algo negativo",0.022,0.157,0.128
"P68","Negativo",0.049,0.077,0.236
"P68","No sabe",0.108,0.093,0.137
"P69","Muy positivo",0.228,0.071,0.046
"P69","Positivo",0.23,0.139,0.081
"P69","Neutral",0.36,0.485,0.467
"P69","Algo negativo",0.028,0.125,0.095
"P69","Negativo",0.031,0.046,0.198
"P69","No sabe",0.123,0.134,0.113
"P70","Muy positiva",0.619,0.215,0.092
"P70","Positiva",0.184,0.287,0.174
"P70","Neutral",0.09,0.287,0.324
"P70","Algo negativa",0.038,0.101,0.151
"P70","Negativa",0.036,0.078,0.214
"P70","No sabe",0.033,0.032,0.045
"P71","Muy positivo",0.613,0.174,0.083
"P71","Positivo",0.184,0.276,0.172
"P71","Neutral",0.106,0.28,0.318
"P71","Algo negativo",0.037,0.114,0.169
"P71","Negativo",0.037,0.113,0.218
"P71","No sabe",0.023,0.043,0.04
"P72","Muy positivo",0.562,0.177,0.102
"P72","Positivo",0.197,0.329,0.166
"P72","Neutral",0.166,0.315,0.389
"P72","Algo negativo",0.012,0.06,0.116
"P72","Negativo",0.037,0.082,0.194
"P72","No sabe",0.026,0.037,0.033
"P73","Muy positiva",0.447,0.125,0.044
"P73","Positiva",0.31,0.244,0.095
"P73","Neutral",0.121,0.327,0.285
"P73","Algo negativa",0.033,0.105,0.188
"P73","Negativa",0.044,0.144,0.3
"P73","No sabe",0.045,0.055,0.088
"P74","Muy positivo",0.384,0.12,0.027
"P74","Positivo",0.33,0.249,0.069
"P74","Neutral",0.178,0.316,0.274
"P74","Algo negativo",0.024,0.114,0.228
"P74","Negativo",0.039,0.123,0.316
"P74","No sabe",0.045,0.078,0.086
"P75","Muy positivo",0.338,0.111,0.018
"P75","Positivo",0.292,0.242,0.04
"P75","Neutral",0.253,0.385,0.381
"P75","Algo negativo",0.022,0.075,0.186
"P75","Negativo",0.047,0.091,0.27
"P75","No sabe",0.048,0.096,0.105
"P76","Muy positiva",0.589,0.285,0.163
"P76","Positiva",0.221,0.258,0.131
"P76","Neutral",0.11,0.205,0.307
"P76","Algo negativa",0.021,0.078,0.107
"P76","Negativa",0.028,0.097,0.256
"P76","No sabe",0.031,0.077,0.036
"P77","Muy positivo",0.564,0.271,0.198
"P77","Positivo",0.259,0.266,0.136
"P77","Neutral",0.097,0.207,0.27
"P77","Algo negativo",0.025,0.115,0.144
"P77","Negativo",0.033,0.093,0.212
"P77","No sabe",0.022,0.048,0.04
"P78","Muy positivo",0.488,0.229,0.18
"P78","Positivo",0.234,0.23,0.168
"P78","Neutral",0.204,0.334,0.321
"P78","Algo negativo",0.013,0.067,0.099
"P78","Negativo",0.03,0.063,0.184
"P78","No sabe",0.031,0.077,0.048
"P79","Si",0.597,0.553,0.532
"P79","No",0.403,0.447,0.468
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.631,0.321,0.12
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.135,0.316,0.413
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.154,0.278,0.394
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.042,0.038,0.022
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.022,0.002,0.009
"PRESIDENTE","En blanco",0.004,0.021,0.023
"PRESIDENTE","No sabe",0.012,0.024,0.019
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.663,0.35,0.163
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.19,0.425,0.519
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.074,0.137,0.25
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.043,0.044,0.011
"GOBERNADOR","En blanco",0.016,0.01,0.029
"GOBERNADOR","No sabe",0.014,0.034,0.028
"CORTA_PRESIDENTE","Si",0.182,0.272,0.231
"CORTA_PRESIDENTE","No",0.818,0.728,0.769
"CORTA_GOBERNADOR","Si",0.196,0.274,0.223
"CORTA_GOBERNADOR","No",0.804,0.726,0.777
