"var","categoria","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.","En blanco","No sabe"
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.048,0.165,0.382,0.066,0,0.017
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0,0.018,0.043,0.412,0,0
"P34","En blanco",0.195,0.051,0.278,0,0,0.54
"P34","No sabe",0.023,0.056,0.005,0,0,0
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.34,0.512,0.272,0.312,0.065,0.332
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.188,0.284,0.186,0.098,0.107,0.266
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.276,0.111,0.068,0.322,0.356,0.182
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.066,0.037,0.215,0.189,0.243,0.086
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.059,0.022,0.135,0.056,0,0.102
"P36","No sabe",0.071,0.034,0.124,0.023,0.229,0.032
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.543,0.116,0.085,0.731,0.227,0.283
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.277,0.734,0.387,0.034,0.163,0.125
"P37","En blanco",0.13,0.087,0.318,0.051,0.031,0.468
"P37","No sabe",0.05,0.063,0.21,0.184,0.579,0.124
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.323,0.536,0.174,0.118,0.168,0.478
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.242,0.301,0.564,0.159,0.026,0.021
"P38","En blanco",0.27,0.056,0.186,0.424,0.238,0.372
"P38","No sabe",0.165,0.107,0.076,0.299,0.568,0.129
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.55,0.194,0.099,0.641,0.264,0.292
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.296,0.511,0.564,0.088,0.053,0.112
"P39","En blanco",0.083,0.157,0.283,0.11,0.067,0.324
"P39","No sabe",0.071,0.138,0.054,0.161,0.616,0.272
"P45","Lo votaría",0.541,0.118,0.091,0.548,0.259,0.421
"P45","Puede que lo vote",0.078,0.138,0.267,0.172,0.036,0.023
"P45","Nunca lo votaría",0.333,0.656,0.529,0.268,0.311,0.514
"P45","No sabe",0.048,0.088,0.113,0.012,0.394,0.042
"P46","Lo votaría",0.273,0.56,0.146,0.134,0.178,0.374
"P46","Puede que lo vote",0.152,0.188,0.287,0.113,0.219,0.106
"P46","Nunca lo votaría",0.508,0.214,0.391,0.742,0.238,0.472
"P46","No sabe",0.067,0.038,0.176,0.011,0.365,0.048
"P47","Lo votaría",0.182,0.288,0.244,0.047,0.059,0.256
"P47","Puede que lo vote",0.185,0.265,0.311,0.039,0.055,0.125
"P47","Nunca lo votaría",0.543,0.361,0.355,0.862,0.782,0.556
"P47","No sabe",0.09,0.086,0.09,0.052,0.104,0.063
"P48","Lo votaría",0.174,0.087,0.107,0.422,0.349,0.182
"P48","Puede que lo vote",0.313,0.217,0.251,0.328,0.064,0.211
"P48","Nunca lo votaría",0.468,0.628,0.449,0.242,0.41,0.573
"P48","No sabe",0.045,0.068,0.193,0.008,0.177,0.034
"P49","Lo votaría",0.155,0.105,0.093,0.254,0.083,0.153
"P49","Puede que lo vote",0.231,0.261,0.446,0.32,0.076,0.225
"P49","Nunca lo votaría",0.512,0.523,0.366,0.395,0.644,0.577
"P49","No sabe",0.102,0.111,0.095,0.031,0.197,0.045
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.631,0.003,0.016,0.027,0.328,0.334
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0,0.442,0.092,0,0,0.097
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.3,0.512,0.841,0.061,0.358,0.316
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.047,0,0,0.829,0,0
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.016,0.031,0,0,0.096,0
"P51","En blanco",0.004,0,0.043,0,0.045,0.15
"P51","No sabe",0.002,0.012,0.008,0.083,0.173,0.103
"P53","Sergio Massa y Javier Milei",0.66,0.411,0.709,0.726,0.634,0.68
"P53","Patricia Bullrich y Javier Milei",0.24,0.529,0.216,0.179,0.333,0.183
"P53","Sergio Massa y Patricia Bullrich",0.1,0.06,0.075,0.095,0.033,0.137
"P54","Muy buena",0.042,0.012,0.077,0.092,0.028,0.121
"P54","Buena",0.083,0.018,0.038,0.118,0.582,0.063
"P54","Regular",0.28,0.084,0.053,0.142,0.06,0.147
"P54","Mala",0.254,0.339,0.225,0.357,0.079,0.195
"P54","Muy mala",0.341,0.547,0.607,0.291,0.251,0.474
"P55","Muy buena",0.068,0.004,0.03,0.033,0.573,0.13
"P55","Buena",0.148,0.02,0.034,0.188,0,0.101
"P55","Regular",0.228,0.082,0.034,0.426,0.052,0.066
"P55","Mala",0.203,0.231,0.171,0.223,0.093,0.251
"P55","Muy mala",0.353,0.663,0.731,0.13,0.282,0.452
"P56","Muy buena",0.129,0.04,0.014,0.099,0.566,0.114
"P56","Buena",0.251,0.136,0.072,0.327,0.072,0.193
"P56","Regular",0.355,0.41,0.288,0.275,0.032,0.42
"P56","Mala",0.193,0.277,0.314,0.248,0.246,0.178
"P56","Muy mala",0.072,0.137,0.312,0.051,0.084,0.095
"P57","Muy buena",0.053,0.004,0.02,0.087,0,0.167
"P57","Buena",0.228,0.125,0.096,0.089,0.316,0.119
"P57","Regular",0.413,0.493,0.313,0.466,0.474,0.449
"P57","Mala",0.208,0.225,0.318,0.349,0.178,0.168
"P57","Muy mala",0.098,0.153,0.253,0.009,0.032,0.097
"P58","Muy buena",0.077,0.016,0.053,0.029,0.262,0.228
"P58","Buena",0.197,0.087,0.043,0.195,0.376,0.088
"P58","Regular",0.337,0.327,0.338,0.306,0.074,0.357
"P58","Mala",0.215,0.278,0.18,0.364,0.231,0.215
"P58","Muy mala",0.174,0.292,0.386,0.106,0.057,0.112
"P59","Muy buena",0.128,0.052,0.021,0.165,0,0.065
"P59","Buena",0.286,0.144,0.153,0.349,0.646,0.158
"P59","Regular",0.419,0.504,0.242,0.298,0.165,0.438
"P59","Mala",0.11,0.173,0.321,0.185,0.156,0.259
"P59","Muy mala",0.057,0.127,0.263,0.003,0.033,0.08
"P60","Ha aumentado significativamente",0.075,0.025,0.103,0.144,0.254,0.052
"P60","Ha aumentado ligeramente",0.222,0.096,0.213,0.224,0.067,0.035
"P60","Se mantiene igual",0.302,0.266,0.191,0.337,0.109,0.196
"P60","Ha disminuido ligeramente",0.157,0.234,0.092,0.23,0.353,0.264
"P60","Ha disminuido significativamente",0.244,0.379,0.401,0.065,0.217,0.453
"P61","Muy baja",0.089,0.043,0.1,0.018,0.034,0.025
"P61","Baja",0.066,0.035,0.064,0.017,0,0.031
"P61","Moderada",0.121,0.036,0.111,0.108,0,0.029
"P61","Alta",0.263,0.104,0.048,0.421,0.37,0.256
"P61","Muy alta",0.461,0.782,0.677,0.436,0.596,0.659
"P62","Muy bajas",0.061,0.057,0.062,0.012,0.034,0.048
"P62","Bajas",0.071,0.117,0.051,0.017,0.002,0.13
"P62","Adecuadas",0.255,0.222,0.324,0.369,0.276,0.109
"P62","Altas",0.369,0.255,0.179,0.443,0.443,0.273
"P62","Muy altas",0.244,0.349,0.384,0.159,0.245,0.44
"P63","No, ninguna dificultad",0.307,0.283,0.095,0.18,0.447,0.37
"P63","Alguna dificultad ocasional",0.287,0.293,0.441,0.408,0.4,0.295
"P63","Sí, dificultades frecuentes",0.406,0.424,0.464,0.412,0.153,0.335
"P64","Sí, absolutamente",0.533,0.297,0.2,0.498,0.873,0.286
"P64","Sí, en cierta medida",0.316,0.401,0.448,0.447,0.126,0.411
"P64","No, en absoluto",0.151,0.302,0.352,0.055,0.001,0.303
"P65","Reducir la inflación",0.487,0.421,0.332,0.421,0.514,0.385
"P65","Implementar reformas fiscales",0.096,0.067,0.035,0.299,0,0.201
"P65","Establecer políticas de control de precios",0.081,0.064,0.227,0.115,0.404,0.057
"P65","Reducir el gasto público",0.201,0.357,0.396,0.131,0.082,0.275
"P65","Estimular la inversión extranjera",0.117,0.032,0.01,0.027,0,0.054
"P65","Aumentar los subsidios a los servicios públicos",0.018,0.059,0,0.007,0,0.028
"P66","Fomentar la competencia entre proveedores",0.287,0.46,0.355,0.391,0.143,0.493
"P66","Incrementar la inversión en infraestructura",0.168,0.167,0.068,0.177,0.06,0.196
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.148,0.136,0.15,0.147,0.426,0.001
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.397,0.237,0.427,0.285,0.371,0.31
"P67","Muy positiva",0.254,0.118,0.155,0.142,0.263,0.184
"P67","Positiva",0.206,0.165,0.189,0.288,0.45,0.345
"P67","Neutral",0.297,0.333,0.223,0.356,0.047,0.116
"P67","Algo negativa",0.123,0.105,0.307,0.055,0.073,0.144
"P67","Negativa",0.051,0.159,0.03,0.024,0,0.131
"P67","No sabe",0.069,0.12,0.096,0.135,0.167,0.08
"P68","Muy positivo",0.203,0.033,0.112,0.197,0.051,0.113
"P68","Positivo",0.194,0.133,0.135,0.34,0.504,0.179
"P68","Neutral",0.334,0.423,0.365,0.255,0.073,0.309
"P68","Algo negativo",0.082,0.11,0.214,0.105,0.068,0.199
"P68","Negativo",0.063,0.128,0.02,0.028,0,0.148
"P68","No sabe",0.124,0.173,0.154,0.075,0.304,0.052
"P69","Muy positivo",0.095,0.022,0.005,0.242,0.043,0.1
"P69","Positivo",0.162,0.071,0.15,0.128,0.454,0.138
"P69","Neutral",0.484,0.546,0.412,0.554,0.151,0.492
"P69","Algo negativo",0.061,0.07,0.231,0,0.029,0.047
"P69","Negativo",0.054,0.086,0.064,0.025,0,0.099
"P69","No sabe",0.144,0.205,0.138,0.051,0.323,0.124
"P70","Muy positiva",0.409,0.146,0.113,0.47,0.582,0.256
"P70","Positiva",0.302,0.24,0.181,0.289,0.056,0.14
"P70","Neutral",0.159,0.299,0.314,0.169,0.058,0.511
"P70","Algo negativa",0.061,0.136,0.164,0.012,0.018,0.084
"P70","Negativa",0.047,0.094,0.192,0.021,0.064,0
"P70","No sabe",0.022,0.085,0.036,0.039,0.222,0.009
"P71","Muy positivo",0.401,0.133,0.133,0.312,0.504,0.234
"P71","Positivo",0.269,0.211,0.262,0.135,0.028,0.1
"P71","Neutral",0.203,0.328,0.241,0.265,0.156,0.416
"P71","Algo negativo",0.06,0.15,0.201,0.007,0.029,0.085
"P71","Negativo",0.042,0.102,0.135,0.184,0.064,0.165
"P71","No sabe",0.025,0.076,0.028,0.097,0.219,0
"P72","Muy positivo",0.367,0.176,0.111,0.221,0.063,0.256
"P72","Positivo",0.28,0.251,0.372,0.454,0.566,0.063
"P72","Neutral",0.219,0.406,0.272,0.302,0.063,0.358
"P72","Algo negativo",0.046,0.058,0.146,0,0,0.251
"P72","Negativo",0.05,0.068,0.086,0,0.091,0.072
"P72","No sabe",0.038,0.041,0.013,0.023,0.217,0
"P73","Muy positiva",0.251,0.087,0.084,0.236,0.086,0.152
"P73","Positiva",0.3,0.211,0.235,0.385,0.459,0.092
"P73","Neutral",0.225,0.264,0.281,0.184,0.155,0.478
"P73","Algo negativa",0.078,0.162,0.211,0.056,0.236,0.019
"P73","Negativa",0.086,0.187,0.167,0.09,0.064,0.205
"P73","No sabe",0.06,0.089,0.022,0.049,0,0.054
"P74","Muy positivo",0.229,0.102,0.184,0.101,0,0.074
"P74","Positivo",0.287,0.174,0.252,0.403,0.602,0.209
"P74","Neutral",0.247,0.326,0.293,0.17,0.171,0.555
"P74","Algo negativo",0.081,0.142,0.093,0.055,0.094,0.025
"P74","Negativo",0.068,0.177,0.152,0.005,0.102,0.137
"P74","No sabe",0.088,0.079,0.026,0.266,0.031,0
"P75","Muy positivo",0.198,0.117,0.183,0.066,0,0.141
"P75","Positivo",0.297,0.174,0.177,0.239,0.023,0.206
"P75","Neutral",0.303,0.338,0.336,0.519,0.806,0.577
"P75","Algo negativo",0.055,0.121,0.067,0.046,0.037,0
"P75","Negativo",0.059,0.147,0.194,0.01,0.076,0.076
"P75","No sabe",0.088,0.103,0.043,0.12,0.058,0
"P76","Muy positiva",0.435,0.258,0.377,0.28,0.623,0.298
"P76","Positiva",0.205,0.256,0.282,0.511,0.203,0.259
"P76","Neutral",0.201,0.233,0.08,0.061,0,0.384
"P76","Algo negativa",0.072,0.057,0.026,0.009,0.042,0.059
"P76","Negativa",0.045,0.09,0.209,0.047,0.101,0
"P76","No sabe",0.042,0.106,0.026,0.092,0.031,0
"P77","Muy positivo",0.427,0.165,0.448,0.263,0.612,0.233
"P77","Positivo",0.227,0.35,0.264,0.395,0.157,0.417
"P77","Neutral",0.184,0.185,0.087,0.199,0.105,0.105
"P77","Algo negativo",0.101,0.088,0.022,0,0.048,0.118
"P77","Negativo",0.045,0.122,0.098,0.041,0.078,0.127
"P77","No sabe",0.016,0.09,0.081,0.102,0,0
"P78","Muy positivo",0.338,0.17,0.455,0.25,0,0.215
"P78","Positivo",0.233,0.296,0.202,0.216,0.759,0.412
"P78","Neutral",0.286,0.334,0.176,0.424,0.111,0.291
"P78","Algo negativo",0.074,0.039,0,0.009,0.05,0.082
"P78","Negativo",0.032,0.087,0.092,0,0.08,0
"P78","No sabe",0.037,0.074,0.075,0.101,0,0
"P79","Si",0.575,0.502,0.498,0.271,0.156,0.562
"P79","No",0.425,0.498,0.502,0.729,0.844,0.438
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.631,0.003,0.016,0.027,0.328,0.334
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0,0.442,0.092,0,0,0.097
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.3,0.512,0.841,0.061,0.358,0.316
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.047,0,0,0.829,0,0
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.016,0.031,0,0,0.096,0
"PRESIDENTE","En blanco",0.004,0,0.043,0,0.045,0.15
"PRESIDENTE","No sabe",0.002,0.012,0.008,0.083,0.173,0.103
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",1,0,0,0,0,0
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0,1,0,0,0,0
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0,0,1,0,0,0
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0,0,0,1,0,0
"GOBERNADOR","En blanco",0,0,0,0,1,0
"GOBERNADOR","No sabe",0,0,0,0,0,1
"CORTA_PRESIDENTE","Si",0.426,0.476,0.409,0.982,0.624,0.519
"CORTA_PRESIDENTE","No",0.574,0.524,0.591,0.018,0.376,0.481
"CORTA_GOBERNADOR","Si",0.467,0.425,0.556,0.856,0.968,0.902
"CORTA_GOBERNADOR","No",0.533,0.575,0.444,0.144,0.032,0.098
