"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","Rubén Sobrero a gobernador por el Frente de Izquierda","En blanco"
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria.",1,0,0,0,0
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0
"P19_imputada","Rubén Sobrero a gobernador por el Frente de Izquierda",0,0,0,1,0
"P19_imputada","En blanco",0,0,0,0,1
"P22_imputada","Federico Meca a intendente por Unión por la Patria.",0.503,0.096,0.034,0.058,0.092
"P22_imputada","Ramón Lanus a intendente por Juntos por el Cambio",0.208,0.719,0.586,0.309,0.07
"P22_imputada","Rodolfo Paolucci a intendente por la Libertad Avanza",0.132,0.153,0.322,0,0
"P22_imputada","Camila Paiz a intendenta por el Frente de Izquierda",0.123,0.004,0.02,0.633,0
"P22_imputada","En blanco",0.034,0.028,0.038,0,0.838
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.615,0.079,0.08,0.393,0.02
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.134,0.642,0.211,0.127,0.036
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.107,0.229,0.647,0,0
"PRESIDENTE_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.117,0.002,0.017,0.383,0.068
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.022,0.021,0.042,0,0.57
"PRESIDENTE_imputada","En blanco",0.005,0.027,0.003,0.097,0.306
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",1,0,0,0,0
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0
"GOBERNADOR_imputada","Rubén Sobrero a gobernador por el Frente de Izquierda",0,0,0,1,0
"GOBERNADOR_imputada","En blanco",0,0,0,0,1
"INTENDENTE_imputada","Federico Meca a intendente por Unión por la Patria.",0.503,0.096,0.034,0.058,0.092
"INTENDENTE_imputada","Ramón Lanus a intendente por Juntos por el Cambio",0.208,0.719,0.586,0.309,0.07
"INTENDENTE_imputada","Rodolfo Paolucci a intendente por la Libertad Avanza",0.132,0.153,0.322,0,0
"INTENDENTE_imputada","Camila Paiz a intendenta por el Frente de Izquierda",0.123,0.004,0.02,0.633,0
"INTENDENTE_imputada","En blanco",0.034,0.028,0.038,0,0.838
