"var","categoria","Ha aumentado significativamente","Ha aumentado ligeramente","Se mantiene igual","Ha disminuido ligeramente","Ha disminuido significativamente"
"P31","En blanco",0.2,0.016,0.019,0.045,0.222
"P31","No sabe",0,0.033,0.037,0.023,0.168
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.241,0.263,0.34,0.447,0.525
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.151,0.177,0.195,0.197,0.207
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.408,0.347,0.273,0.208,0.095
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.125,0.091,0.084,0.073,0.064
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.044,0.062,0.063,0.032,0.052
"P36","No sabe",0.031,0.06,0.045,0.043,0.057
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.773,0.574,0.427,0.295,0.163
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.128,0.252,0.405,0.479,0.608
"P37","En blanco",0.071,0.118,0.109,0.126,0.131
"P37","No sabe",0.028,0.056,0.059,0.1,0.098
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.29,0.263,0.375,0.422,0.47
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.162,0.225,0.233,0.256,0.331
"P38","En blanco",0.394,0.392,0.261,0.201,0.1
"P38","No sabe",0.154,0.12,0.131,0.121,0.099
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.722,0.556,0.447,0.337,0.187
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.18,0.269,0.334,0.363,0.469
"P39","En blanco",0.056,0.105,0.121,0.178,0.219
"P39","No sabe",0.042,0.07,0.098,0.122,0.125
"P40","Lo votaría",0.731,0.558,0.422,0.303,0.142
"P40","Puede que lo vote",0.082,0.072,0.122,0.09,0.107
"P40","Nunca lo votaría",0.16,0.334,0.404,0.546,0.709
"P40","No sabe",0.027,0.036,0.052,0.061,0.042
"P41","Lo votaría",0.211,0.221,0.307,0.405,0.423
"P41","Puede que lo vote",0.09,0.119,0.149,0.156,0.174
"P41","Nunca lo votaría",0.667,0.605,0.508,0.384,0.35
"P41","No sabe",0.032,0.055,0.036,0.055,0.053
"P42","Lo votaría",0.164,0.191,0.231,0.28,0.337
"P42","Puede que lo vote",0.073,0.131,0.17,0.177,0.191
"P42","Nunca lo votaría",0.744,0.627,0.553,0.479,0.413
"P42","No sabe",0.019,0.051,0.046,0.064,0.059
"P43","Lo votaría",0.166,0.097,0.105,0.087,0.092
"P43","Puede que lo vote",0.337,0.303,0.236,0.224,0.204
"P43","Nunca lo votaría",0.461,0.543,0.58,0.601,0.656
"P43","No sabe",0.036,0.057,0.079,0.088,0.048
"P44","Lo votaría",0.165,0.069,0.099,0.104,0.071
"P44","Puede que lo vote",0.277,0.296,0.274,0.243,0.235
"P44","Nunca lo votaría",0.503,0.553,0.553,0.546,0.616
"P44","No sabe",0.055,0.082,0.074,0.107,0.078
"P53","Sergio Massa y Javier Milei",0.697,0.572,0.462,0.334,0.277
"P53","Patricia Bullrich y Javier Milei",0.142,0.305,0.385,0.482,0.601
"P53","Sergio Massa y Patricia Bullrich",0.161,0.123,0.153,0.184,0.122
"P54","Muy buena",0.19,0.105,0.055,0.041,0.026
"P54","Buena",0.204,0.137,0.143,0.062,0.071
"P54","Regular",0.297,0.308,0.272,0.125,0.036
"P54","Mala",0.19,0.191,0.235,0.356,0.206
"P54","Muy mala",0.119,0.259,0.295,0.416,0.661
"P55","Muy buena",0.2,0.045,0.033,0.028,0.014
"P55","Buena",0.255,0.238,0.148,0.051,0.018
"P55","Regular",0.251,0.258,0.231,0.16,0.05
"P55","Mala",0.165,0.177,0.227,0.305,0.181
"P55","Muy mala",0.129,0.282,0.361,0.456,0.737
"P56","Muy buena",0.335,0.141,0.105,0.051,0.055
"P56","Buena",0.288,0.355,0.244,0.176,0.113
"P56","Regular",0.226,0.291,0.411,0.375,0.348
"P56","Mala",0.094,0.141,0.14,0.259,0.252
"P56","Muy mala",0.057,0.072,0.1,0.139,0.232
"P57","Muy buena",0.219,0.068,0.039,0.008,0.014
"P57","Buena",0.371,0.359,0.23,0.126,0.043
"P57","Regular",0.259,0.419,0.537,0.46,0.337
"P57","Mala",0.11,0.113,0.151,0.287,0.321
"P57","Muy mala",0.041,0.041,0.043,0.119,0.285
"P58","Muy buena",0.336,0.113,0.034,0.018,0.013
"P58","Buena",0.289,0.342,0.234,0.113,0.033
"P58","Regular",0.205,0.345,0.445,0.31,0.16
"P58","Mala",0.13,0.127,0.21,0.41,0.316
"P58","Muy mala",0.04,0.073,0.077,0.149,0.478
"P59","Muy buena",0.535,0.11,0.077,0.039,0.063
"P59","Buena",0.273,0.556,0.302,0.213,0.12
"P59","Regular",0.148,0.253,0.548,0.41,0.353
"P59","Mala",0.031,0.055,0.058,0.297,0.23
"P59","Muy mala",0.013,0.026,0.015,0.041,0.234
"P61","Muy baja",0.239,0.022,0.027,0.044,0.041
"P61","Baja",0.039,0.182,0.041,0.04,0.028
"P61","Moderada",0.135,0.093,0.221,0.023,0.006
"P61","Alta",0.367,0.32,0.26,0.39,0.066
"P61","Muy alta",0.22,0.383,0.451,0.503,0.859
"P62","Muy bajas",0.13,0.038,0.042,0.043,0.052
"P62","Bajas",0.086,0.145,0.086,0.111,0.078
"P62","Adecuadas",0.344,0.328,0.262,0.228,0.161
"P62","Altas",0.309,0.318,0.364,0.337,0.27
"P62","Muy altas",0.131,0.171,0.246,0.281,0.439
"P63","No, ninguna dificultad",0.616,0.447,0.331,0.195,0.126
"P63","Alguna dificultad ocasional",0.185,0.316,0.373,0.329,0.293
"P63","Sí, dificultades frecuentes",0.199,0.237,0.296,0.476,0.581
"P64","Sí, absolutamente",0.736,0.513,0.471,0.398,0.292
"P64","Sí, en cierta medida",0.162,0.32,0.322,0.337,0.365
"P64","No, en absoluto",0.102,0.167,0.207,0.265,0.343
"P65","Reducir la inflación",0.538,0.407,0.455,0.46,0.383
"P65","Implementar reformas fiscales",0.102,0.141,0.122,0.1,0.09
"P65","Establecer políticas de control de precios",0.243,0.191,0.168,0.097,0.09
"P65","Reducir el gasto público",0.086,0.191,0.215,0.286,0.373
"P65","Estimular la inversión extranjera",0.018,0.059,0.029,0.042,0.046
"P65","Aumentar los subsidios a los servicios públicos",0.013,0.011,0.011,0.015,0.018
"P66","Fomentar la competencia entre proveedores",0.343,0.287,0.346,0.372,0.452
"P66","Incrementar la inversión en infraestructura",0.189,0.258,0.209,0.209,0.183
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.193,0.171,0.17,0.156,0.06
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.275,0.284,0.275,0.263,0.305
"P67","Muy positiva",0.551,0.309,0.216,0.154,0.13
"P67","Positiva",0.205,0.283,0.21,0.177,0.146
"P67","Neutral",0.114,0.204,0.293,0.322,0.265
"P67","Algo negativa",0.075,0.074,0.101,0.141,0.129
"P67","Negativa",0.031,0.067,0.086,0.098,0.207
"P67","No sabe",0.024,0.063,0.094,0.108,0.123
"P68","Muy positivo",0.392,0.229,0.164,0.093,0.051
"P68","Positivo",0.301,0.31,0.215,0.19,0.118
"P68","Neutral",0.171,0.244,0.335,0.323,0.328
"P68","Algo negativo",0.038,0.064,0.086,0.145,0.135
"P68","Negativo",0.058,0.059,0.103,0.11,0.225
"P68","No sabe",0.04,0.094,0.097,0.139,0.143
"P69","Muy positivo",0.323,0.136,0.121,0.076,0.022
"P69","Positivo",0.292,0.25,0.156,0.123,0.089
"P69","Neutral",0.238,0.41,0.485,0.451,0.4
"P69","Algo negativo",0.044,0.046,0.063,0.122,0.124
"P69","Negativo",0.04,0.036,0.064,0.078,0.19
"P69","No sabe",0.063,0.122,0.111,0.15,0.175
"P70","Muy positiva",0.661,0.422,0.356,0.234,0.154
"P70","Positiva",0.181,0.265,0.199,0.199,0.195
"P70","Neutral",0.086,0.176,0.27,0.251,0.301
"P70","Algo negativa",0.026,0.037,0.07,0.145,0.104
"P70","Negativa",0.045,0.061,0.065,0.114,0.205
"P70","No sabe",0.001,0.039,0.04,0.057,0.041
"P71","Muy positivo",0.67,0.449,0.341,0.232,0.136
"P71","Positivo",0.174,0.259,0.235,0.199,0.194
"P71","Neutral",0.094,0.166,0.228,0.228,0.294
"P71","Algo negativo",0.016,0.037,0.075,0.163,0.12
"P71","Negativo",0.043,0.063,0.073,0.136,0.214
"P71","No sabe",0.003,0.026,0.048,0.042,0.042
"P72","Muy positivo",0.633,0.399,0.323,0.216,0.135
"P72","Positivo",0.175,0.294,0.245,0.212,0.212
"P72","Neutral",0.126,0.213,0.293,0.307,0.339
"P72","Algo negativo",0.009,0.02,0.043,0.106,0.075
"P72","Negativo",0.051,0.049,0.064,0.119,0.18
"P72","No sabe",0.006,0.025,0.032,0.04,0.059
"P73","Muy positiva",0.547,0.286,0.22,0.14,0.089
"P73","Positiva",0.223,0.351,0.251,0.227,0.116
"P73","Neutral",0.09,0.203,0.262,0.274,0.266
"P73","Algo negativa",0.055,0.049,0.085,0.123,0.136
"P73","Negativa",0.06,0.071,0.099,0.147,0.294
"P73","No sabe",0.025,0.04,0.083,0.089,0.099
"P74","Muy positivo",0.505,0.245,0.193,0.125,0.083
"P74","Positivo",0.258,0.319,0.244,0.208,0.114
"P74","Neutral",0.106,0.237,0.274,0.309,0.256
"P74","Algo negativo",0.054,0.057,0.112,0.137,0.144
"P74","Negativo",0.054,0.073,0.106,0.144,0.311
"P74","No sabe",0.023,0.069,0.071,0.077,0.092
"P75","Muy positivo",0.407,0.203,0.157,0.125,0.066
"P75","Positivo",0.241,0.293,0.215,0.172,0.112
"P75","Neutral",0.232,0.342,0.337,0.379,0.355
"P75","Algo negativo",0.025,0.031,0.097,0.122,0.127
"P75","Negativo",0.048,0.07,0.106,0.122,0.239
"P75","No sabe",0.047,0.061,0.088,0.08,0.101
"P76","Muy positiva",0.609,0.467,0.35,0.27,0.237
"P76","Positiva",0.186,0.227,0.229,0.236,0.18
"P76","Neutral",0.123,0.17,0.215,0.228,0.19
"P76","Algo negativa",0.018,0.047,0.066,0.082,0.11
"P76","Negativa",0.032,0.052,0.085,0.123,0.22
"P76","No sabe",0.032,0.037,0.055,0.061,0.063
"P77","Muy positivo",0.655,0.452,0.352,0.266,0.209
"P77","Positivo",0.19,0.239,0.245,0.256,0.186
"P77","Neutral",0.066,0.141,0.178,0.242,0.207
"P77","Algo negativo",0.043,0.081,0.074,0.096,0.112
"P77","Negativo",0.037,0.056,0.094,0.109,0.212
"P77","No sabe",0.009,0.031,0.057,0.031,0.074
"P78","Muy positivo",0.645,0.393,0.287,0.218,0.184
"P78","Positivo",0.185,0.222,0.217,0.218,0.181
"P78","Neutral",0.118,0.248,0.32,0.342,0.302
"P78","Algo negativo",0.009,0.056,0.05,0.08,0.076
"P78","Negativo",0.025,0.04,0.072,0.082,0.183
"P78","No sabe",0.018,0.041,0.054,0.06,0.074
"P79","Si",0.624,0.563,0.511,0.552,0.524
"P79","No",0.376,0.437,0.489,0.448,0.476
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.642,0.533,0.401,0.284,0.159
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.098,0.211,0.268,0.365,0.395
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.169,0.19,0.237,0.256,0.336
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.043,0.021,0.03,0.03,0.025
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.023,0.009,0.021,0.013,0.022
"PRESIDENTE","En blanco",0.019,0.016,0.024,0.026,0.024
"PRESIDENTE","No sabe",0.006,0.02,0.019,0.026,0.039
