"var","categoria","Fomentar la competencia entre proveedores","Incrementar la inversión en infraestructura","Implementar políticas de subsidios focalizados en grupos vulnerables","Realizar auditorías periódicas a las empresas de servicios públicos"
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.141,0.12,0.361,0.068
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.429,0.284,0.124,0.392
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.152,0.196,0.188,0.175
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.014,0.024,0.007,0.018
"P25","En blanco",0.16,0.275,0.188,0.224
"P25","No sabe",0.104,0.101,0.132,0.123
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.111,0.178,0.293,0.128
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.401,0.448,0.346,0.518
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.166,0.125,0.287,0.093
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.031,0.008,0.011,0.016
"P28","En blanco",0.235,0.212,0.056,0.207
"P28","No sabe",0.056,0.029,0.007,0.038
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.484,0.005,0.074,0.304
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.312,0.429,0.078,0.292
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.045,0.179,0.03,0.058
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.004,0.003,0.803,0.003
"P31","En blanco",0.141,0.003,0,0.336
"P31","No sabe",0.014,0.381,0.015,0.007
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.488,0.363,0.201,0.332
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.214,0.233,0.149,0.153
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.164,0.238,0.39,0.289
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.057,0.074,0.136,0.104
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.036,0.052,0.07,0.073
"P36","No sabe",0.041,0.04,0.054,0.049
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.295,0.392,0.64,0.438
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.477,0.466,0.203,0.378
"P37","En blanco",0.154,0.095,0.078,0.114
"P37","No sabe",0.074,0.047,0.079,0.07
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.399,0.432,0.285,0.322
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.348,0.224,0.115,0.228
"P38","En blanco",0.169,0.241,0.384,0.313
"P38","No sabe",0.084,0.103,0.216,0.137
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.294,0.427,0.664,0.433
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.473,0.317,0.138,0.314
"P39","En blanco",0.152,0.17,0.09,0.14
"P39","No sabe",0.081,0.086,0.108,0.113
"P40","Lo votaría",0.267,0.408,0.636,0.417
"P40","Puede que lo vote",0.126,0.087,0.065,0.087
"P40","Nunca lo votaría",0.561,0.467,0.242,0.458
"P40","No sabe",0.046,0.038,0.057,0.038
"P41","Lo votaría",0.355,0.394,0.198,0.3
"P41","Puede que lo vote",0.172,0.138,0.109,0.116
"P41","Nunca lo votaría",0.436,0.426,0.625,0.544
"P41","No sabe",0.037,0.042,0.068,0.04
"P42","Lo votaría",0.363,0.213,0.101,0.214
"P42","Puede que lo vote",0.171,0.18,0.091,0.164
"P42","Nunca lo votaría",0.423,0.552,0.754,0.576
"P42","No sabe",0.043,0.055,0.054,0.046
"P43","Lo votaría",0.096,0.091,0.089,0.135
"P43","Puede que lo vote",0.18,0.268,0.295,0.277
"P43","Nunca lo votaría",0.668,0.572,0.538,0.53
"P43","No sabe",0.056,0.069,0.078,0.058
"P44","Lo votaría",0.1,0.08,0.068,0.091
"P44","Puede que lo vote",0.225,0.319,0.3,0.251
"P44","Nunca lo votaría",0.605,0.534,0.514,0.575
"P44","No sabe",0.07,0.067,0.118,0.083
"P53","Sergio Massa y Javier Milei",0.396,0.392,0.577,0.446
"P53","Patricia Bullrich y Javier Milei",0.479,0.445,0.264,0.388
"P53","Sergio Massa y Patricia Bullrich",0.125,0.163,0.159,0.166
"P54","Muy buena",0.076,0.055,0.11,0.052
"P54","Buena",0.096,0.117,0.102,0.133
"P54","Regular",0.128,0.203,0.396,0.203
"P54","Mala",0.219,0.245,0.188,0.262
"P54","Muy mala",0.481,0.38,0.204,0.35
"P55","Muy buena",0.051,0.025,0.074,0.039
"P55","Buena",0.073,0.154,0.191,0.138
"P55","Regular",0.122,0.179,0.351,0.207
"P55","Mala",0.229,0.243,0.183,0.181
"P55","Muy mala",0.525,0.399,0.201,0.435
"P56","Muy buena",0.115,0.094,0.149,0.089
"P56","Buena",0.2,0.256,0.31,0.221
"P56","Regular",0.313,0.374,0.348,0.387
"P56","Mala",0.223,0.181,0.12,0.157
"P56","Muy mala",0.149,0.095,0.073,0.146
"P57","Muy buena",0.062,0.038,0.048,0.04
"P57","Buena",0.172,0.266,0.238,0.187
"P57","Regular",0.439,0.43,0.435,0.441
"P57","Mala",0.213,0.172,0.176,0.21
"P57","Muy mala",0.114,0.094,0.103,0.122
"P58","Muy buena",0.076,0.057,0.083,0.063
"P58","Buena",0.139,0.241,0.297,0.177
"P58","Regular",0.306,0.326,0.329,0.332
"P58","Mala",0.247,0.233,0.192,0.258
"P58","Muy mala",0.232,0.143,0.099,0.17
"P59","Muy buena",0.121,0.098,0.123,0.103
"P59","Buena",0.263,0.346,0.376,0.265
"P59","Regular",0.377,0.387,0.321,0.421
"P59","Mala",0.155,0.131,0.12,0.126
"P59","Muy mala",0.084,0.038,0.06,0.085
"P60","Ha aumentado significativamente",0.077,0.072,0.107,0.08
"P60","Ha aumentado ligeramente",0.173,0.263,0.252,0.219
"P60","Se mantiene igual",0.279,0.285,0.338,0.284
"P60","Ha disminuido ligeramente",0.211,0.201,0.218,0.192
"P60","Ha disminuido significativamente",0.26,0.179,0.085,0.225
"P61","Muy baja",0.045,0.026,0.049,0.064
"P61","Baja",0.058,0.097,0.088,0.053
"P61","Moderada",0.085,0.109,0.162,0.08
"P61","Alta",0.211,0.253,0.366,0.284
"P61","Muy alta",0.601,0.515,0.335,0.519
"P62","Muy bajas",0.077,0.039,0.027,0.034
"P62","Bajas",0.121,0.147,0.106,0.055
"P62","Adecuadas",0.213,0.303,0.305,0.237
"P62","Altas",0.315,0.305,0.342,0.345
"P62","Muy altas",0.274,0.206,0.22,0.329
"P63","No, ninguna dificultad",0.298,0.36,0.33,0.266
"P63","Alguna dificultad ocasional",0.332,0.338,0.297,0.311
"P63","Sí, dificultades frecuentes",0.37,0.302,0.373,0.423
"P64","Sí, absolutamente",0.356,0.408,0.62,0.487
"P64","Sí, en cierta medida",0.329,0.37,0.261,0.307
"P64","No, en absoluto",0.315,0.222,0.119,0.206
"P65","Reducir la inflación",0.556,0.364,0.4,0.337
"P65","Implementar reformas fiscales",0.077,0.259,0.081,0.069
"P65","Establecer políticas de control de precios",0.083,0.113,0.366,0.157
"P65","Reducir el gasto público",0.247,0.217,0.071,0.376
"P65","Estimular la inversión extranjera",0.029,0.04,0.049,0.046
"P65","Aumentar los subsidios a los servicios públicos",0.008,0.007,0.033,0.015
"P67","Muy positiva",0.298,0.18,0.269,0.17
"P67","Positiva",0.134,0.34,0.233,0.181
"P67","Neutral",0.271,0.227,0.328,0.232
"P67","Algo negativa",0.078,0.083,0.05,0.195
"P67","Negativa",0.136,0.106,0.027,0.104
"P67","No sabe",0.083,0.064,0.093,0.118
"P68","Muy positivo",0.149,0.157,0.236,0.135
"P68","Positivo",0.153,0.253,0.284,0.241
"P68","Neutral",0.344,0.279,0.287,0.257
"P68","Algo negativo",0.095,0.121,0.051,0.114
"P68","Negativo",0.149,0.111,0.036,0.119
"P68","No sabe",0.11,0.079,0.106,0.134
"P69","Muy positivo",0.102,0.129,0.165,0.083
"P69","Positivo",0.135,0.167,0.257,0.164
"P69","Neutral",0.445,0.432,0.375,0.417
"P69","Algo negativo",0.08,0.086,0.057,0.096
"P69","Negativo",0.122,0.071,0.028,0.073
"P69","No sabe",0.116,0.115,0.118,0.167
"P70","Muy positiva",0.275,0.32,0.415,0.366
"P70","Positiva",0.189,0.22,0.247,0.215
"P70","Neutral",0.283,0.223,0.185,0.212
"P70","Algo negativa",0.088,0.085,0.054,0.082
"P70","Negativa",0.131,0.098,0.033,0.098
"P70","No sabe",0.034,0.054,0.066,0.027
"P71","Muy positivo",0.269,0.323,0.446,0.348
"P71","Positivo",0.204,0.206,0.246,0.237
"P71","Neutral",0.262,0.236,0.128,0.19
"P71","Algo negativo",0.1,0.099,0.066,0.077
"P71","Negativo",0.142,0.098,0.046,0.11
"P71","No sabe",0.023,0.038,0.068,0.038
"P72","Muy positivo",0.244,0.298,0.444,0.321
"P72","Positivo",0.237,0.237,0.221,0.246
"P72","Neutral",0.31,0.296,0.197,0.249
"P72","Algo negativo",0.065,0.043,0.035,0.059
"P72","Negativo",0.117,0.09,0.052,0.088
"P72","No sabe",0.027,0.036,0.051,0.037
"P73","Muy positiva",0.178,0.2,0.341,0.228
"P73","Positiva",0.194,0.256,0.293,0.257
"P73","Neutral",0.277,0.248,0.154,0.222
"P73","Algo negativa",0.098,0.095,0.084,0.086
"P73","Negativa",0.191,0.135,0.038,0.124
"P73","No sabe",0.062,0.066,0.09,0.083
"P74","Muy positivo",0.167,0.172,0.31,0.19
"P74","Positivo",0.16,0.256,0.331,0.245
"P74","Neutral",0.27,0.245,0.175,0.285
"P74","Algo negativo",0.129,0.121,0.057,0.091
"P74","Negativo",0.214,0.135,0.03,0.116
"P74","No sabe",0.06,0.071,0.097,0.073
"P75","Muy positivo",0.147,0.149,0.267,0.144
"P75","Positivo",0.154,0.224,0.295,0.21
"P75","Neutral",0.34,0.335,0.251,0.396
"P75","Algo negativo",0.104,0.114,0.049,0.063
"P75","Negativo",0.189,0.107,0.032,0.097
"P75","No sabe",0.066,0.071,0.106,0.09
"P76","Muy positiva",0.335,0.334,0.425,0.376
"P76","Positiva",0.209,0.248,0.226,0.196
"P76","Neutral",0.211,0.177,0.164,0.204
"P76","Algo negativa",0.073,0.08,0.053,0.068
"P76","Negativa",0.143,0.11,0.045,0.093
"P76","No sabe",0.029,0.051,0.087,0.063
"P77","Muy positivo",0.338,0.339,0.428,0.353
"P77","Positivo",0.215,0.245,0.245,0.23
"P77","Neutral",0.186,0.186,0.17,0.169
"P77","Algo negativo",0.087,0.093,0.055,0.091
"P77","Negativo",0.145,0.099,0.036,0.097
"P77","No sabe",0.029,0.038,0.066,0.06
"P78","Muy positivo",0.309,0.282,0.385,0.288
"P78","Positivo",0.196,0.221,0.199,0.221
"P78","Neutral",0.273,0.308,0.251,0.308
"P78","Algo negativo",0.056,0.055,0.048,0.073
"P78","Negativo",0.121,0.082,0.023,0.069
"P78","No sabe",0.045,0.052,0.094,0.041
"P79","Si",0.521,0.57,0.617,0.514
"P79","No",0.479,0.43,0.383,0.486
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.262,0.377,0.589,0.412
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.33,0.357,0.16,0.258
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.328,0.188,0.142,0.228
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.028,0.024,0.033,0.036
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.015,0.015,0.02,0.018
"PRESIDENTE","En blanco",0.024,0.015,0.025,0.024
"PRESIDENTE","No sabe",0.013,0.024,0.031,0.024
