"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P14","En blanco",0.018,0.011,0.079,0.137
"P14","No sabe",0.007,0.011,0.029,0.24
"P17","Totalmente seguro",0.747,0.702,0.66,0.375
"P17","Bastante seguro",0.123,0.147,0.128,0.146
"P17","Algo seguro",0.087,0.11,0.118,0.109
"P17","Para nada seguro",0.043,0.041,0.094,0.37
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.084,0.438,0.16,0.205
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.079,0.268,0.136,0.235
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.257,0.16,0.271,0.238
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.244,0.04,0.27,0.12
"P22","En blanco",0.214,0.056,0.09,0.048
"P22","No sabe",0.122,0.038,0.073,0.154
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.387,0.072,0.23,0.104
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.272,0.385,0.312,0.277
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.184,0.178,0.195,0.16
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.01,0.015,0.005,0.051
"P25","En blanco",0.086,0.225,0.215,0.055
"P25","No sabe",0.061,0.125,0.043,0.353
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.42,0.043,0.145,0.127
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.28,0.684,0.183,0.28
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.172,0.13,0.157,0.139
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.077,0.014,0.018,0.102
"P28","En blanco",0.031,0.093,0.471,0.041
"P28","No sabe",0.02,0.036,0.026,0.311
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.604,0.003,0.267,0.185
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.2,0.614,0.118,0.152
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.005,0.05,0.205,0.239
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.014,0.003,0.107,0.356
"P31","En blanco",0.04,0.014,0.301,0
"P31","No sabe",0.137,0.316,0.002,0.068
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.196,0.532,0.516,0.339
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.122,0.289,0.104,0.126
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.421,0.09,0.183,0.118
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.142,0.021,0.095,0.176
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.071,0.031,0.045,0.049
"P36","No sabe",0.048,0.037,0.057,0.192
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.253,0.605,0.131,0.118
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.096,0.343,0.516,0.232
"P38","En blanco",0.471,0.03,0.321,0.058
"P38","No sabe",0.18,0.022,0.032,0.592
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.856,0.088,0.147,0.129
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.069,0.594,0.507,0.229
"P39","En blanco",0.053,0.206,0.304,0.054
"P39","No sabe",0.022,0.112,0.042,0.588
"P40","Lo votaría",0.819,0.056,0.189,0.139
"P40","Puede que lo vote",0.056,0.145,0.086,0.103
"P40","Nunca lo votaría",0.102,0.774,0.682,0.379
"P40","No sabe",0.023,0.025,0.043,0.379
"P41","Lo votaría",0.15,0.594,0.132,0.11
"P41","Puede que lo vote",0.079,0.209,0.134,0.165
"P41","Nunca lo votaría",0.725,0.175,0.671,0.406
"P41","No sabe",0.046,0.022,0.063,0.319
"P42","Lo votaría",0.071,0.366,0.481,0.253
"P42","Puede que lo vote",0.079,0.268,0.076,0.119
"P42","Nunca lo votaría",0.811,0.319,0.387,0.377
"P42","No sabe",0.039,0.047,0.056,0.251
"P43","Lo votaría",0.146,0.061,0.091,0.135
"P43","Puede que lo vote",0.335,0.18,0.138,0.194
"P43","Nunca lo votaría",0.454,0.705,0.698,0.403
"P43","No sabe",0.065,0.054,0.073,0.268
"P44","Lo votaría",0.12,0.073,0.062,0.129
"P44","Puede que lo vote",0.284,0.277,0.179,0.164
"P44","Nunca lo votaría",0.53,0.576,0.685,0.393
"P44","No sabe",0.066,0.074,0.074,0.314
"P53","Sergio Massa y Javier Milei",0.701,0.15,0.52,0.419
"P53","Patricia Bullrich y Javier Milei",0.135,0.729,0.337,0.366
"P53","Sergio Massa y Patricia Bullrich",0.164,0.121,0.143,0.215
"P54","Muy buena",0.098,0.034,0.081,0.077
"P54","Buena",0.152,0.089,0.062,0.115
"P54","Regular",0.394,0.039,0.144,0.133
"P54","Mala",0.238,0.248,0.23,0.256
"P54","Muy mala",0.118,0.59,0.483,0.419
"P55","Muy buena",0.075,0.014,0.04,0.049
"P55","Buena",0.261,0.014,0.082,0.053
"P55","Regular",0.35,0.042,0.13,0.142
"P55","Mala",0.19,0.235,0.229,0.308
"P55","Muy mala",0.124,0.695,0.519,0.448
"P56","Muy buena",0.191,0.036,0.109,0.087
"P56","Buena",0.352,0.142,0.222,0.113
"P56","Regular",0.296,0.418,0.297,0.299
"P56","Mala",0.105,0.246,0.198,0.276
"P56","Muy mala",0.056,0.158,0.174,0.225
"P57","Muy buena",0.085,0.014,0.041,0.057
"P57","Buena",0.31,0.131,0.191,0.062
"P57","Regular",0.408,0.476,0.408,0.364
"P57","Mala",0.15,0.238,0.219,0.284
"P57","Muy mala",0.047,0.141,0.141,0.233
"P58","Muy buena",0.123,0.017,0.05,0.051
"P58","Buena",0.326,0.088,0.139,0.119
"P58","Regular",0.347,0.297,0.326,0.277
"P58","Mala",0.145,0.334,0.258,0.376
"P58","Muy mala",0.059,0.264,0.227,0.177
"P59","Muy buena",0.168,0.047,0.132,0.091
"P59","Buena",0.415,0.212,0.252,0.174
"P59","Regular",0.304,0.476,0.38,0.326
"P59","Mala",0.078,0.179,0.16,0.252
"P59","Muy mala",0.035,0.086,0.076,0.157
"P60","Ha aumentado significativamente",0.154,0.025,0.049,0.03
"P60","Ha aumentado ligeramente",0.294,0.127,0.21,0.158
"P60","Se mantiene igual",0.311,0.289,0.275,0.237
"P60","Ha disminuido ligeramente",0.155,0.246,0.228,0.289
"P60","Ha disminuido significativamente",0.086,0.313,0.238,0.286
"P61","Muy baja",0.052,0.037,0.073,0.067
"P61","Baja",0.078,0.041,0.092,0.113
"P61","Moderada",0.166,0.048,0.071,0.076
"P61","Alta",0.414,0.136,0.221,0.269
"P61","Muy alta",0.29,0.738,0.543,0.475
"P62","Muy bajas",0.034,0.055,0.091,0.048
"P62","Bajas",0.089,0.12,0.087,0.102
"P62","Adecuadas",0.315,0.222,0.198,0.181
"P62","Altas",0.368,0.286,0.301,0.34
"P62","Muy altas",0.194,0.317,0.323,0.329
"P63","No, ninguna dificultad",0.422,0.234,0.249,0.173
"P63","Alguna dificultad ocasional",0.297,0.362,0.264,0.302
"P63","Sí, dificultades frecuentes",0.281,0.404,0.487,0.525
"P64","Sí, absolutamente",0.657,0.26,0.371,0.463
"P64","Sí, en cierta medida",0.251,0.401,0.297,0.298
"P64","No, en absoluto",0.092,0.339,0.332,0.239
"P65","Reducir la inflación",0.504,0.387,0.379,0.441
"P65","Implementar reformas fiscales",0.125,0.104,0.124,0.079
"P65","Establecer políticas de control de precios",0.246,0.061,0.105,0.157
"P65","Reducir el gasto público",0.063,0.404,0.334,0.257
"P65","Estimular la inversión extranjera",0.044,0.036,0.052,0.037
"P65","Aumentar los subsidios a los servicios públicos",0.018,0.008,0.006,0.029
"P66","Fomentar la competencia entre proveedores",0.262,0.423,0.466,0.393
"P66","Incrementar la inversión en infraestructura",0.205,0.243,0.17,0.147
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.231,0.073,0.096,0.17
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.302,0.261,0.268,0.29
"P67","Muy positiva",0.385,0.1,0.207,0.165
"P67","Positiva",0.279,0.132,0.197,0.211
"P67","Neutral",0.183,0.324,0.326,0.212
"P67","Algo negativa",0.063,0.157,0.091,0.105
"P67","Negativa",0.026,0.183,0.121,0.085
"P67","No sabe",0.064,0.104,0.058,0.222
"P68","Muy positivo",0.291,0.03,0.187,0.085
"P68","Positivo",0.338,0.107,0.204,0.175
"P68","Neutral",0.215,0.391,0.261,0.311
"P68","Algo negativo",0.044,0.156,0.107,0.079
"P68","Negativo",0.031,0.198,0.135,0.111
"P68","No sabe",0.081,0.118,0.106,0.239
"P69","Muy positivo",0.206,0.02,0.114,0.074
"P69","Positivo",0.263,0.076,0.151,0.144
"P69","Neutral",0.359,0.505,0.437,0.33
"P69","Algo negativo",0.039,0.133,0.064,0.081
"P69","Negativo",0.022,0.137,0.125,0.079
"P69","No sabe",0.111,0.129,0.109,0.292
"P70","Muy positiva",0.581,0.102,0.253,0.258
"P70","Positiva",0.211,0.22,0.195,0.197
"P70","Neutral",0.132,0.335,0.264,0.247
"P70","Algo negativa",0.023,0.137,0.078,0.116
"P70","Negativa",0.03,0.16,0.168,0.07
"P70","No sabe",0.023,0.046,0.042,0.112
"P71","Muy positivo",0.583,0.088,0.288,0.233
"P71","Positivo",0.232,0.21,0.219,0.198
"P71","Neutral",0.106,0.324,0.212,0.28
"P71","Algo negativo",0.028,0.155,0.08,0.095
"P71","Negativo",0.026,0.183,0.163,0.104
"P71","No sabe",0.025,0.04,0.038,0.09
"P72","Muy positivo",0.532,0.096,0.264,0.176
"P72","Positivo",0.244,0.232,0.21,0.272
"P72","Neutral",0.158,0.39,0.267,0.333
"P72","Algo negativo",0.025,0.085,0.063,0.043
"P72","Negativo",0.024,0.158,0.147,0.068
"P72","No sabe",0.017,0.039,0.049,0.108
"P73","Muy positiva",0.408,0.048,0.17,0.106
"P73","Positiva",0.33,0.15,0.227,0.2
"P73","Neutral",0.148,0.332,0.239,0.262
"P73","Algo negativa",0.046,0.148,0.075,0.094
"P73","Negativa",0.027,0.229,0.234,0.15
"P73","No sabe",0.041,0.093,0.055,0.188
"P74","Muy positivo",0.37,0.029,0.157,0.107
"P74","Positivo",0.344,0.111,0.213,0.205
"P74","Neutral",0.164,0.352,0.259,0.271
"P74","Algo negativo",0.046,0.186,0.084,0.068
"P74","Negativo",0.029,0.234,0.238,0.169
"P74","No sabe",0.047,0.088,0.049,0.18
"P75","Muy positivo",0.303,0.034,0.122,0.108
"P75","Positivo",0.317,0.102,0.153,0.187
"P75","Neutral",0.26,0.427,0.347,0.352
"P75","Algo negativo",0.039,0.137,0.124,0.034
"P75","Negativo",0.029,0.198,0.21,0.13
"P75","No sabe",0.052,0.102,0.044,0.189
"P76","Muy positiva",0.558,0.165,0.338,0.252
"P76","Positiva",0.214,0.209,0.267,0.184
"P76","Neutral",0.132,0.251,0.195,0.272
"P76","Algo negativa",0.031,0.117,0.07,0.046
"P76","Negativa",0.03,0.189,0.121,0.115
"P76","No sabe",0.035,0.069,0.009,0.131
"P77","Muy positivo",0.549,0.161,0.342,0.272
"P77","Positivo",0.228,0.212,0.292,0.233
"P77","Neutral",0.112,0.245,0.181,0.216
"P77","Algo negativo",0.047,0.136,0.073,0.055
"P77","Negativo",0.03,0.193,0.095,0.108
"P77","No sabe",0.034,0.053,0.017,0.116
"P78","Muy positivo",0.473,0.15,0.284,0.216
"P78","Positivo",0.197,0.193,0.276,0.247
"P78","Neutral",0.242,0.349,0.251,0.287
"P78","Algo negativo",0.032,0.087,0.081,0.031
"P78","Negativo",0.026,0.15,0.082,0.081
"P78","No sabe",0.03,0.071,0.026,0.138
"P79","Si",0.582,0.499,0.564,0.521
"P79","No",0.418,0.501,0.436,0.479
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.754,0.076,0.166,0.149
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.095,0.551,0.134,0.125
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.08,0.33,0.488,0.254
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.033,0.012,0.045,0.055
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.016,0.011,0.048,0.068
"PRESIDENTE","En blanco",0.016,0.01,0.079,0.134
"PRESIDENTE","No sabe",0.006,0.01,0.04,0.215
