"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.229,0.699,0.025,0.035,0.017,0.024
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.216,0.015,0.478,0,0.019,0.757
"P38","En blanco",0.357,0.063,0.379,0.513,0.952,0.037
"P38","No sabe",0.198,0.223,0.118,0.452,0.012,0.182
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.618,0.213,0.009,0.429,0.134,0.267
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.189,0.232,0.453,0.01,0.017,0.579
"P39","En blanco",0.177,0.316,0.385,0.508,0.849,0.01
"P39","No sabe",0.016,0.239,0.153,0.053,0,0.144
"P40","Lo votaría",0.66,0.175,0,0.02,0.007,0.03
"P40","Puede que lo vote",0.301,0.212,0.207,0.041,0.016,0.099
"P40","Nunca lo votaría",0.029,0.603,0.523,0.42,0.917,0.784
"P40","No sabe",0.01,0.01,0.27,0.519,0.06,0.087
"P41","Lo votaría",0.018,0.338,0,0.018,0.019,0.012
"P41","Puede que lo vote",0.009,0.601,0.045,0.037,0.01,0.812
"P41","Nunca lo votaría",0.946,0.052,0.46,0.073,0.961,0.069
"P41","No sabe",0.027,0.009,0.495,0.872,0.01,0.107
"P42","Lo votaría",0.009,0.034,0.502,0.018,0.01,0.012
"P42","Puede que lo vote",0.027,0.302,0.309,0.018,0.02,0.822
"P42","Nunca lo votaría",0.959,0.655,0.152,0.111,0.96,0.071
"P42","No sabe",0.005,0.009,0.037,0.853,0.01,0.095
"P43","Lo votaría",0.028,0.018,0.011,0.075,0.01,0
"P43","Puede que lo vote",0.599,0.302,0.023,0.056,0.67,0.047
"P43","Nunca lo votaría",0.355,0.675,0.954,0.019,0.3,0.123
"P43","No sabe",0.018,0.005,0.012,0.85,0.02,0.83
"P44","Lo votaría",0.638,0.361,0.573,0.057,0.72,0.851
"P44","Puede que lo vote",0.033,0.307,0.163,0.038,0.26,0.049
"P44","Nunca lo votaría",0.315,0.328,0.252,0.019,0.02,0.05
"P44","No sabe",0.014,0.004,0.012,0.886,0,0.05
"P53","Sergio Massa y Javier Milei",0.96,0.323,0.508,0.083,0.694,0.116
"P53","Patricia Bullrich y Javier Milei",0.01,0.634,0.492,0.063,0.295,0.818
"P53","Sergio Massa y Patricia Bullrich",0.03,0.043,0,0.854,0.011,0.066
"P54","Muy buena",0.313,0.009,0.025,0.042,0.011,0.026
"P54","Buena",0.01,0.01,0.012,0.021,0.011,0
"P54","Regular",0.045,0.019,0,0.854,0.011,0.026
"P54","Mala",0.046,0.32,0.407,0.062,0.705,0.093
"P54","Muy mala",0.586,0.642,0.556,0.021,0.262,0.855
"P55","Muy buena",0.005,0.005,0,0,0.011,0
"P55","Buena",0.01,0.005,0.012,0,0.011,0
"P55","Regular",0.066,0.014,0.038,0.042,0.033,0.04
"P55","Mala",0.331,0.334,0.245,0.895,0.033,0.093
"P55","Muy mala",0.588,0.642,0.705,0.063,0.912,0.867
"P56","Muy buena",0.005,0.005,0,0,0,0
"P56","Buena",0.02,0.024,0.472,0.021,0.022,0.013
"P56","Regular",0.347,0.342,0.063,0.063,0.054,0.88
"P56","Mala",0.336,0.62,0.452,0.916,0.672,0.067
"P56","Muy mala",0.292,0.009,0.013,0,0.252,0.04
"P57","Muy buena",0.01,0,0,0.021,0,0
"P57","Buena",0.021,0.039,0.063,0,0.022,0.04
"P57","Regular",0.374,0.351,0.858,0.021,0.044,0.107
"P57","Mala",0.311,0.6,0.066,0.937,0.679,0.05
"P57","Muy mala",0.284,0.01,0.013,0.021,0.255,0.803
"P58","Muy buena",0,0.01,0,0.021,0.011,0.014
"P58","Buena",0.037,0.035,0.039,0,0.011,0.029
"P58","Regular",0.375,0.332,0.388,0.022,0.034,0.899
"P58","Mala",0.305,0.324,0.492,0.914,0.678,0.015
"P58","Muy mala",0.283,0.299,0.081,0.043,0.266,0.043
"P59","Muy buena",0.005,0,0.013,0.022,0.023,0
"P59","Buena",0.059,0.04,0.478,0.022,0,0.087
"P59","Regular",0.617,0.611,0.307,0.067,0.7,0.869
"P59","Mala",0.037,0.344,0.189,0.023,0.035,0.029
"P59","Muy mala",0.282,0.005,0.013,0.866,0.242,0.015
"P60","Ha aumentado significativamente",0.011,0.005,0.013,0,0.011,0
"P60","Ha aumentado ligeramente",0.032,0.025,0.612,0,0.012,0.029
"P60","Se mantiene igual",0.053,0.601,0.241,0.067,0.035,0.088
"P60","Ha disminuido ligeramente",0.343,0.049,0.082,0.045,0.046,0.029
"P60","Ha disminuido significativamente",0.561,0.32,0.052,0.888,0.896,0.854
"P61","Muy baja",0.003,0,0,0,0.759,0.012
"P61","Baja",0.002,0.002,0.025,0,0,0
"P61","Moderada",0.016,0.261,0,0,0,0
"P61","Alta",0.345,0.021,0.169,0.022,0.009,0.936
"P61","Muy alta",0.634,0.716,0.806,0.978,0.232,0.052
"P62","Muy bajas",0,0.011,0.006,0.011,0.014,0.006
"P62","Bajas",0.304,0.002,0,0,0.005,0.011
"P62","Adecuadas",0.016,0.019,0.519,0,0.009,0.012
"P62","Altas",0.044,0.606,0.28,0.022,0.019,0.942
"P62","Muy altas",0.636,0.362,0.195,0.967,0.953,0.029
"P63","No, ninguna dificultad",0.052,0.027,0.06,0.016,0.029,0.041
"P63","Alguna dificultad ocasional",0.607,0.641,0.523,0.033,0.011,0.824
"P63","Sí, dificultades frecuentes",0.341,0.332,0.417,0.951,0.96,0.135
"P64","Sí, absolutamente",0.949,0.031,0.291,0.017,0.687,0.014
"P64","Sí, en cierta medida",0.051,0.65,0.536,0.033,0.012,0.965
"P64","No, en absoluto",0,0.319,0.173,0.95,0.301,0.021
"P65","Reducir la inflación",0.698,0.029,0.293,0.05,0.703,0.951
"P65","Implementar reformas fiscales",0.006,0.314,0.526,0,0,0.014
"P65","Establecer políticas de control de precios",0.02,0.287,0,0.017,0,0.007
"P65","Reducir el gasto público",0.276,0.37,0.172,0.916,0.017,0.021
"P65","Estimular la inversión extranjera",0,0,0.009,0,0.28,0.007
"P65","Aumentar los subsidios a los servicios públicos",0,0,0,0.017,0,0
"P66","Fomentar la competencia entre proveedores",0.628,0.329,0.177,0.035,0.319,0.04
"P66","Incrementar la inversión en infraestructura",0.006,0.385,0.602,0.017,0.005,0.935
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.014,0.012,0.017,0.931,0,0.006
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.352,0.274,0.204,0.017,0.676,0.019
"P67","Muy positiva",0.252,0.007,0.009,0,0.294,0.006
"P67","Positiva",0.027,0.393,0.213,0.052,0.015,0.095
"P67","Neutral",0.385,0.269,0.593,0.948,0.676,0.874
"P67","Algo negativa",0.316,0.012,0.159,0,0,0.006
"P67","Negativa",0,0.317,0.017,0,0.01,0.006
"P67","No sabe",0.02,0.002,0.009,0,0.005,0.013
"P68","Muy positivo",0.003,0.007,0,0,0.005,0.006
"P68","Positivo",0.586,0.32,0.195,0.947,0.311,0.02
"P68","Neutral",0.029,0.59,0.619,0.053,0,0.961
"P68","Algo negativo",0.367,0.012,0.009,0,0.005,0
"P68","Negativo",0,0.069,0.177,0,0.005,0.006
"P68","No sabe",0.015,0.002,0,0,0.674,0.007
"P69","Muy positivo",0.002,0.002,0,0,0,0.006
"P69","Positivo",0.548,0.005,0.141,0.941,0.268,0.006
"P69","Neutral",0.109,0.6,0.826,0.059,0.01,0.974
"P69","Algo negativo",0.328,0.005,0.011,0,0,0.007
"P69","Negativo",0,0.386,0.022,0,0.005,0
"P69","No sabe",0.013,0.002,0,0,0.717,0.007
"P70","Muy positiva",0.558,0.016,0.152,0,0.257,0.006
"P70","Positiva",0.099,0.009,0.034,0.029,0.722,0.035
"P70","Neutral",0.333,0.962,0.781,0.03,0.011,0.945
"P70","Algo negativa",0.002,0.002,0.011,0.941,0,0.007
"P70","Negativa",0.003,0.008,0.022,0,0.005,0
"P70","No sabe",0.005,0.003,0,0,0.005,0.007
"P71","Muy positivo",0.551,0.026,0.152,0.015,0.257,0.013
"P71","Positivo",0.11,0.012,0.791,0.044,0.722,0.035
"P71","Neutral",0.336,0.947,0.023,0.015,0.005,0.952
"P71","Algo negativo",0,0.005,0.011,0.926,0,0
"P71","Negativo",0,0.008,0.023,0,0.011,0
"P71","No sabe",0.003,0.002,0,0,0.005,0
"P72","Muy positivo",0.554,0.02,0.724,0.917,0.269,0
"P72","Positivo",0.101,0.013,0.2,0.05,0.017,0.03
"P72","Neutral",0.011,0.892,0.038,0.016,0,0.038
"P72","Algo negativo",0.328,0.065,0,0.017,0,0.007
"P72","Negativo",0,0.005,0.038,0,0.006,0.925
"P72","No sabe",0.006,0.005,0,0,0.708,0
"P73","Muy positiva",0.291,0.015,0,0,0.264,0.015
"P73","Positiva",0.101,0.023,0.2,0.017,0,0.038
"P73","Neutral",0.339,0.089,0.762,0.066,0.017,0.007
"P73","Algo negativa",0.269,0.235,0.013,0.917,0,0.008
"P73","Negativa",0,0.633,0.025,0,0.011,0
"P73","No sabe",0,0.005,0,0,0.708,0.932
"P74","Muy positivo",0.317,0.196,0,0,0.176,0.014
"P74","Positivo",0.27,0.035,0.04,0.021,0,0.081
"P74","Neutral",0.252,0.197,0.861,0.957,0.081,0.041
"P74","Algo negativo",0.008,0.009,0.02,0.022,0,0.014
"P74","Negativo",0,0.529,0.079,0,0.023,0
"P74","No sabe",0.153,0.034,0,0,0.72,0.85
"P75","Muy positivo",0.247,0.196,0,0,0.199,0.014
"P75","Positivo",0.331,0.022,0,0.022,0.058,0.068
"P75","Neutral",0.264,0.216,0.92,0.087,0.012,0.904
"P75","Algo negativo",0.004,0,0.02,0.891,0,0
"P75","Negativo",0,0.528,0.06,0,0.012,0.014
"P75","No sabe",0.154,0.038,0,0,0.719,0
"P76","Muy positiva",0.552,0.075,0.02,0.022,0.175,0.055
"P76","Positiva",0.413,0.051,0.868,0.022,0.79,0.903
"P76","Neutral",0.015,0.298,0.092,0.065,0.012,0.028
"P76","Algo negativa",0.012,0.014,0,0.891,0,0
"P76","Negativa",0.004,0.528,0.02,0,0.023,0
"P76","No sabe",0.004,0.034,0,0,0,0.014
"P77","Muy positivo",0.538,0.085,0.02,0.043,0.184,0.041
"P77","Positivo",0.269,0.2,0.1,0.021,0.782,0.013
"P77","Neutral",0.177,0.159,0.071,0.936,0.011,0.918
"P77","Algo negativo",0.008,0.226,0.789,0,0.012,0.014
"P77","Negativo",0.004,0.296,0.02,0,0.011,0
"P77","No sabe",0.004,0.034,0,0,0,0.014
"P78","Muy positivo",0.299,0.022,0.02,0.022,0.173,0.055
"P78","Positivo",0.009,0.219,0.06,0,0.729,0.041
"P78","Neutral",0.676,0.255,0.9,0.978,0.064,0.89
"P78","Algo negativo",0.012,0.217,0,0,0,0.014
"P78","Negativo",0,0.287,0.02,0,0.023,0
"P78","No sabe",0.004,0,0,0,0.011,0
"P79","Si",0.596,0.548,0.085,0.815,0.94,0.238
"P79","No",0.404,0.452,0.915,0.185,0.06,0.762
