"var","categoria","Muy baja","Baja","Moderada","Alta","Muy alta"
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.176,0.114,0.083,0.082,0.146
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.123,0.147,0.06,0.071,0.127
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.244,0.264,0.302,0.245,0.243
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.14,0.193,0.214,0.283,0.219
"P22","En blanco",0.218,0.139,0.197,0.226,0.188
"P22","No sabe",0.099,0.143,0.144,0.093,0.077
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.282,0.086,0.158,0.267,0.089
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.397,0.396,0.33,0.317,0.375
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.126,0.169,0.262,0.169,0.172
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0,0.058,0.006,0.019,0.014
"P25","En blanco",0.121,0.188,0.132,0.102,0.244
"P25","No sabe",0.074,0.103,0.112,0.126,0.106
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.145,0.282,0.201,0.205,0.108
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.415,0.423,0.348,0.412,0.481
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.197,0.173,0.23,0.237,0.124
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.019,0.031,0.106,0.012,0.023
"P28","En blanco",0.224,0.044,0.101,0.125,0.209
"P28","No sabe",0,0.047,0.014,0.009,0.055
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.006,0.171,0.046,0.395,0.283
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0,0.17,0.954,0.03,0.4
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0,0.659,0,0.078,0.145
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0,0,0,0.006,0.103
"P31","En blanco",0.982,0,0,0.006,0.058
"P31","No sabe",0.012,0,0,0.485,0.011
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.453,0.338,0.225,0.263,0.461
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.177,0.22,0.168,0.133,0.224
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.177,0.197,0.354,0.397,0.164
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.081,0.15,0.112,0.11,0.055
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.054,0.016,0.094,0.057,0.048
"P36","No sabe",0.058,0.079,0.047,0.04,0.048
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.423,0.468,0.665,0.623,0.225
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.304,0.25,0.198,0.208,0.585
"P37","En blanco",0.173,0.16,0.082,0.096,0.123
"P37","No sabe",0.1,0.122,0.055,0.073,0.067
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.384,0.311,0.298,0.281,0.444
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.213,0.208,0.141,0.154,0.333
"P38","En blanco",0.225,0.314,0.37,0.404,0.145
"P38","No sabe",0.178,0.167,0.191,0.161,0.078
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.477,0.485,0.651,0.644,0.232
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.257,0.228,0.177,0.176,0.483
"P39","En blanco",0.147,0.202,0.1,0.088,0.177
"P39","No sabe",0.119,0.085,0.072,0.092,0.108
"P40","Lo votaría",0.496,0.469,0.663,0.625,0.193
"P40","Puede que lo vote",0.09,0.121,0.085,0.073,0.112
"P40","Nunca lo votaría",0.381,0.345,0.189,0.252,0.653
"P40","No sabe",0.033,0.065,0.063,0.05,0.042
"P41","Lo votaría",0.366,0.216,0.184,0.229,0.415
"P41","Puede que lo vote",0.125,0.155,0.099,0.089,0.182
"P41","Nunca lo votaría",0.465,0.545,0.654,0.635,0.363
"P41","No sabe",0.044,0.084,0.063,0.047,0.04
"P42","Lo votaría",0.255,0.157,0.132,0.146,0.339
"P42","Puede que lo vote",0.172,0.148,0.083,0.107,0.201
"P42","Nunca lo votaría",0.52,0.643,0.744,0.696,0.406
"P42","No sabe",0.053,0.052,0.041,0.051,0.054
"P43","Lo votaría",0.157,0.111,0.111,0.129,0.082
"P43","Puede que lo vote",0.239,0.255,0.317,0.312,0.198
"P43","Nunca lo votaría",0.58,0.567,0.498,0.466,0.664
"P43","No sabe",0.024,0.067,0.074,0.093,0.056
"P44","Lo votaría",0.187,0.116,0.115,0.1,0.07
"P44","Puede que lo vote",0.171,0.255,0.262,0.289,0.262
"P44","Nunca lo votaría",0.542,0.57,0.536,0.516,0.59
"P44","No sabe",0.1,0.059,0.087,0.095,0.078
"P53","Sergio Massa y Javier Milei",0.524,0.473,0.538,0.591,0.324
"P53","Patricia Bullrich y Javier Milei",0.261,0.338,0.231,0.265,0.554
"P53","Sergio Massa y Patricia Bullrich",0.215,0.189,0.231,0.144,0.122
"P54","Muy buena",0.198,0.086,0.084,0.086,0.036
"P54","Buena",0.128,0.215,0.217,0.121,0.078
"P54","Regular",0.17,0.269,0.437,0.345,0.072
"P54","Mala",0.274,0.24,0.149,0.305,0.222
"P54","Muy mala",0.23,0.19,0.113,0.143,0.592
"P55","Muy buena",0.186,0.106,0.058,0.051,0.014
"P55","Buena",0.096,0.184,0.294,0.229,0.038
"P55","Regular",0.176,0.216,0.337,0.313,0.086
"P55","Mala",0.305,0.261,0.157,0.262,0.191
"P55","Muy mala",0.237,0.233,0.154,0.145,0.671
"P56","Muy buena",0.216,0.144,0.191,0.147,0.058
"P56","Buena",0.225,0.329,0.31,0.324,0.154
"P56","Regular",0.211,0.319,0.375,0.327,0.375
"P56","Mala",0.226,0.168,0.077,0.142,0.222
"P56","Muy mala",0.122,0.04,0.047,0.06,0.191
"P57","Muy buena",0.149,0.063,0.087,0.052,0.025
"P57","Buena",0.19,0.253,0.295,0.289,0.147
"P57","Regular",0.236,0.448,0.509,0.45,0.42
"P57","Mala",0.269,0.176,0.076,0.167,0.244
"P57","Muy mala",0.156,0.06,0.033,0.042,0.164
"P58","Muy buena",0.206,0.058,0.071,0.111,0.032
"P58","Buena",0.133,0.296,0.376,0.293,0.1
"P58","Regular",0.219,0.395,0.404,0.35,0.282
"P58","Mala",0.329,0.147,0.115,0.213,0.297
"P58","Muy mala",0.113,0.104,0.034,0.033,0.289
"P59","Muy buena",0.276,0.135,0.154,0.124,0.074
"P59","Buena",0.167,0.399,0.408,0.408,0.221
"P59","Regular",0.39,0.313,0.357,0.311,0.426
"P59","Mala",0.123,0.112,0.053,0.131,0.174
"P59","Muy mala",0.044,0.041,0.028,0.026,0.105
"P60","Ha aumentado significativamente",0.381,0.046,0.106,0.108,0.033
"P60","Ha aumentado ligeramente",0.092,0.562,0.194,0.249,0.155
"P60","Se mantiene igual",0.157,0.178,0.641,0.283,0.254
"P60","Ha disminuido ligeramente",0.191,0.127,0.047,0.308,0.206
"P60","Ha disminuido significativamente",0.179,0.087,0.012,0.052,0.352
"P62","Muy bajas",0.351,0.055,0.041,0.022,0.037
"P62","Bajas",0.085,0.277,0.087,0.074,0.098
"P62","Adecuadas",0.154,0.269,0.448,0.316,0.192
"P62","Altas",0.238,0.274,0.354,0.476,0.256
"P62","Muy altas",0.172,0.125,0.07,0.112,0.417
"P63","No, ninguna dificultad",0.386,0.254,0.38,0.403,0.244
"P63","Alguna dificultad ocasional",0.185,0.318,0.389,0.303,0.329
"P63","Sí, dificultades frecuentes",0.429,0.428,0.231,0.294,0.427
"P64","Sí, absolutamente",0.654,0.498,0.584,0.572,0.333
"P64","Sí, en cierta medida",0.192,0.337,0.289,0.286,0.355
"P64","No, en absoluto",0.154,0.165,0.127,0.142,0.312
"P65","Reducir la inflación",0.483,0.482,0.419,0.487,0.405
"P65","Implementar reformas fiscales",0.096,0.166,0.156,0.103,0.105
"P65","Establecer políticas de control de precios",0.118,0.206,0.271,0.215,0.084
"P65","Reducir el gasto público",0.167,0.085,0.088,0.135,0.365
"P65","Estimular la inversión extranjera",0.039,0.054,0.053,0.05,0.033
"P65","Aumentar los subsidios a los servicios públicos",0.097,0.007,0.013,0.01,0.008
"P66","Fomentar la competencia entre proveedores",0.348,0.3,0.307,0.289,0.416
"P66","Incrementar la inversión en infraestructura",0.117,0.298,0.231,0.205,0.21
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.153,0.187,0.237,0.204,0.094
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.382,0.215,0.225,0.302,0.28
"P67","Muy positiva",0.402,0.265,0.339,0.344,0.137
"P67","Positiva",0.119,0.324,0.283,0.245,0.163
"P67","Neutral",0.235,0.184,0.214,0.225,0.297
"P67","Algo negativa",0.137,0.124,0.059,0.08,0.125
"P67","Negativa",0.028,0.027,0.041,0.034,0.171
"P67","No sabe",0.079,0.076,0.064,0.072,0.107
"P68","Muy positivo",0.221,0.221,0.251,0.268,0.074
"P68","Positivo",0.285,0.287,0.315,0.287,0.149
"P68","Neutral",0.218,0.253,0.255,0.24,0.348
"P68","Algo negativo",0.044,0.042,0.032,0.086,0.131
"P68","Negativo",0.039,0.078,0.062,0.036,0.178
"P68","No sabe",0.193,0.119,0.085,0.083,0.12
"P69","Muy positivo",0.188,0.165,0.179,0.204,0.038
"P69","Positivo",0.227,0.23,0.234,0.228,0.111
"P69","Neutral",0.277,0.348,0.389,0.37,0.481
"P69","Algo negativo",0.015,0.076,0.028,0.068,0.107
"P69","Negativo",0.044,0.032,0.061,0.023,0.129
"P69","No sabe",0.249,0.149,0.109,0.107,0.134
"P70","Muy positiva",0.502,0.385,0.499,0.497,0.19
"P70","Positiva",0.249,0.192,0.24,0.202,0.21
"P70","Neutral",0.16,0.234,0.138,0.19,0.286
"P70","Algo negativa",0.02,0.04,0.037,0.049,0.117
"P70","Negativa",0.036,0.064,0.065,0.032,0.153
"P70","No sabe",0.033,0.085,0.021,0.03,0.044
"P71","Muy positivo",0.518,0.421,0.491,0.498,0.182
"P71","Positivo",0.186,0.226,0.253,0.206,0.222
"P71","Neutral",0.131,0.187,0.128,0.167,0.27
"P71","Algo negativo",0.055,0.046,0.046,0.05,0.125
"P71","Negativo",0.034,0.053,0.054,0.048,0.166
"P71","No sabe",0.076,0.067,0.028,0.031,0.035
"P72","Muy positivo",0.501,0.445,0.424,0.449,0.174
"P72","Positivo",0.156,0.217,0.311,0.228,0.236
"P72","Neutral",0.177,0.222,0.163,0.201,0.348
"P72","Algo negativo",0.039,0.015,0.03,0.044,0.07
"P72","Negativo",0.061,0.02,0.044,0.054,0.138
"P72","No sabe",0.066,0.081,0.028,0.024,0.034
"P73","Muy positiva",0.422,0.281,0.287,0.347,0.114
"P73","Positiva",0.193,0.33,0.329,0.276,0.193
"P73","Neutral",0.16,0.212,0.206,0.207,0.27
"P73","Algo negativa",0.042,0.037,0.044,0.057,0.133
"P73","Negativa",0.071,0.042,0.064,0.049,0.219
"P73","No sabe",0.112,0.098,0.07,0.064,0.071
"P74","Muy positivo",0.315,0.258,0.254,0.325,0.098
"P74","Positivo",0.34,0.296,0.316,0.294,0.16
"P74","Neutral",0.17,0.25,0.226,0.204,0.295
"P74","Algo negativo",0.014,0.048,0.09,0.084,0.136
"P74","Negativo",0.054,0.043,0.056,0.038,0.236
"P74","No sabe",0.107,0.105,0.058,0.055,0.075
"P75","Muy positivo",0.244,0.197,0.242,0.279,0.077
"P75","Positivo",0.38,0.319,0.316,0.242,0.134
"P75","Neutral",0.172,0.277,0.235,0.32,0.397
"P75","Algo negativo",0.051,0.059,0.085,0.064,0.106
"P75","Negativo",0.049,0.05,0.049,0.038,0.198
"P75","No sabe",0.104,0.098,0.073,0.057,0.088
"P76","Muy positiva",0.581,0.353,0.456,0.48,0.26
"P76","Positiva",0.176,0.2,0.242,0.206,0.223
"P76","Neutral",0.132,0.252,0.162,0.147,0.223
"P76","Algo negativa",0.028,0.026,0.034,0.056,0.094
"P76","Negativa",0.029,0.07,0.066,0.049,0.158
"P76","No sabe",0.054,0.099,0.04,0.062,0.042
"P77","Muy positivo",0.549,0.372,0.495,0.491,0.238
"P77","Positivo",0.199,0.196,0.265,0.211,0.24
"P77","Neutral",0.113,0.227,0.096,0.161,0.204
"P77","Algo negativo",0.032,0.059,0.06,0.058,0.112
"P77","Negativo",0.019,0.048,0.056,0.048,0.162
"P77","No sabe",0.088,0.098,0.028,0.031,0.044
"P78","Muy positivo",0.462,0.324,0.455,0.433,0.198
"P78","Positivo",0.293,0.219,0.232,0.188,0.206
"P78","Neutral",0.161,0.206,0.196,0.26,0.342
"P78","Algo negativo",0.013,0.071,0.046,0.041,0.074
"P78","Negativo",0.014,0.051,0.047,0.037,0.127
"P78","No sabe",0.057,0.129,0.024,0.041,0.053
"P79","Si",0.615,0.569,0.578,0.598,0.499
"P79","No",0.385,0.431,0.422,0.402,0.501
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.41,0.463,0.593,0.587,0.199
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.232,0.22,0.149,0.192,0.385
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.227,0.21,0.174,0.135,0.325
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.014,0.025,0.037,0.036,0.025
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.049,0.013,0.017,0.009,0.02
"PRESIDENTE","En blanco",0.025,0.051,0.015,0.019,0.022
"PRESIDENTE","No sabe",0.043,0.018,0.015,0.022,0.024
