"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P39","No sabe",0.018,0.019,0.036,0.052,0.004,0.157
"P40","Lo votaría",0.453,0.05,0.213,0.293,0.02,0.014
"P40","Puede que lo vote",0.192,0.146,0.152,0.062,0.117,0.074
"P40","Nunca lo votaría",0.306,0.767,0.598,0.574,0.85,0.776
"P40","No sabe",0.049,0.037,0.037,0.071,0.013,0.136
"P41","Lo votaría",0.15,0.21,0.23,0.053,0.059,0.132
"P41","Puede que lo vote",0.206,0.491,0.228,0.061,0.115,0.125
"P41","Nunca lo votaría",0.629,0.285,0.498,0.805,0.79,0.577
"P41","No sabe",0.015,0.014,0.044,0.081,0.036,0.166
"P42","Lo votaría",0.423,0.771,0.581,0.448,0.766,0.657
"P42","Puede que lo vote",0.169,0.109,0.192,0.107,0.081,0.208
"P42","Nunca lo votaría",0.371,0.113,0.215,0.388,0.135,0.029
"P42","No sabe",0.037,0.007,0.012,0.057,0.018,0.106
"P43","Lo votaría",0.059,0.171,0.095,0.271,0.048,0.073
"P43","Puede que lo vote",0.178,0.164,0.117,0.167,0.102,0.102
"P43","Nunca lo votaría",0.723,0.64,0.698,0.52,0.848,0.68
"P43","No sabe",0.04,0.025,0.09,0.042,0.002,0.145
"P44","Lo votaría",0.087,0.068,0.137,0.207,0.017,0
"P44","Puede que lo vote",0.207,0.252,0.327,0.078,0.136,0.224
"P44","Nunca lo votaría",0.669,0.637,0.457,0.684,0.836,0.628
"P44","No sabe",0.037,0.043,0.079,0.031,0.011,0.148
"P53","Sergio Massa y Javier Milei",0.618,0.248,0.499,0.3,0.527,0.562
"P53","Patricia Bullrich y Javier Milei",0.279,0.657,0.383,0.613,0.385,0.423
"P53","Sergio Massa y Patricia Bullrich",0.103,0.095,0.118,0.087,0.088,0.015
"P54","Muy buena",0.09,0.056,0.126,0.245,0.053,0.063
"P54","Buena",0.075,0.085,0.065,0.017,0.018,0.043
"P54","Regular",0.227,0.045,0.115,0.029,0.084,0.012
"P54","Mala",0.206,0.227,0.167,0.244,0.161,0.22
"P54","Muy mala",0.402,0.587,0.527,0.465,0.684,0.662
"P55","Muy buena",0.054,0.021,0.027,0.016,0.007,0.015
"P55","Buena",0.096,0.02,0.074,0.048,0.02,0
"P55","Regular",0.301,0.049,0.096,0.336,0.023,0.072
"P55","Mala",0.216,0.287,0.23,0.11,0.197,0.119
"P55","Muy mala",0.333,0.623,0.573,0.49,0.753,0.794
"P56","Muy buena",0.101,0.061,0.105,0.258,0.168,0.118
"P56","Buena",0.33,0.2,0.186,0.201,0.138,0.172
"P56","Regular",0.318,0.379,0.46,0.142,0.299,0.352
"P56","Mala",0.147,0.208,0.175,0.252,0.183,0.072
"P56","Muy mala",0.104,0.152,0.074,0.147,0.212,0.286
"P57","Muy buena",0.089,0.027,0.029,0.183,0.021,0
"P57","Buena",0.146,0.141,0.143,0.067,0.087,0.079
"P57","Regular",0.386,0.465,0.405,0.156,0.366,0.391
"P57","Mala",0.177,0.234,0.259,0.438,0.3,0.246
"P57","Muy mala",0.202,0.133,0.164,0.156,0.226,0.284
"P58","Muy buena",0.067,0.028,0.05,0.051,0.012,0.016
"P58","Buena",0.175,0.079,0.118,0.21,0.034,0.03
"P58","Regular",0.27,0.334,0.349,0.133,0.188,0.232
"P58","Mala",0.3,0.317,0.25,0.447,0.305,0.352
"P58","Muy mala",0.188,0.242,0.233,0.159,0.461,0.37
"P59","Muy buena",0.179,0.076,0.083,0.27,0.197,0.102
"P59","Buena",0.265,0.259,0.248,0.359,0.173,0.154
"P59","Regular",0.347,0.45,0.381,0.12,0.407,0.231
"P59","Mala",0.167,0.142,0.172,0.076,0.118,0.201
"P59","Muy mala",0.042,0.073,0.116,0.175,0.105,0.312
"P60","Ha aumentado significativamente",0.101,0.033,0.076,0.04,0.065,0
"P60","Ha aumentado ligeramente",0.154,0.161,0.177,0.047,0.184,0.076
"P60","Se mantiene igual",0.325,0.279,0.298,0.28,0.217,0.25
"P60","Ha disminuido ligeramente",0.214,0.284,0.225,0.365,0.247,0.226
"P60","Ha disminuido significativamente",0.206,0.243,0.224,0.268,0.287,0.448
"P61","Muy baja",0.062,0.055,0.076,0.042,0.075,0
"P61","Baja",0.105,0.049,0.058,0.06,0.013,0.06
"P61","Moderada",0.098,0.052,0.101,0.269,0.038,0.023
"P61","Alta",0.229,0.144,0.241,0.072,0.11,0.035
"P61","Muy alta",0.506,0.7,0.524,0.557,0.764,0.882
"P62","Muy bajas",0.085,0.046,0.082,0.043,0.164,0.021
"P62","Bajas",0.066,0.123,0.074,0.115,0.077,0.014
"P62","Adecuadas",0.143,0.186,0.277,0.059,0.099,0.105
"P62","Altas",0.316,0.281,0.294,0.393,0.187,0.244
"P62","Muy altas",0.39,0.364,0.273,0.39,0.473,0.616
"P63","No, ninguna dificultad",0.216,0.255,0.23,0.176,0.217,0.091
"P63","Alguna dificultad ocasional",0.253,0.357,0.304,0.123,0.182,0.469
"P63","Sí, dificultades frecuentes",0.531,0.388,0.466,0.701,0.601,0.44
"P64","Sí, absolutamente",0.584,0.314,0.346,0.5,0.241,0.48
"P64","Sí, en cierta medida",0.175,0.377,0.357,0.164,0.221,0.276
"P64","No, en absoluto",0.241,0.309,0.297,0.336,0.538,0.244
"P65","Reducir la inflación",0.484,0.337,0.505,0.436,0.276,0.173
"P65","Implementar reformas fiscales",0.123,0.096,0.079,0.011,0.137,0.213
"P65","Establecer políticas de control de precios",0.112,0.061,0.099,0.246,0.059,0.144
"P65","Reducir el gasto público",0.2,0.458,0.261,0.263,0.511,0.47
"P65","Estimular la inversión extranjera",0.061,0.034,0.049,0.013,0.012,0
"P65","Aumentar los subsidios a los servicios públicos",0.02,0.014,0.007,0.031,0.005,0
"P66","Fomentar la competencia entre proveedores",0.379,0.448,0.531,0.695,0.553,0.64
"P66","Incrementar la inversión en infraestructura",0.178,0.147,0.118,0.055,0.146,0.096
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.198,0.077,0.182,0.048,0.026,0.017
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.245,0.328,0.169,0.202,0.275,0.247
"P67","Muy positiva",0.216,0.09,0.226,0.16,0.202,0.143
"P67","Positiva",0.233,0.153,0.133,0.01,0.173,0.105
"P67","Neutral",0.19,0.391,0.358,0.529,0.261,0.347
"P67","Algo negativa",0.122,0.1,0.137,0.069,0.085,0.034
"P67","Negativa",0.174,0.178,0.121,0.141,0.174,0.236
"P67","No sabe",0.065,0.088,0.025,0.091,0.105,0.135
"P68","Muy positivo",0.151,0.049,0.1,0.348,0.104,0.033
"P68","Positivo",0.148,0.131,0.185,0.028,0.156,0.062
"P68","Neutral",0.293,0.384,0.332,0.298,0.318,0.293
"P68","Algo negativo",0.147,0.099,0.196,0.112,0.119,0.036
"P68","Negativo",0.12,0.216,0.144,0.119,0.212,0.293
"P68","No sabe",0.141,0.121,0.043,0.095,0.091,0.283
"P69","Muy positivo",0.141,0.019,0.034,0.085,0.099,0.03
"P69","Positivo",0.057,0.101,0.223,0.039,0.136,0.142
"P69","Neutral",0.421,0.499,0.473,0.609,0.385,0.461
"P69","Algo negativo",0.086,0.12,0.053,0.036,0.045,0.069
"P69","Negativo",0.11,0.154,0.119,0.119,0.243,0.21
"P69","No sabe",0.185,0.107,0.098,0.112,0.092,0.088
"P70","Muy positiva",0.224,0.173,0.184,0.323,0.112,0.059
"P70","Positiva",0.205,0.204,0.342,0.089,0.22,0.084
"P70","Neutral",0.241,0.323,0.209,0.371,0.285,0.412
"P70","Algo negativa",0.068,0.09,0.054,0.072,0.133,0.017
"P70","Negativa",0.16,0.143,0.2,0.145,0.191,0.413
"P70","No sabe",0.102,0.067,0.011,0,0.059,0.015
"P71","Muy positivo",0.368,0.15,0.147,0.218,0.115,0.102
"P71","Positivo",0.143,0.24,0.429,0.239,0.345,0.073
"P71","Neutral",0.158,0.273,0.151,0.34,0.185,0.537
"P71","Algo negativo",0.141,0.105,0.073,0.043,0.117,0.026
"P71","Negativo",0.146,0.183,0.196,0.16,0.186,0.246
"P71","No sabe",0.044,0.049,0.004,0,0.052,0.016
"P72","Muy positivo",0.365,0.162,0.134,0.238,0.063,0.095
"P72","Positivo",0.147,0.222,0.406,0.12,0.352,0.074
"P72","Neutral",0.242,0.381,0.258,0.463,0.239,0.567
"P72","Algo negativo",0.067,0.066,0.043,0.022,0.11,0
"P72","Negativo",0.155,0.119,0.14,0.157,0.185,0.244
"P72","No sabe",0.024,0.05,0.019,0,0.051,0.02
"P73","Muy positiva",0.356,0.075,0.147,0.064,0.054,0.007
"P73","Positiva",0.176,0.18,0.314,0.137,0.317,0.026
"P73","Neutral",0.233,0.339,0.303,0.338,0.223,0.39
"P73","Algo negativa",0.079,0.12,0.043,0,0.046,0.121
"P73","Negativa",0.14,0.193,0.181,0.461,0.288,0.375
"P73","No sabe",0.016,0.093,0.012,0,0.072,0.081
"P74","Muy positivo",0.224,0.067,0.132,0.051,0.034,0.007
"P74","Positivo",0.279,0.165,0.158,0.127,0.295,0.094
"P74","Neutral",0.178,0.342,0.229,0.328,0.162,0.373
"P74","Algo negativo",0.067,0.153,0.192,0.068,0.07,0.045
"P74","Negativo",0.184,0.213,0.211,0.426,0.375,0.4
"P74","No sabe",0.068,0.06,0.078,0,0.064,0.081
"P75","Muy positivo",0.158,0.049,0.112,0.018,0.006,0.007
"P75","Positivo",0.201,0.161,0.172,0.228,0.167,0.026
"P75","Neutral",0.29,0.439,0.293,0.271,0.313,0.525
"P75","Algo negativo",0.094,0.063,0.17,0.109,0.091,0.22
"P75","Negativo",0.191,0.209,0.175,0.374,0.355,0.045
"P75","No sabe",0.066,0.079,0.078,0,0.068,0.177
"P76","Muy positiva",0.445,0.238,0.259,0.473,0.306,0.177
"P76","Positiva",0.178,0.256,0.188,0.155,0.367,0.218
"P76","Neutral",0.185,0.252,0.232,0.066,0.139,0.339
"P76","Algo negativa",0.028,0.065,0.088,0.035,0.021,0.074
"P76","Negativa",0.144,0.142,0.22,0.271,0.158,0.01
"P76","No sabe",0.02,0.047,0.013,0,0.009,0.182
"P77","Muy positivo",0.323,0.216,0.268,0.345,0.336,0.175
"P77","Positivo",0.264,0.271,0.265,0.214,0.324,0.438
"P77","Neutral",0.132,0.222,0.238,0.218,0.122,0.171
"P77","Algo negativo",0.087,0.098,0.08,0.099,0.054,0.006
"P77","Negativo",0.174,0.152,0.135,0.124,0.153,0.012
"P77","No sabe",0.02,0.041,0.014,0,0.011,0.198
"P78","Muy positivo",0.276,0.19,0.205,0.293,0.264,0.154
"P78","Positivo",0.239,0.212,0.315,0.171,0.322,0.326
"P78","Neutral",0.231,0.386,0.262,0.376,0.237,0.297
"P78","Algo negativo",0.087,0.043,0.061,0.042,0.05,0.006
"P78","Negativo",0.165,0.13,0.141,0.118,0.114,0.011
"P78","No sabe",0.002,0.039,0.016,0,0.013,0.206
"P79","Si",0.604,0.529,0.517,0.382,0.476,0.467
"P79","No",0.396,0.471,0.483,0.618,0.524,0.533
