"var","categoria","Muy bajas","Bajas","Adecuadas","Altas","Muy altas"
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.193,0.124,0.123,0.151,0.11
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.404,0.351,0.316,0.397,0.368
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.164,0.174,0.215,0.142,0.175
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.01,0.059,0.004,0.014,0.01
"P25","En blanco",0.151,0.205,0.232,0.163,0.241
"P25","No sabe",0.078,0.087,0.11,0.133,0.096
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.156,0.099,0.119,0.165,0.144
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.272,0.594,0.496,0.47,0.43
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.16,0.119,0.245,0.163,0.107
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.015,0.033,0.009,0.039,0.028
"P28","En blanco",0.386,0.149,0.106,0.126,0.225
"P28","No sabe",0.011,0.006,0.025,0.037,0.066
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0,0.967,0.061,0.033,0.328
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.454,0.008,0.091,0.559,0.234
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.091,0,0.808,0.083,0.04
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.091,0,0,0.004,0.117
"P31","En blanco",0.273,0.008,0.02,0.008,0.274
"P31","No sabe",0.091,0.017,0.02,0.313,0.007
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.551,0.381,0.284,0.357,0.453
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.199,0.257,0.209,0.175,0.165
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.147,0.228,0.337,0.27,0.168
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.031,0.068,0.085,0.097,0.079
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.027,0.034,0.046,0.054,0.069
"P36","No sabe",0.045,0.032,0.039,0.047,0.066
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.276,0.349,0.499,0.456,0.29
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.444,0.479,0.359,0.36,0.482
"P37","En blanco",0.212,0.1,0.091,0.109,0.141
"P37","No sabe",0.068,0.072,0.051,0.075,0.087
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.468,0.421,0.351,0.373,0.362
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.309,0.285,0.191,0.199,0.349
"P38","En blanco",0.107,0.198,0.33,0.278,0.195
"P38","No sabe",0.116,0.096,0.128,0.15,0.094
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.345,0.361,0.537,0.458,0.276
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.443,0.369,0.255,0.307,0.442
"P39","En blanco",0.172,0.176,0.117,0.124,0.181
"P39","No sabe",0.04,0.094,0.091,0.111,0.101
"P40","Lo votaría",0.335,0.338,0.508,0.442,0.238
"P40","Puede que lo vote",0.116,0.096,0.072,0.095,0.125
"P40","Nunca lo votaría",0.515,0.517,0.375,0.417,0.584
"P40","No sabe",0.034,0.049,0.045,0.046,0.053
"P41","Lo votaría",0.411,0.368,0.296,0.298,0.355
"P41","Puede que lo vote",0.214,0.172,0.127,0.134,0.151
"P41","Nunca lo votaría",0.348,0.411,0.545,0.509,0.443
"P41","No sabe",0.027,0.049,0.032,0.059,0.051
"P42","Lo votaría",0.396,0.285,0.176,0.199,0.341
"P42","Puede que lo vote",0.198,0.185,0.145,0.148,0.171
"P42","Nunca lo votaría",0.367,0.468,0.643,0.592,0.433
"P42","No sabe",0.039,0.062,0.036,0.061,0.055
"P43","Lo votaría",0.149,0.073,0.116,0.095,0.108
"P43","Puede que lo vote",0.16,0.193,0.285,0.283,0.201
"P43","Nunca lo votaría",0.66,0.669,0.523,0.543,0.639
"P43","No sabe",0.031,0.065,0.076,0.079,0.052
"P44","Lo votaría",0.177,0.058,0.104,0.093,0.073
"P44","Puede que lo vote",0.218,0.283,0.319,0.263,0.21
"P44","Nunca lo votaría",0.563,0.56,0.508,0.551,0.629
"P44","No sabe",0.042,0.099,0.069,0.093,0.088
"P53","Sergio Massa y Javier Milei",0.446,0.436,0.487,0.455,0.362
"P53","Patricia Bullrich y Javier Milei",0.375,0.45,0.362,0.394,0.485
"P53","Sergio Massa y Patricia Bullrich",0.179,0.114,0.151,0.151,0.153
"P54","Muy buena",0.177,0.068,0.042,0.075,0.057
"P54","Buena",0.077,0.156,0.125,0.103,0.113
"P54","Regular",0.074,0.157,0.319,0.235,0.083
"P54","Mala",0.211,0.2,0.23,0.283,0.218
"P54","Muy mala",0.461,0.419,0.284,0.304,0.529
"P55","Muy buena",0.153,0.047,0.062,0.029,0.021
"P55","Buena",0.046,0.152,0.205,0.13,0.05
"P55","Regular",0.073,0.111,0.241,0.243,0.112
"P55","Mala",0.258,0.253,0.186,0.267,0.165
"P55","Muy mala",0.47,0.437,0.306,0.331,0.652
"P56","Muy buena",0.203,0.1,0.138,0.099,0.078
"P56","Buena",0.173,0.267,0.317,0.22,0.157
"P56","Regular",0.251,0.343,0.336,0.395,0.333
"P56","Mala",0.192,0.218,0.133,0.185,0.212
"P56","Muy mala",0.181,0.072,0.076,0.101,0.22
"P57","Muy buena",0.131,0.062,0.053,0.041,0.028
"P57","Buena",0.154,0.324,0.31,0.19,0.097
"P57","Regular",0.361,0.417,0.473,0.471,0.358
"P57","Mala",0.189,0.161,0.113,0.23,0.278
"P57","Muy mala",0.165,0.036,0.051,0.068,0.239
"P58","Muy buena",0.144,0.101,0.107,0.041,0.035
"P58","Buena",0.125,0.229,0.288,0.209,0.087
"P58","Regular",0.244,0.331,0.323,0.363,0.263
"P58","Mala",0.262,0.225,0.196,0.279,0.263
"P58","Muy mala",0.225,0.114,0.086,0.108,0.352
"P59","Muy buena",0.212,0.113,0.135,0.086,0.09
"P59","Buena",0.218,0.37,0.366,0.331,0.189
"P59","Regular",0.342,0.369,0.363,0.38,0.401
"P59","Mala",0.151,0.11,0.098,0.159,0.18
"P59","Muy mala",0.077,0.038,0.038,0.044,0.14
"P60","Ha aumentado significativamente",0.203,0.066,0.106,0.075,0.038
"P60","Ha aumentado ligeramente",0.157,0.298,0.272,0.206,0.133
"P60","Se mantiene igual",0.242,0.246,0.299,0.325,0.265
"P60","Ha disminuido ligeramente",0.18,0.231,0.19,0.219,0.221
"P60","Ha disminuido significativamente",0.218,0.159,0.133,0.175,0.343
"P61","Muy baja",0.347,0.041,0.03,0.037,0.032
"P61","Baja",0.074,0.185,0.072,0.057,0.031
"P61","Moderada",0.082,0.084,0.176,0.109,0.026
"P61","Alta",0.116,0.192,0.331,0.39,0.111
"P61","Muy alta",0.381,0.498,0.391,0.407,0.8
"P63","No, ninguna dificultad",0.596,0.457,0.438,0.253,0.134
"P63","Alguna dificultad ocasional",0.203,0.382,0.294,0.391,0.258
"P63","Sí, dificultades frecuentes",0.201,0.161,0.268,0.356,0.608
"P64","Sí, absolutamente",0.308,0.234,0.467,0.513,0.458
"P64","Sí, en cierta medida",0.272,0.448,0.357,0.303,0.27
"P64","No, en absoluto",0.42,0.318,0.176,0.184,0.272
"P65","Reducir la inflación",0.477,0.379,0.441,0.449,0.434
"P65","Implementar reformas fiscales",0.114,0.167,0.132,0.105,0.084
"P65","Establecer políticas de control de precios",0.09,0.112,0.181,0.174,0.108
"P65","Reducir el gasto público",0.291,0.298,0.202,0.211,0.31
"P65","Estimular la inversión extranjera",0.01,0.036,0.04,0.048,0.041
"P65","Aumentar los subsidios a los servicios públicos",0.018,0.008,0.004,0.013,0.023
"P66","Fomentar la competencia entre proveedores",0.562,0.412,0.304,0.349,0.37
"P66","Incrementar la inversión en infraestructura",0.166,0.295,0.255,0.199,0.164
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.08,0.147,0.177,0.154,0.121
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.192,0.146,0.264,0.298,0.345
"P67","Muy positiva",0.367,0.221,0.291,0.245,0.143
"P67","Positiva",0.184,0.216,0.225,0.235,0.15
"P67","Neutral",0.174,0.254,0.214,0.256,0.324
"P67","Algo negativa",0.097,0.133,0.094,0.097,0.124
"P67","Negativa",0.136,0.111,0.086,0.074,0.151
"P67","No sabe",0.042,0.065,0.09,0.093,0.108
"P68","Muy positivo",0.206,0.138,0.213,0.187,0.076
"P68","Positivo",0.133,0.219,0.26,0.244,0.16
"P68","Neutral",0.302,0.285,0.246,0.303,0.346
"P68","Algo negativo",0.082,0.102,0.078,0.104,0.116
"P68","Negativo",0.202,0.165,0.087,0.066,0.168
"P68","No sabe",0.075,0.091,0.116,0.096,0.134
"P69","Muy positivo",0.164,0.093,0.166,0.128,0.039
"P69","Positivo",0.113,0.169,0.216,0.187,0.106
"P69","Neutral",0.41,0.47,0.384,0.432,0.437
"P69","Algo negativo",0.064,0.067,0.056,0.094,0.104
"P69","Negativo",0.158,0.099,0.051,0.052,0.134
"P69","No sabe",0.091,0.102,0.127,0.107,0.18
"P70","Muy positiva",0.288,0.268,0.441,0.367,0.21
"P70","Positiva",0.124,0.249,0.218,0.229,0.184
"P70","Neutral",0.314,0.231,0.161,0.232,0.305
"P70","Algo negativa",0.08,0.116,0.061,0.076,0.093
"P70","Negativa",0.163,0.098,0.078,0.069,0.15
"P70","No sabe",0.031,0.038,0.041,0.027,0.058
"P71","Muy positivo",0.289,0.266,0.412,0.384,0.211
"P71","Positivo",0.145,0.216,0.232,0.226,0.214
"P71","Neutral",0.23,0.229,0.165,0.208,0.27
"P71","Algo negativo",0.126,0.124,0.077,0.086,0.082
"P71","Negativo",0.18,0.134,0.072,0.07,0.173
"P71","No sabe",0.03,0.031,0.042,0.026,0.05
"P72","Muy positivo",0.291,0.202,0.39,0.345,0.224
"P72","Positivo",0.144,0.275,0.262,0.25,0.196
"P72","Neutral",0.322,0.355,0.224,0.261,0.294
"P72","Algo negativo",0.032,0.052,0.036,0.053,0.077
"P72","Negativo",0.175,0.091,0.051,0.069,0.155
"P72","No sabe",0.036,0.025,0.037,0.022,0.054
"P73","Muy positiva",0.269,0.159,0.288,0.235,0.152
"P73","Positiva",0.121,0.25,0.289,0.242,0.201
"P73","Neutral",0.21,0.25,0.188,0.255,0.264
"P73","Algo negativa",0.11,0.132,0.055,0.102,0.098
"P73","Negativa",0.217,0.155,0.118,0.096,0.189
"P73","No sabe",0.073,0.054,0.062,0.07,0.096
"P74","Muy positivo",0.197,0.159,0.249,0.209,0.141
"P74","Positivo",0.189,0.197,0.274,0.25,0.179
"P74","Neutral",0.26,0.292,0.201,0.263,0.283
"P74","Algo negativo",0.087,0.107,0.093,0.114,0.112
"P74","Negativo",0.216,0.172,0.123,0.088,0.205
"P74","No sabe",0.051,0.073,0.06,0.076,0.08
"P75","Muy positivo",0.195,0.112,0.237,0.157,0.118
"P75","Positivo",0.165,0.211,0.216,0.24,0.156
"P75","Neutral",0.303,0.376,0.292,0.359,0.36
"P75","Algo negativo",0.095,0.099,0.073,0.083,0.099
"P75","Negativo",0.183,0.122,0.106,0.086,0.175
"P75","No sabe",0.059,0.08,0.076,0.075,0.092
"P76","Muy positiva",0.363,0.307,0.43,0.39,0.273
"P76","Positiva",0.136,0.214,0.232,0.226,0.203
"P76","Neutral",0.211,0.211,0.146,0.186,0.246
"P76","Algo negativa",0.089,0.102,0.045,0.078,0.068
"P76","Negativa",0.192,0.133,0.09,0.076,0.139
"P76","No sabe",0.009,0.033,0.057,0.044,0.071
"P77","Muy positivo",0.383,0.295,0.417,0.394,0.267
"P77","Positivo",0.126,0.21,0.248,0.217,0.253
"P77","Neutral",0.225,0.21,0.149,0.168,0.203
"P77","Algo negativo",0.091,0.109,0.07,0.102,0.067
"P77","Negativo",0.166,0.146,0.081,0.077,0.14
"P77","No sabe",0.009,0.03,0.035,0.042,0.07
"P78","Muy positivo",0.365,0.281,0.36,0.323,0.239
"P78","Positivo",0.19,0.16,0.22,0.196,0.234
"P78","Neutral",0.214,0.361,0.282,0.29,0.271
"P78","Algo negativo",0.069,0.057,0.037,0.073,0.065
"P78","Negativo",0.154,0.104,0.058,0.063,0.117
"P78","No sabe",0.008,0.037,0.043,0.055,0.074
"P79","Si",0.571,0.552,0.535,0.537,0.554
"P79","No",0.429,0.448,0.465,0.463,0.446
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.239,0.329,0.506,0.408,0.244
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.309,0.363,0.249,0.281,0.31
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.373,0.249,0.178,0.214,0.323
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.018,0.01,0.026,0.037,0.03
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.013,0.01,0.015,0.011,0.032
"PRESIDENTE","En blanco",0.022,0.026,0.007,0.024,0.034
"PRESIDENTE","No sabe",0.026,0.013,0.019,0.025,0.027
