"var","categoria","Unión por la Patria","Juntos por el Cambio ","Liberales","Izquierda","Hacemos por Nuestro país","No sabe"
"P37","En blanco",0.055,0.034,0.247,0.183,0.221,0.126
"P37","No sabe",0.021,0.038,0.08,0.251,0.183,0.434
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.204,0.817,0.206,0.275,0.148,0.183
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.071,0.089,0.725,0.177,0.549,0.144
"P38","En blanco",0.528,0.054,0.053,0.319,0.177,0.166
"P38","No sabe",0.197,0.04,0.016,0.229,0.126,0.507
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.893,0.145,0.084,0.372,0.156,0.27
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.033,0.378,0.791,0.259,0.572,0.175
"P39","En blanco",0.051,0.296,0.09,0.169,0.138,0.139
"P39","No sabe",0.023,0.181,0.035,0.2,0.134,0.416
"P40","Lo votaría",0.903,0.083,0.063,0.328,0.143,0.249
"P40","Puede que lo vote",0.032,0.094,0.153,0.239,0.198,0.122
"P40","Nunca lo votaría",0.044,0.788,0.747,0.349,0.531,0.369
"P40","No sabe",0.021,0.035,0.037,0.084,0.128,0.26
"P41","Lo votaría",0.145,0.756,0.215,0.27,0.121,0.105
"P41","Puede que lo vote",0.063,0.067,0.306,0.121,0.268,0.243
"P41","Nunca lo votaría",0.756,0.147,0.446,0.53,0.512,0.328
"P41","No sabe",0.036,0.03,0.033,0.079,0.099,0.324
"P42","Lo votaría",0.034,0.166,0.704,0.282,0.361,0.122
"P42","Puede que lo vote",0.06,0.299,0.137,0.08,0.208,0.165
"P42","Nunca lo votaría",0.874,0.471,0.137,0.606,0.353,0.411
"P42","No sabe",0.032,0.064,0.022,0.032,0.078,0.302
"P43","Lo votaría",0.135,0.034,0.105,0.328,0.149,0.071
"P43","Puede que lo vote",0.369,0.161,0.151,0.219,0.233,0.183
"P43","Nunca lo votaría",0.425,0.747,0.704,0.387,0.516,0.458
"P43","No sabe",0.071,0.058,0.04,0.066,0.102,0.288
"P44","Lo votaría",0.116,0.075,0.049,0.107,0.203,0.109
"P44","Puede que lo vote",0.302,0.274,0.239,0.2,0.191,0.147
"P44","Nunca lo votaría",0.513,0.571,0.661,0.615,0.495,0.401
"P44","No sabe",0.069,0.08,0.051,0.078,0.111,0.343
"P53","Sergio Massa y Javier Milei",0.739,0.109,0.352,0.513,0.413,0.412
"P53","Patricia Bullrich y Javier Milei",0.11,0.735,0.545,0.308,0.444,0.344
"P53","Sergio Massa y Patricia Bullrich",0.151,0.156,0.103,0.179,0.143,0.244
"P54","Muy buena",0.104,0.021,0.065,0.127,0.092,0.032
"P54","Buena",0.163,0.079,0.086,0.175,0.129,0.043
"P54","Regular",0.44,0.052,0.044,0.196,0.106,0.16
"P54","Mala",0.227,0.282,0.211,0.192,0.186,0.337
"P54","Muy mala",0.066,0.566,0.594,0.31,0.487,0.428
"P55","Muy buena",0.088,0.017,0.012,0.073,0.046,0.019
"P55","Buena",0.308,0.023,0.018,0.099,0.025,0.031
"P55","Regular",0.388,0.051,0.042,0.192,0.14,0.15
"P55","Mala",0.158,0.26,0.237,0.245,0.213,0.338
"P55","Muy mala",0.058,0.649,0.691,0.391,0.576,0.462
"P56","Muy buena",0.213,0.02,0.088,0.079,0.103,0.035
"P56","Buena",0.398,0.14,0.175,0.158,0.093,0.109
"P56","Regular",0.276,0.44,0.342,0.277,0.418,0.324
"P56","Mala",0.082,0.271,0.198,0.276,0.191,0.295
"P56","Muy mala",0.031,0.129,0.197,0.21,0.195,0.237
"P57","Muy buena",0.086,0.017,0.029,0.076,0.074,0.011
"P57","Buena",0.36,0.148,0.118,0.111,0.086,0.065
"P57","Regular",0.411,0.477,0.44,0.404,0.443,0.348
"P57","Mala",0.11,0.243,0.252,0.252,0.216,0.339
"P57","Muy mala",0.033,0.115,0.161,0.157,0.181,0.237
"P58","Muy buena",0.135,0.019,0.018,0.125,0.055,0.03
"P58","Buena",0.373,0.096,0.079,0.119,0.095,0.135
"P58","Regular",0.34,0.296,0.292,0.385,0.347,0.335
"P58","Mala",0.116,0.342,0.332,0.201,0.291,0.328
"P58","Muy mala",0.036,0.247,0.279,0.17,0.212,0.172
"P59","Muy buena",0.187,0.03,0.108,0.099,0.083,0.052
"P59","Buena",0.458,0.201,0.24,0.26,0.217,0.099
"P59","Regular",0.276,0.507,0.391,0.348,0.428,0.421
"P59","Mala",0.054,0.194,0.162,0.2,0.141,0.287
"P59","Muy mala",0.025,0.068,0.099,0.093,0.131,0.141
"P60","Ha aumentado significativamente",0.153,0.02,0.042,0.107,0.081,0.045
"P60","Ha aumentado ligeramente",0.304,0.132,0.177,0.202,0.159,0.13
"P60","Se mantiene igual",0.313,0.285,0.261,0.274,0.329,0.291
"P60","Ha disminuido ligeramente",0.167,0.265,0.219,0.189,0.136,0.271
"P60","Ha disminuido significativamente",0.063,0.298,0.301,0.228,0.295,0.263
"P61","Muy baja",0.045,0.042,0.028,0.09,0.09,0.11
"P61","Baja",0.077,0.059,0.046,0.047,0.087,0.113
"P61","Moderada",0.171,0.048,0.054,0.064,0.146,0.071
"P61","Alta",0.463,0.168,0.14,0.301,0.104,0.191
"P61","Muy alta",0.244,0.683,0.732,0.498,0.573,0.515
"P62","Muy bajas",0.032,0.052,0.071,0.041,0.071,0.058
"P62","Bajas",0.085,0.136,0.105,0.07,0.067,0.093
"P62","Adecuadas",0.361,0.24,0.18,0.157,0.124,0.161
"P62","Altas",0.363,0.294,0.274,0.383,0.285,0.42
"P62","Muy altas",0.159,0.278,0.37,0.349,0.453,0.268
"P63","No, ninguna dificultad",0.463,0.25,0.217,0.285,0.16,0.156
"P63","Alguna dificultad ocasional",0.289,0.351,0.345,0.267,0.33,0.299
"P63","Sí, dificultades frecuentes",0.248,0.399,0.438,0.448,0.51,0.545
"P64","Sí, absolutamente",0.703,0.261,0.272,0.521,0.416,0.434
"P64","Sí, en cierta medida",0.236,0.414,0.345,0.319,0.276,0.351
"P64","No, en absoluto",0.061,0.325,0.383,0.16,0.308,0.215
"P65","Reducir la inflación",0.518,0.392,0.372,0.457,0.448,0.397
"P65","Implementar reformas fiscales",0.133,0.103,0.103,0.148,0.085,0.09
"P65","Establecer políticas de control de precios",0.258,0.059,0.071,0.144,0.184,0.156
"P65","Reducir el gasto público",0.039,0.394,0.417,0.158,0.245,0.239
"P65","Estimular la inversión extranjera",0.042,0.047,0.027,0.047,0.021,0.069
"P65","Aumentar los subsidios a los servicios públicos",0.01,0.005,0.01,0.046,0.017,0.049
"P66","Fomentar la competencia entre proveedores",0.233,0.388,0.546,0.278,0.408,0.312
"P66","Incrementar la inversión en infraestructura",0.227,0.267,0.159,0.171,0.142,0.178
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.239,0.088,0.047,0.179,0.082,0.263
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.301,0.257,0.248,0.372,0.368,0.247
"P67","Muy positiva",0.419,0.093,0.159,0.254,0.169,0.107
"P67","Positiva",0.317,0.124,0.134,0.254,0.173,0.178
"P67","Neutral",0.139,0.332,0.321,0.279,0.327,0.328
"P67","Algo negativa",0.063,0.151,0.121,0.108,0.14,0.086
"P67","Negativa",0.01,0.191,0.175,0.065,0.088,0.063
"P67","No sabe",0.052,0.109,0.09,0.04,0.103,0.238
"P68","Muy positivo",0.348,0.034,0.049,0.188,0.038,0.104
"P68","Positivo",0.369,0.113,0.117,0.25,0.224,0.137
"P68","Neutral",0.175,0.384,0.368,0.305,0.306,0.37
"P68","Algo negativo",0.032,0.155,0.144,0.046,0.162,0.066
"P68","Negativo",0.006,0.199,0.208,0.097,0.118,0.074
"P68","No sabe",0.07,0.115,0.114,0.114,0.152,0.249
"P69","Muy positivo",0.243,0.03,0.033,0.095,0.035,0.058
"P69","Positivo",0.292,0.077,0.092,0.211,0.145,0.095
"P69","Neutral",0.328,0.513,0.486,0.408,0.411,0.407
"P69","Algo negativo",0.03,0.127,0.113,0.036,0.126,0.078
"P69","Negativo",0.01,0.118,0.153,0.108,0.125,0.077
"P69","No sabe",0.097,0.135,0.123,0.142,0.158,0.285
"P70","Muy positiva",0.638,0.12,0.115,0.353,0.283,0.206
"P70","Positiva",0.23,0.209,0.187,0.207,0.216,0.19
"P70","Neutral",0.092,0.331,0.333,0.284,0.275,0.28
"P70","Algo negativa",0.015,0.133,0.137,0.056,0.043,0.103
"P70","Negativa",0.009,0.153,0.187,0.053,0.144,0.099
"P70","No sabe",0.016,0.054,0.041,0.047,0.039,0.122
"P71","Muy positivo",0.653,0.113,0.11,0.257,0.265,0.216
"P71","Positivo",0.24,0.181,0.216,0.327,0.278,0.165
"P71","Neutral",0.074,0.33,0.296,0.184,0.289,0.236
"P71","Algo negativo",0.013,0.16,0.138,0.056,0.027,0.129
"P71","Negativo",0.006,0.172,0.209,0.126,0.105,0.098
"P71","No sabe",0.014,0.044,0.031,0.05,0.036,0.156
"P72","Muy positivo",0.604,0.109,0.107,0.21,0.236,0.19
"P72","Positivo",0.243,0.239,0.212,0.35,0.214,0.239
"P72","Neutral",0.117,0.386,0.376,0.294,0.342,0.293
"P72","Algo negativo",0.014,0.096,0.082,0.05,0.025,0.049
"P72","Negativo",0.012,0.132,0.191,0.053,0.12,0.074
"P72","No sabe",0.01,0.038,0.032,0.043,0.063,0.155
"P73","Muy positiva",0.463,0.052,0.065,0.165,0.156,0.097
"P73","Positiva",0.357,0.151,0.15,0.353,0.224,0.17
"P73","Neutral",0.113,0.299,0.358,0.301,0.252,0.254
"P73","Algo negativa",0.025,0.167,0.124,0.046,0.077,0.111
"P73","Negativa",0.007,0.229,0.261,0.07,0.151,0.141
"P73","No sabe",0.035,0.102,0.042,0.065,0.14,0.227
"P74","Muy positivo",0.421,0.036,0.062,0.213,0.089,0.055
"P74","Positivo",0.373,0.121,0.119,0.339,0.142,0.213
"P74","Neutral",0.137,0.326,0.347,0.265,0.315,0.288
"P74","Algo negativo",0.029,0.189,0.154,0.074,0.104,0.079
"P74","Negativo",0.005,0.236,0.276,0.09,0.183,0.11
"P74","No sabe",0.035,0.092,0.042,0.019,0.167,0.255
"P75","Muy positivo",0.349,0.048,0.04,0.187,0.063,0.055
"P75","Positivo",0.328,0.11,0.086,0.315,0.207,0.219
"P75","Neutral",0.234,0.405,0.446,0.331,0.341,0.355
"P75","Algo negativo",0.033,0.146,0.132,0.06,0.06,0.048
"P75","Negativo",0.007,0.182,0.247,0.088,0.171,0.109
"P75","No sabe",0.049,0.109,0.049,0.019,0.158,0.214
"P76","Muy positiva",0.615,0.145,0.236,0.346,0.277,0.233
"P76","Positiva",0.238,0.181,0.207,0.209,0.24,0.252
"P76","Neutral",0.085,0.256,0.273,0.289,0.262,0.208
"P76","Algo negativa",0.021,0.128,0.09,0.065,0.028,0.091
"P76","Negativa",0.013,0.209,0.156,0.068,0.175,0.045
"P76","No sabe",0.028,0.081,0.038,0.023,0.018,0.171
"P77","Muy positivo",0.603,0.122,0.254,0.322,0.28,0.276
"P77","Positivo",0.269,0.179,0.228,0.206,0.253,0.209
"P77","Neutral",0.072,0.262,0.244,0.204,0.23,0.186
"P77","Algo negativo",0.027,0.149,0.096,0.129,0.114,0.075
"P77","Negativo",0.011,0.227,0.145,0.068,0.111,0.052
"P77","No sabe",0.018,0.061,0.033,0.071,0.012,0.202
"P78","Muy positivo",0.531,0.121,0.215,0.114,0.31,0.186
"P78","Positivo",0.229,0.164,0.209,0.286,0.235,0.195
"P78","Neutral",0.193,0.365,0.328,0.441,0.241,0.336
"P78","Algo negativo",0.02,0.098,0.076,0.09,0.041,0.076
"P78","Negativo",0.011,0.174,0.123,0.05,0.096,0.023
"P78","No sabe",0.016,0.078,0.049,0.019,0.077,0.184
"P79","Si",0.601,0.516,0.472,0.442,0.636,0.546
"P79","No",0.399,0.484,0.528,0.558,0.364,0.454
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.843,0.136,0.068,0.172,0.099,0.185
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.058,0.732,0.246,0.212,0.072,0.076
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.071,0.1,0.668,0.136,0.461,0.145
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.017,0.009,0.012,0.196,0.095,0.033
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.002,0.007,0.001,0.179,0.159,0.022
"PRESIDENTE","En blanco",0.004,0.003,0.001,0.031,0.059,0.279
"PRESIDENTE","No sabe",0.005,0.013,0.004,0.074,0.055,0.26
