"var","categoria","Sergio Massa y Javier Milei","Patricia Bullrich y Javier Milei","Sergio Massa y Patricia Bullrich"
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.18,0.498,0.145
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.11,0.149,0
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.011,0.011,0.661
"P31","En blanco",0.17,0.102,0.016
"P31","No sabe",0.023,0.232,0.081
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.26,0.533,0.338
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.147,0.23,0.19
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.365,0.114,0.257
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.122,0.041,0.09
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.06,0.034,0.067
"P36","No sabe",0.046,0.048,0.058
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.652,0.131,0.448
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.14,0.712,0.334
"P37","En blanco",0.137,0.092,0.111
"P37","No sabe",0.071,0.065,0.107
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.19,0.555,0.402
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.243,0.3,0.158
"P38","En blanco",0.396,0.087,0.282
"P38","No sabe",0.171,0.058,0.158
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.643,0.138,0.483
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.237,0.518,0.19
"P39","En blanco",0.066,0.217,0.186
"P39","No sabe",0.054,0.127,0.141
"P40","Lo votaría",0.638,0.113,0.414
"P40","Puede que lo vote",0.095,0.093,0.117
"P40","Nunca lo votaría",0.214,0.758,0.408
"P40","No sabe",0.053,0.036,0.061
"P41","Lo votaría",0.131,0.531,0.31
"P41","Puede que lo vote",0.105,0.189,0.141
"P41","Nunca lo votaría",0.703,0.245,0.492
"P41","No sabe",0.061,0.035,0.057
"P42","Lo votaría",0.196,0.344,0.165
"P42","Puede que lo vote",0.099,0.244,0.103
"P42","Nunca lo votaría",0.658,0.352,0.688
"P42","No sabe",0.047,0.06,0.044
"P43","Lo votaría",0.147,0.053,0.124
"P43","Puede que lo vote",0.303,0.186,0.224
"P43","Nunca lo votaría",0.487,0.692,0.564
"P43","No sabe",0.063,0.069,0.088
"P44","Lo votaría",0.126,0.071,0.069
"P44","Puede que lo vote",0.271,0.29,0.155
"P44","Nunca lo votaría",0.527,0.554,0.671
"P44","No sabe",0.076,0.085,0.105
"P54","Muy buena",0.141,0.009,0.022
"P54","Buena",0.101,0.138,0.085
"P54","Regular",0.292,0.071,0.3
"P54","Mala",0.242,0.236,0.258
"P54","Muy mala",0.224,0.546,0.335
"P55","Muy buena",0.075,0.014,0.042
"P55","Buena",0.214,0.033,0.117
"P55","Regular",0.271,0.073,0.237
"P55","Mala",0.206,0.227,0.251
"P55","Muy mala",0.234,0.653,0.353
"P56","Muy buena",0.172,0.046,0.109
"P56","Buena",0.297,0.167,0.233
"P56","Regular",0.299,0.389,0.369
"P56","Mala",0.15,0.235,0.154
"P56","Muy mala",0.082,0.163,0.135
"P57","Muy buena",0.067,0.024,0.062
"P57","Buena",0.283,0.139,0.156
"P57","Regular",0.414,0.455,0.425
"P57","Mala",0.16,0.245,0.221
"P57","Muy mala",0.076,0.137,0.136
"P58","Muy buena",0.105,0.021,0.075
"P58","Buena",0.282,0.106,0.168
"P58","Regular",0.33,0.303,0.333
"P58","Mala",0.179,0.323,0.27
"P58","Muy mala",0.104,0.247,0.154
"P59","Muy buena",0.158,0.053,0.117
"P59","Buena",0.378,0.231,0.23
"P59","Regular",0.324,0.449,0.385
"P59","Mala",0.087,0.179,0.201
"P59","Muy mala",0.053,0.088,0.067
"P60","Ha aumentado significativamente",0.127,0.027,0.087
"P60","Ha aumentado ligeramente",0.269,0.151,0.172
"P60","Se mantiene igual",0.309,0.271,0.303
"P60","Ha disminuido ligeramente",0.161,0.245,0.263
"P60","Ha disminuido significativamente",0.134,0.306,0.175
"P61","Muy baja",0.059,0.031,0.071
"P61","Baja",0.073,0.055,0.086
"P61","Moderada",0.123,0.056,0.157
"P61","Alta",0.362,0.17,0.26
"P61","Muy alta",0.383,0.688,0.426
"P62","Muy bajas",0.051,0.046,0.06
"P62","Bajas",0.102,0.11,0.078
"P62","Adecuadas",0.284,0.221,0.257
"P62","Altas",0.339,0.308,0.329
"P62","Muy altas",0.224,0.315,0.276
"P63","No, ninguna dificultad",0.402,0.222,0.265
"P63","Alguna dificultad ocasional",0.283,0.363,0.309
"P63","Sí, dificultades frecuentes",0.315,0.415,0.426
"P64","Sí, absolutamente",0.573,0.3,0.494
"P64","Sí, en cierta medida",0.266,0.396,0.275
"P64","No, en absoluto",0.161,0.304,0.231
"P65","Reducir la inflación",0.493,0.391,0.402
"P65","Implementar reformas fiscales",0.108,0.114,0.125
"P65","Establecer políticas de control de precios",0.201,0.075,0.195
"P65","Reducir el gasto público",0.142,0.371,0.215
"P65","Estimular la inversión extranjera",0.036,0.043,0.05
"P65","Aumentar los subsidios a los servicios públicos",0.02,0.006,0.013
"P66","Fomentar la competencia entre proveedores",0.328,0.416,0.301
"P66","Incrementar la inversión en infraestructura",0.191,0.228,0.232
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.194,0.093,0.156
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.287,0.263,0.311
"P67","Muy positiva",0.346,0.116,0.23
"P67","Positiva",0.259,0.14,0.23
"P67","Neutral",0.214,0.317,0.229
"P67","Algo negativa",0.07,0.139,0.127
"P67","Negativa",0.047,0.172,0.087
"P67","No sabe",0.064,0.116,0.097
"P68","Muy positivo",0.248,0.07,0.148
"P68","Positivo",0.301,0.12,0.244
"P68","Neutral",0.246,0.36,0.28
"P68","Algo negativo",0.058,0.144,0.096
"P68","Negativo",0.055,0.182,0.111
"P68","No sabe",0.092,0.124,0.121
"P69","Muy positivo",0.182,0.046,0.084
"P69","Positivo",0.229,0.087,0.207
"P69","Neutral",0.391,0.473,0.387
"P69","Algo negativo",0.046,0.121,0.083
"P69","Negativo",0.033,0.134,0.099
"P69","No sabe",0.119,0.139,0.14
"P70","Muy positiva",0.5,0.156,0.305
"P70","Positiva",0.218,0.205,0.209
"P70","Neutral",0.169,0.307,0.242
"P70","Algo negativa",0.034,0.128,0.092
"P70","Negativa",0.051,0.157,0.093
"P70","No sabe",0.028,0.047,0.059
"P71","Muy positivo",0.488,0.145,0.353
"P71","Positivo",0.236,0.198,0.229
"P71","Neutral",0.142,0.314,0.175
"P71","Algo negativo",0.046,0.125,0.115
"P71","Negativo",0.057,0.178,0.082
"P71","No sabe",0.031,0.04,0.046
"P72","Muy positivo",0.443,0.147,0.33
"P72","Positivo",0.256,0.222,0.221
"P72","Neutral",0.193,0.364,0.27
"P72","Algo negativo",0.03,0.077,0.064
"P72","Negativo",0.052,0.149,0.068
"P72","No sabe",0.026,0.041,0.047
"P73","Muy positiva",0.35,0.083,0.202
"P73","Positiva",0.302,0.157,0.271
"P73","Neutral",0.176,0.317,0.206
"P73","Algo negativa",0.051,0.131,0.112
"P73","Negativa",0.065,0.23,0.111
"P73","No sabe",0.056,0.082,0.098
"P74","Muy positivo",0.32,0.058,0.19
"P74","Positivo",0.3,0.13,0.282
"P74","Neutral",0.197,0.331,0.227
"P74","Algo negativo",0.058,0.155,0.118
"P74","Negativo",0.065,0.237,0.122
"P74","No sabe",0.06,0.089,0.061
"P75","Muy positivo",0.254,0.061,0.169
"P75","Positivo",0.275,0.112,0.245
"P75","Neutral",0.296,0.407,0.304
"P75","Algo negativo",0.052,0.124,0.091
"P75","Negativo",0.06,0.197,0.115
"P75","No sabe",0.063,0.099,0.076
"P76","Muy positiva",0.528,0.191,0.305
"P76","Positiva",0.217,0.203,0.25
"P76","Neutral",0.147,0.258,0.17
"P76","Algo negativa",0.039,0.104,0.072
"P76","Negativa",0.039,0.178,0.126
"P76","No sabe",0.03,0.066,0.077
"P77","Muy positivo",0.504,0.191,0.35
"P77","Positivo",0.249,0.212,0.22
"P77","Neutral",0.128,0.244,0.158
"P77","Algo negativo",0.051,0.128,0.071
"P77","Negativo",0.033,0.183,0.118
"P77","No sabe",0.035,0.042,0.083
"P78","Muy positivo",0.424,0.176,0.312
"P78","Positivo",0.226,0.196,0.19
"P78","Neutral",0.243,0.338,0.284
"P78","Algo negativo",0.036,0.085,0.062
"P78","Negativo",0.029,0.146,0.085
"P78","No sabe",0.042,0.059,0.067
"P79","Si",0.575,0.501,0.565
"P79","No",0.425,0.499,0.435
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.593,0.119,0.409
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.082,0.503,0.312
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.228,0.306,0.161
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.036,0.017,0.032
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.019,0.013,0.024
"PRESIDENTE","En blanco",0.021,0.016,0.038
"PRESIDENTE","No sabe",0.021,0.026,0.024
