"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P57","Muy mala",0.053,0.149,0.154,0.145
"P58","Muy buena",0.118,0.02,0.043,0.038
"P58","Buena",0.331,0.087,0.115,0.093
"P58","Regular",0.349,0.298,0.291,0.311
"P58","Mala",0.144,0.317,0.307,0.399
"P58","Muy mala",0.058,0.278,0.244,0.159
"P59","Muy buena",0.162,0.094,0.031,0.052
"P59","Buena",0.406,0.229,0.214,0.182
"P59","Regular",0.316,0.417,0.456,0.457
"P59","Mala",0.085,0.154,0.225,0.211
"P59","Muy mala",0.031,0.106,0.074,0.098
"P60","Ha aumentado significativamente",0.14,0.042,0.031,0.034
"P60","Ha aumentado ligeramente",0.277,0.162,0.148,0.147
"P60","Se mantiene igual",0.316,0.284,0.244,0.29
"P60","Ha disminuido ligeramente",0.172,0.223,0.259,0.26
"P60","Ha disminuido significativamente",0.095,0.289,0.318,0.269
"P61","Muy baja",0.057,0.037,0.049,0.059
"P61","Baja",0.079,0.045,0.093,0.057
"P61","Moderada",0.158,0.052,0.069,0.072
"P61","Alta",0.416,0.137,0.162,0.248
"P61","Muy alta",0.29,0.729,0.627,0.564
"P62","Muy bajas",0.042,0.065,0.059,0.021
"P62","Bajas",0.089,0.11,0.124,0.098
"P62","Adecuadas",0.33,0.188,0.204,0.236
"P62","Altas",0.36,0.29,0.277,0.368
"P62","Muy altas",0.179,0.347,0.336,0.277
"P63","No, ninguna dificultad",0.417,0.239,0.226,0.194
"P63","Alguna dificultad ocasional",0.298,0.34,0.34,0.317
"P63","Sí, dificultades frecuentes",0.285,0.421,0.434,0.489
"P64","Sí, absolutamente",0.651,0.283,0.288,0.399
"P64","Sí, en cierta medida",0.259,0.373,0.369,0.331
"P64","No, en absoluto",0.09,0.344,0.343,0.27
"P65","Reducir la inflación",0.488,0.372,0.456,0.422
"P65","Implementar reformas fiscales",0.14,0.11,0.073,0.074
"P65","Establecer políticas de control de precios",0.243,0.063,0.1,0.113
"P65","Reducir el gasto público",0.072,0.415,0.313,0.307
"P65","Estimular la inversión extranjera",0.043,0.031,0.052,0.049
"P65","Aumentar los subsidios a los servicios públicos",0.014,0.009,0.006,0.035
"P66","Fomentar la competencia entre proveedores",0.255,0.493,0.381,0.309
"P66","Incrementar la inversión en infraestructura",0.219,0.194,0.252,0.193
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.234,0.058,0.092,0.166
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.292,0.255,0.275,0.332
"P67","Muy positiva",0.376,0.131,0.137,0.13
"P67","Positiva",0.286,0.153,0.143,0.143
"P67","Neutral",0.176,0.328,0.309,0.294
"P67","Algo negativa",0.063,0.131,0.151,0.145
"P67","Negativa",0.028,0.165,0.177,0.111
"P67","No sabe",0.071,0.092,0.083,0.177
"P68","Muy positivo",0.287,0.054,0.101,0.079
"P68","Positivo",0.331,0.136,0.138,0.144
"P68","Neutral",0.216,0.37,0.333,0.338
"P68","Algo negativo",0.047,0.149,0.115,0.122
"P68","Negativo",0.03,0.176,0.206,0.137
"P68","No sabe",0.089,0.115,0.107,0.18
"P69","Muy positivo",0.196,0.04,0.068,0.072
"P69","Positivo",0.264,0.102,0.086,0.102
"P69","Neutral",0.347,0.491,0.496,0.416
"P69","Algo negativo",0.051,0.11,0.096,0.099
"P69","Negativo",0.023,0.13,0.145,0.092
"P69","No sabe",0.119,0.127,0.109,0.219
"P70","Muy positiva",0.575,0.123,0.175,0.234
"P70","Positiva",0.223,0.222,0.161,0.199
"P70","Neutral",0.12,0.323,0.345,0.272
"P70","Algo negativa",0.023,0.121,0.124,0.124
"P70","Negativa",0.029,0.168,0.168,0.077
"P70","No sabe",0.03,0.043,0.027,0.094
"P71","Muy positivo",0.576,0.115,0.192,0.213
"P71","Positivo",0.234,0.238,0.166,0.169
"P71","Neutral",0.094,0.299,0.313,0.314
"P71","Algo negativo",0.036,0.131,0.131,0.107
"P71","Negativo",0.029,0.187,0.17,0.1
"P71","No sabe",0.031,0.03,0.028,0.097
"P72","Muy positivo",0.538,0.108,0.175,0.186
"P72","Positivo",0.239,0.253,0.199,0.225
"P72","Neutral",0.143,0.377,0.352,0.362
"P72","Algo negativo",0.025,0.07,0.094,0.068
"P72","Negativo",0.031,0.156,0.142,0.082
"P72","No sabe",0.024,0.036,0.038,0.077
"P73","Muy positiva",0.409,0.066,0.101,0.106
"P73","Positiva",0.33,0.166,0.2,0.154
"P73","Neutral",0.141,0.32,0.275,0.315
"P73","Algo negativa",0.042,0.132,0.124,0.127
"P73","Negativa",0.024,0.243,0.234,0.135
"P73","No sabe",0.054,0.073,0.066,0.163
"P74","Muy positivo",0.361,0.057,0.113,0.068
"P74","Positivo",0.358,0.128,0.136,0.143
"P74","Neutral",0.157,0.329,0.312,0.35
"P74","Algo negativo",0.042,0.157,0.14,0.16
"P74","Negativo",0.025,0.252,0.248,0.129
"P74","No sabe",0.057,0.077,0.051,0.15
"P75","Muy positivo",0.299,0.053,0.09,0.065
"P75","Positivo",0.321,0.119,0.106,0.138
"P75","Neutral",0.256,0.405,0.412,0.394
"P75","Algo negativo",0.036,0.134,0.129,0.084
"P75","Negativo",0.029,0.208,0.195,0.134
"P75","No sabe",0.059,0.081,0.068,0.185
"P76","Muy positiva",0.55,0.227,0.191,0.22
"P76","Positiva",0.225,0.228,0.184,0.187
"P76","Neutral",0.122,0.25,0.261,0.232
"P76","Algo negativa",0.034,0.095,0.112,0.077
"P76","Negativa",0.029,0.149,0.222,0.147
"P76","No sabe",0.04,0.051,0.03,0.137
"P77","Muy positivo",0.533,0.238,0.196,0.209
"P77","Positivo",0.248,0.232,0.189,0.202
"P77","Neutral",0.109,0.232,0.246,0.208
"P77","Algo negativo",0.048,0.101,0.145,0.106
"P77","Negativo",0.03,0.15,0.211,0.137
"P77","No sabe",0.032,0.047,0.013,0.138
"P78","Muy positivo",0.451,0.226,0.183,0.14
"P78","Positivo",0.217,0.208,0.163,0.235
"P78","Neutral",0.231,0.322,0.341,0.339
"P78","Algo negativo",0.036,0.078,0.088,0.056
"P78","Negativo",0.029,0.108,0.187,0.099
"P78","No sabe",0.036,0.058,0.038,0.131
"P79","Si",0.583,0.509,0.556,0.475
"P79","No",0.417,0.491,0.444,0.525
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.751,0.081,0.154,0.121
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.104,0.314,0.587,0.417
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.077,0.547,0.108,0.095
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.033,0.017,0.039,0.029
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.015,0.017,0.027,0.052
"PRESIDENTE","En blanco",0.013,0.016,0.051,0.11
"PRESIDENTE","No sabe",0.007,0.008,0.034,0.176
